turn_index,seq,player_id,delta,reason
0,9,OpenAI GPT 5.5,-140,buy_property
1,23,Claude Opus 4.8,-100,buy_property
2,33,Gemini 3.1 Pro Preview,200,BANK_ERROR_COLLECT_200
5,63,OpenAI GPT 5.5,-200,buy_property
6,77,Claude Opus 4.8,-160,buy_property
7,88,Gemini 3.1 Pro Preview,200,PASS_GO
8,104,Gemini 3.1 Pro Preview,-400,buy_property
10,126,OpenAI GPT 5.5,-200,buy_property
11,140,Claude Opus 4.8,-220,buy_property
12,149,Gemini 3.1 Pro Preview,200,PASS_GO
12,155,Gemini 3.1 Pro Preview,-120,buy_property
13,169,Grok 4.3,-260,buy_property
14,183,OpenAI GPT 5.5,-300,buy_property
15,192,OpenAI GPT 5.5,-100,TAX_LUXURY
16,206,Claude Opus 4.8,-240,buy_property
17,216,Gemini 3.1 Pro Preview,100,LIFE_INSURANCE_COLLECT_100
18,230,Grok 4.3,-200,buy_property
19,239,OpenAI GPT 5.5,200,PASS_GO
19,245,OpenAI GPT 5.5,-60,buy_property
20,259,Claude Opus 4.8,-280,buy_property
21,268,Gemini 3.1 Pro Preview,-16,RENT
21,269,OpenAI GPT 5.5,16,RENT
22,279,Gemini 3.1 Pro Preview,-24,RENT
22,280,Claude Opus 4.8,24,RENT
23,295,Gemini 3.1 Pro Preview,-300,buy_property
24,304,Grok 4.3,200,PASS_GO
25,318,OpenAI GPT 5.5,-140,buy_property
25,344,OpenAI GPT 5.5,-250,TRADE_CASH
25,345,Claude Opus 4.8,250,TRADE_CASH
25,352,OpenAI GPT 5.5,-300,BUILD
25,360,OpenAI GPT 5.5,150,MORTGAGE
25,366,OpenAI GPT 5.5,-100,BUILD
25,372,OpenAI GPT 5.5,100,MORTGAGE
25,378,OpenAI GPT 5.5,-100,BUILD
25,384,OpenAI GPT 5.5,30,MORTGAGE
25,390,OpenAI GPT 5.5,-100,BUILD
25,432,Gemini 3.1 Pro Preview,-250,TRADE_CASH
25,433,OpenAI GPT 5.5,250,TRADE_CASH
25,435,Gemini 3.1 Pro Preview,-15,MORTGAGE_INTEREST
25,440,OpenAI GPT 5.5,-200,BUILD
25,483,Gemini 3.1 Pro Preview,-100,TRADE_CASH
25,484,OpenAI GPT 5.5,100,TRADE_CASH
25,486,Gemini 3.1 Pro Preview,-10,MORTGAGE_INTEREST
25,491,OpenAI GPT 5.5,-100,BUILD
25,503,Gemini 3.1 Pro Preview,-30,TRADE_CASH
25,504,OpenAI GPT 5.5,30,TRADE_CASH
25,506,Gemini 3.1 Pro Preview,-3,MORTGAGE_INTEREST
26,517,OpenAI GPT 5.5,-50,RENT
26,518,Claude Opus 4.8,50,RENT
28,536,Claude Opus 4.8,200,PASS_GO
29,545,Gemini 3.1 Pro Preview,200,PASS_GO
29,550,Gemini 3.1 Pro Preview,-165,UNMORTGAGE
29,556,Gemini 3.1 Pro Preview,-111,UNMORTGAGE
30,566,Grok 4.3,-6,RENT
30,567,Claude Opus 4.8,6,RENT
31,628,Gemini 3.1 Pro Preview,-650,auction_bid
32,638,OpenAI GPT 5.5,200,PASS_GO
32,640,OpenAI GPT 5.5,150,BUILDING_LOAN_MATURES_RECEIVE_150
32,645,OpenAI GPT 5.5,-300,BUILD
33,662,Claude Opus 4.8,-100,buy_property
34,681,Gemini 3.1 Pro Preview,-6,RENT
34,682,Claude Opus 4.8,6,RENT
35,717,Claude Opus 4.8,-280,TRADE_CASH
35,718,Gemini 3.1 Pro Preview,280,TRADE_CASH
36,733,Grok 4.3,-180,buy_property
37,793,Claude Opus 4.8,-280,auction_bid
38,807,Claude Opus 4.8,-300,BUILD
39,823,Gemini 3.1 Pro Preview,-400,BUILD
40,862,OpenAI GPT 5.5,-1,auction_bid
41,908,Grok 4.3,-100,auction_bid
41,914,OpenAI GPT 5.5,75,MORTGAGE
41,930,OpenAI GPT 5.5,-100,BUILD
42,970,Claude Opus 4.8,-14,RENT
42,971,Grok 4.3,14,RENT
42,977,Claude Opus 4.8,-50,BUILD
43,987,Gemini 3.1 Pro Preview,-22,RENT
43,988,Grok 4.3,22,RENT
44,998,Grok 4.3,-26,RENT
44,999,Gemini 3.1 Pro Preview,26,RENT
45,1009,Grok 4.3,200,PASS_GO
45,1141,Gemini 3.1 Pro Preview,-30,auction_bid
46,1152,OpenAI GPT 5.5,10,BEAUTY_CONTEST_COLLECT_10
47,1222,OpenAI GPT 5.5,-55,auction_bid
48,1232,Gemini 3.1 Pro Preview,-25,RENT
48,1233,Grok 4.3,25,RENT
48,1239,Gemini 3.1 Pro Preview,100,MORTGAGE
49,1249,Grok 4.3,-90,RENT
49,1250,Claude Opus 4.8,90,RENT
50,1265,OpenAI GPT 5.5,110,MORTGAGE
50,1271,OpenAI GPT 5.5,-100,BUILD
51,1331,Claude Opus 4.8,-26,RENT
51,1332,Gemini 3.1 Pro Preview,26,RENT
51,1338,Claude Opus 4.8,-50,BUILD
52,1348,Gemini 3.1 Pro Preview,200,PASS_GO
52,1350,Gemini 3.1 Pro Preview,-15,PAY_POOR_TAX_15
52,1355,Gemini 3.1 Pro Preview,-200,BUILD
53,1421,Grok 4.3,-140,auction_bid
54,1431,Grok 4.3,-900,RENT
54,1432,OpenAI GPT 5.5,900,RENT
54,1438,Grok 4.3,90,MORTGAGE
55,1448,OpenAI GPT 5.5,200,PASS_GO
55,1485,OpenAI GPT 5.5,-150,auction_bid
55,1491,OpenAI GPT 5.5,-100,BUILD
55,1497,OpenAI GPT 5.5,-122,UNMORTGAGE
55,1503,OpenAI GPT 5.5,-83,UNMORTGAGE
56,1513,Claude Opus 4.8,200,PASS_GO
56,1514,Claude Opus 4.8,-2,RENT
56,1515,Gemini 3.1 Pro Preview,2,RENT
56,1521,Claude Opus 4.8,-50,BUILD
56,1527,Claude Opus 4.8,-50,BUILD
56,1533,Claude Opus 4.8,-100,BUILD
57,1544,Gemini 3.1 Pro Preview,-25,RENT
57,1545,Claude Opus 4.8,25,RENT
58,1555,Grok 4.3,-18,RENT
58,1556,Claude Opus 4.8,18,RENT
59,1612,OpenAI GPT 5.5,-118,auction_bid
60,1622,Claude Opus 4.8,-25,RENT
60,1623,OpenAI GPT 5.5,25,RENT
61,1633,Gemini 3.1 Pro Preview,-24,RENT
61,1634,Claude Opus 4.8,24,RENT
62,1644,Grok 4.3,-26,RENT
62,1645,Gemini 3.1 Pro Preview,26,RENT
64,1668,Claude Opus 4.8,140,MORTGAGE
64,1674,Claude Opus 4.8,120,MORTGAGE
64,1680,Claude Opus 4.8,90,MORTGAGE
64,1686,Claude Opus 4.8,110,MORTGAGE
64,1692,Claude Opus 4.8,100,MORTGAGE
64,1698,Claude Opus 4.8,125,SELL_BUILDING
64,1702,Claude Opus 4.8,-750,RENT
64,1703,OpenAI GPT 5.5,750,RENT
65,1713,Gemini 3.1 Pro Preview,-50,RENT
65,1714,Grok 4.3,50,RENT
70,1755,Grok 4.3,200,PASS_GO
70,1757,Grok 4.3,-50,SCHOOL_FEES_PAY_50
73,1779,Gemini 3.1 Pro Preview,200,PASS_GO
73,1780,Gemini 3.1 Pro Preview,-25,RENT
73,1781,OpenAI GPT 5.5,25,RENT
74,1791,Grok 4.3,-90,RENT
74,1792,Claude Opus 4.8,90,RENT
77,1820,Gemini 3.1 Pro Preview,100,SELL_BUILDING
77,1826,Gemini 3.1 Pro Preview,200,SELL_BUILDING
77,1833,Gemini 3.1 Pro Preview,200,MORTGAGE
77,1839,Gemini 3.1 Pro Preview,175,MORTGAGE
77,1841,Gemini 3.1 Pro Preview,-900,RENT
77,1842,OpenAI GPT 5.5,900,RENT
79,1867,OpenAI GPT 5.5,-50,JAIL_FINE
79,1900,OpenAI GPT 5.5,-200,TRADE_CASH
79,1901,Gemini 3.1 Pro Preview,200,TRADE_CASH
79,1903,OpenAI GPT 5.5,-10,MORTGAGE_INTEREST
79,1929,OpenAI GPT 5.5,-270,TRADE_CASH
79,1930,Grok 4.3,270,TRADE_CASH
79,1932,OpenAI GPT 5.5,-9,MORTGAGE_INTEREST
79,1957,OpenAI GPT 5.5,-100,UNMORTGAGE
79,1973,OpenAI GPT 5.5,-111,UNMORTGAGE
79,2025,OpenAI GPT 5.5,-300,TRADE_CASH
79,2026,Claude Opus 4.8,300,TRADE_CASH
79,2028,OpenAI GPT 5.5,-14,MORTGAGE_INTEREST
79,2033,OpenAI GPT 5.5,-154,UNMORTGAGE
79,2095,OpenAI GPT 5.5,-400,TRADE_CASH
79,2096,Gemini 3.1 Pro Preview,400,TRADE_CASH
81,2146,Gemini 3.1 Pro Preview,-16,RENT
81,2147,OpenAI GPT 5.5,16,RENT
81,2153,Gemini 3.1 Pro Preview,-221,UNMORTGAGE
81,2159,Gemini 3.1 Pro Preview,-193,UNMORTGAGE
81,2165,Gemini 3.1 Pro Preview,-33,UNMORTGAGE
83,2183,OpenAI GPT 5.5,-22,RENT
83,2184,Grok 4.3,22,RENT
85,2219,Claude Opus 4.8,-50,JAIL_FINE
85,2226,Claude Opus 4.8,-100,BUILD
85,2233,Claude Opus 4.8,-150,BUILD
86,2245,Gemini 3.1 Pro Preview,-22,RENT
86,2246,Grok 4.3,22,RENT
87,2256,Grok 4.3,-26,RENT
87,2257,OpenAI GPT 5.5,26,RENT
88,2267,OpenAI GPT 5.5,200,PASS_GO
88,2268,OpenAI GPT 5.5,-4,RENT
88,2269,Gemini 3.1 Pro Preview,4,RENT
88,2311,OpenAI GPT 5.5,-350,TRADE_CASH
88,2312,Gemini 3.1 Pro Preview,350,TRADE_CASH
88,2319,OpenAI GPT 5.5,-400,BUILD
88,2326,OpenAI GPT 5.5,-100,BUILD
88,2333,OpenAI GPT 5.5,100,MORTGAGE
