player_id,decision_type,calls,input_tokens,output_tokens,reasoning_tokens,total_tokens,cost,latency_ms,invalid_attempts,avg_latency_ms,cost_per_call
Claude Opus 4.8,POST_TURN_ACTION_DECISION,61,498209.0,78400.0,11193.0,576609.0,4.451045000000001,1160102.0,0.0,19018.07,0.07296795
Claude Opus 4.8,TRADE_RESPONSE_DECISION,35,319541.0,40916.0,5140.0,360457.0,2.6206050000000003,649748.0,3.0,18564.23,0.07487443
Claude Opus 4.8,AUCTION_BID_DECISION,15,110847.0,18341.0,2662.0,129188.0,1.0127599999999999,301561.0,2.0,20104.07,0.06751733
Claude Opus 4.8,JAIL_DECISION,9,73635.0,9614.0,1588.0,83249.0,0.6085250000000001,147268.0,0.0,16363.11,0.06761389
Claude Opus 4.8,LIQUIDATION_DECISION,7,56966.0,10555.0,1789.0,67521.0,0.548705,153256.0,1.0,21893.71,0.07838643
Claude Opus 4.8,BUY_OR_AUCTION_DECISION,7,33720.0,3259.0,636.0,36979.0,0.250075,57172.0,0.0,8167.43,0.035725
Gemini 3.1 Pro Preview,POST_TURN_ACTION_DECISION,47,190768.0,30195.0,25697.0,220963.0,0.7438759999999999,329938.0,0.0,7019.96,0.01582715
Gemini 3.1 Pro Preview,TRADE_RESPONSE_DECISION,31,156416.0,24471.0,19647.0,180887.0,0.6064839999999999,265021.0,6.0,8549.06,0.019564
Gemini 3.1 Pro Preview,AUCTION_BID_DECISION,30,114725.0,11721.0,8818.0,126446.0,0.37010199999999993,153035.0,0.0,5101.17,0.01233673
Gemini 3.1 Pro Preview,LIQUIDATION_DECISION,9,34061.0,6455.0,5587.0,40516.0,0.145582,64992.0,0.0,7221.33,0.01617578
Gemini 3.1 Pro Preview,BUY_OR_AUCTION_DECISION,4,11621.0,1016.0,682.0,12637.0,0.035434,15549.0,0.0,3887.25,0.0088585
Grok 4.3,POST_TURN_ACTION_DECISION,26,107839.0,15062.0,13093.0,122901.0,0.16385215000000003,146291.0,4.0,5626.58,0.00630201
Grok 4.3,TRADE_RESPONSE_DECISION,17,69246.0,10722.0,8939.0,79968.0,0.1090617,95342.0,0.0,5608.35,0.00641539
Grok 4.3,AUCTION_BID_DECISION,16,58429.0,10396.0,8839.0,68825.0,0.09143264999999999,87725.0,0.0,5482.81,0.00571454
Grok 4.3,BUY_OR_AUCTION_DECISION,5,15661.0,2718.0,2291.0,18379.0,0.02529605,24996.0,0.0,4999.2,0.00505921
Grok 4.3,LIQUIDATION_DECISION,4,14220.0,2083.0,1729.0,16303.0,0.0224449,19758.0,0.0,4939.5,0.00561123
OpenAI GPT 5.5,POST_TURN_ACTION_DECISION,201,805627.0,325248.0,300851.0,1130875.0,13.692262999999995,9338224.0,5.0,46458.83,0.06812071
OpenAI GPT 5.5,TRADE_RESPONSE_DECISION,13,52774.0,15088.0,13214.0,67862.0,0.71651,387151.0,0.0,29780.85,0.05511615
OpenAI GPT 5.5,AUCTION_BID_DECISION,23,84558.0,9491.0,7318.0,94049.0,0.694848,273870.0,1.0,11907.39,0.03021078
OpenAI GPT 5.5,LIQUIDATION_DECISION,3,15286.0,10188.0,9503.0,25474.0,0.36709400000000003,260215.0,1.0,86738.33,0.12236467
OpenAI GPT 5.5,BUY_OR_AUCTION_DECISION,12,32886.0,2133.0,1139.0,35019.0,0.22841999999999996,65471.0,0.0,5455.92,0.019035
OpenAI GPT 5.5,JAIL_DECISION,8,27033.0,2405.0,1703.0,29438.0,0.20731500000000003,91555.0,0.0,11444.38,0.02591438
