event_type,count
LLM_DECISION_REQUESTED,540
LLM_DECISION_RESPONSE,539
LLM_PUBLIC_MESSAGE,539
LLM_PRIVATE_THOUGHT,539
CASH_CHANGED,282
PLAYER_MOVED,174
DICE_ROLLED,171
TURN_STARTED,168
TURN_ENDED,167
TRADE_PROPOSED,67
TRADE_REJECTED,57
AUCTION_BID_PLACED,57
HOUSE_BUILT,43
RENT_PAID,39
PROPERTY_PURCHASED,36
PROPERTY_MORTGAGED,36
TRADE_COUNTERED,27
AUCTION_PLAYER_DROPPED,27
CARD_DRAWN,22
PROPERTY_UNMORTGAGED,19
PROPERTY_TRANSFERRED,15
HOTEL_BUILT,12
TRADE_ACCEPTED,10
HOUSE_SOLD,10
AUCTION_STARTED,9
AUCTION_ENDED,9
HOTEL_SOLD,9
SENT_TO_JAIL,5
GAME_STARTED,1
