turn_index,total_events,AUCTION_BID_PLACED,AUCTION_ENDED,AUCTION_PLAYER_DROPPED,AUCTION_STARTED,CARD_DRAWN,CASH_CHANGED,DICE_ROLLED,GAME_STARTED,HOTEL_BUILT,HOTEL_SOLD,HOUSE_BUILT,HOUSE_SOLD,LLM_DECISION_REQUESTED,LLM_DECISION_RESPONSE,LLM_PRIVATE_THOUGHT,LLM_PUBLIC_MESSAGE,PLAYER_MOVED,PROPERTY_MORTGAGED,PROPERTY_PURCHASED,PROPERTY_TRANSFERRED,PROPERTY_UNMORTGAGED,RENT_PAID,SENT_TO_JAIL,TRADE_ACCEPTED,TRADE_COUNTERED,TRADE_PROPOSED,TRADE_REJECTED,TURN_ENDED,TURN_STARTED
0,15,0,0,0,0,0,1,1,1,0,0,0,0,2,2,2,2,1,0,1,0,0,0,0,0,0,0,0,1,1
1,14,0,0,0,0,0,1,1,0,0,0,0,0,2,2,2,2,1,0,1,0,0,0,0,0,0,0,0,1,1
2,10,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1
3,8,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1
4,8,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1
5,14,0,0,0,0,0,1,1,0,0,0,0,0,2,2,2,2,1,0,1,0,0,0,0,0,0,0,0,1,1
6,14,0,0,0,0,0,1,1,0,0,0,0,0,2,2,2,2,1,0,1,0,0,0,0,0,0,0,0,1,1
7,11,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,1,1
8,16,0,0,0,0,1,1,1,0,0,0,0,0,2,2,2,2,2,0,1,0,0,0,0,0,0,0,0,1,1
9,8,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1
10,14,0,0,0,0,0,1,1,0,0,0,0,0,2,2,2,2,1,0,1,0,0,0,0,0,0,0,0,1,1
11,14,0,0,0,0,0,1,1,0,0,0,0,0,2,2,2,2,1,0,1,0,0,0,0,0,0,0,0,1,1
12,15,0,0,0,0,0,2,1,0,0,0,0,0,2,2,2,2,1,0,1,0,0,0,0,0,0,0,0,1,1
13,14,0,0,0,0,0,1,1,0,0,0,0,0,2,2,2,2,1,0,1,0,0,0,0,0,0,0,0,1,1
14,14,0,0,0,0,0,1,1,0,0,0,0,0,2,2,2,2,1,0,1,0,0,0,0,0,0,0,0,1,1
15,9,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1
16,14,0,0,0,0,0,1,1,0,0,0,0,0,2,2,2,2,1,0,1,0,0,0,0,0,0,0,0,1,1
17,10,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1
18,14,0,0,0,0,0,1,1,0,0,0,0,0,2,2,2,2,1,0,1,0,0,0,0,0,0,0,0,1,1
19,15,0,0,0,0,0,2,1,0,0,0,0,0,2,2,2,2,1,0,1,0,0,0,0,0,0,0,0,1,1
20,14,0,0,0,0,0,1,1,0,0,0,0,0,2,2,2,2,1,0,1,0,0,0,0,0,0,0,0,1,1
21,11,0,0,0,0,0,2,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1
22,11,0,0,0,0,0,2,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1
23,14,0,0,0,0,0,1,1,0,0,0,0,0,2,2,2,2,1,0,1,0,0,0,0,0,0,0,0,1,1
24,9,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1
25,202,0,0,0,0,0,21,1,0,0,0,9,0,34,34,34,34,1,3,1,5,0,0,0,4,5,9,5,1,1
26,13,0,0,0,0,1,2,1,0,0,0,0,0,1,1,1,1,2,0,0,0,0,1,0,0,0,0,0,1,1
27,8,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1
28,9,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1
29,21,0,0,0,0,0,3,1,0,0,0,0,0,3,3,3,3,1,0,0,0,2,0,0,0,0,0,0,1,1
30,11,0,0,0,0,0,2,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1
31,61,6,1,3,1,0,1,1,0,0,0,0,0,11,11,11,11,1,0,1,0,0,0,0,0,0,0,0,1,1
32,19,0,0,0,0,1,3,1,0,0,0,3,0,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,1,1
33,24,0,0,0,0,0,1,1,0,0,0,0,0,4,4,4,4,1,0,1,0,0,0,0,0,0,1,1,1,1
34,11,0,0,0,0,0,2,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1
35,36,0,0,0,0,0,2,1,0,0,0,0,0,6,6,6,6,1,0,0,1,0,0,0,1,3,1,0,1,1
36,14,0,0,0,0,0,1,1,0,0,0,0,0,2,2,2,2,1,0,1,0,0,0,0,0,0,0,0,1,1
37,61,6,1,3,1,0,1,1,0,0,0,0,0,11,11,11,11,1,0,1,0,0,0,0,0,0,0,0,1,1
38,16,0,0,0,0,0,1,1,0,0,0,3,0,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,1,1
39,15,0,0,0,0,0,1,1,0,0,0,2,0,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,1,1
40,38,1,1,3,1,1,1,1,0,0,0,0,0,6,6,6,6,2,0,1,0,0,0,0,0,0,0,0,1,1
41,98,3,1,3,1,0,3,1,0,1,0,0,0,18,18,18,18,1,1,1,0,0,0,0,0,0,4,4,1,1
42,17,0,0,0,0,0,3,1,0,0,0,1,0,2,2,2,2,1,0,0,0,0,1,0,0,0,0,0,1,1
43,11,0,0,0,0,0,2,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1
44,11,0,0,0,0,0,2,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1
45,142,22,1,3,1,0,2,1,0,0,0,0,0,27,27,27,27,1,0,1,0,0,0,0,0,0,0,0,1,1
46,30,0,0,0,0,1,1,1,0,0,0,0,0,5,5,5,5,1,0,0,0,0,0,0,0,0,2,2,1,1
47,51,4,1,3,1,0,1,1,0,0,0,0,0,9,9,9,9,1,0,1,0,0,0,0,0,0,0,0,1,1
48,17,0,0,0,0,0,3,1,0,0,0,0,0,2,2,2,2,1,1,0,0,0,1,0,0,0,0,0,1,1
49,11,0,0,0,0,0,2,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1
50,71,0,0,0,0,1,2,1,0,1,0,0,0,13,13,13,13,1,1,0,0,0,0,0,0,0,5,5,1,1
51,17,0,0,0,0,0,3,1,0,0,0,1,0,2,2,2,2,1,0,0,0,0,1,0,0,0,0,0,1,1
52,17,0,0,0,0,1,3,1,0,0,0,1,0,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,1,1
53,66,7,1,3,1,0,1,1,0,0,0,0,0,12,12,12,12,1,0,1,0,0,0,0,0,0,0,0,1,1
54,17,0,0,0,0,0,3,1,0,0,0,0,0,2,2,2,2,1,1,0,0,0,1,0,0,0,0,0,1,1
55,65,3,1,3,1,0,5,1,0,1,0,0,0,11,11,11,11,1,0,1,0,2,0,0,0,0,0,0,1,1
56,31,0,0,0,0,0,6,1,0,0,0,4,0,4,4,4,4,1,0,0,0,0,1,0,0,0,0,0,1,1
57,11,0,0,0,0,0,2,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1
58,11,0,0,0,0,0,2,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1
59,56,5,1,3,1,0,1,1,0,0,0,0,0,10,10,10,10,1,0,1,0,0,0,0,0,0,0,0,1,1
60,11,0,0,0,0,0,2,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1
61,11,0,0,0,0,0,2,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1
62,11,0,0,0,0,0,2,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1
63,9,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1
64,49,0,0,0,0,0,8,1,0,0,0,0,3,7,7,7,7,1,5,0,0,0,1,0,0,0,0,0,1,1
65,11,0,0,0,0,0,2,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1
66,8,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1
67,7,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,1
68,8,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1
69,8,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1
70,11,0,0,0,0,1,2,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1
71,7,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1
72,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,1
73,12,0,0,0,0,0,3,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1
74,11,0,0,0,0,0,2,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1
75,7,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1
76,7,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1
77,36,0,0,0,0,0,6,1,0,0,0,0,3,5,5,5,5,1,2,0,0,0,1,0,0,0,0,0,1,1
78,8,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1
79,279,0,0,0,0,0,15,2,0,0,0,0,0,51,51,51,51,1,0,0,7,3,0,0,4,15,15,11,1,1
80,7,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1
81,29,0,0,0,0,0,5,1,0,0,0,0,0,4,4,4,4,1,0,0,0,3,1,0,0,0,0,0,1,1
82,8,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1
83,11,0,0,0,0,0,2,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1
84,18,0,0,0,0,0,0,1,0,0,0,0,0,3,3,3,3,1,0,0,0,0,0,0,0,0,1,1,1,1
85,33,0,0,0,0,0,3,2,0,0,0,5,0,5,5,5,5,1,0,0,0,0,0,0,0,0,0,0,1,1
86,11,0,0,0,0,0,2,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1
87,11,0,0,0,0,0,2,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1
88,116,0,0,0,0,0,13,1,0,2,0,2,0,19,19,19,19,1,6,0,2,0,1,0,1,4,3,2,1,1
89,17,0,0,0,0,0,3,1,0,0,0,0,0,2,2,2,2,1,1,0,0,0,1,0,0,0,0,0,1,1
90,8,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1
91,27,0,0,0,0,0,3,1,0,0,0,2,0,4,4,4,4,1,2,0,0,0,0,0,0,0,0,0,1,1
92,12,0,0,0,0,0,3,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1
93,8,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1
94,8,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1
95,9,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1
96,8,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1
97,11,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,1,1
98,23,0,0,0,0,0,4,1,0,0,0,0,0,3,3,3,3,1,2,0,0,0,1,0,0,0,0,0,1,1
99,58,0,0,0,0,0,5,1,0,0,0,0,0,10,10,10,10,1,0,0,0,5,0,0,0,0,2,2,1,1
100,9,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1
101,11,0,0,0,0,0,2,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1
102,12,0,0,0,0,0,3,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1
103,36,0,0,0,0,0,6,1,0,0,0,0,3,5,5,5,5,1,2,0,0,0,1,0,0,0,0,0,1,1
104,8,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1
105,60,0,0,0,0,0,2,1,0,0,0,0,0,11,11,11,11,1,0,0,0,2,0,0,0,0,4,4,1,1
106,64,0,0,0,0,0,9,1,0,0,0,5,0,10,10,10,10,1,5,1,0,0,0,0,0,0,0,0,1,1
107,8,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1
108,18,0,0,0,0,0,0,1,0,0,0,0,0,3,3,3,3,1,0,0,0,0,0,0,0,0,1,1,1,1
109,8,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1
110,17,0,0,0,0,1,3,1,0,0,0,1,0,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,1,1
