turn_index,seq,event_type,player_id,d1,d2,is_double
0,2,DICE_ROLLED,OpenAI GPT 5.5,6,5,False
0,3,PLAYER_MOVED,OpenAI GPT 5.5,,,
1,16,DICE_ROLLED,Claude Opus 4.8,6,2,False
1,17,PLAYER_MOVED,Claude Opus 4.8,,,
2,30,DICE_ROLLED,Gemini 3.1 Pro Preview,1,1,True
2,31,PLAYER_MOVED,Gemini 3.1 Pro Preview,,,
2,32,CARD_DRAWN,Gemini 3.1 Pro Preview,,,
3,40,DICE_ROLLED,Gemini 3.1 Pro Preview,2,6,False
3,41,PLAYER_MOVED,Gemini 3.1 Pro Preview,,,
4,48,DICE_ROLLED,Grok 4.3,4,6,False
4,49,PLAYER_MOVED,Grok 4.3,,,
5,56,DICE_ROLLED,OpenAI GPT 5.5,2,6,False
5,57,PLAYER_MOVED,OpenAI GPT 5.5,,,
6,70,DICE_ROLLED,Claude Opus 4.8,2,4,False
6,71,PLAYER_MOVED,Claude Opus 4.8,,,
7,84,DICE_ROLLED,Gemini 3.1 Pro Preview,6,6,True
7,85,PLAYER_MOVED,Gemini 3.1 Pro Preview,,,
7,86,CARD_DRAWN,Gemini 3.1 Pro Preview,,,
7,87,PLAYER_MOVED,Gemini 3.1 Pro Preview,,,
8,95,DICE_ROLLED,Gemini 3.1 Pro Preview,1,6,False
8,96,PLAYER_MOVED,Gemini 3.1 Pro Preview,,,
8,97,CARD_DRAWN,Gemini 3.1 Pro Preview,,,
8,98,PLAYER_MOVED,Gemini 3.1 Pro Preview,,,
9,111,DICE_ROLLED,Grok 4.3,6,4,False
9,112,PLAYER_MOVED,Grok 4.3,,,
10,119,DICE_ROLLED,OpenAI GPT 5.5,1,5,False
10,120,PLAYER_MOVED,OpenAI GPT 5.5,,,
11,133,DICE_ROLLED,Claude Opus 4.8,2,5,False
11,134,PLAYER_MOVED,Claude Opus 4.8,,,
12,147,DICE_ROLLED,Gemini 3.1 Pro Preview,4,6,False
12,148,PLAYER_MOVED,Gemini 3.1 Pro Preview,,,
13,162,DICE_ROLLED,Grok 4.3,5,2,False
13,163,PLAYER_MOVED,Grok 4.3,,,
14,176,DICE_ROLLED,OpenAI GPT 5.5,3,3,True
14,177,PLAYER_MOVED,OpenAI GPT 5.5,,,
15,190,DICE_ROLLED,OpenAI GPT 5.5,3,4,False
15,191,PLAYER_MOVED,OpenAI GPT 5.5,,,
16,199,DICE_ROLLED,Claude Opus 4.8,1,2,False
16,200,PLAYER_MOVED,Claude Opus 4.8,,,
17,213,DICE_ROLLED,Gemini 3.1 Pro Preview,3,5,False
17,214,PLAYER_MOVED,Gemini 3.1 Pro Preview,,,
17,215,CARD_DRAWN,Gemini 3.1 Pro Preview,,,
18,223,DICE_ROLLED,Grok 4.3,6,2,False
18,224,PLAYER_MOVED,Grok 4.3,,,
19,237,DICE_ROLLED,OpenAI GPT 5.5,3,2,False
19,238,PLAYER_MOVED,OpenAI GPT 5.5,,,
20,252,DICE_ROLLED,Claude Opus 4.8,3,2,False
20,253,PLAYER_MOVED,Claude Opus 4.8,,,
21,266,DICE_ROLLED,Gemini 3.1 Pro Preview,1,1,True
21,267,PLAYER_MOVED,Gemini 3.1 Pro Preview,,,
22,277,DICE_ROLLED,Gemini 3.1 Pro Preview,5,5,True
22,278,PLAYER_MOVED,Gemini 3.1 Pro Preview,,,
23,288,DICE_ROLLED,Gemini 3.1 Pro Preview,1,2,False
23,289,PLAYER_MOVED,Gemini 3.1 Pro Preview,,,
24,302,DICE_ROLLED,Grok 4.3,3,2,False
24,303,PLAYER_MOVED,Grok 4.3,,,
25,311,DICE_ROLLED,OpenAI GPT 5.5,5,5,True
25,312,PLAYER_MOVED,OpenAI GPT 5.5,,,
26,513,DICE_ROLLED,OpenAI GPT 5.5,3,6,False
26,514,PLAYER_MOVED,OpenAI GPT 5.5,,,
26,515,CARD_DRAWN,OpenAI GPT 5.5,,,
26,516,PLAYER_MOVED,OpenAI GPT 5.5,,,
27,526,DICE_ROLLED,Claude Opus 4.8,1,1,True
27,527,PLAYER_MOVED,Claude Opus 4.8,,,
28,534,DICE_ROLLED,Claude Opus 4.8,4,5,False
28,535,PLAYER_MOVED,Claude Opus 4.8,,,
29,543,DICE_ROLLED,Gemini 3.1 Pro Preview,2,6,False
29,544,PLAYER_MOVED,Gemini 3.1 Pro Preview,,,
30,564,DICE_ROLLED,Grok 4.3,2,6,False
30,565,PLAYER_MOVED,Grok 4.3,,,
31,575,DICE_ROLLED,OpenAI GPT 5.5,6,6,True
31,576,PLAYER_MOVED,OpenAI GPT 5.5,,,
32,636,DICE_ROLLED,OpenAI GPT 5.5,4,6,False
32,637,PLAYER_MOVED,OpenAI GPT 5.5,,,
32,639,CARD_DRAWN,OpenAI GPT 5.5,,,
33,655,DICE_ROLLED,Claude Opus 4.8,1,5,False
33,656,PLAYER_MOVED,Claude Opus 4.8,,,
34,679,DICE_ROLLED,Gemini 3.1 Pro Preview,3,3,True
34,680,PLAYER_MOVED,Gemini 3.1 Pro Preview,,,
35,690,DICE_ROLLED,Gemini 3.1 Pro Preview,3,1,False
35,691,PLAYER_MOVED,Gemini 3.1 Pro Preview,,,
36,726,DICE_ROLLED,Grok 4.3,3,5,False
36,727,PLAYER_MOVED,Grok 4.3,,,
37,740,DICE_ROLLED,OpenAI GPT 5.5,5,6,False
37,741,PLAYER_MOVED,OpenAI GPT 5.5,,,
38,801,DICE_ROLLED,Claude Opus 4.8,1,2,False
38,802,PLAYER_MOVED,Claude Opus 4.8,,,
39,817,DICE_ROLLED,Gemini 3.1 Pro Preview,3,6,False
39,818,PLAYER_MOVED,Gemini 3.1 Pro Preview,,,
40,832,DICE_ROLLED,Grok 4.3,2,4,False
40,833,PLAYER_MOVED,Grok 4.3,,,
40,834,CARD_DRAWN,Grok 4.3,,,
40,835,PLAYER_MOVED,Grok 4.3,,,
41,870,DICE_ROLLED,OpenAI GPT 5.5,3,5,False
41,871,PLAYER_MOVED,OpenAI GPT 5.5,,,
42,968,DICE_ROLLED,Claude Opus 4.8,2,5,False
42,969,PLAYER_MOVED,Claude Opus 4.8,,,
43,985,DICE_ROLLED,Gemini 3.1 Pro Preview,3,5,False
43,986,PLAYER_MOVED,Gemini 3.1 Pro Preview,,,
44,996,DICE_ROLLED,Grok 4.3,2,2,True
44,997,PLAYER_MOVED,Grok 4.3,,,
45,1007,DICE_ROLLED,Grok 4.3,6,3,False
45,1008,PLAYER_MOVED,Grok 4.3,,,
46,1149,DICE_ROLLED,OpenAI GPT 5.5,2,5,False
46,1150,PLAYER_MOVED,OpenAI GPT 5.5,,,
46,1151,CARD_DRAWN,OpenAI GPT 5.5,,,
47,1179,DICE_ROLLED,Claude Opus 4.8,1,6,False
47,1180,PLAYER_MOVED,Claude Opus 4.8,,,
48,1230,DICE_ROLLED,Gemini 3.1 Pro Preview,6,2,False
48,1231,PLAYER_MOVED,Gemini 3.1 Pro Preview,,,
49,1247,DICE_ROLLED,Grok 4.3,3,2,False
49,1248,PLAYER_MOVED,Grok 4.3,,,
50,1258,DICE_ROLLED,OpenAI GPT 5.5,1,2,False
50,1259,PLAYER_MOVED,OpenAI GPT 5.5,,,
50,1260,CARD_DRAWN,OpenAI GPT 5.5,,,
51,1329,DICE_ROLLED,Claude Opus 4.8,6,2,False
51,1330,PLAYER_MOVED,Claude Opus 4.8,,,
52,1346,DICE_ROLLED,Gemini 3.1 Pro Preview,6,6,True
52,1347,PLAYER_MOVED,Gemini 3.1 Pro Preview,,,
52,1349,CARD_DRAWN,Gemini 3.1 Pro Preview,,,
53,1363,DICE_ROLLED,Gemini 3.1 Pro Preview,5,3,False
53,1364,PLAYER_MOVED,Gemini 3.1 Pro Preview,,,
54,1429,DICE_ROLLED,Grok 4.3,5,3,False
54,1430,PLAYER_MOVED,Grok 4.3,,,
55,1446,DICE_ROLLED,OpenAI GPT 5.5,4,5,False
55,1447,PLAYER_MOVED,OpenAI GPT 5.5,,,
56,1511,DICE_ROLLED,Claude Opus 4.8,6,4,False
56,1512,PLAYER_MOVED,Claude Opus 4.8,,,
57,1542,DICE_ROLLED,Gemini 3.1 Pro Preview,6,4,False
57,1543,PLAYER_MOVED,Gemini 3.1 Pro Preview,,,
58,1553,DICE_ROLLED,Grok 4.3,5,2,False
58,1554,PLAYER_MOVED,Grok 4.3,,,
59,1564,DICE_ROLLED,OpenAI GPT 5.5,3,4,False
59,1565,PLAYER_MOVED,OpenAI GPT 5.5,,,
60,1620,DICE_ROLLED,Claude Opus 4.8,3,1,False
60,1621,PLAYER_MOVED,Claude Opus 4.8,,,
61,1631,DICE_ROLLED,Gemini 3.1 Pro Preview,3,1,False
61,1632,PLAYER_MOVED,Gemini 3.1 Pro Preview,,,
62,1642,DICE_ROLLED,Grok 4.3,6,4,False
62,1643,PLAYER_MOVED,Grok 4.3,,,
63,1653,DICE_ROLLED,OpenAI GPT 5.5,4,1,False
63,1654,PLAYER_MOVED,OpenAI GPT 5.5,,,
63,1655,CARD_DRAWN,OpenAI GPT 5.5,,,
64,1662,DICE_ROLLED,Claude Opus 4.8,3,5,False
64,1663,PLAYER_MOVED,Claude Opus 4.8,,,
65,1711,DICE_ROLLED,Gemini 3.1 Pro Preview,1,5,False
65,1712,PLAYER_MOVED,Gemini 3.1 Pro Preview,,,
66,1722,DICE_ROLLED,Grok 4.3,1,3,False
66,1723,PLAYER_MOVED,Grok 4.3,,,
67,1730,DICE_ROLLED,OpenAI GPT 5.5,3,2,False
67,1731,PLAYER_MOVED,OpenAI GPT 5.5,,,
67,1732,CARD_DRAWN,OpenAI GPT 5.5,,,
67,1733,PLAYER_MOVED,OpenAI GPT 5.5,,,
68,1737,DICE_ROLLED,Claude Opus 4.8,6,2,False
68,1738,PLAYER_MOVED,Claude Opus 4.8,,,
69,1745,DICE_ROLLED,Gemini 3.1 Pro Preview,1,3,False
69,1746,PLAYER_MOVED,Gemini 3.1 Pro Preview,,,
70,1753,DICE_ROLLED,Grok 4.3,2,5,False
70,1754,PLAYER_MOVED,Grok 4.3,,,
70,1756,CARD_DRAWN,Grok 4.3,,,
71,1768,DICE_ROLLED,OpenAI GPT 5.5,6,2,False
72,1771,DICE_ROLLED,Claude Opus 4.8,6,3,False
72,1772,PLAYER_MOVED,Claude Opus 4.8,,,
72,1773,PLAYER_MOVED,Claude Opus 4.8,,,
73,1777,DICE_ROLLED,Gemini 3.1 Pro Preview,5,1,False
73,1778,PLAYER_MOVED,Gemini 3.1 Pro Preview,,,
74,1789,DICE_ROLLED,Grok 4.3,1,5,False
74,1790,PLAYER_MOVED,Grok 4.3,,,
75,1804,DICE_ROLLED,OpenAI GPT 5.5,2,3,False
76,1811,DICE_ROLLED,Claude Opus 4.8,2,1,False
77,1814,DICE_ROLLED,Gemini 3.1 Pro Preview,3,6,False
77,1815,PLAYER_MOVED,Gemini 3.1 Pro Preview,,,
78,1850,DICE_ROLLED,Grok 4.3,6,2,False
78,1851,PLAYER_MOVED,Grok 4.3,,,
79,1862,DICE_ROLLED,OpenAI GPT 5.5,3,4,False
79,1868,DICE_ROLLED,OpenAI GPT 5.5,2,4,False
79,1869,PLAYER_MOVED,OpenAI GPT 5.5,,,
80,2141,DICE_ROLLED,Claude Opus 4.8,6,4,False
81,2144,DICE_ROLLED,Gemini 3.1 Pro Preview,2,3,False
81,2145,PLAYER_MOVED,Gemini 3.1 Pro Preview,,,
82,2173,DICE_ROLLED,Grok 4.3,6,5,False
82,2174,PLAYER_MOVED,Grok 4.3,,,
83,2181,DICE_ROLLED,OpenAI GPT 5.5,5,5,True
83,2182,PLAYER_MOVED,OpenAI GPT 5.5,,,
84,2192,DICE_ROLLED,OpenAI GPT 5.5,1,2,False
84,2193,PLAYER_MOVED,OpenAI GPT 5.5,,,
85,2214,DICE_ROLLED,Claude Opus 4.8,4,2,False
85,2220,DICE_ROLLED,Claude Opus 4.8,3,5,False
85,2221,PLAYER_MOVED,Claude Opus 4.8,,,
86,2243,DICE_ROLLED,Gemini 3.1 Pro Preview,5,2,False
86,2244,PLAYER_MOVED,Gemini 3.1 Pro Preview,,,
87,2254,DICE_ROLLED,Grok 4.3,3,2,False
87,2255,PLAYER_MOVED,Grok 4.3,,,
88,2265,DICE_ROLLED,OpenAI GPT 5.5,6,6,True
88,2266,PLAYER_MOVED,OpenAI GPT 5.5,,,
89,2381,DICE_ROLLED,OpenAI GPT 5.5,1,4,False
89,2382,PLAYER_MOVED,OpenAI GPT 5.5,,,
90,2398,DICE_ROLLED,Claude Opus 4.8,4,1,False
90,2399,PLAYER_MOVED,Claude Opus 4.8,,,
91,2406,DICE_ROLLED,Gemini 3.1 Pro Preview,1,5,False
91,2407,PLAYER_MOVED,Gemini 3.1 Pro Preview,,,
92,2433,DICE_ROLLED,Grok 4.3,5,4,False
92,2434,PLAYER_MOVED,Grok 4.3,,,
93,2445,DICE_ROLLED,OpenAI GPT 5.5,1,3,False
93,2446,PLAYER_MOVED,OpenAI GPT 5.5,,,
94,2453,DICE_ROLLED,Claude Opus 4.8,4,4,True
94,2454,PLAYER_MOVED,Claude Opus 4.8,,,
95,2461,DICE_ROLLED,Claude Opus 4.8,2,5,False
95,2462,PLAYER_MOVED,Claude Opus 4.8,,,
96,2470,DICE_ROLLED,Gemini 3.1 Pro Preview,2,5,False
96,2471,PLAYER_MOVED,Gemini 3.1 Pro Preview,,,
97,2478,DICE_ROLLED,Grok 4.3,3,3,True
97,2479,PLAYER_MOVED,Grok 4.3,,,
97,2480,CARD_DRAWN,Grok 4.3,,,
97,2481,PLAYER_MOVED,Grok 4.3,,,
98,2489,DICE_ROLLED,Grok 4.3,4,5,False
98,2490,PLAYER_MOVED,Grok 4.3,,,
99,2512,DICE_ROLLED,OpenAI GPT 5.5,5,4,False
99,2513,PLAYER_MOVED,OpenAI GPT 5.5,,,
100,2570,DICE_ROLLED,Claude Opus 4.8,5,5,True
100,2571,PLAYER_MOVED,Claude Opus 4.8,,,
101,2579,DICE_ROLLED,Claude Opus 4.8,3,4,False
101,2580,PLAYER_MOVED,Claude Opus 4.8,,,
102,2590,DICE_ROLLED,Gemini 3.1 Pro Preview,3,3,True
102,2591,PLAYER_MOVED,Gemini 3.1 Pro Preview,,,
103,2602,DICE_ROLLED,Gemini 3.1 Pro Preview,1,5,False
103,2603,PLAYER_MOVED,Gemini 3.1 Pro Preview,,,
104,2638,DICE_ROLLED,Grok 4.3,2,4,False
104,2639,PLAYER_MOVED,Grok 4.3,,,
105,2646,DICE_ROLLED,OpenAI GPT 5.5,5,5,True
105,2647,PLAYER_MOVED,OpenAI GPT 5.5,,,
106,2706,DICE_ROLLED,OpenAI GPT 5.5,3,2,False
106,2707,PLAYER_MOVED,OpenAI GPT 5.5,,,
107,2770,DICE_ROLLED,Claude Opus 4.8,6,3,False
107,2771,PLAYER_MOVED,Claude Opus 4.8,,,
108,2778,DICE_ROLLED,Gemini 3.1 Pro Preview,6,4,False
108,2779,PLAYER_MOVED,Gemini 3.1 Pro Preview,,,
109,2796,DICE_ROLLED,Grok 4.3,3,6,False
109,2797,PLAYER_MOVED,Grok 4.3,,,
110,2804,DICE_ROLLED,OpenAI GPT 5.5,3,5,False
110,2805,PLAYER_MOVED,OpenAI GPT 5.5,,,
110,2807,CARD_DRAWN,OpenAI GPT 5.5,,,
111,2821,DICE_ROLLED,Claude Opus 4.8,5,1,False
111,2822,PLAYER_MOVED,Claude Opus 4.8,,,
111,2823,PLAYER_MOVED,Claude Opus 4.8,,,
112,2827,DICE_ROLLED,Gemini 3.1 Pro Preview,3,5,False
112,2828,PLAYER_MOVED,Gemini 3.1 Pro Preview,,,
113,2835,DICE_ROLLED,Grok 4.3,1,2,False
113,2836,PLAYER_MOVED,Grok 4.3,,,
114,2858,DICE_ROLLED,OpenAI GPT 5.5,2,2,True
114,2859,PLAYER_MOVED,OpenAI GPT 5.5,,,
115,2876,DICE_ROLLED,OpenAI GPT 5.5,3,3,True
115,2877,PLAYER_MOVED,OpenAI GPT 5.5,,,
116,2884,DICE_ROLLED,OpenAI GPT 5.5,6,1,False
116,2885,PLAYER_MOVED,OpenAI GPT 5.5,,,
