space_name,space_group,to_player_id,rent_events,amount
Virginia Avenue,PINK,OpenAI GPT 5.5,3,2700.0
Vermont Avenue,LIGHT_BLUE,Claude Opus 4.8,5,1746.0
North Carolina Avenue,GREEN,OpenAI GPT 5.5,2,1301.0
Pacific Avenue,GREEN,OpenAI GPT 5.5,1,900.0
Oriental Avenue,LIGHT_BLUE,Claude Opus 4.8,4,896.0
States Avenue,PINK,OpenAI GPT 5.5,1,750.0
St. Charles Place,PINK,OpenAI GPT 5.5,1,750.0
Park Place,DARK_BLUE,OpenAI GPT 5.5,1,500.0
Mediterranean Avenue,BROWN,OpenAI GPT 5.5,1,250.0
Pennsylvania Railroad,RAILROAD,OpenAI GPT 5.5,1,100.0
B. & O. Railroad,RAILROAD,Claude Opus 4.8,2,75.0
Short Line,RAILROAD,Grok 4.3,2,75.0
Reading Railroad,RAILROAD,OpenAI GPT 5.5,3,75.0
Pacific Avenue,GREEN,Gemini 3.1 Pro Preview,2,52.0
Pennsylvania Railroad,RAILROAD,Grok 4.3,1,50.0
Marvin Gardens,YELLOW,Claude Opus 4.8,2,48.0
Atlantic Avenue,YELLOW,Grok 4.3,2,44.0
New York Avenue,ORANGE,OpenAI GPT 5.5,2,32.0
North Carolina Avenue,GREEN,Gemini 3.1 Pro Preview,1,26.0
Ventnor Avenue,YELLOW,Grok 4.3,1,22.0
Kentucky Avenue,RED,Claude Opus 4.8,1,18.0
St. James Place,ORANGE,Grok 4.3,1,14.0
Mediterranean Avenue,BROWN,Gemini 3.1 Pro Preview,2,6.0
