turn_index,player_id,cash,net_worth,property_value,building_value,mortgage_liability,property_count,mortgaged_count,houses,hotels,bankrupt,position,in_jail
0,OpenAI GPT 5.5,1360,1500,140,0,0,1,0,0,0,False,11,False
0,Claude Opus 4.8,1500,1500,0,0,0,0,0,0,0,False,0,False
0,Gemini 3.1 Pro Preview,1500,1500,0,0,0,0,0,0,0,False,0,False
0,Grok 4.3,1500,1500,0,0,0,0,0,0,0,False,0,False
1,OpenAI GPT 5.5,1360,1500,140,0,0,1,0,0,0,False,11,False
1,Claude Opus 4.8,1400,1500,100,0,0,1,0,0,0,False,8,False
1,Gemini 3.1 Pro Preview,1500,1500,0,0,0,0,0,0,0,False,0,False
1,Grok 4.3,1500,1500,0,0,0,0,0,0,0,False,0,False
2,OpenAI GPT 5.5,1360,1500,140,0,0,1,0,0,0,False,11,False
2,Claude Opus 4.8,1400,1500,100,0,0,1,0,0,0,False,8,False
2,Gemini 3.1 Pro Preview,1700,1700,0,0,0,0,0,0,0,False,2,False
2,Grok 4.3,1500,1500,0,0,0,0,0,0,0,False,0,False
3,OpenAI GPT 5.5,1360,1500,140,0,0,1,0,0,0,False,11,False
3,Claude Opus 4.8,1400,1500,100,0,0,1,0,0,0,False,8,False
3,Gemini 3.1 Pro Preview,1700,1700,0,0,0,0,0,0,0,False,10,False
3,Grok 4.3,1500,1500,0,0,0,0,0,0,0,False,0,False
4,OpenAI GPT 5.5,1360,1500,140,0,0,1,0,0,0,False,11,False
4,Claude Opus 4.8,1400,1500,100,0,0,1,0,0,0,False,8,False
4,Gemini 3.1 Pro Preview,1700,1700,0,0,0,0,0,0,0,False,10,False
4,Grok 4.3,1500,1500,0,0,0,0,0,0,0,False,10,False
5,OpenAI GPT 5.5,1160,1500,340,0,0,2,0,0,0,False,19,False
5,Claude Opus 4.8,1400,1500,100,0,0,1,0,0,0,False,8,False
5,Gemini 3.1 Pro Preview,1700,1700,0,0,0,0,0,0,0,False,10,False
5,Grok 4.3,1500,1500,0,0,0,0,0,0,0,False,10,False
6,OpenAI GPT 5.5,1160,1500,340,0,0,2,0,0,0,False,19,False
6,Claude Opus 4.8,1240,1500,260,0,0,2,0,0,0,False,14,False
6,Gemini 3.1 Pro Preview,1700,1700,0,0,0,0,0,0,0,False,10,False
6,Grok 4.3,1500,1500,0,0,0,0,0,0,0,False,10,False
7,OpenAI GPT 5.5,1160,1500,340,0,0,2,0,0,0,False,19,False
7,Claude Opus 4.8,1240,1500,260,0,0,2,0,0,0,False,14,False
7,Gemini 3.1 Pro Preview,1900,1900,0,0,0,0,0,0,0,False,0,False
7,Grok 4.3,1500,1500,0,0,0,0,0,0,0,False,10,False
8,OpenAI GPT 5.5,1160,1500,340,0,0,2,0,0,0,False,19,False
8,Claude Opus 4.8,1240,1500,260,0,0,2,0,0,0,False,14,False
8,Gemini 3.1 Pro Preview,1500,1900,400,0,0,1,0,0,0,False,39,False
8,Grok 4.3,1500,1500,0,0,0,0,0,0,0,False,10,False
9,OpenAI GPT 5.5,1160,1500,340,0,0,2,0,0,0,False,19,False
9,Claude Opus 4.8,1240,1500,260,0,0,2,0,0,0,False,14,False
9,Gemini 3.1 Pro Preview,1500,1900,400,0,0,1,0,0,0,False,39,False
9,Grok 4.3,1500,1500,0,0,0,0,0,0,0,False,20,False
10,OpenAI GPT 5.5,960,1500,540,0,0,3,0,0,0,False,25,False
10,Claude Opus 4.8,1240,1500,260,0,0,2,0,0,0,False,14,False
10,Gemini 3.1 Pro Preview,1500,1900,400,0,0,1,0,0,0,False,39,False
10,Grok 4.3,1500,1500,0,0,0,0,0,0,0,False,20,False
11,OpenAI GPT 5.5,960,1500,540,0,0,3,0,0,0,False,25,False
11,Claude Opus 4.8,1020,1500,480,0,0,3,0,0,0,False,21,False
11,Gemini 3.1 Pro Preview,1500,1900,400,0,0,1,0,0,0,False,39,False
11,Grok 4.3,1500,1500,0,0,0,0,0,0,0,False,20,False
12,OpenAI GPT 5.5,960,1500,540,0,0,3,0,0,0,False,25,False
12,Claude Opus 4.8,1020,1500,480,0,0,3,0,0,0,False,21,False
12,Gemini 3.1 Pro Preview,1580,2100,520,0,0,2,0,0,0,False,9,False
12,Grok 4.3,1500,1500,0,0,0,0,0,0,0,False,20,False
13,OpenAI GPT 5.5,960,1500,540,0,0,3,0,0,0,False,25,False
13,Claude Opus 4.8,1020,1500,480,0,0,3,0,0,0,False,21,False
13,Gemini 3.1 Pro Preview,1580,2100,520,0,0,2,0,0,0,False,9,False
13,Grok 4.3,1240,1500,260,0,0,1,0,0,0,False,27,False
14,OpenAI GPT 5.5,660,1500,840,0,0,4,0,0,0,False,31,False
14,Claude Opus 4.8,1020,1500,480,0,0,3,0,0,0,False,21,False
14,Gemini 3.1 Pro Preview,1580,2100,520,0,0,2,0,0,0,False,9,False
14,Grok 4.3,1240,1500,260,0,0,1,0,0,0,False,27,False
15,OpenAI GPT 5.5,560,1400,840,0,0,4,0,0,0,False,38,False
15,Claude Opus 4.8,1020,1500,480,0,0,3,0,0,0,False,21,False
15,Gemini 3.1 Pro Preview,1580,2100,520,0,0,2,0,0,0,False,9,False
15,Grok 4.3,1240,1500,260,0,0,1,0,0,0,False,27,False
16,OpenAI GPT 5.5,560,1400,840,0,0,4,0,0,0,False,38,False
16,Claude Opus 4.8,780,1500,720,0,0,4,0,0,0,False,24,False
16,Gemini 3.1 Pro Preview,1580,2100,520,0,0,2,0,0,0,False,9,False
16,Grok 4.3,1240,1500,260,0,0,1,0,0,0,False,27,False
17,OpenAI GPT 5.5,560,1400,840,0,0,4,0,0,0,False,38,False
17,Claude Opus 4.8,780,1500,720,0,0,4,0,0,0,False,24,False
17,Gemini 3.1 Pro Preview,1680,2200,520,0,0,2,0,0,0,False,17,False
17,Grok 4.3,1240,1500,260,0,0,1,0,0,0,False,27,False
