turn_index,seq,event_type,player_id,space_index,space_name,space_group,price,from_player_id,to_player_id
0,8,PROPERTY_PURCHASED,OpenAI GPT 5.5,11,St. Charles Place,PINK,140,,
1,22,PROPERTY_PURCHASED,Claude Opus 4.8,8,Vermont Avenue,LIGHT_BLUE,100,,
5,62,PROPERTY_PURCHASED,OpenAI GPT 5.5,19,New York Avenue,ORANGE,200,,
6,76,PROPERTY_PURCHASED,Claude Opus 4.8,14,Virginia Avenue,PINK,160,,
8,103,PROPERTY_PURCHASED,Gemini 3.1 Pro Preview,39,Boardwalk,DARK_BLUE,400,,
10,125,PROPERTY_PURCHASED,OpenAI GPT 5.5,25,B. & O. Railroad,RAILROAD,200,,
11,139,PROPERTY_PURCHASED,Claude Opus 4.8,21,Kentucky Avenue,RED,220,,
12,154,PROPERTY_PURCHASED,Gemini 3.1 Pro Preview,9,Connecticut Avenue,LIGHT_BLUE,120,,
13,168,PROPERTY_PURCHASED,Grok 4.3,27,Ventnor Avenue,YELLOW,260,,
14,182,PROPERTY_PURCHASED,OpenAI GPT 5.5,31,Pacific Avenue,GREEN,300,,
16,205,PROPERTY_PURCHASED,Claude Opus 4.8,24,Illinois Avenue,RED,240,,
18,229,PROPERTY_PURCHASED,Grok 4.3,35,Short Line,RAILROAD,200,,
19,244,PROPERTY_PURCHASED,OpenAI GPT 5.5,3,Baltic Avenue,BROWN,60,,
20,258,PROPERTY_PURCHASED,Claude Opus 4.8,29,Marvin Gardens,YELLOW,280,,
23,294,PROPERTY_PURCHASED,Gemini 3.1 Pro Preview,32,North Carolina Avenue,GREEN,300,,
25,317,PROPERTY_PURCHASED,OpenAI GPT 5.5,13,States Avenue,PINK,140,,
25,346,PROPERTY_TRANSFERRED,OpenAI GPT 5.5,14,Virginia Avenue,PINK,,Claude Opus 4.8,OpenAI GPT 5.5
25,347,PROPERTY_TRANSFERRED,Claude Opus 4.8,25,B. & O. Railroad,RAILROAD,,OpenAI GPT 5.5,Claude Opus 4.8
25,361,PROPERTY_MORTGAGED,OpenAI GPT 5.5,31,Pacific Avenue,GREEN,,,
25,373,PROPERTY_MORTGAGED,OpenAI GPT 5.5,19,New York Avenue,ORANGE,,,
25,385,PROPERTY_MORTGAGED,OpenAI GPT 5.5,3,Baltic Avenue,BROWN,,,
25,434,PROPERTY_TRANSFERRED,Gemini 3.1 Pro Preview,31,Pacific Avenue,GREEN,,OpenAI GPT 5.5,Gemini 3.1 Pro Preview
