turn_index,seq,from_player_id,to_player_id,amount,space_index,space_name,space_group
21,270,Gemini 3.1 Pro Preview,OpenAI GPT 5.5,16,19,New York Avenue,ORANGE
22,281,Gemini 3.1 Pro Preview,Claude Opus 4.8,24,29,Marvin Gardens,YELLOW
26,519,OpenAI GPT 5.5,Claude Opus 4.8,50,25,B. & O. Railroad,RAILROAD
30,568,Grok 4.3,Claude Opus 4.8,6,8,Vermont Avenue,LIGHT_BLUE
34,683,Gemini 3.1 Pro Preview,Claude Opus 4.8,6,6,Oriental Avenue,LIGHT_BLUE
42,972,Claude Opus 4.8,Grok 4.3,14,16,St. James Place,ORANGE
43,989,Gemini 3.1 Pro Preview,Grok 4.3,22,27,Ventnor Avenue,YELLOW
44,1000,Grok 4.3,Gemini 3.1 Pro Preview,26,32,North Carolina Avenue,GREEN
48,1234,Gemini 3.1 Pro Preview,Grok 4.3,25,35,Short Line,RAILROAD
49,1251,Grok 4.3,Claude Opus 4.8,90,6,Oriental Avenue,LIGHT_BLUE
51,1333,Claude Opus 4.8,Gemini 3.1 Pro Preview,26,31,Pacific Avenue,GREEN
54,1433,Grok 4.3,OpenAI GPT 5.5,900,14,Virginia Avenue,PINK
56,1516,Claude Opus 4.8,Gemini 3.1 Pro Preview,2,1,Mediterranean Avenue,BROWN
57,1546,Gemini 3.1 Pro Preview,Claude Opus 4.8,25,25,B. & O. Railroad,RAILROAD
58,1557,Grok 4.3,Claude Opus 4.8,18,21,Kentucky Avenue,RED
60,1624,Claude Opus 4.8,OpenAI GPT 5.5,25,5,Reading Railroad,RAILROAD
61,1635,Gemini 3.1 Pro Preview,Claude Opus 4.8,24,29,Marvin Gardens,YELLOW
62,1646,Grok 4.3,Gemini 3.1 Pro Preview,26,31,Pacific Avenue,GREEN
64,1704,Claude Opus 4.8,OpenAI GPT 5.5,750,13,States Avenue,PINK
65,1715,Gemini 3.1 Pro Preview,Grok 4.3,50,35,Short Line,RAILROAD
73,1782,Gemini 3.1 Pro Preview,OpenAI GPT 5.5,25,5,Reading Railroad,RAILROAD
74,1793,Grok 4.3,Claude Opus 4.8,90,8,Vermont Avenue,LIGHT_BLUE
77,1843,Gemini 3.1 Pro Preview,OpenAI GPT 5.5,900,14,Virginia Avenue,PINK
81,2148,Gemini 3.1 Pro Preview,OpenAI GPT 5.5,16,19,New York Avenue,ORANGE
83,2185,OpenAI GPT 5.5,Grok 4.3,22,26,Atlantic Avenue,YELLOW
86,2247,Gemini 3.1 Pro Preview,Grok 4.3,22,26,Atlantic Avenue,YELLOW
87,2258,Grok 4.3,OpenAI GPT 5.5,26,32,North Carolina Avenue,GREEN
88,2270,OpenAI GPT 5.5,Gemini 3.1 Pro Preview,4,1,Mediterranean Avenue,BROWN
89,2385,OpenAI GPT 5.5,Claude Opus 4.8,400,6,Oriental Avenue,LIGHT_BLUE
92,2438,Grok 4.3,OpenAI GPT 5.5,250,1,Mediterranean Avenue,BROWN
98,2505,Grok 4.3,OpenAI GPT 5.5,900,14,Virginia Avenue,PINK
101,2583,Claude Opus 4.8,Grok 4.3,50,15,Pennsylvania Railroad,RAILROAD
102,2595,Gemini 3.1 Pro Preview,OpenAI GPT 5.5,25,5,Reading Railroad,RAILROAD
103,2631,Gemini 3.1 Pro Preview,OpenAI GPT 5.5,750,11,St. Charles Place,PINK
114,2869,OpenAI GPT 5.5,Claude Opus 4.8,400,6,Oriental Avenue,LIGHT_BLUE
131,3181,Claude Opus 4.8,OpenAI GPT 5.5,100,15,Pennsylvania Railroad,RAILROAD
137,3253,Claude Opus 4.8,OpenAI GPT 5.5,900,31,Pacific Avenue,GREEN
138,3272,OpenAI GPT 5.5,Claude Opus 4.8,550,8,Vermont Avenue,LIGHT_BLUE
163,3581,OpenAI GPT 5.5,Claude Opus 4.8,550,8,Vermont Avenue,LIGHT_BLUE
172,3722,OpenAI GPT 5.5,Claude Opus 4.8,550,8,Vermont Avenue,LIGHT_BLUE
177,3802,Claude Opus 4.8,OpenAI GPT 5.5,1275,32,North Carolina Avenue,GREEN
179,3840,Claude Opus 4.8,OpenAI GPT 5.5,500,37,Park Place,DARK_BLUE
