call_index,turn_index,decision_id,player_id,model_id,provider_model,provider_name,decision_type,action,attempt_count,invalid_attempts,retry_used,fallback_used,fallback_reason,missing_usage_attempts,latency_ms,input_tokens,output_tokens,total_tokens,reasoning_tokens,cached_tokens,cost
527,160,mock-83265-81ed4937-dec-000526,OpenAI GPT 5.5,openai/gpt-5.5,openai/gpt-5.5-20260423,OpenAI,POST_TURN_ACTION_DECISION,propose_trade,1,0,False,False,,0,197305,3812,5841,9653,5696,0,0.19429
451,119,mock-83265-81ed4937-dec-000450,OpenAI GPT 5.5,openai/gpt-5.5,openai/gpt-5.5-20260423,OpenAI,POST_TURN_ACTION_DECISION,propose_trade,1,0,False,False,,0,147667,4045,5877,9922,5685,1792,0.188471
449,119,mock-83265-81ed4937-dec-000448,OpenAI GPT 5.5,openai/gpt-5.5,openai/gpt-5.5-20260423,OpenAI,POST_TURN_ACTION_DECISION,propose_trade,1,0,False,False,,0,168808,3933,5355,9288,5178,0,0.180315
433,114,mock-83265-81ed4937-dec-000432,OpenAI GPT 5.5,openai/gpt-5.5,openai/gpt-5.5-20260423,OpenAI,LIQUIDATION_DECISION,sell_houses_or_hotel,2,1,True,False,,0,132028,7170,5390,12560,5082,3328,0.18257400000000001
388,99,mock-83265-81ed4937-dec-000387,OpenAI GPT 5.5,openai/gpt-5.5,openai/gpt-5.5-20260423,OpenAI,POST_TURN_ACTION_DECISION,unmortgage_property,2,1,True,False,,0,141006,7642,5141,12783,4878,3328,0.177464
387,99,mock-83265-81ed4937-dec-000386,OpenAI GPT 5.5,openai/gpt-5.5,openai/gpt-5.5-20260423,OpenAI,POST_TURN_ACTION_DECISION,unmortgage_property,2,1,True,False,,0,131362,7656,4697,12353,4460,3328,0.164214
434,114,mock-83265-81ed4937-dec-000433,OpenAI GPT 5.5,openai/gpt-5.5,openai/gpt-5.5-20260423,OpenAI,POST_TURN_ACTION_DECISION,end_turn,2,1,True,False,,0,117754,7389,4020,11409,3936,3328,0.142569
364,88,mock-83265-81ed4937-dec-000363,OpenAI GPT 5.5,openai/gpt-5.5,openai/gpt-5.5-20260423,OpenAI,POST_TURN_ACTION_DECISION,propose_trade,1,0,False,False,,0,139817,4133,4100,8233,3895,0,0.143665
536,165,mock-83265-81ed4937-dec-000535,OpenAI GPT 5.5,openai/gpt-5.5,openai/gpt-5.5-20260423,OpenAI,POST_TURN_ACTION_DECISION,propose_trade,1,0,False,False,,0,98691,4073,3807,7880,3624,0,0.134575
441,116,mock-83265-81ed4937-dec-000440,OpenAI GPT 5.5,openai/gpt-5.5,openai/gpt-5.5-20260423,OpenAI,POST_TURN_ACTION_DECISION,propose_trade,1,0,False,False,,0,97726,3911,3720,7631,3581,0,0.131155
540,167,mock-83265-81ed4937-dec-000539,OpenAI GPT 5.5,openai/gpt-5.5,openai/gpt-5.5-20260423,OpenAI,POST_TURN_ACTION_DECISION,propose_trade,1,0,False,False,,0,127131,4171,3740,7911,3551,0,0.133055
479,130,mock-83265-81ed4937-dec-000478,OpenAI GPT 5.5,openai/gpt-5.5,openai/gpt-5.5-20260423,OpenAI,POST_TURN_ACTION_DECISION,build_houses_or_hotel,1,0,False,False,,0,91760,3814,3622,7436,3457,0,0.12773
324,79,mock-83265-81ed4937-dec-000323,OpenAI GPT 5.5,openai/gpt-5.5,openai/gpt-5.5-20260423,OpenAI,POST_TURN_ACTION_DECISION,propose_trade,1,0,False,False,,0,96780,4838,3643,8481,3443,0,0.13348
402,105,mock-83265-81ed4937-dec-000401,OpenAI GPT 5.5,openai/gpt-5.5,openai/gpt-5.5-20260423,OpenAI,POST_TURN_ACTION_DECISION,propose_trade,1,0,False,False,,0,94326,3696,3543,7239,3388,0,0.12477
552,172,mock-83265-81ed4937-dec-000551,OpenAI GPT 5.5,openai/gpt-5.5,openai/gpt-5.5-20260423,OpenAI,LIQUIDATION_DECISION,sell_houses_or_hotel,1,0,False,False,,0,97801,4337,3536,7873,3387,0,0.127765
414,106,mock-83265-81ed4937-dec-000413,OpenAI GPT 5.5,openai/gpt-5.5,openai/gpt-5.5-20260423,OpenAI,POST_TURN_ACTION_DECISION,mortgage_property,1,0,False,False,,0,107969,4127,3414,7541,3319,0,0.123055
439,116,mock-83265-81ed4937-dec-000438,OpenAI GPT 5.5,openai/gpt-5.5,openai/gpt-5.5-20260423,OpenAI,POST_TURN_ACTION_DECISION,propose_trade,1,0,False,False,,0,89329,3808,3327,7135,3190,0,0.11885
461,123,mock-83265-81ed4937-dec-000460,OpenAI GPT 5.5,openai/gpt-5.5,openai/gpt-5.5-20260423,OpenAI,POST_TURN_ACTION_DECISION,propose_trade,1,0,False,False,,0,101138,4193,3315,7508,3106,0,0.120415
438,116,mock-83265-81ed4937-dec-000437,OpenAI GPT 5.5,openai/gpt-5.5,openai/gpt-5.5-20260423,OpenAI,POST_TURN_ACTION_DECISION,sell_houses_or_hotel,1,0,False,False,,0,103465,3624,3181,6805,3048,0,0.11355
498,142,mock-83265-81ed4937-dec-000497,OpenAI GPT 5.5,openai/gpt-5.5,openai/gpt-5.5-20260423,OpenAI,POST_TURN_ACTION_DECISION,propose_trade,1,0,False,False,,0,81675,3701,3135,6836,2987,0,0.112555
542,167,mock-83265-81ed4937-dec-000541,OpenAI GPT 5.5,openai/gpt-5.5,openai/gpt-5.5-20260423,OpenAI,POST_TURN_ACTION_DECISION,propose_trade,1,0,False,False,,0,84200,4277,3223,7500,2983,0,0.118075
137,41,mock-83265-81ed4937-dec-000136,OpenAI GPT 5.5,openai/gpt-5.5,openai/gpt-5.5-20260423,OpenAI,POST_TURN_ACTION_DECISION,propose_trade,1,0,False,False,,0,83401,3582,3133,6715,2977,0,0.1119
478,130,mock-83265-81ed4937-dec-000477,OpenAI GPT 5.5,openai/gpt-5.5,openai/gpt-5.5-20260423,OpenAI,POST_TURN_ACTION_DECISION,unmortgage_property,1,0,False,False,,0,79969,3860,3056,6916,2970,0,0.11098
383,99,mock-83265-81ed4937-dec-000382,OpenAI GPT 5.5,openai/gpt-5.5,openai/gpt-5.5-20260423,OpenAI,POST_TURN_ACTION_DECISION,propose_trade,1,0,False,False,,0,100190,3596,3084,6680,2921,0,0.1105
444,116,mock-83265-81ed4937-dec-000443,OpenAI GPT 5.5,openai/gpt-5.5,openai/gpt-5.5-20260423,OpenAI,POST_TURN_ACTION_DECISION,end_turn,1,0,False,False,,0,74077,3828,2991,6819,2907,0,0.10887
500,142,mock-83265-81ed4937-dec-000499,OpenAI GPT 5.5,openai/gpt-5.5,openai/gpt-5.5-20260423,OpenAI,POST_TURN_ACTION_DECISION,propose_trade,1,0,False,False,,0,104988,3753,3016,6769,2885,0,0.109245
