initiator_player_id,counterparty_player_id,event_type,events
OpenAI GPT 5.5,Claude Opus 4.8,TRADE_PROPOSED,29
OpenAI GPT 5.5,Claude Opus 4.8,TRADE_REJECTED,27
OpenAI GPT 5.5,Claude Opus 4.8,TRADE_COUNTERED,5
OpenAI GPT 5.5,Claude Opus 4.8,TRADE_ACCEPTED,2
OpenAI GPT 5.5,Gemini 3.1 Pro Preview,TRADE_PROPOSED,20
OpenAI GPT 5.5,Gemini 3.1 Pro Preview,TRADE_COUNTERED,16
OpenAI GPT 5.5,Gemini 3.1 Pro Preview,TRADE_ACCEPTED,6
OpenAI GPT 5.5,Grok 4.3,TRADE_PROPOSED,16
OpenAI GPT 5.5,Grok 4.3,TRADE_REJECTED,15
Claude Opus 4.8,Gemini 3.1 Pro Preview,TRADE_PROPOSED,1
Claude Opus 4.8,Gemini 3.1 Pro Preview,TRADE_REJECTED,1
Gemini 3.1 Pro Preview,Claude Opus 4.8,TRADE_PROPOSED,3
Gemini 3.1 Pro Preview,Claude Opus 4.8,TRADE_COUNTERED,3
Gemini 3.1 Pro Preview,Claude Opus 4.8,TRADE_ACCEPTED,1
OpenAI GPT 5.5,Gemini 3.1 Pro Preview,TRADE_REJECTED,14
OpenAI GPT 5.5,Grok 4.3,TRADE_COUNTERED,3
OpenAI GPT 5.5,Grok 4.3,TRADE_ACCEPTED,1
Gemini 3.1 Pro Preview,Claude Opus 4.8,TRADE_REJECTED,2
