turn_index,phase,active_player_id,player_id,cash,net_worth_estimate,position,in_jail,jail_turns,doubles_count,bankrupt,property_value,building_value,mortgage_liability,property_count,mortgaged_count,houses,hotels,snapshot_file
0,START_TURN,OpenAI GPT 5.5,OpenAI GPT 5.5,1500,1500,0,False,0,0,False,0,0,0,0,0,0,0,turn_0000.json
0,START_TURN,OpenAI GPT 5.5,Claude Opus 4.8,1500,1500,0,False,0,0,False,0,0,0,0,0,0,0,turn_0000.json
0,START_TURN,OpenAI GPT 5.5,Gemini 3.1 Pro Preview,1500,1500,0,False,0,0,False,0,0,0,0,0,0,0,turn_0000.json
0,START_TURN,OpenAI GPT 5.5,Grok 4.3,1500,1500,0,False,0,0,False,0,0,0,0,0,0,0,turn_0000.json
1,START_TURN,Claude Opus 4.8,OpenAI GPT 5.5,1360,1500,11,False,0,0,False,140,0,0,1,0,0,0,turn_0001.json
1,START_TURN,Claude Opus 4.8,Claude Opus 4.8,1500,1500,0,False,0,0,False,0,0,0,0,0,0,0,turn_0001.json
1,START_TURN,Claude Opus 4.8,Gemini 3.1 Pro Preview,1500,1500,0,False,0,0,False,0,0,0,0,0,0,0,turn_0001.json
1,START_TURN,Claude Opus 4.8,Grok 4.3,1500,1500,0,False,0,0,False,0,0,0,0,0,0,0,turn_0001.json
2,START_TURN,Gemini 3.1 Pro Preview,OpenAI GPT 5.5,1360,1500,11,False,0,0,False,140,0,0,1,0,0,0,turn_0002.json
2,START_TURN,Gemini 3.1 Pro Preview,Claude Opus 4.8,1400,1500,8,False,0,0,False,100,0,0,1,0,0,0,turn_0002.json
2,START_TURN,Gemini 3.1 Pro Preview,Gemini 3.1 Pro Preview,1500,1500,0,False,0,0,False,0,0,0,0,0,0,0,turn_0002.json
2,START_TURN,Gemini 3.1 Pro Preview,Grok 4.3,1500,1500,0,False,0,0,False,0,0,0,0,0,0,0,turn_0002.json
3,START_TURN,Gemini 3.1 Pro Preview,OpenAI GPT 5.5,1360,1500,11,False,0,0,False,140,0,0,1,0,0,0,turn_0003.json
3,START_TURN,Gemini 3.1 Pro Preview,Claude Opus 4.8,1400,1500,8,False,0,0,False,100,0,0,1,0,0,0,turn_0003.json
3,START_TURN,Gemini 3.1 Pro Preview,Gemini 3.1 Pro Preview,1700,1700,2,False,0,1,False,0,0,0,0,0,0,0,turn_0003.json
3,START_TURN,Gemini 3.1 Pro Preview,Grok 4.3,1500,1500,0,False,0,0,False,0,0,0,0,0,0,0,turn_0003.json
4,START_TURN,Grok 4.3,OpenAI GPT 5.5,1360,1500,11,False,0,0,False,140,0,0,1,0,0,0,turn_0004.json
