auction_id,turn_index,property_space,player_id,observed_eligible,participated_with_bid,bid_count,first_bid,last_bid,maximum_bid,dropped_out,won,winning_bid,list_price,winner_bid_to_list_ratio,auction_reason
auction-0001,31,PARK_PLACE,Claude Opus 4.8,True,True,3,80,500,500,True,False,,350,,SOLD
auction-0001,31,PARK_PLACE,Gemini 3.1 Pro Preview,True,True,3,200,650,650,False,True,650,350,1.857143,SOLD
auction-0001,31,PARK_PLACE,Grok 4.3,True,False,0,,,,True,False,,350,,SOLD
auction-0001,31,PARK_PLACE,OpenAI GPT 5.5,True,False,0,,,,True,False,,350,,SOLD
auction-0002,37,TENNESSEE_AVENUE,Claude Opus 4.8,True,True,3,100,280,280,False,True,280,180,1.555556,SOLD
auction-0002,37,TENNESSEE_AVENUE,Gemini 3.1 Pro Preview,True,True,1,110,110,110,True,False,,180,,SOLD
auction-0002,37,TENNESSEE_AVENUE,Grok 4.3,True,True,2,150,250,250,True,False,,180,,SOLD
auction-0002,37,TENNESSEE_AVENUE,OpenAI GPT 5.5,True,False,0,,,,True,False,,180,,SOLD
auction-0003,40,WATER_WORKS,Claude Opus 4.8,True,False,0,,,,True,False,,150,,SOLD
auction-0003,40,WATER_WORKS,Gemini 3.1 Pro Preview,True,False,0,,,,True,False,,150,,SOLD
auction-0003,40,WATER_WORKS,Grok 4.3,True,False,0,,,,True,False,,150,,SOLD
auction-0003,40,WATER_WORKS,OpenAI GPT 5.5,True,True,1,1,1,1,False,True,1,150,0.006667,SOLD
auction-0004,41,ATLANTIC_AVENUE,Claude Opus 4.8,True,False,0,,,,True,False,,260,,SOLD
auction-0004,41,ATLANTIC_AVENUE,Gemini 3.1 Pro Preview,True,False,0,,,,True,False,,260,,SOLD
auction-0004,41,ATLANTIC_AVENUE,Grok 4.3,True,True,2,60,100,100,False,True,100,260,0.384615,SOLD
auction-0004,41,ATLANTIC_AVENUE,OpenAI GPT 5.5,True,True,1,61,61,61,True,False,,260,,SOLD
auction-0005,45,MEDITERRANEAN_AVENUE,Claude Opus 4.8,True,False,0,,,,True,False,,60,,SOLD
auction-0005,45,MEDITERRANEAN_AVENUE,Gemini 3.1 Pro Preview,True,True,11,3,30,30,False,True,30,60,0.5,SOLD
auction-0005,45,MEDITERRANEAN_AVENUE,Grok 4.3,True,False,0,,,,True,False,,60,,SOLD
auction-0005,45,MEDITERRANEAN_AVENUE,OpenAI GPT 5.5,True,True,11,1,29,29,True,False,,60,,SOLD
auction-0006,47,INDIANA_AVENUE,Claude Opus 4.8,True,False,0,,,,True,False,,220,,SOLD
auction-0006,47,INDIANA_AVENUE,Gemini 3.1 Pro Preview,True,True,2,13,15,15,True,False,,220,,SOLD
auction-0006,47,INDIANA_AVENUE,Grok 4.3,True,False,0,,,,True,False,,220,,SOLD
auction-0006,47,INDIANA_AVENUE,OpenAI GPT 5.5,True,True,2,14,55,55,False,True,55,220,0.25,SOLD
auction-0007,53,PENNSYLVANIA_RAILROAD,Claude Opus 4.8,True,False,0,,,,True,False,,200,,SOLD
auction-0007,53,PENNSYLVANIA_RAILROAD,Gemini 3.1 Pro Preview,True,True,3,101,125,125,True,False,,200,,SOLD
auction-0007,53,PENNSYLVANIA_RAILROAD,Grok 4.3,True,True,4,100,140,140,False,True,140,200,0.7,SOLD
auction-0007,53,PENNSYLVANIA_RAILROAD,OpenAI GPT 5.5,True,False,0,,,,True,False,,200,,SOLD
auction-0008,55,READING_RAILROAD,Claude Opus 4.8,True,False,0,,,,True,False,,200,,SOLD
auction-0008,55,READING_RAILROAD,Gemini 3.1 Pro Preview,True,True,1,20,20,20,True,False,,200,,SOLD
auction-0008,55,READING_RAILROAD,Grok 4.3,True,True,1,50,50,50,True,False,,200,,SOLD
auction-0008,55,READING_RAILROAD,OpenAI GPT 5.5,True,True,1,150,150,150,False,True,150,200,0.75,SOLD
auction-0009,59,ELECTRIC_COMPANY,Claude Opus 4.8,True,True,1,20,20,20,True,False,,150,,SOLD
auction-0009,59,ELECTRIC_COMPANY,Gemini 3.1 Pro Preview,True,True,2,50,70,70,True,False,,150,,SOLD
auction-0009,59,ELECTRIC_COMPANY,Grok 4.3,True,False,0,,,,True,False,,150,,SOLD
auction-0009,59,ELECTRIC_COMPANY,OpenAI GPT 5.5,True,True,2,68,118,118,False,True,118,150,0.786667,SOLD
