call_index,run_id,decision_id,attempt_index,turn_index,decision_type,player_id,openrouter_model_id,model_display_name,finish_reason,accounting_status,input_tokens,output_tokens,reasoning_tokens,total_tokens,cached_tokens,cost,latency_ms,retry_used,fallback_used,fallback_reason,error_type,openrouter_status_code,generation_id
411,mock-83265-81ed4937,mock-83265-81ed4937-dec-000392,0,100,POST_TURN_ACTION_DECISION,Claude Opus 4.8,anthropic/claude-opus-4.8,claude-opus-4.8,tool_calls,actual_openrouter_usage,8799,6555,684,15354,0,0.20787,90756,False,False,,,200,gen-1780880044-yEbrG8oRaxQvUUzOt22c
547,mock-83265-81ed4937,mock-83265-81ed4937-dec-000526,0,160,POST_TURN_ACTION_DECISION,OpenAI GPT 5.5,openai/gpt-5.5,gpt-5.5,tool_calls,actual_openrouter_usage,3812,5841,5696,9653,0,0.19429,197305,False,False,,,200,gen-1780884843-FrAu7aIDaxY6hbZzS96K
471,mock-83265-81ed4937,mock-83265-81ed4937-dec-000450,0,119,POST_TURN_ACTION_DECISION,OpenAI GPT 5.5,openai/gpt-5.5,gpt-5.5,tool_calls,actual_openrouter_usage,4045,5877,5685,9922,1792,0.188471,147667,False,False,,,200,gen-1780882328-zEAhlyQEAMS9LyAS4V4I
469,mock-83265-81ed4937,mock-83265-81ed4937-dec-000448,0,119,POST_TURN_ACTION_DECISION,OpenAI GPT 5.5,openai/gpt-5.5,gpt-5.5,tool_calls,actual_openrouter_usage,3933,5355,5178,9288,0,0.180315,168808,False,False,,,200,gen-1780882153-v6b8eRvQNBPbt0VjRq0j
510,mock-83265-81ed4937,mock-83265-81ed4937-dec-000489,0,137,POST_TURN_ACTION_DECISION,Claude Opus 4.8,anthropic/claude-opus-4.8,claude-opus-4.8,tool_calls,actual_openrouter_usage,8949,5147,651,14096,0,0.17342,74735,False,False,,,200,gen-1780883820-fgf56MBA5tKQj7R2cKxx
316,mock-83265-81ed4937,mock-83265-81ed4937-dec-000305,0,79,TRADE_RESPONSE_DECISION,Claude Opus 4.8,anthropic/claude-opus-4.8,claude-opus-4.8,tool_calls,actual_openrouter_usage,9062,4640,357,13702,0,0.16131,65490,False,False,,,200,gen-1780877256-ZkNVtf2I0sPlb2Ph9JBo
441,mock-83265-81ed4937,mock-83265-81ed4937-dec-000422,0,107,POST_TURN_ACTION_DECISION,Claude Opus 4.8,anthropic/claude-opus-4.8,claude-opus-4.8,tool_calls,actual_openrouter_usage,9619,3830,337,13449,0,0.143845,55248,False,False,,,200,gen-1780880943-x3B7Ku9aPqxKQjHgcHr2
377,mock-83265-81ed4937,mock-83265-81ed4937-dec-000363,0,88,POST_TURN_ACTION_DECISION,OpenAI GPT 5.5,openai/gpt-5.5,gpt-5.5,tool_calls,actual_openrouter_usage,4133,4100,3895,8233,0,0.143665,139817,False,False,,,200,gen-1780878929-aMWCH8uYAgO09b98uiQP
556,mock-83265-81ed4937,mock-83265-81ed4937-dec-000535,0,165,POST_TURN_ACTION_DECISION,OpenAI GPT 5.5,openai/gpt-5.5,gpt-5.5,tool_calls,actual_openrouter_usage,4073,3807,3624,7880,0,0.134575,98691,False,False,,,200,gen-1780885319-5wHq89M0OcVFTJV6H789
335,mock-83265-81ed4937,mock-83265-81ed4937-dec-000323,0,79,POST_TURN_ACTION_DECISION,OpenAI GPT 5.5,openai/gpt-5.5,gpt-5.5,tool_calls,actual_openrouter_usage,4838,3643,3443,8481,0,0.13348,96780,False,False,,,200,gen-1780877834-HQLpGiM6FSHlB2Ttykry
560,mock-83265-81ed4937,mock-83265-81ed4937-dec-000539,0,167,POST_TURN_ACTION_DECISION,OpenAI GPT 5.5,openai/gpt-5.5,gpt-5.5,tool_calls,actual_openrouter_usage,4171,3740,3551,7911,0,0.133055,127131,False,False,,,200,gen-1780885479-cwExgpQunwdkQKOGEksg
461,mock-83265-81ed4937,mock-83265-81ed4937-dec-000440,0,116,POST_TURN_ACTION_DECISION,OpenAI GPT 5.5,openai/gpt-5.5,gpt-5.5,tool_calls,actual_openrouter_usage,3911,3720,3581,7631,0,0.131155,97726,False,False,,,200,gen-1780881762-k9p2oOQUYqITe1tWom3h
466,mock-83265-81ed4937,mock-83265-81ed4937-dec-000445,0,117,POST_TURN_ACTION_DECISION,Claude Opus 4.8,anthropic/claude-opus-4.8,claude-opus-4.8,tool_calls,actual_openrouter_usage,9159,3408,363,12567,0,0.130995,43734,False,False,,,200,gen-1780882048-eELzBOxgblHCE2nLKbBC
123,mock-83265-81ed4937,mock-83265-81ed4937-dec-000118,0,38,POST_TURN_ACTION_DECISION,Claude Opus 4.8,anthropic/claude-opus-4.8,claude-opus-4.8,tool_calls,actual_openrouter_usage,8142,3581,247,11723,0,0.130235,47769,False,False,,,200,gen-1780874430-38cdNUN9pUWWETXTxGGO
