call_index,turn_index,decision_id,attempt_index,decision_type,player_id,model_id,finish_reason,input_tokens,output_tokens,reasoning_tokens,total_tokens,cached_tokens,cost,latency_ms,retry_used,fallback_used,error_type,openrouter_status_code,latency_s
52,22,mock-44910-42ec35c5-dec-000052,0,POST_TURN_ACTION_DECISION,Claude Haiku 4.5,anthropic/claude-haiku-4.5,tool_calls,4284,7331,2727,11615,0,0.040939,65919,False,False,,200,65.919
367,143,mock-44910-42ec35c5-dec-000359,0,TRADE_RESPONSE_DECISION,Claude Haiku 4.5,anthropic/claude-haiku-4.5,tool_calls,5729,6903,2903,12632,0,0.040244,65903,False,False,,200,65.903
110,44,mock-44910-42ec35c5-dec-000110,0,POST_TURN_ACTION_DECISION,Claude Haiku 4.5,anthropic/claude-haiku-4.5,tool_calls,4536,6508,2584,11044,0,0.037076,63681,False,False,,200,63.681
402,166,mock-44910-42ec35c5-dec-000394,0,LIQUIDATION_DECISION,Claude Haiku 4.5,anthropic/claude-haiku-4.5,tool_calls,4891,5819,2341,10710,0,0.033986,56867,False,False,,200,56.867
247,78,mock-44910-42ec35c5-dec-000241,0,TRADE_RESPONSE_DECISION,Claude Haiku 4.5,anthropic/claude-haiku-4.5,tool_calls,4949,4986,2101,9935,0,0.029879,51145,False,False,,200,51.145
232,76,mock-44910-42ec35c5-dec-000227,0,POST_TURN_ACTION_DECISION,OpenAI GPT 5.4 Mini,openai/gpt-5.4-mini,tool_calls,3522,5561,5388,9083,0,0.027666,46654,False,False,,200,46.654
54,22,mock-44910-42ec35c5-dec-000054,0,POST_TURN_ACTION_DECISION,Claude Haiku 4.5,anthropic/claude-haiku-4.5,tool_calls,4417,4164,1744,8581,0,0.025237,43786,False,False,,200,43.786
240,76,mock-44910-42ec35c5-dec-000234,1,POST_TURN_ACTION_DECISION,OpenAI GPT 5.4 Mini,openai/gpt-5.4-mini,tool_calls,3583,3944,3803,7527,3328,0.01818885,42381,True,False,,200,42.381
356,140,mock-44910-42ec35c5-dec-000348,0,TRADE_RESPONSE_DECISION,Claude Haiku 4.5,anthropic/claude-haiku-4.5,tool_calls,4844,4149,1334,8993,0,0.025589,41737,False,False,,200,41.737
365,143,mock-44910-42ec35c5-dec-000357,0,TRADE_RESPONSE_DECISION,Claude Haiku 4.5,anthropic/claude-haiku-4.5,tool_calls,5476,3763,2023,9239,0,0.024291,41713,False,False,,200,41.713
220,70,mock-44910-42ec35c5-dec-000216,0,TRADE_RESPONSE_DECISION,Claude Haiku 4.5,anthropic/claude-haiku-4.5,tool_calls,4948,4307,1388,9255,0,0.026483,39984,False,False,,200,39.984
183,61,mock-44910-42ec35c5-dec-000180,0,POST_TURN_ACTION_DECISION,Claude Haiku 4.5,anthropic/claude-haiku-4.5,tool_calls,4535,4200,1706,8735,0,0.025535,39579,False,False,,200,39.579
245,77,mock-44910-42ec35c5-dec-000239,0,POST_TURN_ACTION_DECISION,Claude Haiku 4.5,anthropic/claude-haiku-4.5,tool_calls,4930,4146,1593,9076,0,0.02566,37918,False,False,,200,37.918
362,142,mock-44910-42ec35c5-dec-000354,0,POST_TURN_ACTION_DECISION,Claude Haiku 4.5,anthropic/claude-haiku-4.5,tool_calls,5387,3950,1530,9337,0,0.025137,37813,False,False,,200,37.813
185,62,mock-44910-42ec35c5-dec-000182,0,TRADE_RESPONSE_DECISION,Claude Haiku 4.5,anthropic/claude-haiku-4.5,tool_calls,4477,3191,1654,7668,0,0.020432,35232,False,False,,200,35.232
56,22,mock-44910-42ec35c5-dec-000056,0,POST_TURN_ACTION_DECISION,Claude Haiku 4.5,anthropic/claude-haiku-4.5,tool_calls,4501,3166,1060,7667,0,0.020331,31923,False,False,,200,31.923
112,44,mock-44910-42ec35c5-dec-000112,0,POST_TURN_ACTION_DECISION,Claude Haiku 4.5,anthropic/claude-haiku-4.5,tool_calls,4570,3239,1255,7809,0,0.020765,31715,False,False,,200,31.715
180,60,mock-44910-42ec35c5-dec-000177,0,POST_TURN_ACTION_DECISION,OpenAI GPT 5.4 Mini,openai/gpt-5.4-mini,tool_calls,3312,2252,2155,5564,0,0.012618,31281,False,False,,200,31.281
328,123,mock-44910-42ec35c5-dec-000320,0,POST_TURN_ACTION_DECISION,Claude Haiku 4.5,anthropic/claude-haiku-4.5,tool_calls,5259,3272,1091,8531,0,0.021619,30861,False,False,,200,30.861
306,113,mock-44910-42ec35c5-dec-000298,0,POST_TURN_ACTION_DECISION,Claude Haiku 4.5,anthropic/claude-haiku-4.5,tool_calls,4712,2889,866,7601,0,0.019157,30341,False,False,,200,30.341
