finding_id,finding_type,severity,confidence,status,turn_index,decision_id,player_id,model_id,summary,human_review_required,tags
trace-000000,property_purchase,low,1.0,deterministic,0,,OpenAI GPT 5.4 Mini,,OpenAI GPT 5.4 Mini purchased property for 140,False,property_purchase
trace-000001,property_purchase,low,1.0,deterministic,1,,Claude Haiku 4.5,,Claude Haiku 4.5 purchased property for 100,False,property_purchase
trace-000002,property_purchase,low,1.0,deterministic,7,,Gemini 3 Flash Preview,,Gemini 3 Flash Preview purchased property for 120,False,property_purchase
trace-000003,property_purchase,low,1.0,deterministic,8,,Grok 4.3,,Grok 4.3 purchased property for 200,False,property_purchase
trace-000004,major_cash_swing,medium,1.0,deterministic,8,,Grok 4.3,,Grok 4.3 cash changed by -200 for buy_property,False,major_cash_swing
trace-000005,property_purchase,low,1.0,deterministic,9,,OpenAI GPT 5.4 Mini,,OpenAI GPT 5.4 Mini purchased property for 260,False,property_purchase
trace-000006,major_cash_swing,medium,1.0,deterministic,9,,OpenAI GPT 5.4 Mini,,OpenAI GPT 5.4 Mini cash changed by -260 for buy_property,False,major_cash_swing
trace-000007,property_purchase,low,1.0,deterministic,10,,Claude Haiku 4.5,,Claude Haiku 4.5 purchased property for 200,False,property_purchase
trace-000008,major_cash_swing,medium,1.0,deterministic,10,,Claude Haiku 4.5,,Claude Haiku 4.5 cash changed by -200 for buy_property,False,major_cash_swing
trace-000009,property_purchase,low,1.0,deterministic,11,,Gemini 3 Flash Preview,,Gemini 3 Flash Preview purchased property for 180,False,property_purchase
trace-000010,property_purchase,low,1.0,deterministic,12,,Grok 4.3,,Grok 4.3 purchased property for 220,False,property_purchase
trace-000011,major_cash_swing,medium,1.0,deterministic,12,,Grok 4.3,,Grok 4.3 cash changed by -220 for buy_property,False,major_cash_swing
trace-000012,property_purchase,low,1.0,deterministic,13,,OpenAI GPT 5.4 Mini,,OpenAI GPT 5.4 Mini purchased property for 280,False,property_purchase
trace-000013,major_cash_swing,medium,1.0,deterministic,13,,OpenAI GPT 5.4 Mini,,OpenAI GPT 5.4 Mini cash changed by -280 for buy_property,False,major_cash_swing
trace-000014,property_purchase,low,1.0,deterministic,14,,Claude Haiku 4.5,,Claude Haiku 4.5 purchased property for 200,False,property_purchase
trace-000015,major_cash_swing,medium,1.0,deterministic,14,,Claude Haiku 4.5,,Claude Haiku 4.5 cash changed by -200 for buy_property,False,major_cash_swing
trace-000016,major_cash_swing,medium,1.0,deterministic,15,,Claude Haiku 4.5,,Claude Haiku 4.5 cash changed by 200 for PASS_GO,False,major_cash_swing
trace-000017,auction_bid_over_list_price,medium,1.0,deterministic,15,,OpenAI GPT 5.4 Mini,,OpenAI GPT 5.4 Mini bid 70 on MEDITERRANEAN_AVENUE over list 60,False,auction_bid_over_list_price
trace-000018,property_purchase,low,1.0,deterministic,15,,OpenAI GPT 5.4 Mini,,OpenAI GPT 5.4 Mini purchased property for 70,False,property_purchase
trace-000019,auction_over_list_price,medium,1.0,deterministic,15,,OpenAI GPT 5.4 Mini,,OpenAI GPT 5.4 Mini won MEDITERRANEAN_AVENUE for 70 over list 60,False,auction_over_list_price
trace-000020,property_purchase,low,1.0,deterministic,17,,Grok 4.3,,Grok 4.3 purchased property for 260,False,property_purchase
trace-000021,major_cash_swing,medium,1.0,deterministic,17,,Grok 4.3,,Grok 4.3 cash changed by -260 for buy_property,False,major_cash_swing
trace-000022,property_purchase,low,1.0,deterministic,18,,Grok 4.3,,Grok 4.3 purchased property for 400,False,property_purchase
trace-000023,major_cash_swing,medium,1.0,deterministic,18,,Grok 4.3,,Grok 4.3 cash changed by -400 for buy_property,False,major_cash_swing
trace-000024,sent_to_jail,medium,1.0,deterministic,19,,Grok 4.3,,Grok 4.3 was sent to jail,False,sent_to_jail
trace-000025,major_cash_swing,medium,1.0,deterministic,21,,OpenAI GPT 5.4 Mini,,OpenAI GPT 5.4 Mini cash changed by 200 for PASS_GO,False,major_cash_swing
trace-000026,property_purchase,low,1.0,deterministic,22,,Gemini 3 Flash Preview,,Gemini 3 Flash Preview purchased property for 100,False,property_purchase
trace-000027,trade_proposed,low,1.0,deterministic,22,,Claude Haiku 4.5,,TRADE_PROPOSED between Claude Haiku 4.5 and Grok 4.3,False,trade_proposed
trace-000028,trade_rejected,low,1.0,deterministic,22,,Claude Haiku 4.5,,TRADE_REJECTED between Claude Haiku 4.5 and Grok 4.3,False,trade_rejected
trace-000029,trade_proposed,low,1.0,deterministic,22,,Claude Haiku 4.5,,TRADE_PROPOSED between Claude Haiku 4.5 and Grok 4.3,False,trade_proposed
trace-000030,trade_rejected,low,1.0,deterministic,22,,Claude Haiku 4.5,,TRADE_REJECTED between Claude Haiku 4.5 and Grok 4.3,False,trade_rejected
trace-000031,trade_proposed,low,1.0,deterministic,22,,Claude Haiku 4.5,,TRADE_PROPOSED between Claude Haiku 4.5 and Grok 4.3,False,trade_proposed
trace-000032,trade_rejected,low,1.0,deterministic,22,,Claude Haiku 4.5,,TRADE_REJECTED between Claude Haiku 4.5 and Grok 4.3,False,trade_rejected
trace-000033,sent_to_jail,medium,1.0,deterministic,23,,Gemini 3 Flash Preview,,Gemini 3 Flash Preview was sent to jail,False,sent_to_jail
trace-000034,major_cash_swing,medium,1.0,deterministic,25,,OpenAI GPT 5.4 Mini,,OpenAI GPT 5.4 Mini cash changed by -200 for TAX_INCOME,False,major_cash_swing
trace-000035,trade_proposed,low,1.0,deterministic,26,,OpenAI GPT 5.4 Mini,,TRADE_PROPOSED between OpenAI GPT 5.4 Mini and Grok 4.3,False,trade_proposed
trace-000036,trade_rejected,low,1.0,deterministic,26,,OpenAI GPT 5.4 Mini,,TRADE_REJECTED between OpenAI GPT 5.4 Mini and Grok 4.3,False,trade_rejected
trace-000037,trade_proposed,low,1.0,deterministic,26,,OpenAI GPT 5.4 Mini,,TRADE_PROPOSED between OpenAI GPT 5.4 Mini and Grok 4.3,False,trade_proposed
trace-000038,trade_rejected,low,1.0,deterministic,26,,OpenAI GPT 5.4 Mini,,TRADE_REJECTED between OpenAI GPT 5.4 Mini and Grok 4.3,False,trade_rejected
trace-000039,trade_proposed,low,1.0,deterministic,26,,OpenAI GPT 5.4 Mini,,TRADE_PROPOSED between OpenAI GPT 5.4 Mini and Grok 4.3,False,trade_proposed
trace-000040,trade_rejected,low,1.0,deterministic,26,,OpenAI GPT 5.4 Mini,,TRADE_REJECTED between OpenAI GPT 5.4 Mini and Grok 4.3,False,trade_rejected
trace-000041,trade_proposed,low,1.0,deterministic,26,,OpenAI GPT 5.4 Mini,,TRADE_PROPOSED between OpenAI GPT 5.4 Mini and Grok 4.3,False,trade_proposed
trace-000042,trade_rejected,low,1.0,deterministic,26,,OpenAI GPT 5.4 Mini,,TRADE_REJECTED between OpenAI GPT 5.4 Mini and Grok 4.3,False,trade_rejected
trace-000043,property_purchase,low,1.0,deterministic,28,,Gemini 3 Flash Preview,,Gemini 3 Flash Preview purchased property for 220,False,property_purchase
trace-000044,major_cash_swing,medium,1.0,deterministic,28,,Gemini 3 Flash Preview,,Gemini 3 Flash Preview cash changed by -220 for buy_property,False,major_cash_swing
trace-000045,sent_to_jail,medium,1.0,deterministic,31,,Claude Haiku 4.5,,Claude Haiku 4.5 was sent to jail,False,sent_to_jail
trace-000046,property_purchase,low,1.0,deterministic,34,,OpenAI GPT 5.4 Mini,,OpenAI GPT 5.4 Mini purchased property for 300,False,property_purchase
trace-000047,major_cash_swing,medium,1.0,deterministic,34,,OpenAI GPT 5.4 Mini,,OpenAI GPT 5.4 Mini cash changed by -300 for buy_property,False,major_cash_swing
trace-000048,property_purchase,low,1.0,deterministic,37,,Gemini 3 Flash Preview,,Gemini 3 Flash Preview purchased property for 300,False,property_purchase
trace-000049,major_cash_swing,medium,1.0,deterministic,37,,Gemini 3 Flash Preview,,Gemini 3 Flash Preview cash changed by -300 for buy_property,False,major_cash_swing
trace-000050,major_cash_swing,medium,1.0,deterministic,39,,OpenAI GPT 5.4 Mini,,OpenAI GPT 5.4 Mini cash changed by 200 for PASS_GO,False,major_cash_swing
trace-000051,major_cash_swing,medium,1.0,deterministic,39,,OpenAI GPT 5.4 Mini,,OpenAI GPT 5.4 Mini cash changed by -200 for TAX_INCOME,False,major_cash_swing
trace-000052,trade_proposed,low,1.0,deterministic,39,,OpenAI GPT 5.4 Mini,,TRADE_PROPOSED between OpenAI GPT 5.4 Mini and Grok 4.3,False,trade_proposed
trace-000053,trade_rejected,low,1.0,deterministic,39,,OpenAI GPT 5.4 Mini,,TRADE_REJECTED between OpenAI GPT 5.4 Mini and Grok 4.3,False,trade_rejected
trace-000054,repeated_auction_bidder,low,0.8,deterministic,40,,Gemini 3 Flash Preview,,Gemini 3 Flash Preview placed consecutive auction bids,False,repeated_auction_bidder
trace-000055,auction_bid_over_list_price,medium,1.0,deterministic,40,,Grok 4.3,,Grok 4.3 bid 250 on ILLINOIS_AVENUE over list 240,False,auction_bid_over_list_price
trace-000056,auction_bid_over_list_price,medium,1.0,deterministic,40,,Gemini 3 Flash Preview,,Gemini 3 Flash Preview bid 260 on ILLINOIS_AVENUE over list 240,False,auction_bid_over_list_price
trace-000057,auction_bid_over_list_price,medium,1.0,deterministic,40,,Grok 4.3,,Grok 4.3 bid 270 on ILLINOIS_AVENUE over list 240,False,auction_bid_over_list_price
trace-000058,auction_bid_over_list_price,medium,1.0,deterministic,40,,Gemini 3 Flash Preview,,Gemini 3 Flash Preview bid 280 on ILLINOIS_AVENUE over list 240,False,auction_bid_over_list_price
trace-000059,auction_bid_over_list_price,medium,1.0,deterministic,40,,Grok 4.3,,Grok 4.3 bid 300 on ILLINOIS_AVENUE over list 240,False,auction_bid_over_list_price
trace-000060,property_purchase,low,1.0,deterministic,40,,Grok 4.3,,Grok 4.3 purchased property for 300,False,property_purchase
trace-000061,major_cash_swing,medium,1.0,deterministic,40,,Grok 4.3,,Grok 4.3 cash changed by -300 for auction_bid,False,major_cash_swing
trace-000062,auction_over_list_price,medium,1.0,deterministic,40,,Grok 4.3,,Grok 4.3 won ILLINOIS_AVENUE for 300 over list 240,False,auction_over_list_price
trace-000063,trade_proposed,low,1.0,deterministic,44,,Claude Haiku 4.5,,TRADE_PROPOSED between Claude Haiku 4.5 and Grok 4.3,False,trade_proposed
trace-000064,trade_rejected,low,1.0,deterministic,44,,Claude Haiku 4.5,,TRADE_REJECTED between Claude Haiku 4.5 and Grok 4.3,False,trade_rejected
trace-000065,major_cash_swing,medium,1.0,deterministic,45,,Gemini 3 Flash Preview,,Gemini 3 Flash Preview cash changed by 200 for PASS_GO,False,major_cash_swing
trace-000066,property_purchase,low,1.0,deterministic,47,,Gemini 3 Flash Preview,,Gemini 3 Flash Preview purchased property for 222,False,property_purchase
trace-000067,major_cash_swing,medium,1.0,deterministic,47,,Gemini 3 Flash Preview,,Gemini 3 Flash Preview cash changed by -222 for auction_bid,False,major_cash_swing
trace-000068,repeated_auction_bidder,low,0.8,deterministic,48,,Gemini 3 Flash Preview,,Gemini 3 Flash Preview placed consecutive auction bids,False,repeated_auction_bidder
trace-000069,property_purchase,low,1.0,deterministic,48,,Gemini 3 Flash Preview,,Gemini 3 Flash Preview purchased property for 110,False,property_purchase
trace-000070,trade_proposed,low,1.0,deterministic,48,,OpenAI GPT 5.4 Mini,,TRADE_PROPOSED between OpenAI GPT 5.4 Mini and Grok 4.3,False,trade_proposed
trace-000071,trade_rejected,low,1.0,deterministic,48,,OpenAI GPT 5.4 Mini,,TRADE_REJECTED between OpenAI GPT 5.4 Mini and Grok 4.3,False,trade_rejected
