turn_start,turn_end,attempts,decisions,cost,input_tokens,output_tokens,reasoning_tokens,total_tokens,max_latency_s,invalid_attempts,rent_payment_count,rent_paid_total,large_rent_count_500_plus,trade_proposed,trade_accepted,house_events,bankruptcy_cash_events,trace_findings,failure_findings
0,24,60,60,0.38965245,180673,52917,30884,233590,65.919,0,4,80,0,3,0,0,0,43,1
25,49,85,83,0.61225615,316549,88398,66301,404947,63.681,2,9,279,0,10,0,0,0,56,3
50,74,84,81,0.71681745,352819,117554,92881,470373,39.984,3,11,292,0,14,3,4,0,71,3
75,99,54,52,0.5085866,228209,80605,64158,308814,51.145,2,11,716,0,6,1,9,0,59,3
100,124,56,55,0.50730605,250696,79813,57450,330509,30.861,1,5,180,0,4,1,15,3,81,1
125,149,40,40,0.45977725,206021,72214,44849,278235,65.903,0,6,2341,3,4,1,1,0,63,4
150,174,46,46,0.38949275,231886,60111,42406,291997,56.867,0,4,1780,2,3,1,7,3,66,3
175,199,36,35,0.20691595,164369,30207,25708,194576,13.132,1,7,3658,4,0,0,2,0,50,7
200,224,30,30,0.15203695,127987,21808,18141,149795,9.119,0,5,2197,3,0,0,0,0,25,3
225,249,26,26,0.13303585,109490,18678,15450,128168,8.409,0,10,1824,1,0,0,0,0,25,5
250,273,32,32,0.16887495,131012,23230,19882,154242,12.95,0,7,1381,1,0,0,10,3,32,5
