turn_index,events
0,15
1,14
2,8
3,11
4,11
5,10
6,15
7,14
8,14
9,14
10,14
11,14
12,14
13,14
14,14
15,62
16,11
17,14
18,14
19,5
20,11
21,11
22,86
23,6
24,7
25,9
26,51
27,8
28,19
29,7
30,8
31,6
32,11
33,18
34,14
35,11
36,15
37,14
38,11
39,20
40,86
41,11
42,11
43,8
44,21
45,9
46,11
47,61
48,86
49,11
50,21
51,15
52,36
53,12
54,41
55,56
56,8
57,11
58,11
59,11
60,21
61,14
62,45
63,14
64,12
65,8
66,51
67,8
68,71
69,11
70,33
71,9
72,11
73,11
74,11
75,18
76,77
77,11
78,36
79,17
80,8
81,10
82,9
83,17
84,14
85,8
86,8
87,18
88,8
89,11
90,11
91,12
92,8
93,17
94,11
95,11
96,11
97,10
98,35
99,8
100,10
101,8
102,19
103,14
104,9
105,10
106,6
107,11
108,40
109,30
110,9
111,7
112,15
113,8
114,8
115,12
116,11
117,8
118,8
119,46
120,15
121,31
122,9
123,12
124,60
125,8
126,8
127,10
128,8
129,8
130,11
131,7
132,17
133,8
134,7
135,11
136,14
137,12
138,8
139,8
140,31
141,11
142,26
143,60
144,8
145,11
146,8
147,9
148,10
149,8
150,8
151,8
152,8
153,8
154,12
155,10
156,8
157,8
158,17
159,8
160,8
161,8
162,8
163,13
164,40
165,8
166,17
167,71
168,22
169,8
170,11
171,21
172,11
173,18
174,8
175,8
176,8
177,9
178,8
179,9
180,16
181,11
182,11
183,56
184,8
185,8
186,8
187,11
188,12
189,8
190,8
191,11
192,8
193,8
194,10
195,11
196,11
197,14
198,8
199,11
200,26
201,11
202,8
203,11
204,8
205,6
206,9
207,7
208,11
209,7
210,11
211,18
212,6
213,8
214,7
215,11
216,9
217,7
218,8
219,11
220,18
221,10
222,10
223,10
224,10
225,9
226,11
227,11
228,8
229,10
230,11
231,11
232,8
233,12
234,13
235,8
236,8
237,11
238,9
239,8
240,11
241,8
242,7
243,11
244,7
245,11
246,7
247,12
248,18
249,11
250,8
251,8
252,8
253,8
254,11
255,8
256,17
257,9
258,11
259,8
260,24
261,15
262,23
263,16
264,17
265,17
266,8
267,9
268,8
269,12
270,8
271,11
272,11
273,1
