event_id,seq,turn_index,player_id,reason,delta,cash_before,cash_after,running_peak,drawdown_from_peak
mock-321229807-87ca99d7-evt-000011,11,0,Claude Opus 4.8,buy_property,-240,1500,1260,1500,240
mock-321229807-87ca99d7-evt-000025,25,1,Gemini 3.1 Pro Preview,buy_property,-100,1500,1400,1500,100
mock-321229807-87ca99d7-evt-000039,39,2,Grok 4.3,buy_property,-100,1500,1400,1500,100
mock-321229807-87ca99d7-evt-000053,53,3,Grok 4.3,buy_property,-200,1400,1200,1500,300
mock-321229807-87ca99d7-evt-000067,67,4,OpenAI GPT 5.5,buy_property,-120,1500,1380,1500,120
mock-321229807-87ca99d7-evt-000093,93,4,OpenAI GPT 5.5,TRADE_CASH,-250,1380,1130,1500,370
mock-321229807-87ca99d7-evt-000094,94,4,Gemini 3.1 Pro Preview,TRADE_CASH,250,1400,1650,1650,0
mock-321229807-87ca99d7-evt-000145,145,5,Claude Opus 4.8,BEAUTY_CONTEST_COLLECT_10,10,1260,1270,1500,230
mock-321229807-87ca99d7-evt-000159,159,6,Gemini 3.1 Pro Preview,buy_property,-140,1650,1510,1650,140
mock-321229807-87ca99d7-evt-000173,173,7,Grok 4.3,buy_property,-220,1200,980,1500,520
mock-321229807-87ca99d7-evt-000187,187,8,OpenAI GPT 5.5,buy_property,-160,1130,970,1500,530
mock-321229807-87ca99d7-evt-000213,213,8,OpenAI GPT 5.5,TRADE_CASH,-500,970,470,1500,1030
mock-321229807-87ca99d7-evt-000214,214,8,Gemini 3.1 Pro Preview,TRADE_CASH,500,1510,2010,2010,0
mock-321229807-87ca99d7-evt-000223,223,9,Claude Opus 4.8,PASS_GO,200,1270,1470,1500,30
mock-321229807-87ca99d7-evt-000231,231,10,Gemini 3.1 Pro Preview,RENT,-20,2010,1990,2010,20
mock-321229807-87ca99d7-evt-000232,232,10,Claude Opus 4.8,RENT,20,1470,1490,1500,10
mock-321229807-87ca99d7-evt-000242,242,11,Grok 4.3,RENT,-20,980,960,1500,540
mock-321229807-87ca99d7-evt-000243,243,11,Claude Opus 4.8,RENT,20,1490,1510,1510,0
mock-321229807-87ca99d7-evt-000253,253,12,OpenAI GPT 5.5,RENT,-18,470,452,1500,1048
mock-321229807-87ca99d7-evt-000254,254,12,Grok 4.3,RENT,18,960,978,1500,522
mock-321229807-87ca99d7-evt-000281,281,12,OpenAI GPT 5.5,TRADE_CASH,-400,452,52,1500,1448
mock-321229807-87ca99d7-evt-000282,282,12,Gemini 3.1 Pro Preview,TRADE_CASH,400,1990,2390,2390,0
mock-321229807-87ca99d7-evt-000288,288,12,OpenAI GPT 5.5,MORTGAGE,50,52,102,1500,1398
mock-321229807-87ca99d7-evt-000294,294,12,OpenAI GPT 5.5,MORTGAGE,60,102,162,1500,1338
mock-321229807-87ca99d7-evt-000300,300,12,OpenAI GPT 5.5,MORTGAGE,80,162,242,1500,1258
mock-321229807-87ca99d7-evt-000306,306,12,OpenAI GPT 5.5,MORTGAGE,70,242,312,1500,1188
mock-321229807-87ca99d7-evt-000348,348,13,Claude Opus 4.8,JAIL_FINE,-50,1510,1460,1510,50
mock-321229807-87ca99d7-evt-000356,356,13,Claude Opus 4.8,buy_property,-180,1460,1280,1510,230
mock-321229807-87ca99d7-evt-000370,370,14,Gemini 3.1 Pro Preview,buy_property,-320,2390,2070,2390,320
mock-321229807-87ca99d7-evt-000384,384,15,Grok 4.3,buy_property,-300,978,678,1500,822
mock-321229807-87ca99d7-evt-000398,398,16,OpenAI GPT 5.5,buy_property,-200,312,112,1500,1388
mock-321229807-87ca99d7-evt-000444,444,16,Gemini 3.1 Pro Preview,TRADE_CASH,-200,2070,1870,2390,520
mock-321229807-87ca99d7-evt-000445,445,16,OpenAI GPT 5.5,TRADE_CASH,200,112,312,1500,1188
mock-321229807-87ca99d7-evt-000455,455,17,Claude Opus 4.8,RENT,-25,1280,1255,1510,255
mock-321229807-87ca99d7-evt-000456,456,17,Gemini 3.1 Pro Preview,RENT,25,1870,1895,2390,495
mock-321229807-87ca99d7-evt-000471,471,18,Gemini 3.1 Pro Preview,buy_property,-350,1895,1545,2390,845
mock-321229807-87ca99d7-evt-000480,480,19,Grok 4.3,PASS_GO,200,678,878,1500,622
mock-321229807-87ca99d7-evt-000494,494,20,OpenAI GPT 5.5,buy_property,-280,312,32,1500,1468
mock-321229807-87ca99d7-evt-000499,499,20,OpenAI GPT 5.5,MORTGAGE,140,32,172,1500,1328
mock-321229807-87ca99d7-evt-000551,551,20,Gemini 3.1 Pro Preview,TRADE_CASH,-130,1545,1415,2390,975
mock-321229807-87ca99d7-evt-000552,552,20,OpenAI GPT 5.5,TRADE_CASH,130,172,302,1500,1198
mock-321229807-87ca99d7-evt-000555,555,20,Gemini 3.1 Pro Preview,MORTGAGE_INTEREST,-15,1415,1400,2390,990
mock-321229807-87ca99d7-evt-000564,564,21,OpenAI GPT 5.5,RENT,-35,302,267,1500,1233
mock-321229807-87ca99d7-evt-000565,565,21,Gemini 3.1 Pro Preview,RENT,35,1400,1435,2390,955
mock-321229807-87ca99d7-evt-000597,597,21,Gemini 3.1 Pro Preview,TRADE_CASH,-140,1435,1295,2390,1095
mock-321229807-87ca99d7-evt-000598,598,21,OpenAI GPT 5.5,TRADE_CASH,140,267,407,1500,1093
mock-321229807-87ca99d7-evt-000600,600,21,Gemini 3.1 Pro Preview,MORTGAGE_INTEREST,-14,1295,1281,2390,1109
mock-321229807-87ca99d7-evt-000620,620,22,Claude Opus 4.8,HOLIDAY_FUND_RECEIVE_100,100,1255,1355,1510,155
mock-321229807-87ca99d7-evt-000631,631,23,Claude Opus 4.8,PASS_GO,200,1355,1555,1555,0
mock-321229807-87ca99d7-evt-000637,637,23,Claude Opus 4.8,buy_property,-200,1555,1355,1555,200
mock-321229807-87ca99d7-evt-000646,646,24,Gemini 3.1 Pro Preview,PASS_GO,200,1281,1481,2390,909
mock-321229807-87ca99d7-evt-000648,648,24,Claude Opus 4.8,BIRTHDAY_COLLECT_10_FROM_EACH_PLAYER,-10,1355,1345,1555,210
mock-321229807-87ca99d7-evt-000649,649,24,Gemini 3.1 Pro Preview,BIRTHDAY_COLLECT_10_FROM_EACH_PLAYER,10,1481,1491,2390,899
mock-321229807-87ca99d7-evt-000650,650,24,Grok 4.3,BIRTHDAY_COLLECT_10_FROM_EACH_PLAYER,-10,878,868,1500,632
mock-321229807-87ca99d7-evt-000651,651,24,Gemini 3.1 Pro Preview,BIRTHDAY_COLLECT_10_FROM_EACH_PLAYER,10,1491,1501,2390,889
mock-321229807-87ca99d7-evt-000652,652,24,OpenAI GPT 5.5,BIRTHDAY_COLLECT_10_FROM_EACH_PLAYER,-10,407,397,1500,1103
mock-321229807-87ca99d7-evt-000653,653,24,Gemini 3.1 Pro Preview,BIRTHDAY_COLLECT_10_FROM_EACH_PLAYER,10,1501,1511,2390,879
mock-321229807-87ca99d7-evt-000658,658,24,Gemini 3.1 Pro Preview,UNMORTGAGE,-88,1511,1423,2390,967
mock-321229807-87ca99d7-evt-000664,664,24,Gemini 3.1 Pro Preview,UNMORTGAGE,-77,1423,1346,2390,1044
mock-321229807-87ca99d7-evt-000670,670,24,Gemini 3.1 Pro Preview,UNMORTGAGE,-154,1346,1192,2390,1198
mock-321229807-87ca99d7-evt-000680,680,25,Grok 4.3,TAX_INCOME,-200,868,668,1500,832
mock-321229807-87ca99d7-evt-000689,689,26,OpenAI GPT 5.5,PASS_GO,200,397,597,1500,903
mock-321229807-87ca99d7-evt-000691,691,26,OpenAI GPT 5.5,INCOME_TAX_REFUND_COLLECT_20,20,597,617,1500,883
mock-321229807-87ca99d7-evt-000696,696,26,OpenAI GPT 5.5,UNMORTGAGE,-66,617,551,1500,949
mock-321229807-87ca99d7-evt-000712,712,26,OpenAI GPT 5.5,UNMORTGAGE,-56,551,495,1500,1005
mock-321229807-87ca99d7-evt-000722,722,27,Claude Opus 4.8,RENT,-25,1345,1320,1555,235
mock-321229807-87ca99d7-evt-000723,723,27,Grok 4.3,RENT,25,668,693,1500,807
mock-321229807-87ca99d7-evt-000733,733,28,Gemini 3.1 Pro Preview,RENT,-6,1192,1186,2390,1204
mock-321229807-87ca99d7-evt-000734,734,28,OpenAI GPT 5.5,RENT,6,495,501,1500,999
mock-321229807-87ca99d7-evt-000744,744,29,Grok 4.3,RENT,-12,693,681,1500,819
mock-321229807-87ca99d7-evt-000745,745,29,Gemini 3.1 Pro Preview,RENT,12,1186,1198,2390,1192
mock-321229807-87ca99d7-evt-000760,760,30,OpenAI GPT 5.5,buy_property,-150,501,351,1500,1149
