trade_id,initiator_player_id,counterparty_player_id,start_event_id,start_seq,start_turn,end_event_id,end_seq,end_turn,outcome,censored,counteroffers,offer_revisions,public_exchange_count,initial_offer,initial_request,final_offer,final_request,event_span,turns_to_resolution,accepted,back_and_forth_count
trade-0001,OpenAI GPT 5.5,Gemini 3.1 Pro Preview,mock-321229807-87ca99d7-evt-000072,72,4,mock-321229807-87ca99d7-evt-000092,92,4,ACCEPTED,False,3,3,4,"{""cash"":160,""get_out_of_jail_cards"":0,""properties"":[]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""VERMONT_AVENUE""]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""VERMONT_AVENUE""]}","{""cash"":250,""get_out_of_jail_cards"":0,""properties"":[]}",20,0,True,3
trade-0002,OpenAI GPT 5.5,Grok 4.3,mock-321229807-87ca99d7-evt-000100,100,4,mock-321229807-87ca99d7-evt-000105,105,4,REJECTED,False,0,0,1,"{""cash"":300,""get_out_of_jail_cards"":0,""properties"":[]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""ORIENTAL_AVENUE""]}","{""cash"":300,""get_out_of_jail_cards"":0,""properties"":[]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""ORIENTAL_AVENUE""]}",5,0,False,0
trade-0003,OpenAI GPT 5.5,Grok 4.3,mock-321229807-87ca99d7-evt-000110,110,4,mock-321229807-87ca99d7-evt-000115,115,4,REJECTED,False,0,0,1,"{""cash"":400,""get_out_of_jail_cards"":0,""properties"":[]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""ORIENTAL_AVENUE""]}","{""cash"":400,""get_out_of_jail_cards"":0,""properties"":[]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""ORIENTAL_AVENUE""]}",5,0,False,0
trade-0004,OpenAI GPT 5.5,Grok 4.3,mock-321229807-87ca99d7-evt-000120,120,4,mock-321229807-87ca99d7-evt-000125,125,4,REJECTED,False,0,0,1,"{""cash"":500,""get_out_of_jail_cards"":0,""properties"":[]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""ORIENTAL_AVENUE""]}","{""cash"":500,""get_out_of_jail_cards"":0,""properties"":[]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""ORIENTAL_AVENUE""]}",5,0,False,0
trade-0005,OpenAI GPT 5.5,Claude Opus 4.8,mock-321229807-87ca99d7-evt-000130,130,4,mock-321229807-87ca99d7-evt-000135,135,4,REJECTED,False,0,0,1,"{""cash"":300,""get_out_of_jail_cards"":0,""properties"":[]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""ILLINOIS_AVENUE""]}","{""cash"":300,""get_out_of_jail_cards"":0,""properties"":[]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""ILLINOIS_AVENUE""]}",5,0,False,0
trade-0006,OpenAI GPT 5.5,Grok 4.3,mock-321229807-87ca99d7-evt-000192,192,8,mock-321229807-87ca99d7-evt-000197,197,8,REJECTED,False,0,0,1,"{""cash"":300,""get_out_of_jail_cards"":0,""properties"":[""VIRGINIA_AVENUE""]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""ORIENTAL_AVENUE""]}","{""cash"":300,""get_out_of_jail_cards"":0,""properties"":[""VIRGINIA_AVENUE""]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""ORIENTAL_AVENUE""]}",5,0,False,0
trade-0007,OpenAI GPT 5.5,Gemini 3.1 Pro Preview,mock-321229807-87ca99d7-evt-000202,202,8,mock-321229807-87ca99d7-evt-000212,212,8,ACCEPTED,False,1,1,2,"{""cash"":300,""get_out_of_jail_cards"":0,""properties"":[]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""STATES_AVENUE""]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[]}","{""cash"":500,""get_out_of_jail_cards"":0,""properties"":[]}",10,0,True,1
trade-0008,OpenAI GPT 5.5,Claude Opus 4.8,mock-321229807-87ca99d7-evt-000260,260,12,mock-321229807-87ca99d7-evt-000265,265,12,REJECTED,False,0,0,1,"{""cash"":50,""get_out_of_jail_cards"":0,""properties"":[""VIRGINIA_AVENUE""]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""ILLINOIS_AVENUE""]}","{""cash"":50,""get_out_of_jail_cards"":0,""properties"":[""VIRGINIA_AVENUE""]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""ILLINOIS_AVENUE""]}",5,0,False,0
trade-0009,OpenAI GPT 5.5,Gemini 3.1 Pro Preview,mock-321229807-87ca99d7-evt-000270,270,12,mock-321229807-87ca99d7-evt-000280,280,12,ACCEPTED,False,1,1,2,"{""cash"":250,""get_out_of_jail_cards"":0,""properties"":[]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""STATES_AVENUE""]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""STATES_AVENUE""]}","{""cash"":400,""get_out_of_jail_cards"":0,""properties"":[]}",10,0,True,1
trade-0010,OpenAI GPT 5.5,Grok 4.3,mock-321229807-87ca99d7-evt-000312,312,12,mock-321229807-87ca99d7-evt-000317,317,12,REJECTED,False,0,0,1,"{""cash"":25,""get_out_of_jail_cards"":0,""properties"":[""STATES_AVENUE"",""VIRGINIA_AVENUE""]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""ORIENTAL_AVENUE""]}","{""cash"":25,""get_out_of_jail_cards"":0,""properties"":[""STATES_AVENUE"",""VIRGINIA_AVENUE""]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""ORIENTAL_AVENUE""]}",5,0,False,0
trade-0011,OpenAI GPT 5.5,Grok 4.3,mock-321229807-87ca99d7-evt-000322,322,12,mock-321229807-87ca99d7-evt-000327,327,12,REJECTED,False,0,0,1,"{""cash"":75,""get_out_of_jail_cards"":0,""properties"":[""STATES_AVENUE"",""VIRGINIA_AVENUE""]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""ORIENTAL_AVENUE""]}","{""cash"":75,""get_out_of_jail_cards"":0,""properties"":[""STATES_AVENUE"",""VIRGINIA_AVENUE""]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""ORIENTAL_AVENUE""]}",5,0,False,0
trade-0012,OpenAI GPT 5.5,Claude Opus 4.8,mock-321229807-87ca99d7-evt-000332,332,12,mock-321229807-87ca99d7-evt-000337,337,12,REJECTED,False,0,0,1,"{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""STATES_AVENUE"",""VIRGINIA_AVENUE""]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""ILLINOIS_AVENUE""]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""STATES_AVENUE"",""VIRGINIA_AVENUE""]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""ILLINOIS_AVENUE""]}",5,0,False,0
trade-0013,OpenAI GPT 5.5,Grok 4.3,mock-321229807-87ca99d7-evt-000403,403,16,mock-321229807-87ca99d7-evt-000408,408,16,REJECTED,False,0,0,1,"{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""B_O_RAILROAD"",""STATES_AVENUE"",""VIRGINIA_AVENUE""]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""ORIENTAL_AVENUE""]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""B_O_RAILROAD"",""STATES_AVENUE"",""VIRGINIA_AVENUE""]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""ORIENTAL_AVENUE""]}",5,0,False,0
trade-0014,OpenAI GPT 5.5,Grok 4.3,mock-321229807-87ca99d7-evt-000413,413,16,mock-321229807-87ca99d7-evt-000418,418,16,REJECTED,False,0,0,1,"{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""B_O_RAILROAD""]}","{""cash"":275,""get_out_of_jail_cards"":0,""properties"":[]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""B_O_RAILROAD""]}","{""cash"":275,""get_out_of_jail_cards"":0,""properties"":[]}",5,0,False,0
trade-0015,OpenAI GPT 5.5,Claude Opus 4.8,mock-321229807-87ca99d7-evt-000423,423,16,mock-321229807-87ca99d7-evt-000428,428,16,REJECTED,False,0,0,1,"{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""B_O_RAILROAD""]}","{""cash"":240,""get_out_of_jail_cards"":0,""properties"":[]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""B_O_RAILROAD""]}","{""cash"":240,""get_out_of_jail_cards"":0,""properties"":[]}",5,0,False,0
trade-0016,OpenAI GPT 5.5,Gemini 3.1 Pro Preview,mock-321229807-87ca99d7-evt-000433,433,16,mock-321229807-87ca99d7-evt-000443,443,16,ACCEPTED,False,1,1,2,"{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""B_O_RAILROAD""]}","{""cash"":220,""get_out_of_jail_cards"":0,""properties"":[]}","{""cash"":200,""get_out_of_jail_cards"":0,""properties"":[]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""B_O_RAILROAD""]}",10,0,True,1
trade-0017,OpenAI GPT 5.5,Claude Opus 4.8,mock-321229807-87ca99d7-evt-000505,505,20,mock-321229807-87ca99d7-evt-000510,510,20,REJECTED,False,0,0,1,"{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""STATES_AVENUE"",""VIRGINIA_AVENUE""]}","{""cash"":230,""get_out_of_jail_cards"":0,""properties"":[]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""STATES_AVENUE"",""VIRGINIA_AVENUE""]}","{""cash"":230,""get_out_of_jail_cards"":0,""properties"":[]}",5,0,False,0
trade-0018,OpenAI GPT 5.5,Claude Opus 4.8,mock-321229807-87ca99d7-evt-000515,515,20,mock-321229807-87ca99d7-evt-000520,520,20,REJECTED,False,0,0,1,"{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""STATES_AVENUE"",""VIRGINIA_AVENUE""]}","{""cash"":170,""get_out_of_jail_cards"":0,""properties"":[]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""STATES_AVENUE"",""VIRGINIA_AVENUE""]}","{""cash"":170,""get_out_of_jail_cards"":0,""properties"":[]}",5,0,False,0
trade-0019,OpenAI GPT 5.5,Grok 4.3,mock-321229807-87ca99d7-evt-000525,525,20,mock-321229807-87ca99d7-evt-000530,530,20,REJECTED,False,0,0,1,"{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""STATES_AVENUE"",""VIRGINIA_AVENUE""]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""ORIENTAL_AVENUE""]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""STATES_AVENUE"",""VIRGINIA_AVENUE""]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""ORIENTAL_AVENUE""]}",5,0,False,0
trade-0020,OpenAI GPT 5.5,Grok 4.3,mock-321229807-87ca99d7-evt-000535,535,20,mock-321229807-87ca99d7-evt-000540,540,20,REJECTED,False,0,0,1,"{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""MARVIN_GARDENS""]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""ORIENTAL_AVENUE""]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""MARVIN_GARDENS""]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""ORIENTAL_AVENUE""]}",5,0,False,0
trade-0021,OpenAI GPT 5.5,Gemini 3.1 Pro Preview,mock-321229807-87ca99d7-evt-000545,545,20,mock-321229807-87ca99d7-evt-000550,550,20,ACCEPTED,False,0,0,1,"{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""STATES_AVENUE"",""VIRGINIA_AVENUE""]}","{""cash"":130,""get_out_of_jail_cards"":0,""properties"":[]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""STATES_AVENUE"",""VIRGINIA_AVENUE""]}","{""cash"":130,""get_out_of_jail_cards"":0,""properties"":[]}",5,0,True,0
trade-0022,OpenAI GPT 5.5,Claude Opus 4.8,mock-321229807-87ca99d7-evt-000571,571,21,mock-321229807-87ca99d7-evt-000576,576,21,REJECTED,False,0,0,1,"{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""MARVIN_GARDENS""]}","{""cash"":150,""get_out_of_jail_cards"":0,""properties"":[]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""MARVIN_GARDENS""]}","{""cash"":150,""get_out_of_jail_cards"":0,""properties"":[]}",5,0,False,0
trade-0023,OpenAI GPT 5.5,Grok 4.3,mock-321229807-87ca99d7-evt-000581,581,21,mock-321229807-87ca99d7-evt-000586,586,21,REJECTED,False,0,0,1,"{""cash"":100,""get_out_of_jail_cards"":0,""properties"":[""MARVIN_GARDENS""]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""ORIENTAL_AVENUE""]}","{""cash"":100,""get_out_of_jail_cards"":0,""properties"":[""MARVIN_GARDENS""]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""ORIENTAL_AVENUE""]}",5,0,False,0
trade-0024,OpenAI GPT 5.5,Gemini 3.1 Pro Preview,mock-321229807-87ca99d7-evt-000591,591,21,mock-321229807-87ca99d7-evt-000596,596,21,ACCEPTED,False,0,0,1,"{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""MARVIN_GARDENS""]}","{""cash"":140,""get_out_of_jail_cards"":0,""properties"":[]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""MARVIN_GARDENS""]}","{""cash"":140,""get_out_of_jail_cards"":0,""properties"":[]}",5,0,True,0
trade-0025,OpenAI GPT 5.5,Grok 4.3,mock-321229807-87ca99d7-evt-000605,605,21,mock-321229807-87ca99d7-evt-000610,610,21,REJECTED,False,0,0,1,"{""cash"":200,""get_out_of_jail_cards"":0,""properties"":[]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""ORIENTAL_AVENUE""]}","{""cash"":200,""get_out_of_jail_cards"":0,""properties"":[]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""ORIENTAL_AVENUE""]}",5,0,False,0
trade-0026,OpenAI GPT 5.5,Grok 4.3,mock-321229807-87ca99d7-evt-000702,702,26,mock-321229807-87ca99d7-evt-000707,707,26,REJECTED,False,0,0,1,"{""cash"":300,""get_out_of_jail_cards"":0,""properties"":[]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""ORIENTAL_AVENUE""]}","{""cash"":300,""get_out_of_jail_cards"":0,""properties"":[]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""ORIENTAL_AVENUE""]}",5,0,False,0
trade-0027,OpenAI GPT 5.5,Grok 4.3,mock-321229807-87ca99d7-evt-000765,765,30,mock-321229807-87ca99d7-evt-000770,770,30,REJECTED,False,0,0,1,"{""cash"":150,""get_out_of_jail_cards"":0,""properties"":[""ELECTRIC_COMPANY""]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""ORIENTAL_AVENUE""]}","{""cash"":150,""get_out_of_jail_cards"":0,""properties"":[""ELECTRIC_COMPANY""]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""ORIENTAL_AVENUE""]}",5,0,False,0
trade-0028,OpenAI GPT 5.5,Claude Opus 4.8,mock-321229807-87ca99d7-evt-000775,775,30,mock-321229807-87ca99d7-evt-000780,780,30,REJECTED,False,0,0,1,"{""cash"":120,""get_out_of_jail_cards"":0,""properties"":[""ELECTRIC_COMPANY""]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""TENNESSEE_AVENUE""]}","{""cash"":120,""get_out_of_jail_cards"":0,""properties"":[""ELECTRIC_COMPANY""]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""TENNESSEE_AVENUE""]}",5,0,False,0
trade-0029,OpenAI GPT 5.5,Gemini 3.1 Pro Preview,mock-321229807-87ca99d7-evt-000785,785,30,mock-321229807-87ca99d7-evt-000790,790,30,REJECTED,False,0,0,1,"{""cash"":50,""get_out_of_jail_cards"":0,""properties"":[""ELECTRIC_COMPANY""]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""STATES_AVENUE""]}","{""cash"":50,""get_out_of_jail_cards"":0,""properties"":[""ELECTRIC_COMPANY""]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""STATES_AVENUE""]}",5,0,False,0
trade-0030,OpenAI GPT 5.5,Claude Opus 4.8,mock-321229807-87ca99d7-evt-000795,795,30,mock-321229807-87ca99d7-evt-000800,800,30,REJECTED,False,0,0,1,"{""cash"":110,""get_out_of_jail_cards"":0,""properties"":[""ELECTRIC_COMPANY""]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""ILLINOIS_AVENUE""]}","{""cash"":110,""get_out_of_jail_cards"":0,""properties"":[""ELECTRIC_COMPANY""]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""ILLINOIS_AVENUE""]}",5,0,False,0
trade-0031,OpenAI GPT 5.5,Grok 4.3,mock-321229807-87ca99d7-evt-000825,825,31,mock-321229807-87ca99d7-evt-000830,830,31,REJECTED,False,0,0,1,"{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""NEW_YORK_AVENUE""]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""ORIENTAL_AVENUE""]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""NEW_YORK_AVENUE""]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""ORIENTAL_AVENUE""]}",5,0,False,0
trade-0032,OpenAI GPT 5.5,Grok 4.3,mock-321229807-87ca99d7-evt-000835,835,31,mock-321229807-87ca99d7-evt-000840,840,31,REJECTED,False,0,0,1,"{""cash"":75,""get_out_of_jail_cards"":0,""properties"":[""NEW_YORK_AVENUE""]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""ORIENTAL_AVENUE""]}","{""cash"":75,""get_out_of_jail_cards"":0,""properties"":[""NEW_YORK_AVENUE""]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""ORIENTAL_AVENUE""]}",5,0,False,0
trade-0033,OpenAI GPT 5.5,Claude Opus 4.8,mock-321229807-87ca99d7-evt-000845,845,31,mock-321229807-87ca99d7-evt-000850,850,31,REJECTED,False,0,0,1,"{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""VERMONT_AVENUE"",""CONNECTICUT_AVENUE""]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""TENNESSEE_AVENUE""]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""VERMONT_AVENUE"",""CONNECTICUT_AVENUE""]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""TENNESSEE_AVENUE""]}",5,0,False,0
trade-0034,OpenAI GPT 5.5,Grok 4.3,mock-321229807-87ca99d7-evt-001000,1000,43,mock-321229807-87ca99d7-evt-001005,1005,43,REJECTED,False,0,0,1,"{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""SHORT_LINE""]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""ORIENTAL_AVENUE""]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""SHORT_LINE""]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""ORIENTAL_AVENUE""]}",5,0,False,0
