evidence_id,evidence_kind,turn_start,turn_end,decision_id,event_id_start,event_id_end,event_seq_start,event_seq_end,actor_or_parties,topic,primary_path,supporting_paths,review_status
decision-000000,decision,0,0,mock-321229807-87ca99d7-dec-000000,mock-321229807-87ca99d7-evt-000007,mock-321229807-87ca99d7-evt-000012,7,12,Claude Opus 4.8,BUY_OR_AUCTION_DECISION -> buy_property,analysis/review/review_packet.jsonl,run/actions.jsonl;run/decisions.jsonl;run/events.jsonl,reviewed
decision-000001,decision,0,0,mock-321229807-87ca99d7-dec-000001,mock-321229807-87ca99d7-evt-000013,mock-321229807-87ca99d7-evt-000016,13,16,Claude Opus 4.8,POST_TURN_ACTION_DECISION -> end_turn,analysis/review/review_packet.jsonl,run/actions.jsonl;run/decisions.jsonl;run/events.jsonl,reviewed
decision-000002,decision,1,1,mock-321229807-87ca99d7-dec-000002,mock-321229807-87ca99d7-evt-000021,mock-321229807-87ca99d7-evt-000026,21,26,Gemini 3.1 Pro Preview,BUY_OR_AUCTION_DECISION -> buy_property,analysis/review/review_packet.jsonl,run/actions.jsonl;run/decisions.jsonl;run/events.jsonl,reviewed
decision-000003,decision,1,1,mock-321229807-87ca99d7-dec-000003,mock-321229807-87ca99d7-evt-000027,mock-321229807-87ca99d7-evt-000030,27,30,Gemini 3.1 Pro Preview,POST_TURN_ACTION_DECISION -> end_turn,analysis/review/review_packet.jsonl,run/actions.jsonl;run/decisions.jsonl;run/events.jsonl,reviewed
decision-000004,decision,2,2,mock-321229807-87ca99d7-dec-000004,mock-321229807-87ca99d7-evt-000035,mock-321229807-87ca99d7-evt-000040,35,40,Grok 4.3,BUY_OR_AUCTION_DECISION -> buy_property,analysis/review/review_packet.jsonl,run/actions.jsonl;run/decisions.jsonl;run/events.jsonl,reviewed
decision-000005,decision,2,2,mock-321229807-87ca99d7-dec-000005,mock-321229807-87ca99d7-evt-000041,mock-321229807-87ca99d7-evt-000044,41,44,Grok 4.3,POST_TURN_ACTION_DECISION -> end_turn,analysis/review/review_packet.jsonl,run/actions.jsonl;run/decisions.jsonl;run/events.jsonl,reviewed
decision-000006,decision,3,3,mock-321229807-87ca99d7-dec-000006,mock-321229807-87ca99d7-evt-000049,mock-321229807-87ca99d7-evt-000054,49,54,Grok 4.3,BUY_OR_AUCTION_DECISION -> buy_property,analysis/review/review_packet.jsonl,run/actions.jsonl;run/decisions.jsonl;run/events.jsonl,reviewed
decision-000007,decision,3,3,mock-321229807-87ca99d7-dec-000007,mock-321229807-87ca99d7-evt-000055,mock-321229807-87ca99d7-evt-000058,55,58,Grok 4.3,POST_TURN_ACTION_DECISION -> end_turn,analysis/review/review_packet.jsonl,run/actions.jsonl;run/decisions.jsonl;run/events.jsonl,reviewed
decision-000008,decision,4,4,mock-321229807-87ca99d7-dec-000008,mock-321229807-87ca99d7-evt-000063,mock-321229807-87ca99d7-evt-000068,63,68,OpenAI GPT 5.5,BUY_OR_AUCTION_DECISION -> buy_property,analysis/review/review_packet.jsonl,run/actions.jsonl;run/decisions.jsonl;run/events.jsonl,reviewed
decision-000009,decision,4,4,mock-321229807-87ca99d7-dec-000009,mock-321229807-87ca99d7-evt-000069,mock-321229807-87ca99d7-evt-000073,69,73,OpenAI GPT 5.5,POST_TURN_ACTION_DECISION -> propose_trade,analysis/review/review_packet.jsonl,run/actions.jsonl;run/decisions.jsonl;run/events.jsonl,reviewed
