schema_version,run_id,seq,turn_index,event_type,decision_id,player_id,delta,reason,from_player_id,to_player_id,amount,payer_delta,receiver_delta
v1,mock-321229807-87ca99d7,11,0,CASH_CHANGED,,Claude Opus 4.8,-240,buy_property,,,,,
v1,mock-321229807-87ca99d7,25,1,CASH_CHANGED,,Gemini 3.1 Pro Preview,-100,buy_property,,,,,
v1,mock-321229807-87ca99d7,39,2,CASH_CHANGED,,Grok 4.3,-100,buy_property,,,,,
v1,mock-321229807-87ca99d7,53,3,CASH_CHANGED,,Grok 4.3,-200,buy_property,,,,,
v1,mock-321229807-87ca99d7,67,4,CASH_CHANGED,,OpenAI GPT 5.5,-120,buy_property,,,,,
v1,mock-321229807-87ca99d7,93,4,CASH_CHANGED,,OpenAI GPT 5.5,-250,TRADE_CASH,,,,,
v1,mock-321229807-87ca99d7,94,4,CASH_CHANGED,,Gemini 3.1 Pro Preview,250,TRADE_CASH,,,,,
v1,mock-321229807-87ca99d7,145,5,CASH_CHANGED,,Claude Opus 4.8,10,BEAUTY_CONTEST_COLLECT_10,,,,,
v1,mock-321229807-87ca99d7,159,6,CASH_CHANGED,,Gemini 3.1 Pro Preview,-140,buy_property,,,,,
v1,mock-321229807-87ca99d7,173,7,CASH_CHANGED,,Grok 4.3,-220,buy_property,,,,,
v1,mock-321229807-87ca99d7,187,8,CASH_CHANGED,,OpenAI GPT 5.5,-160,buy_property,,,,,
v1,mock-321229807-87ca99d7,213,8,CASH_CHANGED,,OpenAI GPT 5.5,-500,TRADE_CASH,,,,,
v1,mock-321229807-87ca99d7,214,8,CASH_CHANGED,,Gemini 3.1 Pro Preview,500,TRADE_CASH,,,,,
v1,mock-321229807-87ca99d7,223,9,CASH_CHANGED,,Claude Opus 4.8,200,PASS_GO,,,,,
v1,mock-321229807-87ca99d7,231,10,CASH_CHANGED,,Gemini 3.1 Pro Preview,-20,RENT,,,,,
v1,mock-321229807-87ca99d7,232,10,CASH_CHANGED,,Claude Opus 4.8,20,RENT,,,,,
v1,mock-321229807-87ca99d7,233,10,RENT_PAID,,,,,Gemini 3.1 Pro Preview,Claude Opus 4.8,20,-20,20
v1,mock-321229807-87ca99d7,242,11,CASH_CHANGED,,Grok 4.3,-20,RENT,,,,,
v1,mock-321229807-87ca99d7,243,11,CASH_CHANGED,,Claude Opus 4.8,20,RENT,,,,,
