turn_index,player_id,calls,cost,input_tokens,output_tokens,reasoning_tokens,total_tokens,latency_ms
0,Claude Opus 4.8,2,0.036755,5186,433,78,5619,10824
1,Gemini 3.1 Pro Preview,2,0.010426,3119,349,237,3468,5472
2,Grok 4.3,2,0.004716,3586,604,486,4190,10362
3,Grok 4.3,2,0.005307,3967,623,508,4590,9300
4,Claude Opus 4.8,1,0.037135,5327,420,72,5747,7664
4,Gemini 3.1 Pro Preview,3,0.037462,7619,1852,1375,9471,18951
4,Grok 4.3,3,0.014377,9041,1768,1493,10809,22575
4,OpenAI GPT 5.5,9,0.231292,22214,4353,3262,26567,102267
5,Claude Opus 4.8,1,0.036975,5665,346,87,6011,6399
6,Gemini 3.1 Pro Preview,2,0.019502,6577,529,364,7106,7469
7,Grok 4.3,2,0.009638,6902,888,753,7790,11025
8,Gemini 3.1 Pro Preview,1,0.017762,3541,890,693,4431,8440
8,Grok 4.3,1,0.005638,3670,474,395,4144,6888
8,OpenAI GPT 5.5,5,0.14994,16806,2197,1640,19003,49975
10,Gemini 3.1 Pro Preview,1,0.01446,3546,614,550,4160,6629
11,Grok 4.3,1,0.004374,3571,394,332,3965,4684
12,Claude Opus 4.8,2,0.075175,11595,688,131,12283,12477
12,Gemini 3.1 Pro Preview,1,0.01968,3468,1062,851,4530,10190
12,Grok 4.3,2,0.011414,7351,1374,1171,8725,16494
12,OpenAI GPT 5.5,11,0.637325,36967,15083,13696,52050,321519
13,Claude Opus 4.8,3,0.123625,18770,1191,267,19961,23776
14,Gemini 3.1 Pro Preview,2,0.024756,7782,766,609,8548,9425
15,Grok 4.3,2,0.010692,7715,930,737,8645,13505
16,Claude Opus 4.8,1,0.045015,6888,423,66,7311,12168
16,Gemini 3.1 Pro Preview,1,0.015784,4034,643,470,4677,7176
16,Grok 4.3,3,0.017731,11895,2005,1721,13900,24674
16,OpenAI GPT 5.5,7,0.349565,25339,7429,6503,32768,163154
17,Claude Opus 4.8,1,0.0479,6810,554,172,7364,8365
18,Gemini 3.1 Pro Preview,2,0.02158,7748,507,345,8255,8309
19,Grok 4.3,1,0.005134,3949,509,421,4458,7316
20,Claude Opus 4.8,2,0.100345,14009,1212,264,15221,19158
20,Gemini 3.1 Pro Preview,1,0.012988,4214,380,295,4594,4593
20,Grok 4.3,2,0.010895,8279,1025,803,9304,13344
20,OpenAI GPT 5.5,8,0.463235,29359,10548,9367,39907,225492
21,Claude Opus 4.8,1,0.05341,7297,677,62,7974,13936
21,Gemini 3.1 Pro Preview,1,0.014596,4442,476,384,4918,5504
21,Grok 4.3,2,0.011256,8845,725,534,9570,11059
21,OpenAI GPT 5.5,5,0.34612,19886,8223,7470,28109,170789
22,Claude Opus 4.8,1,0.04709,7948,294,55,8242,5732
23,Claude Opus 4.8,2,0.08821,14807,567,113,15374,11223
24,Gemini 3.1 Pro Preview,4,0.050412,16602,1434,1132,18036,17293
25,Grok 4.3,1,0.005252,3978,542,460,4520,5983
26,Grok 4.3,1,0.005113,3756,409,316,4165,4699
26,OpenAI GPT 5.5,4,0.145285,13589,2578,2133,16167,64293
27,Claude Opus 4.8,1,0.04952,6629,655,227,7284,9887
28,Gemini 3.1 Pro Preview,1,0.013244,3550,512,438,4062,5477
29,Grok 4.3,1,0.005437,3679,389,315,4068,5400
30,Claude Opus 4.8,2,0.085015,14088,583,75,14671,11943
30,Gemini 3.1 Pro Preview,1,0.012096,3774,379,280,4153,4489
30,Grok 4.3,2,0.009985,7372,953,758,8325,10418
30,OpenAI GPT 5.5,6,0.2805,20262,5973,5128,26235,140002
31,Claude Opus 4.8,1,0.04985,7670,460,98,8130,7197
31,Grok 4.3,3,0.016617,12309,1702,1396,14011,18913
31,OpenAI GPT 5.5,6,0.28509,22410,5768,4994,28178,142205
32,Claude Opus 4.8,1,0.0462,7855,277,86,8132,4863
33,Gemini 3.1 Pro Preview,1,0.012788,4324,345,277,4669,4655
34,Grok 4.3,1,0.005584,4313,507,438,4820,8874
35,OpenAI GPT 5.5,3,0.17402,11332,3912,3606,15244,90654
36,Claude Opus 4.8,2,0.11362,14049,1735,282,15784,26274
37,Gemini 3.1 Pro Preview,1,0.012768,3960,404,327,4364,4768
38,Grok 4.3,1,0.005001,3975,443,365,4418,4043
39,OpenAI GPT 5.5,2,0.136725,6927,3403,3217,10330,77853
40,Claude Opus 4.8,1,0.04395,6675,423,137,7098,11123
41,Gemini 3.1 Pro Preview,1,0.011928,3552,402,340,3954,4680
42,Grok 4.3,1,0.005588,3624,477,400,4101,7318
43,Claude Opus 4.8,1,0.04339,6603,415,84,7018,6985
43,Gemini 3.1 Pro Preview,2,0.03233,7495,1445,1198,8940,14046
43,Grok 4.3,3,0.015216,11260,1182,982,12442,15910
43,OpenAI GPT 5.5,7,0.346275,23613,7607,6586,31220,158465
44,Claude Opus 4.8,2,0.084975,13600,679,145,14279,12299
45,Gemini 3.1 Pro Preview,1,0.011388,3870,304,238,4174,4654
46,Grok 4.3,1,0.00525,3936,562,492,4498,4930
47,Gemini 3.1 Pro Preview,2,0.032158,7847,1372,1165,9219,14246
47,Grok 4.3,1,0.004982,3880,456,362,4336,4993
47,OpenAI GPT 5.5,4,0.38175,14574,10296,9651,24870,219177
48,Claude Opus 4.8,1,0.043265,7298,271,54,7569,4776
49,Gemini 3.1 Pro Preview,1,0.011436,3876,307,236,4183,3861
50,Grok 4.3,1,0.007381,3848,1109,522,4957,8880
51,Grok 4.3,1,0.004722,3848,395,325,4243,4439
52,Claude Opus 4.8,1,0.04402,7194,322,81,7516,6120
52,Gemini 3.1 Pro Preview,1,0.013666,4109,454,359,4563,5416
52,Grok 4.3,1,0.005246,3827,588,497,4415,6144
52,OpenAI GPT 5.5,5,0.40817,18532,10517,9791,29049,228107
53,OpenAI GPT 5.5,1,0.036505,3689,602,516,4291,14186
54,Claude Opus 4.8,1,0.04676,7032,464,114,7496,7701
55,Gemini 3.1 Pro Preview,1,0.013242,3849,462,378,4311,5036
56,Grok 4.3,1,0.005717,3913,384,314,4297,5969
57,Claude Opus 4.8,1,0.04398,7371,285,45,7656,5083
57,Grok 4.3,1,0.005512,4018,599,514,4617,9576
57,OpenAI GPT 5.5,6,0.39714,21882,9591,8830,31473,216625
58,Claude Opus 4.8,1,0.069495,7249,1330,195,8579,18604
59,Gemini 3.1 Pro Preview,1,0.012452,3910,386,313,4296,4616
60,Gemini 3.1 Pro Preview,1,0.012194,3841,376,304,4217,4603
61,Grok 4.3,2,0.011444,7381,1559,1414,8940,22724
62,Gemini 3.1 Pro Preview,3,0.040382,12181,1335,952,13516,16352
62,Grok 4.3,2,0.011409,8227,934,758,9161,11883
62,OpenAI GPT 5.5,7,0.46932,25902,11327,10320,37229,254629
63,Claude Opus 4.8,1,0.05741,7472,802,102,8274,11215
64,Gemini 3.1 Pro Preview,2,0.02852,8302,993,837,9295,11446
65,Grok 4.3,1,0.00488,4090,337,277,4427,4369
66,Claude Opus 4.8,1,0.046605,7371,390,77,7761,8064
66,Grok 4.3,1,0.005566,4099,580,483,4679,8362
66,OpenAI GPT 5.5,3,0.29559,11352,7961,7510,19313,172277
67,Gemini 3.1 Pro Preview,2,0.02916,8292,1048,874,9340,11222
67,OpenAI GPT 5.5,3,0.22602,11484,5620,5168,17104,115661
68,OpenAI GPT 5.5,1,0.03689,3808,595,516,4403,14811
69,Claude Opus 4.8,1,0.055755,7441,742,193,8183,10411
70,Gemini 3.1 Pro Preview,1,0.010294,4055,182,124,4237,2927
71,Gemini 3.1 Pro Preview,1,0.011718,4047,302,235,4349,3930
72,Grok 4.3,1,0.005024,4043,418,352,4461,5525
73,Claude Opus 4.8,7,0.403515,57308,4679,922,61987,82786
73,Grok 4.3,4,0.02413,16829,1829,1441,18658,26406
73,OpenAI GPT 5.5,13,0.694655,51853,14513,12693,66366,329828
74,Claude Opus 4.8,3,0.18103,24071,2427,454,26498,38654
75,Gemini 3.1 Pro Preview,1,0.015332,4318,558,498,4876,5912
76,Grok 4.3,1,0.005502,4186,538,464,4724,6915
77,Claude Opus 4.8,1,0.051965,7068,665,180,7733,10513
77,Gemini 3.1 Pro Preview,3,0.045976,12278,1785,1456,14063,19414
77,Grok 4.3,3,0.017835,12040,2001,1693,14041,25375
77,OpenAI GPT 5.5,8,0.863915,29905,23813,22484,53718,495283
78,Claude Opus 4.8,1,0.07034,8298,1154,170,9452,18207
79,Claude Opus 4.8,1,0.051455,8271,404,132,8675,7371
80,Gemini 3.1 Pro Preview,3,0.042498,13107,1357,1076,14464,15543
81,Grok 4.3,1,0.007032,4345,694,606,5039,9170
82,Claude Opus 4.8,1,0.068965,7223,1314,255,8537,21630
82,Grok 4.3,3,0.017078,12533,1425,1126,13958,19307
82,OpenAI GPT 5.5,8,0.645764,31228,16820,15576,48048,351132
83,Claude Opus 4.8,2,0.131845,16089,2056,471,18145,34038
84,Gemini 3.1 Pro Preview,2,0.030062,8815,1036,828,9851,13183
85,Grok 4.3,1,0.006234,4219,814,740,5033,9310
86,Claude Opus 4.8,3,0.13848,22251,1089,161,23340,23731
86,Gemini 3.1 Pro Preview,1,0.020274,4473,944,844,5417,10650
86,Grok 4.3,5,0.027986,20723,3467,2891,24190,40875
86,OpenAI GPT 5.5,11,0.99177,43824,26331,24532,70155,571605
87,Claude Opus 4.8,1,0.060615,8888,647,215,9535,10499
88,Gemini 3.1 Pro Preview,1,0.013546,4775,333,246,5108,4261
89,Grok 4.3,1,0.006226,4539,463,392,5002,7135
90,Grok 4.3,1,0.006382,4280,816,694,5096,10661
90,OpenAI GPT 5.5,3,0.13889,11836,2657,2323,14493,64583
91,Claude Opus 4.8,1,0.054125,8305,504,172,8809,8520
92,Gemini 3.1 Pro Preview,2,0.039136,8672,1816,1593,10488,19900
93,Grok 4.3,1,0.005701,4054,307,238,4361,3652
94,Grok 4.3,1,0.005242,3874,563,469,4437,20252
94,OpenAI GPT 5.5,2,0.13015,7016,3169,2918,10185,69903
95,Claude Opus 4.8,5,0.45949,34818,11416,2351,46234,171240
96,Gemini 3.1 Pro Preview,2,0.045886,8975,2328,2102,11303,23814
97,Grok 4.3,1,0.005358,3832,469,404,4301,6168
98,Grok 4.3,2,0.011276,7773,1081,843,8854,17941
98,OpenAI GPT 5.5,3,0.22166,10570,5627,5171,16197,130309
99,Gemini 3.1 Pro Preview,2,0.04405,9119,2151,1927,11270,22848
100,Grok 4.3,1,0.005752,3999,355,282,4354,6683
101,Grok 4.3,1,0.005967,3971,455,380,4426,8362
102,Grok 4.3,1,0.005766,3914,403,331,4317,5569
103,Gemini 3.1 Pro Preview,1,0.012582,4209,347,281,4556,5196
103,Grok 4.3,3,0.019817,12090,2742,2376,14832,34064
103,OpenAI GPT 5.5,5,0.334915,18821,8027,7242,26848,189559
104,Gemini 3.1 Pro Preview,2,0.032936,9514,1159,931,10673,14139
105,Grok 4.3,1,0.006333,4282,634,557,4916,9273
106,OpenAI GPT 5.5,1,0.02246,3574,153,62,3727,4061
107,Gemini 3.1 Pro Preview,2,0.02778,9072,803,599,9875,11944
108,Grok 4.3,1,0.006418,4234,692,608,4926,11009
110,Grok 4.3,1,0.006257,4247,433,349,4680,6848
111,Gemini 3.1 Pro Preview,1,0.014708,3658,616,529,4274,7284
112,Grok 4.3,1,0.005892,4065,405,342,4470,7731
113,Gemini 3.1 Pro Preview,3,0.044368,11504,1780,1509,13284,20706
114,Grok 4.3,1,0.005593,3406,588,491,3994,8766
