turn_index,calls,cost,input_tokens,output_tokens,reasoning_tokens,total_tokens,latency_ms
0,2,0.036755,5186,433,78,5619,10824
1,2,0.010426,3119,349,237,3468,5472
2,2,0.004716,3586,604,486,4190,10362
3,2,0.005307,3967,623,508,4590,9300
4,16,0.320266,44201,8393,6202,52594,151457
5,1,0.036975,5665,346,87,6011,6399
6,2,0.019502,6577,529,364,7106,7469
7,2,0.009638,6902,888,753,7790,11025
8,7,0.17334,24017,3561,2728,27578,65303
10,1,0.01446,3546,614,550,4160,6629
11,1,0.004374,3571,394,332,3965,4684
12,16,0.743594,59381,18207,15849,77588,360680
13,3,0.123625,18770,1191,267,19961,23776
14,2,0.024756,7782,766,609,8548,9425
15,2,0.010692,7715,930,737,8645,13505
16,12,0.428095,48156,10500,8760,58656,207172
17,1,0.0479,6810,554,172,7364,8365
18,2,0.02158,7748,507,345,8255,8309
19,1,0.005134,3949,509,421,4458,7316
20,13,0.587463,55861,13165,10729,69026,262587
21,9,0.425382,40470,10101,8450,50571,201288
22,1,0.04709,7948,294,55,8242,5732
23,2,0.08821,14807,567,113,15374,11223
24,4,0.050412,16602,1434,1132,18036,17293
25,1,0.005252,3978,542,460,4520,5983
26,5,0.150398,17345,2987,2449,20332,68992
27,1,0.04952,6629,655,227,7284,9887
28,1,0.013244,3550,512,438,4062,5477
29,1,0.005437,3679,389,315,4068,5400
30,11,0.387596,45496,7888,6241,53384,166852
31,10,0.351557,42389,7930,6488,50319,168315
32,1,0.0462,7855,277,86,8132,4863
33,1,0.012788,4324,345,277,4669,4655
34,1,0.005584,4313,507,438,4820,8874
35,3,0.17402,11332,3912,3606,15244,90654
36,2,0.11362,14049,1735,282,15784,26274
37,1,0.012768,3960,404,327,4364,4768
38,1,0.005001,3975,443,365,4418,4043
39,2,0.136725,6927,3403,3217,10330,77853
40,1,0.04395,6675,423,137,7098,11123
41,1,0.011928,3552,402,340,3954,4680
42,1,0.005588,3624,477,400,4101,7318
43,13,0.437211,48971,10649,8850,59620,195406
44,2,0.084975,13600,679,145,14279,12299
45,1,0.011388,3870,304,238,4174,4654
46,1,0.00525,3936,562,492,4498,4930
47,7,0.41889,26301,12124,11178,38425,238416
48,1,0.043265,7298,271,54,7569,4776
49,1,0.011436,3876,307,236,4183,3861
50,1,0.007381,3848,1109,522,4957,8880
51,1,0.004722,3848,395,325,4243,4439
52,8,0.471102,33662,11881,10728,45543,245787
53,1,0.036505,3689,602,516,4291,14186
54,1,0.04676,7032,464,114,7496,7701
55,1,0.013242,3849,462,378,4311,5036
56,1,0.005717,3913,384,314,4297,5969
57,8,0.446632,33271,10475,9389,43746,231284
58,1,0.069495,7249,1330,195,8579,18604
59,1,0.012452,3910,386,313,4296,4616
60,1,0.012194,3841,376,304,4217,4603
61,2,0.011444,7381,1559,1414,8940,22724
62,12,0.521111,46310,13596,12030,59906,282864
63,1,0.05741,7472,802,102,8274,11215
64,2,0.02852,8302,993,837,9295,11446
65,1,0.00488,4090,337,277,4427,4369
66,5,0.347761,22822,8931,8070,31753,188703
67,5,0.25518,19776,6668,6042,26444,126883
68,1,0.03689,3808,595,516,4403,14811
69,1,0.055755,7441,742,193,8183,10411
70,1,0.010294,4055,182,124,4237,2927
71,1,0.011718,4047,302,235,4349,3930
72,1,0.005024,4043,418,352,4461,5525
73,24,1.1223,125990,21021,15056,147011,439020
74,3,0.18103,24071,2427,454,26498,38654
75,1,0.015332,4318,558,498,4876,5912
76,1,0.005502,4186,538,464,4724,6915
77,15,0.979691,61291,28264,25813,89555,550585
78,1,0.07034,8298,1154,170,9452,18207
79,1,0.051455,8271,404,132,8675,7371
80,3,0.042498,13107,1357,1076,14464,15543
81,1,0.007032,4345,694,606,5039,9170
82,12,0.731807,50984,19559,16957,70543,392069
83,2,0.131845,16089,2056,471,18145,34038
84,2,0.030062,8815,1036,828,9851,13183
85,1,0.006234,4219,814,740,5033,9310
86,20,1.17851,91271,31831,28428,123102,646861
87,1,0.060615,8888,647,215,9535,10499
88,1,0.013546,4775,333,246,5108,4261
89,1,0.006226,4539,463,392,5002,7135
90,4,0.145272,16116,3473,3017,19589,75244
91,1,0.054125,8305,504,172,8809,8520
92,2,0.039136,8672,1816,1593,10488,19900
93,1,0.005701,4054,307,238,4361,3652
94,3,0.135392,10890,3732,3387,14622,90155
95,5,0.45949,34818,11416,2351,46234,171240
96,2,0.045886,8975,2328,2102,11303,23814
97,1,0.005358,3832,469,404,4301,6168
98,5,0.232936,18343,6708,6014,25051,148250
99,2,0.04405,9119,2151,1927,11270,22848
100,1,0.005752,3999,355,282,4354,6683
101,1,0.005967,3971,455,380,4426,8362
102,1,0.005766,3914,403,331,4317,5569
103,9,0.367314,35120,11116,9899,46236,228819
104,2,0.032936,9514,1159,931,10673,14139
105,1,0.006333,4282,634,557,4916,9273
106,1,0.02246,3574,153,62,3727,4061
107,2,0.02778,9072,803,599,9875,11944
108,1,0.006418,4234,692,608,4926,11009
110,1,0.006257,4247,433,349,4680,6848
111,1,0.014708,3658,616,529,4274,7284
112,1,0.005892,4065,405,342,4470,7731
113,3,0.044368,11504,1780,1509,13284,20706
114,1,0.005593,3406,588,491,3994,8766
