auction_id,turn_index,property_space,player_id,observed_eligible,participated_with_bid,bid_count,first_bid,last_bid,maximum_bid,dropped_out,won,winning_bid,list_price,winner_bid_to_list_ratio,auction_reason
auction-0001,62,STATES_AVENUE,Claude Opus 4.8,True,False,0,,,,True,False,,140,,SOLD
auction-0001,62,STATES_AVENUE,Gemini 3.1 Pro Preview,True,True,1,220,220,220,True,False,,140,,SOLD
auction-0001,62,STATES_AVENUE,Grok 4.3,True,False,0,,,,True,False,,140,,SOLD
auction-0001,62,STATES_AVENUE,OpenAI GPT 5.5,True,True,2,201,280,280,False,True,280,140,2.0,SOLD
auction-0002,80,VIRGINIA_AVENUE,Claude Opus 4.8,True,True,2,260,380,380,True,False,,160,,SOLD
auction-0002,80,VIRGINIA_AVENUE,Gemini 3.1 Pro Preview,True,False,0,,,,True,False,,160,,SOLD
auction-0002,80,VIRGINIA_AVENUE,Grok 4.3,True,False,0,,,,True,False,,160,,SOLD
auction-0002,80,VIRGINIA_AVENUE,OpenAI GPT 5.5,True,True,3,200,480,480,False,True,480,160,3.0,SOLD
auction-0003,86,PARK_PLACE,Claude Opus 4.8,True,True,2,250,450,450,True,False,,350,,SOLD
auction-0003,86,PARK_PLACE,Gemini 3.1 Pro Preview,True,True,2,360,600,600,False,True,600,350,1.714286,SOLD
auction-0003,86,PARK_PLACE,Grok 4.3,True,False,0,,,,True,False,,350,,SOLD
auction-0003,86,PARK_PLACE,OpenAI GPT 5.5,True,True,1,101,101,101,True,False,,350,,SOLD
auction-0004,113,VENTNOR_AVENUE,Claude Opus 4.8,True,False,0,,,,True,False,,260,,SOLD
auction-0004,113,VENTNOR_AVENUE,Gemini 3.1 Pro Preview,True,False,0,,,,True,False,,260,,SOLD
auction-0004,113,VENTNOR_AVENUE,Grok 4.3,True,False,0,,,,True,False,,260,,SOLD
auction-0004,113,VENTNOR_AVENUE,OpenAI GPT 5.5,True,True,1,61,61,61,False,True,61,260,0.234615,SOLD
