event_id,seq,turn_index,player_id,reason,delta,cash_before,cash_after,running_peak,drawdown_from_peak
mock-1038910349-f66fa07c-evt-000014,14,1,Gemini 3.1 Pro Preview,BUILDING_LOAN_MATURES_RECEIVE_150,150,1500,1650,1650,0
mock-1038910349-f66fa07c-evt-000028,28,2,Grok 4.3,buy_property,-100,1500,1400,1500,100
mock-1038910349-f66fa07c-evt-000042,42,3,Grok 4.3,buy_property,-180,1400,1220,1500,280
mock-1038910349-f66fa07c-evt-000057,57,5,OpenAI GPT 5.5,INCOME_TAX_REFUND_COLLECT_20,20,1500,1520,1520,0
mock-1038910349-f66fa07c-evt-000103,103,6,OpenAI GPT 5.5,buy_property,-400,1520,1120,1520,400
mock-1038910349-f66fa07c-evt-000127,127,7,Claude Opus 4.8,buy_property,-180,1500,1320,1500,180
mock-1038910349-f66fa07c-evt-000141,141,8,Gemini 3.1 Pro Preview,buy_property,-140,1650,1510,1650,140
mock-1038910349-f66fa07c-evt-000157,157,10,OpenAI GPT 5.5,PASS_GO,200,1120,1320,1520,200
mock-1038910349-f66fa07c-evt-000158,158,10,OpenAI GPT 5.5,RENT,-6,1320,1314,1520,206
mock-1038910349-f66fa07c-evt-000159,159,10,Grok 4.3,RENT,6,1220,1226,1500,274
mock-1038910349-f66fa07c-evt-000214,214,11,Claude Opus 4.8,buy_property,-200,1320,1120,1500,380
mock-1038910349-f66fa07c-evt-000228,228,12,Gemini 3.1 Pro Preview,buy_property,-200,1510,1310,1650,340
mock-1038910349-f66fa07c-evt-000242,242,13,Gemini 3.1 Pro Preview,buy_property,-280,1310,1030,1650,620
mock-1038910349-f66fa07c-evt-000252,252,14,Gemini 3.1 Pro Preview,BANK_PAYS_YOU_DIVIDEND_50,50,1030,1080,1650,570
mock-1038910349-f66fa07c-evt-000268,268,16,OpenAI GPT 5.5,RENT,-14,1314,1300,1520,220
mock-1038910349-f66fa07c-evt-000269,269,16,Claude Opus 4.8,RENT,14,1120,1134,1500,366
mock-1038910349-f66fa07c-evt-000279,279,17,Claude Opus 4.8,RENT,-24,1134,1110,1500,390
mock-1038910349-f66fa07c-evt-000280,280,17,Gemini 3.1 Pro Preview,RENT,24,1080,1104,1650,546
mock-1038910349-f66fa07c-evt-000290,290,18,Claude Opus 4.8,RENT,-50,1110,1060,1500,440
mock-1038910349-f66fa07c-evt-000291,291,18,OpenAI GPT 5.5,RENT,50,1300,1350,1520,170
mock-1038910349-f66fa07c-evt-000301,301,19,Gemini 3.1 Pro Preview,PASS_GO,200,1104,1304,1650,346
mock-1038910349-f66fa07c-evt-000307,307,19,Gemini 3.1 Pro Preview,buy_property,-200,1304,1104,1650,546
mock-1038910349-f66fa07c-evt-000323,323,20,Grok 4.3,JAIL_FINE,-50,1226,1176,1500,324
mock-1038910349-f66fa07c-evt-000326,326,20,Grok 4.3,RENT,-14,1176,1162,1500,338
mock-1038910349-f66fa07c-evt-000327,327,20,Claude Opus 4.8,RENT,14,1060,1074,1500,426
mock-1038910349-f66fa07c-evt-000375,375,22,Claude Opus 4.8,PASS_GO,200,1074,1274,1500,226
mock-1038910349-f66fa07c-evt-000381,381,22,Claude Opus 4.8,buy_property,-100,1274,1174,1500,326
mock-1038910349-f66fa07c-evt-000411,411,25,Grok 4.3,buy_property,-240,1162,922,1500,578
mock-1038910349-f66fa07c-evt-000430,430,26,OpenAI GPT 5.5,RENT,-20,1350,1330,1520,190
mock-1038910349-f66fa07c-evt-000431,431,26,Grok 4.3,RENT,20,922,942,1500,558
mock-1038910349-f66fa07c-evt-000446,446,27,Claude Opus 4.8,buy_property,-150,1174,1024,1500,476
mock-1038910349-f66fa07c-evt-000460,460,28,Gemini 3.1 Pro Preview,buy_property,-260,1104,844,1650,806
mock-1038910349-f66fa07c-evt-000474,474,29,Grok 4.3,buy_property,-320,942,622,1500,878
mock-1038910349-f66fa07c-evt-000498,498,30,OpenAI GPT 5.5,buy_property,-300,1330,1030,1520,490
mock-1038910349-f66fa07c-evt-000529,529,31,Claude Opus 4.8,PASS_GO,200,1024,1224,1500,276
mock-1038910349-f66fa07c-evt-000546,546,33,Grok 4.3,PASS_GO,200,622,822,1500,678
mock-1038910349-f66fa07c-evt-000552,552,33,Grok 4.3,buy_property,-60,822,762,1500,738
mock-1038910349-f66fa07c-evt-000582,582,36,Claude Opus 4.8,buy_property,-220,1224,1004,1500,496
mock-1038910349-f66fa07c-evt-000593,593,37,Gemini 3.1 Pro Preview,PASS_GO,200,844,1044,1650,606
mock-1038910349-f66fa07c-evt-000607,607,38,Grok 4.3,buy_property,-120,762,642,1500,858
mock-1038910349-f66fa07c-evt-000616,616,39,OpenAI GPT 5.5,PASS_GO,200,1030,1230,1520,290
mock-1038910349-f66fa07c-evt-000619,619,39,OpenAI GPT 5.5,TAX_INCOME,-200,1230,1030,1520,490
mock-1038910349-f66fa07c-evt-000633,633,40,Claude Opus 4.8,buy_property,-300,1004,704,1500,796
mock-1038910349-f66fa07c-evt-000642,642,41,Gemini 3.1 Pro Preview,RENT,-14,1044,1030,1650,620
mock-1038910349-f66fa07c-evt-000643,643,41,Claude Opus 4.8,RENT,14,704,718,1500,782
mock-1038910349-f66fa07c-evt-000653,653,42,Grok 4.3,RENT,-16,642,626,1500,874
mock-1038910349-f66fa07c-evt-000654,654,42,Gemini 3.1 Pro Preview,RENT,16,1030,1046,1650,604
mock-1038910349-f66fa07c-evt-000664,664,43,Grok 4.3,RENT,-25,626,601,1500,899
mock-1038910349-f66fa07c-evt-000665,665,43,Claude Opus 4.8,RENT,25,718,743,1500,757
mock-1038910349-f66fa07c-evt-000675,675,44,OpenAI GPT 5.5,RENT,-6,1030,1024,1520,496
mock-1038910349-f66fa07c-evt-000676,676,44,Claude Opus 4.8,RENT,6,743,749,1500,751
mock-1038910349-f66fa07c-evt-000726,726,45,OpenAI GPT 5.5,RENT,-14,1024,1010,1520,510
mock-1038910349-f66fa07c-evt-000727,727,45,Claude Opus 4.8,RENT,14,749,763,1500,737
mock-1038910349-f66fa07c-evt-000757,757,46,OpenAI GPT 5.5,RENT,-20,1010,990,1520,530
mock-1038910349-f66fa07c-evt-000758,758,46,Grok 4.3,RENT,20,601,621,1500,879
mock-1038910349-f66fa07c-evt-000790,790,46,OpenAI GPT 5.5,TRADE_CASH,-350,990,640,1520,880
mock-1038910349-f66fa07c-evt-000791,791,46,Gemini 3.1 Pro Preview,TRADE_CASH,350,1046,1396,1650,254
mock-1038910349-f66fa07c-evt-000803,803,47,Claude Opus 4.8,PASS_GO,200,763,963,1500,537
mock-1038910349-f66fa07c-evt-000814,814,48,Gemini 3.1 Pro Preview,PASS_GO,200,1396,1596,1650,54
mock-1038910349-f66fa07c-evt-000828,828,49,Grok 4.3,buy_property,-200,621,421,1500,1079
mock-1038910349-f66fa07c-evt-000837,837,50,OpenAI GPT 5.5,RENT,-24,640,616,1520,904
mock-1038910349-f66fa07c-evt-000838,838,50,Gemini 3.1 Pro Preview,RENT,24,1596,1620,1650,30
mock-1038910349-f66fa07c-evt-000858,858,51,Claude Opus 4.8,TRADE_CASH,-320,963,643,1500,857
mock-1038910349-f66fa07c-evt-000859,859,51,Grok 4.3,TRADE_CASH,320,421,741,1500,759
mock-1038910349-f66fa07c-evt-000866,866,51,Claude Opus 4.8,BUILD,-450,643,193,1500,1307
mock-1038910349-f66fa07c-evt-000874,874,51,Claude Opus 4.8,BUILD,-50,193,143,1500,1357
mock-1038910349-f66fa07c-evt-000884,884,52,Gemini 3.1 Pro Preview,RENT,-28,1620,1592,1650,58
mock-1038910349-f66fa07c-evt-000885,885,52,Claude Opus 4.8,RENT,28,143,171,1500,1329
mock-1038910349-f66fa07c-evt-000895,895,53,Grok 4.3,PASS_GO,200,741,941,1500,559
mock-1038910349-f66fa07c-evt-000904,904,54,OpenAI GPT 5.5,PASS_GO,200,616,816,1520,704
mock-1038910349-f66fa07c-evt-000923,923,55,Claude Opus 4.8,RENT,-22,171,149,1500,1351
mock-1038910349-f66fa07c-evt-000924,924,55,Gemini 3.1 Pro Preview,RENT,22,1592,1614,1650,36
mock-1038910349-f66fa07c-evt-000930,930,55,Claude Opus 4.8,BUILD,-100,149,49,1500,1451
mock-1038910349-f66fa07c-evt-000941,941,56,Claude Opus 4.8,RENT,-24,49,25,1500,1475
mock-1038910349-f66fa07c-evt-000942,942,56,Gemini 3.1 Pro Preview,RENT,24,1614,1638,1650,12
mock-1038910349-f66fa07c-evt-000948,948,56,Claude Opus 4.8,MORTGAGE,75,25,100,1500,1400
mock-1038910349-f66fa07c-evt-000959,959,57,Gemini 3.1 Pro Preview,BANK_ERROR_COLLECT_200,200,1638,1838,1838,0
mock-1038910349-f66fa07c-evt-000986,986,60,Claude Opus 4.8,PASS_GO,200,100,300,1500,1200
mock-1038910349-f66fa07c-evt-000991,991,60,Claude Opus 4.8,BUILD,-150,300,150,1500,1350
mock-1038910349-f66fa07c-evt-001004,1004,61,Gemini 3.1 Pro Preview,ELECTED_CHAIRMAN_PAY_EACH_PLAYER_50,-50,1838,1788,1838,50
mock-1038910349-f66fa07c-evt-001005,1005,61,Claude Opus 4.8,ELECTED_CHAIRMAN_PAY_EACH_PLAYER_50,50,150,200,1500,1300
mock-1038910349-f66fa07c-evt-001006,1006,61,Gemini 3.1 Pro Preview,ELECTED_CHAIRMAN_PAY_EACH_PLAYER_50,-50,1788,1738,1838,100
mock-1038910349-f66fa07c-evt-001007,1007,61,Grok 4.3,ELECTED_CHAIRMAN_PAY_EACH_PLAYER_50,50,941,991,1500,509
mock-1038910349-f66fa07c-evt-001008,1008,61,Gemini 3.1 Pro Preview,ELECTED_CHAIRMAN_PAY_EACH_PLAYER_50,-50,1738,1688,1838,150
mock-1038910349-f66fa07c-evt-001009,1009,61,OpenAI GPT 5.5,ELECTED_CHAIRMAN_PAY_EACH_PLAYER_50,50,816,866,1520,654
mock-1038910349-f66fa07c-evt-001054,1054,62,OpenAI GPT 5.5,auction_bid,-280,866,586,1520,934
mock-1038910349-f66fa07c-evt-001065,1065,63,OpenAI GPT 5.5,CONSULTANCY_FEE_COLLECT_25,25,586,611,1520,909
mock-1038910349-f66fa07c-evt-001100,1100,67,Grok 4.3,buy_property,-220,991,771,1500,729
mock-1038910349-f66fa07c-evt-001114,1114,68,OpenAI GPT 5.5,buy_property,-150,611,461,1520,1059
mock-1038910349-f66fa07c-evt-001137,1137,71,Grok 4.3,RENT,-24,771,747,1500,753
mock-1038910349-f66fa07c-evt-001138,1138,71,Gemini 3.1 Pro Preview,RENT,24,1688,1712,1838,126
mock-1038910349-f66fa07c-evt-001148,1148,72,OpenAI GPT 5.5,RENT,-25,461,436,1520,1084
mock-1038910349-f66fa07c-evt-001149,1149,72,Grok 4.3,RENT,25,747,772,1500,728
mock-1038910349-f66fa07c-evt-001178,1178,75,Grok 4.3,TAX_LUXURY,-100,772,672,1500,828
mock-1038910349-f66fa07c-evt-001197,1197,76,OpenAI GPT 5.5,PASS_GO,200,436,636,1520,884
mock-1038910349-f66fa07c-evt-001221,1221,78,Gemini 3.1 Pro Preview,JAIL_FINE,-50,1712,1662,1838,176
mock-1038910349-f66fa07c-evt-001224,1224,78,Gemini 3.1 Pro Preview,RENT,-14,1662,1648,1838,190
mock-1038910349-f66fa07c-evt-001225,1225,78,Grok 4.3,RENT,14,672,686,1500,814
mock-1038910349-f66fa07c-evt-001235,1235,79,Grok 4.3,PASS_GO,200,686,886,1500,614
mock-1038910349-f66fa07c-evt-001236,1236,79,Grok 4.3,RENT,-550,886,336,1500,1164
mock-1038910349-f66fa07c-evt-001237,1237,79,Claude Opus 4.8,RENT,550,200,750,1500,750
mock-1038910349-f66fa07c-evt-001293,1293,80,OpenAI GPT 5.5,auction_bid,-480,636,156,1520,1364
mock-1038910349-f66fa07c-evt-001307,1307,81,OpenAI GPT 5.5,MORTGAGE,200,156,356,1520,1164
mock-1038910349-f66fa07c-evt-001313,1313,81,OpenAI GPT 5.5,MORTGAGE,150,356,506,1520,1014
mock-1038910349-f66fa07c-evt-001319,1319,81,OpenAI GPT 5.5,MORTGAGE,75,506,581,1520,939
mock-1038910349-f66fa07c-evt-001321,1321,81,OpenAI GPT 5.5,RENT,-550,581,31,1520,1489
mock-1038910349-f66fa07c-evt-001322,1322,81,Claude Opus 4.8,RENT,550,750,1300,1500,200
mock-1038910349-f66fa07c-evt-001349,1349,81,Gemini 3.1 Pro Preview,TRADE_CASH,-130,1648,1518,1838,320
mock-1038910349-f66fa07c-evt-001350,1350,81,OpenAI GPT 5.5,TRADE_CASH,130,31,161,1520,1359
mock-1038910349-f66fa07c-evt-001352,1352,81,Gemini 3.1 Pro Preview,MORTGAGE_INTEREST,-20,1518,1498,1838,340
mock-1038910349-f66fa07c-evt-001357,1357,81,OpenAI GPT 5.5,BUILD,-100,161,61,1520,1459
mock-1038910349-f66fa07c-evt-001369,1369,81,Grok 4.3,TRADE_CASH,-100,336,236,1500,1264
mock-1038910349-f66fa07c-evt-001370,1370,81,OpenAI GPT 5.5,TRADE_CASH,100,61,161,1520,1359
mock-1038910349-f66fa07c-evt-001372,1372,81,Grok 4.3,MORTGAGE_INTEREST,-15,236,221,1500,1279
mock-1038910349-f66fa07c-evt-001377,1377,81,OpenAI GPT 5.5,BUILD,-100,161,61,1520,1459
mock-1038910349-f66fa07c-evt-001409,1409,81,Gemini 3.1 Pro Preview,TRADE_CASH,-40,1498,1458,1838,380
mock-1038910349-f66fa07c-evt-001410,1410,81,OpenAI GPT 5.5,TRADE_CASH,40,61,101,1520,1419
mock-1038910349-f66fa07c-evt-001412,1412,81,Gemini 3.1 Pro Preview,MORTGAGE_INTEREST,-8,1458,1450,1838,388
mock-1038910349-f66fa07c-evt-001421,1421,82,Claude Opus 4.8,PASS_GO,200,1300,1500,1500,0
mock-1038910349-f66fa07c-evt-001430,1430,83,Gemini 3.1 Pro Preview,RENT,-18,1450,1432,1838,406
mock-1038910349-f66fa07c-evt-001431,1431,83,Grok 4.3,RENT,18,221,239,1500,1261
mock-1038910349-f66fa07c-evt-001441,1441,84,Grok 4.3,RENT,-22,239,217,1500,1283
mock-1038910349-f66fa07c-evt-001442,1442,84,Gemini 3.1 Pro Preview,RENT,22,1432,1454,1838,384
mock-1038910349-f66fa07c-evt-001506,1506,86,Gemini 3.1 Pro Preview,auction_bid,-600,1454,854,1838,984
mock-1038910349-f66fa07c-evt-001516,1516,87,OpenAI GPT 5.5,RENT,-14,101,87,1520,1433
mock-1038910349-f66fa07c-evt-001517,1517,87,Claude Opus 4.8,RENT,14,1500,1514,1514,0
mock-1038910349-f66fa07c-evt-001527,1527,88,Claude Opus 4.8,RENT,-25,1514,1489,1514,25
mock-1038910349-f66fa07c-evt-001528,1528,88,Gemini 3.1 Pro Preview,RENT,25,854,879,1838,959
mock-1038910349-f66fa07c-evt-001542,1542,89,Gemini 3.1 Pro Preview,UNMORTGAGE,-221,879,658,1838,1180
mock-1038910349-f66fa07c-evt-001548,1548,89,Gemini 3.1 Pro Preview,BUILD,-400,658,258,1838,1580
