schema_version,run_id,seq,turn_index,event_type,decision_id,player_id,from_player_id,to_player_id,space_index,property_space,amount,reason
v1,mock-1038910349-f66fa07c,27,2,PROPERTY_PURCHASED,,Grok 4.3,,,8,,100,
v1,mock-1038910349-f66fa07c,41,3,PROPERTY_PURCHASED,,Grok 4.3,,,18,,180,
v1,mock-1038910349-f66fa07c,102,6,PROPERTY_PURCHASED,,OpenAI GPT 5.5,,,39,,400,
v1,mock-1038910349-f66fa07c,126,7,PROPERTY_PURCHASED,,Claude Opus 4.8,,,16,,180,
v1,mock-1038910349-f66fa07c,140,8,PROPERTY_PURCHASED,,Gemini 3.1 Pro Preview,,,11,,140,
v1,mock-1038910349-f66fa07c,213,11,PROPERTY_PURCHASED,,Claude Opus 4.8,,,25,,200,
v1,mock-1038910349-f66fa07c,227,12,PROPERTY_PURCHASED,,Gemini 3.1 Pro Preview,,,19,,200,
v1,mock-1038910349-f66fa07c,241,13,PROPERTY_PURCHASED,,Gemini 3.1 Pro Preview,,,29,,280,
v1,mock-1038910349-f66fa07c,306,19,PROPERTY_PURCHASED,,Gemini 3.1 Pro Preview,,,5,,200,
v1,mock-1038910349-f66fa07c,380,22,PROPERTY_PURCHASED,,Claude Opus 4.8,,,6,,100,
v1,mock-1038910349-f66fa07c,410,25,PROPERTY_PURCHASED,,Grok 4.3,,,24,,240,
v1,mock-1038910349-f66fa07c,445,27,PROPERTY_PURCHASED,,Claude Opus 4.8,,,12,,150,
v1,mock-1038910349-f66fa07c,459,28,PROPERTY_PURCHASED,,Gemini 3.1 Pro Preview,,,26,,260,
v1,mock-1038910349-f66fa07c,473,29,PROPERTY_PURCHASED,,Grok 4.3,,,34,,320,
v1,mock-1038910349-f66fa07c,497,30,PROPERTY_PURCHASED,,OpenAI GPT 5.5,,,32,,300,
v1,mock-1038910349-f66fa07c,551,33,PROPERTY_PURCHASED,,Grok 4.3,,,3,,60,
v1,mock-1038910349-f66fa07c,581,36,PROPERTY_PURCHASED,,Claude Opus 4.8,,,23,,220,
v1,mock-1038910349-f66fa07c,606,38,PROPERTY_PURCHASED,,Grok 4.3,,,9,,120,
v1,mock-1038910349-f66fa07c,632,40,PROPERTY_PURCHASED,,Claude Opus 4.8,,,31,,300,
v1,mock-1038910349-f66fa07c,792,46,PROPERTY_TRANSFERRED,,OpenAI GPT 5.5,Gemini 3.1 Pro Preview,OpenAI GPT 5.5,11,,,
v1,mock-1038910349-f66fa07c,827,49,PROPERTY_PURCHASED,,Grok 4.3,,,35,,200,
v1,mock-1038910349-f66fa07c,860,51,PROPERTY_TRANSFERRED,,Claude Opus 4.8,Grok 4.3,Claude Opus 4.8,8,,,
v1,mock-1038910349-f66fa07c,861,51,PROPERTY_TRANSFERRED,,Claude Opus 4.8,Grok 4.3,Claude Opus 4.8,9,,,
v1,mock-1038910349-f66fa07c,867,51,HOUSE_BUILT,,Claude Opus 4.8,,,6,,3,
v1,mock-1038910349-f66fa07c,868,51,HOUSE_BUILT,,Claude Opus 4.8,,,8,,3,
v1,mock-1038910349-f66fa07c,869,51,HOUSE_BUILT,,Claude Opus 4.8,,,9,,3,
v1,mock-1038910349-f66fa07c,875,51,HOUSE_BUILT,,Claude Opus 4.8,,,9,,1,
v1,mock-1038910349-f66fa07c,931,55,HOUSE_BUILT,,Claude Opus 4.8,,,6,,1,
v1,mock-1038910349-f66fa07c,932,55,HOUSE_BUILT,,Claude Opus 4.8,,,8,,1,
v1,mock-1038910349-f66fa07c,949,56,PROPERTY_MORTGAGED,,Claude Opus 4.8,,,12,,,
v1,mock-1038910349-f66fa07c,992,60,HOTEL_BUILT,,Claude Opus 4.8,,,6,,1,
v1,mock-1038910349-f66fa07c,993,60,HOTEL_BUILT,,Claude Opus 4.8,,,8,,1,
v1,mock-1038910349-f66fa07c,994,60,HOTEL_BUILT,,Claude Opus 4.8,,,9,,1,
v1,mock-1038910349-f66fa07c,1053,62,PROPERTY_PURCHASED,,OpenAI GPT 5.5,,,13,,280,
v1,mock-1038910349-f66fa07c,1099,67,PROPERTY_PURCHASED,,Grok 4.3,,,21,,220,
v1,mock-1038910349-f66fa07c,1113,68,PROPERTY_PURCHASED,,OpenAI GPT 5.5,,,28,,150,
v1,mock-1038910349-f66fa07c,1292,80,PROPERTY_PURCHASED,,OpenAI GPT 5.5,,,14,,480,
v1,mock-1038910349-f66fa07c,1308,81,PROPERTY_MORTGAGED,,OpenAI GPT 5.5,,,39,,,
v1,mock-1038910349-f66fa07c,1314,81,PROPERTY_MORTGAGED,,OpenAI GPT 5.5,,,32,,,
v1,mock-1038910349-f66fa07c,1320,81,PROPERTY_MORTGAGED,,OpenAI GPT 5.5,,,28,,,
