turn_index,phase,active_player_id,houses_remaining,hotels_remaining,snapshot_file
0,START_TURN,Claude Opus 4.8,32,12,turn_0000.json
1,START_TURN,Gemini 3.1 Pro Preview,32,12,turn_0001.json
2,START_TURN,Grok 4.3,32,12,turn_0002.json
3,START_TURN,Grok 4.3,32,12,turn_0003.json
4,START_TURN,Grok 4.3,32,12,turn_0004.json
5,START_TURN,OpenAI GPT 5.5,32,12,turn_0005.json
6,START_TURN,OpenAI GPT 5.5,32,12,turn_0006.json
7,START_TURN,Claude Opus 4.8,32,12,turn_0007.json
8,START_TURN,Gemini 3.1 Pro Preview,32,12,turn_0008.json
9,START_TURN,Grok 4.3,32,12,turn_0009.json
10,START_TURN,OpenAI GPT 5.5,32,12,turn_0010.json
11,START_TURN,Claude Opus 4.8,32,12,turn_0011.json
12,START_TURN,Gemini 3.1 Pro Preview,32,12,turn_0012.json
13,START_TURN,Gemini 3.1 Pro Preview,32,12,turn_0013.json
14,START_TURN,Gemini 3.1 Pro Preview,32,12,turn_0014.json
15,START_TURN,Grok 4.3,32,12,turn_0015.json
16,START_TURN,OpenAI GPT 5.5,32,12,turn_0016.json
17,START_TURN,Claude Opus 4.8,32,12,turn_0017.json
18,START_TURN,Claude Opus 4.8,32,12,turn_0018.json
19,START_TURN,Gemini 3.1 Pro Preview,32,12,turn_0019.json
20,START_TURN,Grok 4.3,32,12,turn_0020.json
21,START_TURN,OpenAI GPT 5.5,32,12,turn_0021.json
22,START_TURN,Claude Opus 4.8,32,12,turn_0022.json
23,START_TURN,Gemini 3.1 Pro Preview,32,12,turn_0023.json
24,START_TURN,Gemini 3.1 Pro Preview,32,12,turn_0024.json
25,START_TURN,Grok 4.3,32,12,turn_0025.json
26,START_TURN,OpenAI GPT 5.5,32,12,turn_0026.json
27,START_TURN,Claude Opus 4.8,32,12,turn_0027.json
28,START_TURN,Gemini 3.1 Pro Preview,32,12,turn_0028.json
29,START_TURN,Grok 4.3,32,12,turn_0029.json
30,START_TURN,OpenAI GPT 5.5,32,12,turn_0030.json
31,START_TURN,Claude Opus 4.8,32,12,turn_0031.json
32,START_TURN,Gemini 3.1 Pro Preview,32,12,turn_0032.json
33,START_TURN,Grok 4.3,32,12,turn_0033.json
34,START_TURN,OpenAI GPT 5.5,32,12,turn_0034.json
35,START_TURN,Claude Opus 4.8,32,12,turn_0035.json
36,START_TURN,Claude Opus 4.8,32,12,turn_0036.json
37,START_TURN,Gemini 3.1 Pro Preview,32,12,turn_0037.json
38,START_TURN,Grok 4.3,32,12,turn_0038.json
39,START_TURN,OpenAI GPT 5.5,32,12,turn_0039.json
40,START_TURN,Claude Opus 4.8,32,12,turn_0040.json
41,START_TURN,Gemini 3.1 Pro Preview,32,12,turn_0041.json
42,START_TURN,Grok 4.3,32,12,turn_0042.json
43,START_TURN,Grok 4.3,32,12,turn_0043.json
44,START_TURN,OpenAI GPT 5.5,32,12,turn_0044.json
45,START_TURN,OpenAI GPT 5.5,32,12,turn_0045.json
46,START_TURN,OpenAI GPT 5.5,32,12,turn_0046.json
47,START_TURN,Claude Opus 4.8,32,12,turn_0047.json
48,START_TURN,Gemini 3.1 Pro Preview,32,12,turn_0048.json
49,START_TURN,Grok 4.3,32,12,turn_0049.json
50,START_TURN,OpenAI GPT 5.5,32,12,turn_0050.json
51,START_TURN,Claude Opus 4.8,32,12,turn_0051.json
52,START_TURN,Gemini 3.1 Pro Preview,22,12,turn_0052.json
53,START_TURN,Grok 4.3,22,12,turn_0053.json
54,START_TURN,OpenAI GPT 5.5,22,12,turn_0054.json
55,START_TURN,Claude Opus 4.8,22,12,turn_0055.json
56,START_TURN,Claude Opus 4.8,20,12,turn_0056.json
57,START_TURN,Gemini 3.1 Pro Preview,20,12,turn_0057.json
58,START_TURN,Grok 4.3,20,12,turn_0058.json
59,START_TURN,OpenAI GPT 5.5,20,12,turn_0059.json
60,START_TURN,Claude Opus 4.8,20,12,turn_0060.json
61,START_TURN,Gemini 3.1 Pro Preview,32,9,turn_0061.json
62,START_TURN,Grok 4.3,32,9,turn_0062.json
63,START_TURN,OpenAI GPT 5.5,32,9,turn_0063.json
64,START_TURN,Claude Opus 4.8,32,9,turn_0064.json
65,START_TURN,Gemini 3.1 Pro Preview,32,9,turn_0065.json
66,START_TURN,Gemini 3.1 Pro Preview,32,9,turn_0066.json
67,START_TURN,Grok 4.3,32,9,turn_0067.json
68,START_TURN,OpenAI GPT 5.5,32,9,turn_0068.json
69,START_TURN,Claude Opus 4.8,32,9,turn_0069.json
70,START_TURN,Gemini 3.1 Pro Preview,32,9,turn_0070.json
71,START_TURN,Grok 4.3,32,9,turn_0071.json
72,START_TURN,OpenAI GPT 5.5,32,9,turn_0072.json
73,START_TURN,Claude Opus 4.8,32,9,turn_0073.json
74,START_TURN,Gemini 3.1 Pro Preview,32,9,turn_0074.json
75,START_TURN,Grok 4.3,32,9,turn_0075.json
76,START_TURN,OpenAI GPT 5.5,32,9,turn_0076.json
77,START_TURN,Claude Opus 4.8,32,9,turn_0077.json
78,START_TURN,Gemini 3.1 Pro Preview,32,9,turn_0078.json
79,START_TURN,Grok 4.3,32,9,turn_0079.json
80,START_TURN,Grok 4.3,32,9,turn_0080.json
81,START_TURN,OpenAI GPT 5.5,32,9,turn_0081.json
82,START_TURN,Claude Opus 4.8,30,9,turn_0082.json
83,START_TURN,Gemini 3.1 Pro Preview,30,9,turn_0083.json
84,START_TURN,Grok 4.3,30,9,turn_0084.json
85,START_TURN,Grok 4.3,30,9,turn_0085.json
86,START_TURN,Grok 4.3,30,9,turn_0086.json
87,START_TURN,OpenAI GPT 5.5,30,9,turn_0087.json
88,START_TURN,Claude Opus 4.8,30,9,turn_0088.json
89,START_TURN,Gemini 3.1 Pro Preview,30,9,turn_0089.json
90,START_TURN,Grok 4.3,28,9,turn_0090.json
91,START_TURN,OpenAI GPT 5.5,28,9,turn_0091.json
92,START_TURN,Claude Opus 4.8,28,9,turn_0092.json
93,START_TURN,Gemini 3.1 Pro Preview,28,9,turn_0093.json
94,START_TURN,Grok 4.3,28,9,turn_0094.json
95,START_TURN,OpenAI GPT 5.5,28,9,turn_0095.json
96,START_TURN,Claude Opus 4.8,28,9,turn_0096.json
97,START_TURN,Gemini 3.1 Pro Preview,28,9,turn_0097.json
98,START_TURN,Grok 4.3,28,9,turn_0098.json
99,START_TURN,OpenAI GPT 5.5,28,9,turn_0099.json
100,START_TURN,OpenAI GPT 5.5,26,9,turn_0100.json
101,START_TURN,OpenAI GPT 5.5,26,9,turn_0101.json
102,START_TURN,Claude Opus 4.8,26,9,turn_0102.json
103,START_TURN,Gemini 3.1 Pro Preview,26,9,turn_0103.json
104,START_TURN,Grok 4.3,26,9,turn_0104.json
105,START_TURN,OpenAI GPT 5.5,26,9,turn_0105.json
106,START_TURN,Claude Opus 4.8,24,9,turn_0106.json
107,START_TURN,Gemini 3.1 Pro Preview,24,9,turn_0107.json
108,START_TURN,Grok 4.3,24,9,turn_0108.json
109,START_TURN,Grok 4.3,24,9,turn_0109.json
110,START_TURN,OpenAI GPT 5.5,24,9,turn_0110.json
111,START_TURN,Claude Opus 4.8,24,9,turn_0111.json
112,START_TURN,Claude Opus 4.8,24,9,turn_0112.json
113,START_TURN,Gemini 3.1 Pro Preview,24,9,turn_0113.json
114,START_TURN,Grok 4.3,24,9,turn_0114.json
115,START_TURN,OpenAI GPT 5.5,24,9,turn_0115.json
