event_type,count
LLM_DECISION_REQUESTED,364
LLM_DECISION_RESPONSE,364
LLM_PRIVATE_THOUGHT,364
LLM_PUBLIC_MESSAGE,364
CASH_CHANGED,243
PLAYER_MOVED,168
DICE_ROLLED,167
TURN_ENDED,163
TURN_STARTED,163
PROPERTY_PURCHASED,46
RENT_PAID,44
TRADE_PROPOSED,44
TRADE_REJECTED,36
HOUSE_BUILT,29
CARD_DRAWN,25
PROPERTY_MORTGAGED,16
AUCTION_BID_PLACED,14
TRADE_COUNTERED,13
AUCTION_PLAYER_DROPPED,12
PROPERTY_TRANSFERRED,12
HOUSE_SOLD,11
TRADE_ACCEPTED,8
SENT_TO_JAIL,6
PROPERTY_UNMORTGAGED,5
AUCTION_ENDED,4
AUCTION_STARTED,4
HOTEL_BUILT,3
GAME_ENDED,1
GAME_STARTED,1
