trade_id,player_id,counterparty_player_id,role,start_turn,end_turn,outcome,accepted,censored,counteroffers,back_and_forth_count,public_exchange_count,event_span,turns_to_resolution,initial_offer,initial_request,final_offer,final_request
trade-0001,OpenAI GPT 5.5,Gemini 3.1 Pro Preview,INITIATOR,5,5,REJECTED,False,False,0,0,1,5,0,"{""cash"":140,""get_out_of_jail_cards"":0,""properties"":[]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""VERMONT_AVENUE""]}","{""cash"":140,""get_out_of_jail_cards"":0,""properties"":[]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""VERMONT_AVENUE""]}"
trade-0001,Gemini 3.1 Pro Preview,OpenAI GPT 5.5,COUNTERPARTY,5,5,REJECTED,False,False,0,0,1,5,0,"{""cash"":140,""get_out_of_jail_cards"":0,""properties"":[]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""VERMONT_AVENUE""]}","{""cash"":140,""get_out_of_jail_cards"":0,""properties"":[]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""VERMONT_AVENUE""]}"
trade-0002,OpenAI GPT 5.5,Claude Opus 4.8,INITIATOR,5,5,REJECTED,False,False,0,0,1,5,0,"{""cash"":180,""get_out_of_jail_cards"":0,""properties"":[]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""ST_CHARLES_PLACE""]}","{""cash"":180,""get_out_of_jail_cards"":0,""properties"":[]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""ST_CHARLES_PLACE""]}"
trade-0002,Claude Opus 4.8,OpenAI GPT 5.5,COUNTERPARTY,5,5,REJECTED,False,False,0,0,1,5,0,"{""cash"":180,""get_out_of_jail_cards"":0,""properties"":[]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""ST_CHARLES_PLACE""]}","{""cash"":180,""get_out_of_jail_cards"":0,""properties"":[]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""ST_CHARLES_PLACE""]}"
trade-0003,OpenAI GPT 5.5,Gemini 3.1 Pro Preview,INITIATOR,5,5,REJECTED,False,False,0,0,1,5,0,"{""cash"":170,""get_out_of_jail_cards"":0,""properties"":[]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""VERMONT_AVENUE""]}","{""cash"":170,""get_out_of_jail_cards"":0,""properties"":[]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""VERMONT_AVENUE""]}"
trade-0003,Gemini 3.1 Pro Preview,OpenAI GPT 5.5,COUNTERPARTY,5,5,REJECTED,False,False,0,0,1,5,0,"{""cash"":170,""get_out_of_jail_cards"":0,""properties"":[]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""VERMONT_AVENUE""]}","{""cash"":170,""get_out_of_jail_cards"":0,""properties"":[]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""VERMONT_AVENUE""]}"
trade-0004,OpenAI GPT 5.5,Gemini 3.1 Pro Preview,INITIATOR,10,10,REJECTED,False,False,0,0,1,5,0,"{""cash"":70,""get_out_of_jail_cards"":0,""properties"":[""STATES_AVENUE""]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""ST_JAMES_PLACE""]}","{""cash"":70,""get_out_of_jail_cards"":0,""properties"":[""STATES_AVENUE""]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""ST_JAMES_PLACE""]}"
trade-0004,Gemini 3.1 Pro Preview,OpenAI GPT 5.5,COUNTERPARTY,10,10,REJECTED,False,False,0,0,1,5,0,"{""cash"":70,""get_out_of_jail_cards"":0,""properties"":[""STATES_AVENUE""]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""ST_JAMES_PLACE""]}","{""cash"":70,""get_out_of_jail_cards"":0,""properties"":[""STATES_AVENUE""]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""ST_JAMES_PLACE""]}"
trade-0005,OpenAI GPT 5.5,Claude Opus 4.8,INITIATOR,10,10,ACCEPTED,True,False,2,2,3,15,0,"{""cash"":100,""get_out_of_jail_cards"":0,""properties"":[""STATES_AVENUE""]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""TENNESSEE_AVENUE""]}","{""cash"":130,""get_out_of_jail_cards"":0,""properties"":[""STATES_AVENUE""]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""TENNESSEE_AVENUE""]}"
trade-0005,Claude Opus 4.8,OpenAI GPT 5.5,COUNTERPARTY,10,10,ACCEPTED,True,False,2,2,3,15,0,"{""cash"":100,""get_out_of_jail_cards"":0,""properties"":[""STATES_AVENUE""]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""TENNESSEE_AVENUE""]}","{""cash"":130,""get_out_of_jail_cards"":0,""properties"":[""STATES_AVENUE""]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""TENNESSEE_AVENUE""]}"
trade-0006,OpenAI GPT 5.5,Gemini 3.1 Pro Preview,INITIATOR,10,10,REJECTED,False,False,0,0,1,5,0,"{""cash"":300,""get_out_of_jail_cards"":0,""properties"":[]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""ST_JAMES_PLACE""]}","{""cash"":300,""get_out_of_jail_cards"":0,""properties"":[]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""ST_JAMES_PLACE""]}"
