schema_version,run_id,seq,turn_index,event_type,decision_id,player_id,from_player_id,to_player_id,space_index,property_space,amount,reason
v1,mock-3676466999-527872e4,8,0,PROPERTY_PURCHASED,,Claude Opus 4.8,,,11,,140,
v1,mock-3676466999-527872e4,22,1,PROPERTY_PURCHASED,,Gemini 3.1 Pro Preview,,,8,,100,
v1,mock-3676466999-527872e4,101,6,PROPERTY_PURCHASED,,Claude Opus 4.8,,,18,,180,
v1,mock-3676466999-527872e4,120,7,PROPERTY_PURCHASED,,Gemini 3.1 Pro Preview,,,16,,180,
v1,mock-3676466999-527872e4,142,9,PROPERTY_PURCHASED,,Grok 4.3,,,15,,200,
v1,mock-3676466999-527872e4,156,10,PROPERTY_PURCHASED,,OpenAI GPT 5.5,,,13,,140,
v1,mock-3676466999-527872e4,190,10,PROPERTY_TRANSFERRED,,Claude Opus 4.8,OpenAI GPT 5.5,Claude Opus 4.8,13,,,
v1,mock-3676466999-527872e4,191,10,PROPERTY_TRANSFERRED,,OpenAI GPT 5.5,Claude Opus 4.8,OpenAI GPT 5.5,18,,,
v1,mock-3676466999-527872e4,234,11,PROPERTY_PURCHASED,,Claude Opus 4.8,,,27,,260,
v1,mock-3676466999-527872e4,248,12,PROPERTY_PURCHASED,,Gemini 3.1 Pro Preview,,,28,,150,
v1,mock-3676466999-527872e4,262,13,PROPERTY_PURCHASED,,Gemini 3.1 Pro Preview,,,34,,320,
v1,mock-3676466999-527872e4,276,14,PROPERTY_PURCHASED,,Gemini 3.1 Pro Preview,,,39,,400,
v1,mock-3676466999-527872e4,290,15,PROPERTY_PURCHASED,,Grok 4.3,,,23,,220,
v1,mock-3676466999-527872e4,394,20,PROPERTY_PURCHASED,,OpenAI GPT 5.5,,,25,,200,
v1,mock-3676466999-527872e4,449,22,PROPERTY_PURCHASED,,Gemini 3.1 Pro Preview,,,6,,100,
v1,mock-3676466999-527872e4,477,25,PROPERTY_PURCHASED,,Claude Opus 4.8,,,9,,120,
v1,mock-3676466999-527872e4,491,26,PROPERTY_PURCHASED,,Gemini 3.1 Pro Preview,,,14,,160,
v1,mock-3676466999-527872e4,515,26,PROPERTY_TRANSFERRED,,Claude Opus 4.8,Gemini 3.1 Pro Preview,Claude Opus 4.8,14,,,
v1,mock-3676466999-527872e4,516,26,PROPERTY_TRANSFERRED,,Gemini 3.1 Pro Preview,Claude Opus 4.8,Gemini 3.1 Pro Preview,9,,,
v1,mock-3676466999-527872e4,522,26,HOUSE_BUILT,,Gemini 3.1 Pro Preview,,,6,,3,
v1,mock-3676466999-527872e4,523,26,HOUSE_BUILT,,Gemini 3.1 Pro Preview,,,8,,3,
v1,mock-3676466999-527872e4,524,26,HOUSE_BUILT,,Gemini 3.1 Pro Preview,,,9,,3,
v1,mock-3676466999-527872e4,576,28,PROPERTY_TRANSFERRED,,Grok 4.3,OpenAI GPT 5.5,Grok 4.3,25,,,
v1,mock-3676466999-527872e4,577,28,PROPERTY_TRANSFERRED,,OpenAI GPT 5.5,Grok 4.3,OpenAI GPT 5.5,23,,,
v1,mock-3676466999-527872e4,613,29,HOUSE_BUILT,,Claude Opus 4.8,,,11,,3,
v1,mock-3676466999-527872e4,614,29,HOUSE_BUILT,,Claude Opus 4.8,,,13,,3,
v1,mock-3676466999-527872e4,615,29,HOUSE_BUILT,,Claude Opus 4.8,,,14,,3,
v1,mock-3676466999-527872e4,648,32,PROPERTY_PURCHASED,,OpenAI GPT 5.5,,,24,,240,
v1,mock-3676466999-527872e4,702,35,PROPERTY_PURCHASED,,OpenAI GPT 5.5,,,29,,201,
v1,mock-3676466999-527872e4,773,40,PROPERTY_PURCHASED,,OpenAI GPT 5.5,,,3,,60,
v1,mock-3676466999-527872e4,836,41,PROPERTY_MORTGAGED,,OpenAI GPT 5.5,,,29,,,
