turn_index,calls,cost,input_tokens,output_tokens,reasoning_tokens,total_tokens,latency_ms
0,2,0.035765,5158,399,91,5557,9138
1,2,0.009546,3099,279,189,3378,5805
2,1,0.005924,1816,191,131,2007,3303
4,1,0.003323,1910,428,363,2338,6707
5,7,0.140291,16798,2789,1934,19587,82564
6,2,0.05814,9103,505,105,9608,10955
7,3,0.025868,8440,749,515,9189,10870
8,1,0.010576,3200,348,276,3548,4263
9,2,0.008094,5598,546,446,6144,8519
10,15,0.574808,59416,12315,8326,71731,290393
11,2,0.09121,12727,1103,316,13830,21655
12,2,0.022334,7507,610,461,8117,8342
13,2,0.021712,7634,537,391,8171,7687
14,2,0.024838,7697,787,612,8484,9863
15,2,0.011019,6704,1190,1046,7894,16568
16,11,0.351946,44553,6922,5168,51475,150106
17,1,0.04441,6887,399,84,7286,6351
18,1,0.011156,3910,278,205,4188,4174
20,8,0.239755,28775,5372,4417,34147,127353
21,1,0.04108,6811,281,54,7092,9676
22,2,0.023042,7357,694,523,8051,9243
23,1,0.005066,3178,518,418,3696,8398
25,2,0.084495,12389,902,243,13291,16280
26,7,0.20702,33180,6140,3718,39320,75448
27,2,0.010921,7026,963,810,7989,15948
28,11,0.530427,43192,13990,12572,57182,359674
29,2,0.106785,15717,1128,94,16845,20824
30,1,0.01577,4567,553,465,5120,6125
31,1,0.006077,3975,497,429,4472,6254
32,2,0.04881,6942,470,284,7412,16269
33,1,0.04905,7560,450,78,8010,7637
34,1,0.018114,4395,777,674,5172,9233
35,6,0.104081,24524,2902,2268,27426,52716
36,5,0.184092,17313,4612,3980,21925,104951
38,1,0.013916,4192,461,375,4653,5437
39,1,0.005923,3712,567,494,4279,9979
40,11,0.483879,42912,11380,9080,54292,258888
41,2,0.130345,7283,3131,2951,10414,77889
42,1,0.04714,6583,569,145,7152,9704
43,3,0.070064,12850,3697,3307,16547,37744
44,1,0.005816,4126,344,282,4470,6944
45,5,0.16555,18122,2498,2007,20620,70353
46,1,0.044195,6494,469,94,6963,7996
47,1,0.023502,4389,1227,1144,5616,12147
48,1,0.005537,3793,399,312,4192,8314
49,3,0.12734,10102,2561,2231,12663,66102
50,4,0.186635,27127,2040,379,29167,35304
51,1,0.017256,4344,714,610,5058,8035
52,1,0.004782,3808,439,349,4247,5811
53,26,1.296456,117956,32749,27233,150705,720212
54,1,0.052415,8438,409,97,8847,6896
55,1,0.021808,4970,989,894,5959,11177
56,1,0.006091,4306,364,288,4670,6269
57,7,0.278848,27533,7295,6385,34828,182051
58,3,0.15541,22727,1671,342,24398,28308
60,1,0.005525,4092,594,525,4686,8794
61,3,0.184141,10923,5462,5140,16385,114665
62,1,0.05272,7544,600,122,8144,10725
63,1,0.048865,7663,422,108,8085,6704
64,1,0.013518,3669,515,419,4184,6525
65,2,0.01079,7646,1165,1029,8811,17506
66,12,0.420347,44927,11733,10066,56660,257713
67,1,0.048295,7819,368,55,8187,10693
68,1,0.012986,3841,442,331,4283,5777
69,1,0.006141,4070,475,396,4545,7498
70,7,0.438733,26831,10833,10000,37664,238744
71,1,0.057825,3825,1290,1197,5115,30156
72,1,0.048645,7839,378,87,8217,6740
73,1,0.045805,7696,293,62,7989,5791
74,2,0.04051,7949,2051,1810,10000,20212
75,1,0.005691,3856,402,333,4258,6737
76,1,0.004964,3827,502,425,4329,6650
77,5,0.299625,18093,8193,7568,26286,162227
78,2,0.09367,14569,833,163,15402,15527
79,1,0.01613,4567,583,512,5150,6068
80,1,0.004742,3870,392,319,4262,4813
81,13,0.880287,51843,25944,24106,77787,550254
82,1,0.056345,8914,471,90,9385,7312
83,1,0.017004,5058,574,481,5632,7471
84,1,0.006052,4394,654,571,5048,9838
85,17,0.969728,76707,24337,21386,101044,498386
86,12,0.642114,52539,16312,14628,68851,335947
87,1,0.0548,8795,433,90,9228,6548
88,1,0.052815,8648,383,64,9031,5840
89,1,0.016472,4756,580,480,5336,6035
90,1,0.02587,4733,1367,1267,6100,12948
91,1,0.005794,4119,500,447,4619,9220
92,5,0.525184,19387,16529,15813,35916,320620
