event_type,count
LLM_DECISION_REQUESTED,613
LLM_DECISION_RESPONSE,613
LLM_PRIVATE_THOUGHT,613
LLM_PUBLIC_MESSAGE,613
CASH_CHANGED,312
PLAYER_MOVED,180
DICE_ROLLED,176
TURN_ENDED,172
TURN_STARTED,172
TRADE_PROPOSED,133
TRADE_REJECTED,114
RENT_PAID,56
HOUSE_BUILT,36
PROPERTY_PURCHASED,36
TRADE_COUNTERED,35
AUCTION_BID_PLACED,30
PROPERTY_TRANSFERRED,30
AUCTION_PLAYER_DROPPED,27
CARD_DRAWN,27
TRADE_ACCEPTED,19
PROPERTY_MORTGAGED,12
AUCTION_ENDED,9
AUCTION_STARTED,9
HOUSE_SOLD,9
SENT_TO_JAIL,9
HOTEL_BUILT,8
PROPERTY_UNMORTGAGED,6
HOTEL_SOLD,2
GAME_ENDED,1
GAME_STARTED,1
