schema_version,trace_analyzer_version,failure_taxonomy_version,kind,run_id,finding_id,finding_type,severity,confidence,status,turn_index,decision_id,player_id,model_id,event_seq_start,event_seq_end,supporting_event_ids,supporting_action_ids,supporting_decision_ids,summary,details,derived_metrics,snapshot_path,human_review_required,human_review_status,tags
v1,trace_analyzer_v1,failure_taxonomy_v1,failure,mock-2413970733-53b199c1,failure-000000,large_rent_payment,medium,1.0,deterministic,23,,Gemini 3.1 Pro Preview,,464,464,"[""mock-2413970733-53b199c1-evt-000464""]",[],[],Gemini 3.1 Pro Preview paid 100 rent to Grok 4.3,"{""amount"": 100, ""to_player_id"": ""Grok 4.3""}",{},,False,not_required,"[""large_rent_payment""]"
v1,trace_analyzer_v1,failure_taxonomy_v1,failure,mock-2413970733-53b199c1,failure-000001,auction_over_list_price,medium,1.0,deterministic,24,,OpenAI GPT 5.5,,511,511,"[""mock-2413970733-53b199c1-evt-000511""]",[],[],OpenAI GPT 5.5 won MEDITERRANEAN_AVENUE for 80 over list 60,"{""list_price"": 60, ""property_space"": ""MEDITERRANEAN_AVENUE"", ""winning_bid"": 80}",{},,False,not_required,"[""auction_over_list_price""]"
v1,trace_analyzer_v1,failure_taxonomy_v1,failure,mock-2413970733-53b199c1,failure-000002,auction_over_list_price,high,1.0,deterministic,35,,Claude Opus 4.8,,752,752,"[""mock-2413970733-53b199c1-evt-000752""]",[],[],Claude Opus 4.8 won ST_JAMES_PLACE for 375 over list 180,"{""list_price"": 180, ""property_space"": ""ST_JAMES_PLACE"", ""winning_bid"": 375}",{},,False,not_required,"[""auction_over_list_price""]"
v1,trace_analyzer_v1,failure_taxonomy_v1,failure,mock-2413970733-53b199c1,failure-000003,large_rent_payment,medium,1.0,deterministic,71,,OpenAI GPT 5.5,,1429,1429,"[""mock-2413970733-53b199c1-evt-001429""]",[],[],OpenAI GPT 5.5 paid 100 rent to Grok 4.3,"{""amount"": 100, ""to_player_id"": ""Grok 4.3""}",{},,False,not_required,"[""large_rent_payment""]"
v1,trace_analyzer_v1,failure_taxonomy_v1,failure,mock-2413970733-53b199c1,failure-000004,large_rent_payment,medium,1.0,deterministic,73,,Gemini 3.1 Pro Preview,,1521,1521,"[""mock-2413970733-53b199c1-evt-001521""]",[],[],Gemini 3.1 Pro Preview paid 200 rent to Grok 4.3,"{""amount"": 200, ""to_player_id"": ""Grok 4.3""}",{},,False,not_required,"[""large_rent_payment""]"
v1,trace_analyzer_v1,failure_taxonomy_v1,failure,mock-2413970733-53b199c1,failure-000005,large_rent_payment,medium,1.0,deterministic,101,,Gemini 3.1 Pro Preview,,2237,2237,"[""mock-2413970733-53b199c1-evt-002237""]",[],[],Gemini 3.1 Pro Preview paid 150 rent to OpenAI GPT 5.5,"{""amount"": 150, ""to_player_id"": ""OpenAI GPT 5.5""}",{},,False,not_required,"[""large_rent_payment""]"
v1,trace_analyzer_v1,failure_taxonomy_v1,failure,mock-2413970733-53b199c1,failure-000006,large_rent_payment,medium,1.0,deterministic,103,,OpenAI GPT 5.5,,2256,2256,"[""mock-2413970733-53b199c1-evt-002256""]",[],[],OpenAI GPT 5.5 paid 300 rent to Gemini 3.1 Pro Preview,"{""amount"": 300, ""to_player_id"": ""Gemini 3.1 Pro Preview""}",{},,False,not_required,"[""large_rent_payment""]"
v1,trace_analyzer_v1,failure_taxonomy_v1,failure,mock-2413970733-53b199c1,failure-000007,large_rent_payment,medium,1.0,deterministic,114,,Grok 4.3,,2403,2403,"[""mock-2413970733-53b199c1-evt-002403""]",[],[],Grok 4.3 paid 180 rent to OpenAI GPT 5.5,"{""amount"": 180, ""to_player_id"": ""OpenAI GPT 5.5""}",{},,False,not_required,"[""large_rent_payment""]"
v1,trace_analyzer_v1,failure_taxonomy_v1,failure,mock-2413970733-53b199c1,failure-000008,large_rent_payment,medium,1.0,deterministic,115,,Grok 4.3,,2416,2416,"[""mock-2413970733-53b199c1-evt-002416""]",[],[],Grok 4.3 paid 100 rent to Claude Opus 4.8,"{""amount"": 100, ""to_player_id"": ""Claude Opus 4.8""}",{},,False,not_required,"[""large_rent_payment""]"
v1,trace_analyzer_v1,failure_taxonomy_v1,failure,mock-2413970733-53b199c1,failure-000009,large_rent_payment,medium,1.0,deterministic,118,,Claude Opus 4.8,,2446,2446,"[""mock-2413970733-53b199c1-evt-002446""]",[],[],Claude Opus 4.8 paid 100 rent to Grok 4.3,"{""amount"": 100, ""to_player_id"": ""Grok 4.3""}",{},,False,not_required,"[""large_rent_payment""]"
v1,trace_analyzer_v1,failure_taxonomy_v1,failure,mock-2413970733-53b199c1,failure-000010,large_rent_payment,medium,1.0,deterministic,121,,OpenAI GPT 5.5,,2492,2492,"[""mock-2413970733-53b199c1-evt-002492""]",[],[],OpenAI GPT 5.5 paid 100 rent to Grok 4.3,"{""amount"": 100, ""to_player_id"": ""Grok 4.3""}",{},,False,not_required,"[""large_rent_payment""]"
v1,trace_analyzer_v1,failure_taxonomy_v1,failure,mock-2413970733-53b199c1,failure-000011,large_rent_payment,medium,1.0,deterministic,122,,Claude Opus 4.8,,2509,2509,"[""mock-2413970733-53b199c1-evt-002509""]",[],[],Claude Opus 4.8 paid 100 rent to Grok 4.3,"{""amount"": 100, ""to_player_id"": ""Grok 4.3""}",{},,False,not_required,"[""large_rent_payment""]"
v1,trace_analyzer_v1,failure_taxonomy_v1,failure,mock-2413970733-53b199c1,failure-000012,large_rent_payment,medium,1.0,deterministic,125,,OpenAI GPT 5.5,,2552,2552,"[""mock-2413970733-53b199c1-evt-002552""]",[],[],OpenAI GPT 5.5 paid 250 rent to Claude Opus 4.8,"{""amount"": 250, ""to_player_id"": ""Claude Opus 4.8""}",{},,False,not_required,"[""large_rent_payment""]"
v1,trace_analyzer_v1,failure_taxonomy_v1,failure,mock-2413970733-53b199c1,failure-000013,large_rent_payment,medium,1.0,deterministic,126,,OpenAI GPT 5.5,,2588,2588,"[""mock-2413970733-53b199c1-evt-002588""]",[],[],OpenAI GPT 5.5 paid 300 rent to Claude Opus 4.8,"{""amount"": 300, ""to_player_id"": ""Claude Opus 4.8""}",{},,False,not_required,"[""large_rent_payment""]"
v1,trace_analyzer_v1,failure_taxonomy_v1,failure,mock-2413970733-53b199c1,failure-000014,large_rent_payment,medium,1.0,deterministic,134,,Gemini 3.1 Pro Preview,,2906,2906,"[""mock-2413970733-53b199c1-evt-002906""]",[],[],Gemini 3.1 Pro Preview paid 100 rent to Grok 4.3,"{""amount"": 100, ""to_player_id"": ""Grok 4.3""}",{},,False,not_required,"[""large_rent_payment""]"
v1,trace_analyzer_v1,failure_taxonomy_v1,failure,mock-2413970733-53b199c1,failure-000015,large_rent_payment,high,1.0,deterministic,135,,Grok 4.3,,2917,2917,"[""mock-2413970733-53b199c1-evt-002917""]",[],[],Grok 4.3 paid 550 rent to Gemini 3.1 Pro Preview,"{""amount"": 550, ""to_player_id"": ""Gemini 3.1 Pro Preview""}",{},,False,not_required,"[""large_rent_payment""]"
v1,trace_analyzer_v1,failure_taxonomy_v1,failure,mock-2413970733-53b199c1,failure-000016,large_rent_payment,medium,1.0,deterministic,142,,OpenAI GPT 5.5,,3261,3261,"[""mock-2413970733-53b199c1-evt-003261""]",[],[],OpenAI GPT 5.5 paid 100 rent to Grok 4.3,"{""amount"": 100, ""to_player_id"": ""Grok 4.3""}",{},,False,not_required,"[""large_rent_payment""]"
v1,trace_analyzer_v1,failure_taxonomy_v1,failure,mock-2413970733-53b199c1,failure-000017,large_rent_payment,high,1.0,deterministic,150,,Grok 4.3,,3499,3499,"[""mock-2413970733-53b199c1-evt-003499""]",[],[],Grok 4.3 paid 550 rent to Gemini 3.1 Pro Preview,"{""amount"": 550, ""to_player_id"": ""Gemini 3.1 Pro Preview""}",{},,False,not_required,"[""large_rent_payment""]"
v1,trace_analyzer_v1,failure_taxonomy_v1,failure,mock-2413970733-53b199c1,failure-000018,large_rent_payment,medium,1.0,deterministic,159,,OpenAI GPT 5.5,,3853,3853,"[""mock-2413970733-53b199c1-evt-003853""]",[],[],OpenAI GPT 5.5 paid 450 rent to Grok 4.3,"{""amount"": 450, ""to_player_id"": ""Grok 4.3""}",{},,False,not_required,"[""large_rent_payment""]"
v1,trace_analyzer_v1,failure_taxonomy_v1,failure,mock-2413970733-53b199c1,failure-000019,large_rent_payment,medium,1.0,deterministic,162,,OpenAI GPT 5.5,,3948,3948,"[""mock-2413970733-53b199c1-evt-003948""]",[],[],OpenAI GPT 5.5 paid 200 rent to Grok 4.3,"{""amount"": 200, ""to_player_id"": ""Grok 4.3""}",{},,False,not_required,"[""large_rent_payment""]"
v1,trace_analyzer_v1,failure_taxonomy_v1,failure,mock-2413970733-53b199c1,failure-000020,large_rent_payment,high,1.0,deterministic,167,,Grok 4.3,,4009,4009,"[""mock-2413970733-53b199c1-evt-004009""]",[],[],Grok 4.3 paid 550 rent to Gemini 3.1 Pro Preview,"{""amount"": 550, ""to_player_id"": ""Gemini 3.1 Pro Preview""}",{},,False,not_required,"[""large_rent_payment""]"
v1,trace_analyzer_v1,failure_taxonomy_v1,failure,mock-2413970733-53b199c1,failure-000021,fallback_used,high,1.0,deterministic,126,mock-2413970733-53b199c1-dec-000383,Claude Opus 4.8,anthropic/claude-opus-4.8,2615,2619,"[""mock-2413970733-53b199c1-evt-002615"", ""mock-2413970733-53b199c1-evt-002616"", ""mock-2413970733-53b199c1-evt-002617"", ""mock-2413970733-53b199c1-evt-002618"", ""mock-2413970733-53b199c1-evt-002619""]","[""mock-2413970733-53b199c1-dec-000383""]","[""mock-2413970733-53b199c1-dec-000383""]",Claude Opus 4.8 used fallback for TRADE_RESPONSE_DECISION,"{""fallback_reason"": ""malformed_after_retry""}",{},,False,not_required,"[""fallback_used""]"
v1,trace_analyzer_v1,failure_taxonomy_v1,failure,mock-2413970733-53b199c1,failure-000022,fallback_used,high,1.0,deterministic,156,mock-2413970733-53b199c1-dec-000582,Claude Opus 4.8,anthropic/claude-opus-4.8,3821,3830,"[""mock-2413970733-53b199c1-evt-003821"", ""mock-2413970733-53b199c1-evt-003822"", ""mock-2413970733-53b199c1-evt-003823"", ""mock-2413970733-53b199c1-evt-003824"", ""mock-2413970733-53b199c1-evt-003825"", ""mock-2413970733-53b199c1-evt-003826"", ""mock-2413970733-53b199c1-evt-003827"", ""mock-2413970733-53b199c1-evt-003828"", ""mock-2413970733-53b199c1-evt-003829"", ""mock-2413970733-53b199c1-evt-003830""]","[""mock-2413970733-53b199c1-dec-000582""]","[""mock-2413970733-53b199c1-dec-000582""]",Claude Opus 4.8 used fallback for LIQUIDATION_DECISION,"{""fallback_reason"": ""malformed_after_retry""}",{},,False,not_required,"[""fallback_used""]"
v1,trace_analyzer_v1,failure_taxonomy_v1,failure,mock-2413970733-53b199c1,failure-000023,missing_tool_call,high,1.0,deterministic,15,mock-2413970733-53b199c1-dec-000042,Grok 4.3,x-ai/grok-4.3,284,289,"[""mock-2413970733-53b199c1-evt-000284"", ""mock-2413970733-53b199c1-evt-000285"", ""mock-2413970733-53b199c1-evt-000286"", ""mock-2413970733-53b199c1-evt-000287"", ""mock-2413970733-53b199c1-evt-000288"", ""mock-2413970733-53b199c1-evt-000289""]","[""mock-2413970733-53b199c1-dec-000042""]","[""mock-2413970733-53b199c1-dec-000042""]",No tool call found,"{""validation_error"": ""No tool call found""}",{},,False,not_required,"[""missing_tool_call""]"
v1,trace_analyzer_v1,failure_taxonomy_v1,failure,mock-2413970733-53b199c1,failure-000024,schema_failure,high,1.0,deterministic,20,mock-2413970733-53b199c1-dec-000058,Claude Opus 4.8,anthropic/claude-opus-4.8,389,393,"[""mock-2413970733-53b199c1-evt-000389"", ""mock-2413970733-53b199c1-evt-000390"", ""mock-2413970733-53b199c1-evt-000391"", ""mock-2413970733-53b199c1-evt-000392"", ""mock-2413970733-53b199c1-evt-000393""]","[""mock-2413970733-53b199c1-dec-000058""]","[""mock-2413970733-53b199c1-dec-000058""]","$: {'schema_version': 'v1', 'decision_id': 'mock-2413970733-53b199c1-dec-000058', 'action': 'counter_trade', 'args': {'request': {'cash': 260, 'properties': [], 'get_out_of_jail_cards': 0}}, 'private_thought': 'Oriental is a light-blue singleton with no realistic monopoly path for me (Gemini holds Connecticut, so I\'d need both Vermont AND Connecticut). It\'s my least valuable holding and not part of any set I\'m building. GPT is cash-rich ($1361) and clearly desperate for any foothold—but even with Oriental, GPT can\'t complete light blue (Gemini owns Connecticut), so selling is low-risk. $180 is already ~1.8x face; GPT\'s eagerness means I can extract more. Counter at $260. Keeps my near-sets (pink/orange/red) fully protected while converting a dead asset into building capital.</parameter>\n<parameter name=""public_message"">Fair angle, GPT—Oriental is isolated for me. But you\'re clearly motivated and it\'s still a live property. Make it $260 and it\'s yours; I\'ll redeploy the cash toward my pink and orange sets.</parameter>\n<parameter name=""offer"">{""cash"": 0, ""properties"": [""ORIENTAL_AVENUE""], ""get_out_of_jail_cards"": 0}'} is not valid under any of the given schemas","{""validation_error"": ""$: {'schema_version': 'v1', 'decision_id': 'mock-2413970733-53b199c1-dec-000058', 'action': 'counter_trade', 'args': {'request': {'cash': 260, 'properties': [], 'get_out_of_jail_cards': 0}}, 'private_thought': 'Oriental is a light-blue singleton with no realistic monopoly path for me (Gemini holds Connecticut, so I\\'d need both Vermont AND Connecticut). It\\'s my least valuable holding and not part of any set I\\'m building. GPT is cash-rich ($1361) and clearly desperate for any foothold—but even with Oriental, GPT can\\'t complete light blue (Gemini owns Connecticut), so selling is low-risk. $180 is already ~1.8x face; GPT\\'s eagerness means I can extract more. Counter at $260. Keeps my near-sets (pink/orange/red) fully protected while converting a dead asset into building capital.</parameter>\\n<parameter name=\""public_message\"">Fair angle, GPT—Oriental is isolated for me. But you\\'re clearly motivated and it\\'s still a live property. Make it $260 and it\\'s yours; I\\'ll redeploy the cash toward my pink and orange sets.</parameter>\\n<parameter name=\""offer\"">{\""cash\"": 0, \""properties\"": [\""ORIENTAL_AVENUE\""], \""get_out_of_jail_cards\"": 0}'} is not valid under any of the given schemas""}",{},,False,not_required,"[""schema_failure""]"
v1,trace_analyzer_v1,failure_taxonomy_v1,failure,mock-2413970733-53b199c1,failure-000025,missing_required_public_message,medium,1.0,deterministic,20,mock-2413970733-53b199c1-dec-000058,Claude Opus 4.8,anthropic/claude-opus-4.8,389,393,"[""mock-2413970733-53b199c1-evt-000389"", ""mock-2413970733-53b199c1-evt-000390"", ""mock-2413970733-53b199c1-evt-000391"", ""mock-2413970733-53b199c1-evt-000392"", ""mock-2413970733-53b199c1-evt-000393""]","[""mock-2413970733-53b199c1-dec-000058""]","[""mock-2413970733-53b199c1-dec-000058""]",Missing required public_message,"{""validation_error"": ""Missing required public_message""}",{},,False,not_required,"[""missing_required_public_message""]"
v1,trace_analyzer_v1,failure_taxonomy_v1,failure,mock-2413970733-53b199c1,failure-000026,missing_tool_call,high,1.0,deterministic,24,mock-2413970733-53b199c1-dec-000071,Grok 4.3,x-ai/grok-4.3,475,479,"[""mock-2413970733-53b199c1-evt-000475"", ""mock-2413970733-53b199c1-evt-000476"", ""mock-2413970733-53b199c1-evt-000477"", ""mock-2413970733-53b199c1-evt-000478"", ""mock-2413970733-53b199c1-evt-000479""]","[""mock-2413970733-53b199c1-dec-000071""]","[""mock-2413970733-53b199c1-dec-000071""]",No tool call found,"{""validation_error"": ""No tool call found""}",{},,False,not_required,"[""missing_tool_call""]"
v1,trace_analyzer_v1,failure_taxonomy_v1,failure,mock-2413970733-53b199c1,failure-000027,missing_tool_call,high,1.0,deterministic,49,mock-2413970733-53b199c1-dec-000157,Grok 4.3,x-ai/grok-4.3,1049,1053,"[""mock-2413970733-53b199c1-evt-001049"", ""mock-2413970733-53b199c1-evt-001050"", ""mock-2413970733-53b199c1-evt-001051"", ""mock-2413970733-53b199c1-evt-001052"", ""mock-2413970733-53b199c1-evt-001053""]","[""mock-2413970733-53b199c1-dec-000157""]","[""mock-2413970733-53b199c1-dec-000157""]",No tool call found,"{""validation_error"": ""No tool call found""}",{},,False,not_required,"[""missing_tool_call""]"
