turn_index,phase,active_player_id,player_id,cash,net_worth_estimate,position,in_jail,jail_turns,doubles_count,bankrupt,property_value,building_value,mortgage_liability,property_count,mortgaged_count,houses,hotels,snapshot_file
0,START_TURN,Claude Opus 4.8,Claude Opus 4.8,1500,1500,0,False,0,0,False,0,0,0,0,0,0,0,turn_0000.json
0,START_TURN,Claude Opus 4.8,Gemini 3.1 Pro Preview,1500,1500,0,False,0,0,False,0,0,0,0,0,0,0,turn_0000.json
0,START_TURN,Claude Opus 4.8,Grok 4.3,1500,1500,0,False,0,0,False,0,0,0,0,0,0,0,turn_0000.json
0,START_TURN,Claude Opus 4.8,OpenAI GPT 5.5,1500,1500,0,False,0,0,False,0,0,0,0,0,0,0,turn_0000.json
1,START_TURN,Gemini 3.1 Pro Preview,Claude Opus 4.8,1400,1500,6,False,0,0,False,100,0,0,1,0,0,0,turn_0001.json
1,START_TURN,Gemini 3.1 Pro Preview,Gemini 3.1 Pro Preview,1500,1500,0,False,0,0,False,0,0,0,0,0,0,0,turn_0001.json
1,START_TURN,Gemini 3.1 Pro Preview,Grok 4.3,1500,1500,0,False,0,0,False,0,0,0,0,0,0,0,turn_0001.json
1,START_TURN,Gemini 3.1 Pro Preview,OpenAI GPT 5.5,1500,1500,0,False,0,0,False,0,0,0,0,0,0,0,turn_0001.json
2,START_TURN,Grok 4.3,Claude Opus 4.8,1400,1500,6,False,0,0,False,100,0,0,1,0,0,0,turn_0002.json
2,START_TURN,Grok 4.3,Gemini 3.1 Pro Preview,1380,1500,9,False,0,0,False,120,0,0,1,0,0,0,turn_0002.json
2,START_TURN,Grok 4.3,Grok 4.3,1500,1500,0,False,0,0,False,0,0,0,0,0,0,0,turn_0002.json
2,START_TURN,Grok 4.3,OpenAI GPT 5.5,1500,1500,0,False,0,0,False,0,0,0,0,0,0,0,turn_0002.json
3,START_TURN,OpenAI GPT 5.5,Claude Opus 4.8,1400,1500,6,False,0,0,False,100,0,0,1,0,0,0,turn_0003.json
3,START_TURN,OpenAI GPT 5.5,Gemini 3.1 Pro Preview,1380,1500,9,False,0,0,False,120,0,0,1,0,0,0,turn_0003.json
3,START_TURN,OpenAI GPT 5.5,Grok 4.3,1300,1500,5,False,0,0,False,200,0,0,1,0,0,0,turn_0003.json
3,START_TURN,OpenAI GPT 5.5,OpenAI GPT 5.5,1500,1500,0,False,0,0,False,0,0,0,0,0,0,0,turn_0003.json
4,START_TURN,Claude Opus 4.8,Claude Opus 4.8,1400,1500,6,False,0,0,False,100,0,0,1,0,0,0,turn_0004.json
4,START_TURN,Claude Opus 4.8,Gemini 3.1 Pro Preview,1380,1500,9,False,0,0,False,120,0,0,1,0,0,0,turn_0004.json
4,START_TURN,Claude Opus 4.8,Grok 4.3,1325,1525,5,False,0,0,False,200,0,0,1,0,0,0,turn_0004.json
4,START_TURN,Claude Opus 4.8,OpenAI GPT 5.5,1475,1475,5,False,0,0,False,0,0,0,0,0,0,0,turn_0004.json
5,START_TURN,Gemini 3.1 Pro Preview,Claude Opus 4.8,1260,1500,11,False,0,0,False,240,0,0,2,0,0,0,turn_0005.json
5,START_TURN,Gemini 3.1 Pro Preview,Gemini 3.1 Pro Preview,1380,1500,9,False,0,0,False,120,0,0,1,0,0,0,turn_0005.json
5,START_TURN,Gemini 3.1 Pro Preview,Grok 4.3,1325,1525,5,False,0,0,False,200,0,0,1,0,0,0,turn_0005.json
5,START_TURN,Gemini 3.1 Pro Preview,OpenAI GPT 5.5,1475,1475,5,False,0,0,False,0,0,0,0,0,0,0,turn_0005.json
6,START_TURN,Grok 4.3,Claude Opus 4.8,1260,1500,11,False,0,0,False,240,0,0,2,0,0,0,turn_0006.json
6,START_TURN,Grok 4.3,Gemini 3.1 Pro Preview,1380,1500,20,False,0,0,False,120,0,0,1,0,0,0,turn_0006.json
6,START_TURN,Grok 4.3,Grok 4.3,1325,1525,5,False,0,0,False,200,0,0,1,0,0,0,turn_0006.json
6,START_TURN,Grok 4.3,OpenAI GPT 5.5,1475,1475,5,False,0,0,False,0,0,0,0,0,0,0,turn_0006.json
7,START_TURN,OpenAI GPT 5.5,Claude Opus 4.8,1260,1500,11,False,0,0,False,240,0,0,2,0,0,0,turn_0007.json
7,START_TURN,OpenAI GPT 5.5,Gemini 3.1 Pro Preview,1380,1500,20,False,0,0,False,120,0,0,1,0,0,0,turn_0007.json
7,START_TURN,OpenAI GPT 5.5,Grok 4.3,1125,1525,15,False,0,0,False,400,0,0,2,0,0,0,turn_0007.json
7,START_TURN,OpenAI GPT 5.5,OpenAI GPT 5.5,1475,1475,5,False,0,0,False,0,0,0,0,0,0,0,turn_0007.json
8,START_TURN,Claude Opus 4.8,Claude Opus 4.8,1260,1500,11,False,0,0,False,240,0,0,2,0,0,0,turn_0008.json
8,START_TURN,Claude Opus 4.8,Gemini 3.1 Pro Preview,1380,1500,20,False,0,0,False,120,0,0,1,0,0,0,turn_0008.json
8,START_TURN,Claude Opus 4.8,Grok 4.3,1175,1575,15,False,0,0,False,400,0,0,2,0,0,0,turn_0008.json
8,START_TURN,Claude Opus 4.8,OpenAI GPT 5.5,1425,1425,15,False,0,0,False,0,0,0,0,0,0,0,turn_0008.json
9,START_TURN,Gemini 3.1 Pro Preview,Claude Opus 4.8,1080,1500,18,False,0,0,False,420,0,0,3,0,0,0,turn_0009.json
9,START_TURN,Gemini 3.1 Pro Preview,Gemini 3.1 Pro Preview,1380,1500,20,False,0,0,False,120,0,0,1,0,0,0,turn_0009.json
9,START_TURN,Gemini 3.1 Pro Preview,Grok 4.3,1175,1575,15,False,0,0,False,400,0,0,2,0,0,0,turn_0009.json
9,START_TURN,Gemini 3.1 Pro Preview,OpenAI GPT 5.5,1425,1425,15,False,0,0,False,0,0,0,0,0,0,0,turn_0009.json
10,START_TURN,Grok 4.3,Claude Opus 4.8,1080,1500,18,False,0,0,False,420,0,0,3,0,0,0,turn_0010.json
10,START_TURN,Grok 4.3,Gemini 3.1 Pro Preview,1140,1500,24,False,0,0,False,360,0,0,2,0,0,0,turn_0010.json
10,START_TURN,Grok 4.3,Grok 4.3,1175,1575,15,False,0,0,False,400,0,0,2,0,0,0,turn_0010.json
10,START_TURN,Grok 4.3,OpenAI GPT 5.5,1425,1425,15,False,0,0,False,0,0,0,0,0,0,0,turn_0010.json
11,START_TURN,OpenAI GPT 5.5,Claude Opus 4.8,1080,1500,18,False,0,0,False,420,0,0,3,0,0,0,turn_0011.json
11,START_TURN,OpenAI GPT 5.5,Gemini 3.1 Pro Preview,1140,1500,24,False,0,0,False,360,0,0,2,0,0,0,turn_0011.json
11,START_TURN,OpenAI GPT 5.5,Grok 4.3,1225,1625,22,False,0,0,False,400,0,0,2,0,0,0,turn_0011.json
11,START_TURN,OpenAI GPT 5.5,OpenAI GPT 5.5,1425,1425,15,False,0,0,False,0,0,0,0,0,0,0,turn_0011.json
12,START_TURN,Claude Opus 4.8,Claude Opus 4.8,1080,1500,18,False,0,0,False,420,0,0,3,0,0,0,turn_0012.json
12,START_TURN,Claude Opus 4.8,Gemini 3.1 Pro Preview,1140,1500,24,False,0,0,False,360,0,0,2,0,0,0,turn_0012.json
12,START_TURN,Claude Opus 4.8,Grok 4.3,1225,1625,22,False,0,0,False,400,0,0,2,0,0,0,turn_0012.json
12,START_TURN,Claude Opus 4.8,OpenAI GPT 5.5,1425,1425,22,False,0,0,False,0,0,0,0,0,0,0,turn_0012.json
13,START_TURN,Claude Opus 4.8,Claude Opus 4.8,1230,1650,5,False,0,1,False,420,0,0,3,0,0,0,turn_0013.json
13,START_TURN,Claude Opus 4.8,Gemini 3.1 Pro Preview,1140,1500,24,False,0,0,False,360,0,0,2,0,0,0,turn_0013.json
13,START_TURN,Claude Opus 4.8,Grok 4.3,1275,1675,22,False,0,0,False,400,0,0,2,0,0,0,turn_0013.json
13,START_TURN,Claude Opus 4.8,OpenAI GPT 5.5,1425,1425,22,False,0,0,False,0,0,0,0,0,0,0,turn_0013.json
