player_id,reason,event_count,inflow_event_count,outflow_event_count,gross_inflow,gross_outflow,net_flow,mean_delta,mean_absolute_delta,minimum_delta,maximum_delta
Claude Opus 4.8,BANKRUPTCY,1,0,0,0,0,0,0.0,0.0,0,0
Claude Opus 4.8,BANKRUPTCY_CASH,1,0,1,0,276,-276,-276.0,276.0,-276,-276
Claude Opus 4.8,BANK_PAYS_YOU_DIVIDEND_50,1,1,0,50,0,50,50.0,50.0,50,50
Claude Opus 4.8,BIRTHDAY_COLLECT_10_FROM_EACH_PLAYER,1,1,0,10,0,10,10.0,10.0,10,10
Claude Opus 4.8,BUILD,9,0,9,0,1000,-1000,-111.111111,111.111111,-300,-50
Claude Opus 4.8,ELECTED_CHAIRMAN_PAY_EACH_PLAYER_50,1,1,0,50,0,50,50.0,50.0,50,50
Claude Opus 4.8,JAIL_FINE,1,0,1,0,50,-50,-50.0,50.0,-50,-50
Claude Opus 4.8,MORTGAGE,5,5,0,560,0,560,112.0,112.0,90,140
Claude Opus 4.8,PASS_GO,8,8,0,1600,0,1600,200.0,200.0,200,200
Claude Opus 4.8,RENT,24,14,10,2783,3642,-859,-35.791667,267.708333,-1275,550
Claude Opus 4.8,SELL_BUILDING,1,1,0,125,0,125,125.0,125.0,125,125
Claude Opus 4.8,TAX_INCOME,2,0,2,0,400,-400,-200.0,200.0,-200,-200
Claude Opus 4.8,TAX_LUXURY,2,0,2,0,200,-200,-100.0,100.0,-100,-100
Claude Opus 4.8,TRADE_CASH,3,2,1,550,280,270,90.0,276.666667,-280,300
Claude Opus 4.8,auction_bid,1,0,1,0,280,-280,-280.0,280.0,-280,-280
Claude Opus 4.8,buy_property,6,0,6,0,1100,-1100,-183.333333,183.333333,-280,-100
Gemini 3.1 Pro Preview,BANKRUPTCY,1,0,0,0,0,0,0.0,0.0,0,0
Gemini 3.1 Pro Preview,BANKRUPTCY_CASH,1,0,1,0,338,-338,-338.0,338.0,-338,-338
Gemini 3.1 Pro Preview,BANK_ERROR_COLLECT_200,1,1,0,200,0,200,200.0,200.0,200,200
Gemini 3.1 Pro Preview,BUILD,3,0,3,0,1200,-1200,-400.0,400.0,-600,-200
Gemini 3.1 Pro Preview,LIFE_INSURANCE_COLLECT_100,1,1,0,100,0,100,100.0,100.0,100,100
Gemini 3.1 Pro Preview,MORTGAGE,7,7,0,1000,0,1000,142.857143,142.857143,75,200
Gemini 3.1 Pro Preview,MORTGAGE_INTEREST,3,0,3,0,28,-28,-9.333333,9.333333,-15,-3
Gemini 3.1 Pro Preview,PASS_GO,7,7,0,1400,0,1400,200.0,200.0,200,200
Gemini 3.1 Pro Preview,PAY_POOR_TAX_15,1,0,1,0,15,-15,-15.0,15.0,-15,-15
Gemini 3.1 Pro Preview,RENT,19,5,14,84,1930,-1846,-97.157895,106.0,-900,26
Gemini 3.1 Pro Preview,SELL_BUILDING,4,4,0,600,0,600,150.0,150.0,100,200
Gemini 3.1 Pro Preview,TRADE_CASH,7,4,3,1230,380,850,121.428571,230.0,-250,400
Gemini 3.1 Pro Preview,UNMORTGAGE,5,0,5,0,723,-723,-144.6,144.6,-221,-33
Gemini 3.1 Pro Preview,auction_bid,2,0,2,0,680,-680,-340.0,340.0,-650,-30
Gemini 3.1 Pro Preview,buy_property,3,0,3,0,820,-820,-273.333333,273.333333,-400,-120
Grok 4.3,BANKRUPTCY,1,0,0,0,0,0,0.0,0.0,0,0
