metric,value,status,note
source_files,5043.0,pass,run + quality_check
source_bytes,81969149.0,pass,byte preserved
events,3972,pass,contiguous seq 0-3971
resolved_decisions,583,pass,started/resolved/action bijection
attempts,604,pass,all prompt and QC pairs present
retry_decisions,21,pass,reconciled
invalid_attempts,23,pass,reconciled
fallbacks,2,pass,reconciled
missing_usage_attempts,1,warning,provider 503; not estimated
state_replay,1640,pass,zero mismatch
artifact_replay,3972,warning,first mismatch index 669
