trade_id,player_id,counterparty_player_id,role,start_turn,end_turn,outcome,accepted,censored,counteroffers,back_and_forth_count,public_exchange_count,event_span,turns_to_resolution,initial_offer,initial_request,final_offer,final_request
trade-0001,OpenAI GPT 5.4 mini,Grok 4.3,INITIATOR,16,16,REJECTED,False,False,0,0,1,5,0,"{""cash"":280,""get_out_of_jail_cards"":0,""properties"":[]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""VENTNOR_AVENUE""]}","{""cash"":280,""get_out_of_jail_cards"":0,""properties"":[]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""VENTNOR_AVENUE""]}"
trade-0001,Grok 4.3,OpenAI GPT 5.4 mini,COUNTERPARTY,16,16,REJECTED,False,False,0,0,1,5,0,"{""cash"":280,""get_out_of_jail_cards"":0,""properties"":[]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""VENTNOR_AVENUE""]}","{""cash"":280,""get_out_of_jail_cards"":0,""properties"":[]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""VENTNOR_AVENUE""]}"
trade-0002,OpenAI GPT 5.4 mini,Grok 4.3,INITIATOR,16,16,REJECTED,False,False,0,0,1,5,0,"{""cash"":350,""get_out_of_jail_cards"":0,""properties"":[]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""VENTNOR_AVENUE""]}","{""cash"":350,""get_out_of_jail_cards"":0,""properties"":[]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""VENTNOR_AVENUE""]}"
trade-0002,Grok 4.3,OpenAI GPT 5.4 mini,COUNTERPARTY,16,16,REJECTED,False,False,0,0,1,5,0,"{""cash"":350,""get_out_of_jail_cards"":0,""properties"":[]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""VENTNOR_AVENUE""]}","{""cash"":350,""get_out_of_jail_cards"":0,""properties"":[]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""VENTNOR_AVENUE""]}"
trade-0003,Gemini 3.5 Flash,OpenAI GPT 5.4 mini,INITIATOR,19,19,REJECTED,False,False,0,0,1,5,0,"{""cash"":250,""get_out_of_jail_cards"":0,""properties"":[]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""PARK_PLACE""]}","{""cash"":250,""get_out_of_jail_cards"":0,""properties"":[]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""PARK_PLACE""]}"
trade-0003,OpenAI GPT 5.4 mini,Gemini 3.5 Flash,COUNTERPARTY,19,19,REJECTED,False,False,0,0,1,5,0,"{""cash"":250,""get_out_of_jail_cards"":0,""properties"":[]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""PARK_PLACE""]}","{""cash"":250,""get_out_of_jail_cards"":0,""properties"":[]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""PARK_PLACE""]}"
trade-0004,OpenAI GPT 5.4 mini,Grok 4.3,INITIATOR,21,21,REJECTED,False,False,0,0,1,5,0,"{""cash"":371,""get_out_of_jail_cards"":0,""properties"":[]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""VENTNOR_AVENUE""]}","{""cash"":371,""get_out_of_jail_cards"":0,""properties"":[]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""VENTNOR_AVENUE""]}"
trade-0004,Grok 4.3,OpenAI GPT 5.4 mini,COUNTERPARTY,21,21,REJECTED,False,False,0,0,1,5,0,"{""cash"":371,""get_out_of_jail_cards"":0,""properties"":[]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""VENTNOR_AVENUE""]}","{""cash"":371,""get_out_of_jail_cards"":0,""properties"":[]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""VENTNOR_AVENUE""]}"
trade-0005,Gemini 3.5 Flash,OpenAI GPT 5.4 mini,INITIATOR,30,30,REJECTED,False,False,0,0,1,5,0,"{""cash"":130,""get_out_of_jail_cards"":0,""properties"":[""INDIANA_AVENUE""]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""PARK_PLACE""]}","{""cash"":130,""get_out_of_jail_cards"":0,""properties"":[""INDIANA_AVENUE""]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""PARK_PLACE""]}"
trade-0005,OpenAI GPT 5.4 mini,Gemini 3.5 Flash,COUNTERPARTY,30,30,REJECTED,False,False,0,0,1,5,0,"{""cash"":130,""get_out_of_jail_cards"":0,""properties"":[""INDIANA_AVENUE""]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""PARK_PLACE""]}","{""cash"":130,""get_out_of_jail_cards"":0,""properties"":[""INDIANA_AVENUE""]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""PARK_PLACE""]}"
