schema_version,run_id,seq,turn_index,event_type,decision_id,player_id,delta,reason,from_player_id,to_player_id,amount,payer_delta,receiver_delta
v1,mock-24591-46c1eb90,9,0,CASH_CHANGED,,OpenAI GPT 5.4 mini,-100,buy_property,,,,,
v1,mock-24591-46c1eb90,34,2,CASH_CHANGED,,Gemini 3.5 Flash,-400,buy_property,,,,,
v1,mock-24591-46c1eb90,44,3,CASH_CHANGED,,Grok 4.3,150,BUILDING_LOAN_MATURES_RECEIVE_150,,,,,
v1,mock-24591-46c1eb90,58,4,CASH_CHANGED,,OpenAI GPT 5.4 mini,-180,buy_property,,,,,
v1,mock-24591-46c1eb90,72,5,CASH_CHANGED,,Claude Haiku 4.5,-140,buy_property,,,,,
v1,mock-24591-46c1eb90,81,6,CASH_CHANGED,,Gemini 3.5 Flash,200,PASS_GO,,,,,
v1,mock-24591-46c1eb90,83,6,CASH_CHANGED,,Gemini 3.5 Flash,-50,DOCTOR_FEE_PAY_50,,,,,
v1,mock-24591-46c1eb90,143,7,CASH_CHANGED,,Gemini 3.5 Flash,-100,auction_bid,,,,,
v1,mock-24591-46c1eb90,158,8,CASH_CHANGED,,OpenAI GPT 5.4 mini,-240,buy_property,,,,,
v1,mock-24591-46c1eb90,172,9,CASH_CHANGED,,Claude Haiku 4.5,-180,buy_property,,,,,
v1,mock-24591-46c1eb90,186,10,CASH_CHANGED,,Gemini 3.5 Flash,-200,buy_property,,,,,
v1,mock-24591-46c1eb90,195,11,CASH_CHANGED,,Grok 4.3,-14,RENT,,,,,
v1,mock-24591-46c1eb90,196,11,CASH_CHANGED,,Claude Haiku 4.5,14,RENT,,,,,
v1,mock-24591-46c1eb90,197,11,RENT_PAID,,,,,Grok 4.3,Claude Haiku 4.5,14,-14,14
v1,mock-24591-46c1eb90,211,12,CASH_CHANGED,,OpenAI GPT 5.4 mini,-280,buy_property,,,,,
v1,mock-24591-46c1eb90,268,13,CASH_CHANGED,,Gemini 3.5 Flash,-130,auction_bid,,,,,
v1,mock-24591-46c1eb90,278,14,CASH_CHANGED,,Gemini 3.5 Flash,-6,RENT,,,,,
v1,mock-24591-46c1eb90,279,14,CASH_CHANGED,,OpenAI GPT 5.4 mini,6,RENT,,,,,
v1,mock-24591-46c1eb90,280,14,RENT_PAID,,,,,Gemini 3.5 Flash,OpenAI GPT 5.4 mini,6,-6,6
v1,mock-24591-46c1eb90,294,15,CASH_CHANGED,,Grok 4.3,-260,buy_property,,,,,
v1,mock-24591-46c1eb90,308,16,CASH_CHANGED,,OpenAI GPT 5.4 mini,-300,buy_property,,,,,
v1,mock-24591-46c1eb90,342,17,CASH_CHANGED,,OpenAI GPT 5.4 mini,-350,buy_property,,,,,
v1,mock-24591-46c1eb90,347,17,CASH_CHANGED,,OpenAI GPT 5.4 mini,175,MORTGAGE,,,,,
v1,mock-24591-46c1eb90,357,18,CASH_CHANGED,,Claude Haiku 4.5,-100,TAX_LUXURY,,,,,
v1,mock-24591-46c1eb90,371,19,CASH_CHANGED,,Gemini 3.5 Flash,-200,buy_property,,,,,
v1,mock-24591-46c1eb90,390,20,CASH_CHANGED,,Grok 4.3,-100,TAX_LUXURY,,,,,
v1,mock-24591-46c1eb90,399,21,CASH_CHANGED,,OpenAI GPT 5.4 mini,200,PASS_GO,,,,,
v1,mock-24591-46c1eb90,405,21,CASH_CHANGED,,OpenAI GPT 5.4 mini,-60,buy_property,,,,,
v1,mock-24591-46c1eb90,424,22,CASH_CHANGED,,Claude Haiku 4.5,200,PASS_GO,,,,,
v1,mock-24591-46c1eb90,425,22,CASH_CHANGED,,Claude Haiku 4.5,-6,RENT,,,,,
v1,mock-24591-46c1eb90,426,22,CASH_CHANGED,,OpenAI GPT 5.4 mini,6,RENT,,,,,
v1,mock-24591-46c1eb90,427,22,RENT_PAID,,,,,Claude Haiku 4.5,OpenAI GPT 5.4 mini,6,-6,6
v1,mock-24591-46c1eb90,441,23,CASH_CHANGED,,Gemini 3.5 Flash,-220,buy_property,,,,,
v1,mock-24591-46c1eb90,450,24,CASH_CHANGED,,Grok 4.3,200,PASS_GO,,,,,
v1,mock-24591-46c1eb90,456,24,CASH_CHANGED,,Grok 4.3,-100,buy_property,,,,,
v1,mock-24591-46c1eb90,465,25,CASH_CHANGED,,Grok 4.3,-60,RENT,,,,,
v1,mock-24591-46c1eb90,466,25,CASH_CHANGED,,Gemini 3.5 Flash,60,RENT,,,,,
v1,mock-24591-46c1eb90,467,25,RENT_PAID,,,,,Grok 4.3,Gemini 3.5 Flash,60,-60,60
v1,mock-24591-46c1eb90,476,26,CASH_CHANGED,,Grok 4.3,-50,RENT,,,,,
v1,mock-24591-46c1eb90,477,26,CASH_CHANGED,,Gemini 3.5 Flash,50,RENT,,,,,
v1,mock-24591-46c1eb90,478,26,RENT_PAID,,,,,Grok 4.3,Gemini 3.5 Flash,50,-50,50
v1,mock-24591-46c1eb90,487,27,CASH_CHANGED,,OpenAI GPT 5.4 mini,-50,RENT,,,,,
v1,mock-24591-46c1eb90,488,27,CASH_CHANGED,,Gemini 3.5 Flash,50,RENT,,,,,
v1,mock-24591-46c1eb90,489,27,RENT_PAID,,,,,OpenAI GPT 5.4 mini,Gemini 3.5 Flash,50,-50,50
v1,mock-24591-46c1eb90,502,28,CASH_CHANGED,,OpenAI GPT 5.4 mini,-193,UNMORTGAGE,,,,,
v1,mock-24591-46c1eb90,512,29,CASH_CHANGED,,Claude Haiku 4.5,-14,RENT,,,,,
v1,mock-24591-46c1eb90,513,29,CASH_CHANGED,,OpenAI GPT 5.4 mini,14,RENT,,,,,
v1,mock-24591-46c1eb90,514,29,RENT_PAID,,,,,Claude Haiku 4.5,OpenAI GPT 5.4 mini,14,-14,14
v1,mock-24591-46c1eb90,523,30,CASH_CHANGED,,Gemini 3.5 Flash,-22,RENT,,,,,
v1,mock-24591-46c1eb90,524,30,CASH_CHANGED,,Grok 4.3,22,RENT,,,,,
v1,mock-24591-46c1eb90,525,30,RENT_PAID,,,,,Gemini 3.5 Flash,Grok 4.3,22,-22,22
v1,mock-24591-46c1eb90,551,31,CASH_CHANGED,,Grok 4.3,-200,buy_property,,,,,
v1,mock-24591-46c1eb90,568,33,CASH_CHANGED,,OpenAI GPT 5.4 mini,-14,RENT,,,,,
v1,mock-24591-46c1eb90,569,33,CASH_CHANGED,,Claude Haiku 4.5,14,RENT,,,,,
v1,mock-24591-46c1eb90,570,33,RENT_PAID,,,,,OpenAI GPT 5.4 mini,Claude Haiku 4.5,14,-14,14
v1,mock-24591-46c1eb90,587,35,CASH_CHANGED,,Claude Haiku 4.5,-18,RENT,,,,,
v1,mock-24591-46c1eb90,588,35,CASH_CHANGED,,Gemini 3.5 Flash,18,RENT,,,,,
v1,mock-24591-46c1eb90,589,35,RENT_PAID,,,,,Claude Haiku 4.5,Gemini 3.5 Flash,18,-18,18
v1,mock-24591-46c1eb90,605,35,CASH_CHANGED,,Claude Haiku 4.5,-300,TRADE_CASH,,,,,
v1,mock-24591-46c1eb90,606,35,CASH_CHANGED,,OpenAI GPT 5.4 mini,300,TRADE_CASH,,,,,
v1,mock-24591-46c1eb90,621,36,CASH_CHANGED,,Gemini 3.5 Flash,-300,buy_property,,,,,
v1,mock-24591-46c1eb90,640,37,CASH_CHANGED,,Grok 4.3,-26,RENT,,,,,
v1,mock-24591-46c1eb90,641,37,CASH_CHANGED,,Gemini 3.5 Flash,26,RENT,,,,,
v1,mock-24591-46c1eb90,642,37,RENT_PAID,,,,,Grok 4.3,Gemini 3.5 Flash,26,-26,26
v1,mock-24591-46c1eb90,651,38,CASH_CHANGED,,OpenAI GPT 5.4 mini,-100,TAX_LUXURY,,,,,
v1,mock-24591-46c1eb90,660,39,CASH_CHANGED,,Claude Haiku 4.5,-22,RENT,,,,,
v1,mock-24591-46c1eb90,661,39,CASH_CHANGED,,Grok 4.3,22,RENT,,,,,
v1,mock-24591-46c1eb90,662,39,RENT_PAID,,,,,Claude Haiku 4.5,Grok 4.3,22,-22,22
v1,mock-24591-46c1eb90,671,40,CASH_CHANGED,,Gemini 3.5 Flash,200,PASS_GO,,,,,
v1,mock-24591-46c1eb90,720,41,CASH_CHANGED,,Grok 4.3,-35,RENT,,,,,
v1,mock-24591-46c1eb90,721,41,CASH_CHANGED,,OpenAI GPT 5.4 mini,35,RENT,,,,,
v1,mock-24591-46c1eb90,722,41,RENT_PAID,,,,,Grok 4.3,OpenAI GPT 5.4 mini,35,-35,35
v1,mock-24591-46c1eb90,731,42,CASH_CHANGED,,OpenAI GPT 5.4 mini,200,PASS_GO,,,,,
v1,mock-24591-46c1eb90,732,42,CASH_CHANGED,,OpenAI GPT 5.4 mini,-200,TAX_INCOME,,,,,
v1,mock-24591-46c1eb90,761,43,CASH_CHANGED,,Claude Haiku 4.5,-35,RENT,,,,,
v1,mock-24591-46c1eb90,762,43,CASH_CHANGED,,OpenAI GPT 5.4 mini,35,RENT,,,,,
v1,mock-24591-46c1eb90,763,43,RENT_PAID,,,,,Claude Haiku 4.5,OpenAI GPT 5.4 mini,35,-35,35
v1,mock-24591-46c1eb90,802,44,CASH_CHANGED,,Gemini 3.5 Flash,-350,TRADE_CASH,,,,,
v1,mock-24591-46c1eb90,803,44,CASH_CHANGED,,OpenAI GPT 5.4 mini,350,TRADE_CASH,,,,,
v1,mock-24591-46c1eb90,856,44,CASH_CHANGED,,Grok 4.3,-380,TRADE_CASH,,,,,
v1,mock-24591-46c1eb90,857,44,CASH_CHANGED,,Gemini 3.5 Flash,380,TRADE_CASH,,,,,
v1,mock-24591-46c1eb90,864,44,CASH_CHANGED,,Gemini 3.5 Flash,-400,BUILD,,,,,
v1,mock-24591-46c1eb90,875,45,CASH_CHANGED,,Grok 4.3,200,PASS_GO,,,,,
v1,mock-24591-46c1eb90,876,45,CASH_CHANGED,,Grok 4.3,-200,TAX_INCOME,,,,,
v1,mock-24591-46c1eb90,890,46,CASH_CHANGED,,OpenAI GPT 5.4 mini,-140,buy_property,,,,,
v1,mock-24591-46c1eb90,899,47,CASH_CHANGED,,Claude Haiku 4.5,200,PASS_GO,,,,,
v1,mock-24591-46c1eb90,900,47,CASH_CHANGED,,Claude Haiku 4.5,-6,RENT,,,,,
v1,mock-24591-46c1eb90,901,47,CASH_CHANGED,,OpenAI GPT 5.4 mini,6,RENT,,,,,
v1,mock-24591-46c1eb90,902,47,RENT_PAID,,,,,Claude Haiku 4.5,OpenAI GPT 5.4 mini,6,-6,6
v1,mock-24591-46c1eb90,919,49,CASH_CHANGED,,Grok 4.3,-80,RENT,,,,,
v1,mock-24591-46c1eb90,920,49,CASH_CHANGED,,Gemini 3.5 Flash,80,RENT,,,,,
v1,mock-24591-46c1eb90,921,49,RENT_PAID,,,,,Grok 4.3,Gemini 3.5 Flash,80,-80,80
v1,mock-24591-46c1eb90,935,50,CASH_CHANGED,,OpenAI GPT 5.4 mini,-200,buy_property,,,,,
v1,mock-24591-46c1eb90,998,54,CASH_CHANGED,,OpenAI GPT 5.4 mini,-100,RENT,,,,,
v1,mock-24591-46c1eb90,999,54,CASH_CHANGED,,Grok 4.3,100,RENT,,,,,
v1,mock-24591-46c1eb90,1000,54,RENT_PAID,,,,,OpenAI GPT 5.4 mini,Grok 4.3,100,-100,100
v1,mock-24591-46c1eb90,1009,55,CASH_CHANGED,,Claude Haiku 4.5,-18,RENT,,,,,
v1,mock-24591-46c1eb90,1010,55,CASH_CHANGED,,Gemini 3.5 Flash,18,RENT,,,,,
v1,mock-24591-46c1eb90,1011,55,RENT_PAID,,,,,Claude Haiku 4.5,Gemini 3.5 Flash,18,-18,18
v1,mock-24591-46c1eb90,1021,56,CASH_CHANGED,,Gemini 3.5 Flash,100,LIFE_INSURANCE_COLLECT_100,,,,,
v1,mock-24591-46c1eb90,1026,56,CASH_CHANGED,,Gemini 3.5 Flash,-200,BUILD,,,,,
v1,mock-24591-46c1eb90,1036,57,CASH_CHANGED,,Gemini 3.5 Flash,-100,TAX_LUXURY,,,,,
v1,mock-24591-46c1eb90,1091,57,CASH_CHANGED,,Gemini 3.5 Flash,75,MORTGAGE,,,,,
v1,mock-24591-46c1eb90,1147,58,CASH_CHANGED,,OpenAI GPT 5.4 mini,-111,auction_bid,,,,,
v1,mock-24591-46c1eb90,1158,59,CASH_CHANGED,,OpenAI GPT 5.4 mini,10,BEAUTY_CONTEST_COLLECT_10,,,,,
v1,mock-24591-46c1eb90,1167,60,CASH_CHANGED,,Claude Haiku 4.5,-26,RENT,,,,,
v1,mock-24591-46c1eb90,1168,60,CASH_CHANGED,,OpenAI GPT 5.4 mini,26,RENT,,,,,
v1,mock-24591-46c1eb90,1169,60,RENT_PAID,,,,,Claude Haiku 4.5,OpenAI GPT 5.4 mini,26,-26,26
v1,mock-24591-46c1eb90,1204,61,CASH_CHANGED,,OpenAI GPT 5.4 mini,-180,auction_bid,,,,,
v1,mock-24591-46c1eb90,1214,62,CASH_CHANGED,,Gemini 3.5 Flash,200,PASS_GO,,,,,
v1,mock-24591-46c1eb90,1215,62,CASH_CHANGED,,Gemini 3.5 Flash,-100,RENT,,,,,
v1,mock-24591-46c1eb90,1216,62,CASH_CHANGED,,Grok 4.3,100,RENT,,,,,
v1,mock-24591-46c1eb90,1217,62,RENT_PAID,,,,,Gemini 3.5 Flash,Grok 4.3,100,-100,100
v1,mock-24591-46c1eb90,1242,62,CASH_CHANGED,,Gemini 3.5 Flash,110,MORTGAGE,,,,,
v1,mock-24591-46c1eb90,1248,62,CASH_CHANGED,,Gemini 3.5 Flash,-200,BUILD,,,,,
v1,mock-24591-46c1eb90,1258,63,CASH_CHANGED,,Grok 4.3,-24,RENT,,,,,
v1,mock-24591-46c1eb90,1259,63,CASH_CHANGED,,OpenAI GPT 5.4 mini,24,RENT,,,,,
v1,mock-24591-46c1eb90,1260,63,RENT_PAID,,,,,Grok 4.3,OpenAI GPT 5.4 mini,24,-24,24
v1,mock-24591-46c1eb90,1269,64,CASH_CHANGED,,Grok 4.3,-100,TAX_LUXURY,,,,,
v1,mock-24591-46c1eb90,1282,65,CASH_CHANGED,,OpenAI GPT 5.4 mini,30,MORTGAGE,,,,,
v1,mock-24591-46c1eb90,1288,65,CASH_CHANGED,,OpenAI GPT 5.4 mini,50,MORTGAGE,,,,,
v1,mock-24591-46c1eb90,1294,65,CASH_CHANGED,,OpenAI GPT 5.4 mini,160,MORTGAGE,,,,,
v1,mock-24591-46c1eb90,1300,65,CASH_CHANGED,,OpenAI GPT 5.4 mini,150,MORTGAGE,,,,,
