turn_index,events
0,15
1,9
2,16
3,10
4,14
5,14
6,11
7,61
8,14
9,14
10,14
11,11
12,14
13,58
14,11
15,14
16,34
17,20
18,9
19,24
20,9
21,25
22,12
23,14
24,15
25,11
26,11
27,11
28,14
29,11
30,21
31,16
32,8
33,11
34,8
35,29
36,24
37,11
38,9
39,11
40,49
41,11
42,30
43,11
44,103
45,10
46,14
47,12
48,8
49,11
50,14
51,8
52,38
53,8
54,11
55,11
56,16
57,85
58,36
59,10
60,11
61,36
62,44
63,11
64,9
65,59
66,9
67,21
68,9
69,27
70,11
71,11
72,11
73,8
74,11
75,11
76,11
77,11
78,11
79,9
80,11
81,20
82,11
83,14
84,8
85,15
86,14
87,17
88,48
89,12
90,8
91,16
92,11
93,7
94,11
95,11
96,7
97,23
98,8
99,35
100,8
101,10
102,18
103,11
104,9
105,8
106,45
107,12
108,6
109,65
110,11
111,12
112,8
113,11
114,11
115,8
116,8
117,63
118,32
119,11
120,37
121,27
122,11
123,23
124,29
125,23
126,50
127,18
128,12
129,44
130,10
131,46
132,14
133,6
134,38
135,11
136,7
137,16
138,11
139,70
140,35
141,31
142,8
143,8
144,11
145,6
146,24
147,14
148,7
149,8
150,7
151,17
152,26
153,31
154,1
