turn_index,calls,cost,input_tokens,output_tokens,reasoning_tokens,total_tokens,latency_ms
0,2,0.002632,2561,158,68,2719,5399
1,1,0.004363,2028,467,336,2495,5746
2,2,0.009125,3191,482,321,3673,4188
3,1,0.002957,1769,352,304,2121,7921
4,2,0.003448,3253,224,118,3477,7525
5,2,0.021776,4846,3386,1598,8232,33751
6,1,0.007099,2237,416,336,2653,3053
7,11,0.052328,26341,4892,3618,31233,69160
8,2,0.006025,5118,486,368,5604,9204
9,2,0.020186,6716,2694,1356,9410,28016
10,2,0.015171,5890,704,506,6594,4436
11,1,0.004534,2787,474,427,3261,7925
12,2,0.005774,5395,384,267,5779,9570
13,10,0.068749,31253,6537,3798,37790,79069
14,1,0.010998,3480,642,539,4122,3487
15,2,0.009054,5821,980,850,6801,15561
16,6,0.035391,18249,4924,4411,23173,66376
17,3,0.015954,9134,2023,1828,11157,24394
18,1,0.01171,4185,1505,626,5690,13697
19,4,0.043144,13695,2906,2378,16601,18767
20,1,0.00501,3420,509,436,3929,11335
21,4,0.021474,12786,2613,2252,15399,35755
22,1,0.014402,4377,2005,833,6382,24536
23,2,0.023558,7149,1426,1215,8575,10166
24,2,0.009772,6635,860,683,7495,17128
25,1,0.004981,3555,618,528,4173,12511
26,1,0.005239,3519,551,454,4070,10478
27,1,0.004442,3078,474,398,3552,7691
28,2,0.011155,6155,1453,1324,7608,16878
29,1,0.010838,4383,1291,511,5674,12766
30,3,0.03865,10326,3003,2609,13329,20618
31,2,0.010779,6800,1019,832,7819,17288
32,1,0.006778,3109,988,918,4097,13044
33,1,0.002831,3121,109,39,3230,2335
34,1,0.011187,3120,1966,1901,5086,21022
35,5,0.067842,20209,10379,4664,30588,104902
36,4,0.058701,15020,4646,4103,19666,30715
37,1,0.005555,3906,484,392,4390,8832
38,1,0.005002,3327,557,493,3884,7490
39,1,0.012957,4857,1620,650,6477,16238
40,9,0.131041,35764,10775,9361,46539,81036
41,1,0.006568,4108,627,536,4735,9899
42,5,0.069822,19234,7837,7051,27071,77435
43,1,0.014358,5268,1818,803,7086,18251
44,18,0.302282,83236,26182,22365,109418,205012
45,1,0.006679,4494,774,689,5268,12782
46,2,0.011686,7649,1322,1200,8971,18478
47,1,0.012315,5250,1413,681,6663,15600
48,1,0.022644,4668,1738,1606,6406,9773
49,1,0.005384,3971,383,289,4354,7800
50,2,0.010299,6718,1169,1052,7887,14921
51,1,0.013275,4900,1675,757,6575,18115
52,7,0.086239,29241,6336,4732,35577,48721
53,1,0.006433,3910,672,596,4582,11012
54,1,0.004131,3462,341,270,3803,4284
55,1,0.02715,4960,4438,1713,9398,41049
56,2,0.034101,9138,2266,1984,11404,13692
57,16,0.294503,75731,26423,21076,102154,202803
58,6,0.054911,26934,5168,4403,32102,65936
59,1,0.018357,3932,3424,3360,7356,33451
60,1,0.014131,5301,1766,851,7067,18348
61,6,0.072827,25915,9547,6658,35462,116173
62,7,0.121189,31138,9687,8145,40825,59299
63,1,0.005221,4031,476,397,4507,6674
64,1,0.005137,3976,470,378,4446,6176
65,9,0.057747,30640,7726,7011,38366,89914
66,1,0.013455,4860,1719,734,6579,18405
67,3,0.042908,12813,2632,2225,15445,14242
68,1,0.006061,3808,574,453,4382,8718
69,4,0.039504,13342,6555,6264,19897,76081
70,1,0.013167,4772,1679,774,6451,17593
71,1,0.022953,4382,1820,1706,6202,8954
72,1,0.006021,3838,543,445,4381,8041
73,1,0.004962,3834,471,373,4305,5686
74,1,0.003508,3346,222,159,3568,3040
75,1,0.010317,4717,1120,523,5837,16265
76,1,0.015586,4343,1008,918,5351,5737
77,1,0.005327,3818,437,339,4255,6129
78,1,0.003664,3320,261,198,3581,2061
79,1,0.011244,4669,1315,621,5984,12039
80,1,0.010569,4609,1192,777,5801,13716
81,2,0.056946,8792,4862,4544,13654,24671
82,1,0.011888,4319,601,501,4920,4079
83,2,0.009838,7292,746,594,8038,10942
84,1,0.003158,3299,152,95,3451,2824
85,1,0.011045,4635,1282,564,5917,19421
86,2,0.041472,8736,3152,2705,11888,18177
87,1,0.005654,3559,697,613,4256,8855
88,7,0.045587,23613,6195,5595,29808,102769
89,1,0.013442,4677,1753,688,6430,17938
91,2,0.01695,6760,2640,2479,9400,28388
92,1,0.012779,4649,1626,766,6275,17368
93,1,0.013293,3798,844,731,4642,4709
94,1,0.006042,3436,770,701,4206,6030
95,1,0.011891,4726,1433,601,6159,14730
96,1,0.009798,3826,451,343,4277,3019
97,3,0.013718,9975,1386,1172,11361,20727
98,1,0.014244,4704,1908,863,6612,19009
99,6,0.148,25766,13065,12097,38831,72269
100,1,0.005033,3603,518,460,4121,5384
101,1,0.014147,4962,1837,823,6799,18958
102,3,0.046795,13034,3471,3018,16505,18999
103,1,0.005484,3760,592,516,4352,7261
104,1,0.010542,5067,1095,486,6162,10628
105,1,0.024413,4767,1918,1797,6685,11764
106,6,0.097637,23208,15451,14820,38659,183437
107,1,0.012602,4937,1533,677,6470,16263
109,10,0.104973,37972,13928,12600,51900,143812
110,1,0.012015,4955,1412,656,6367,16844
111,2,0.034262,8759,2347,2078,11106,13272
112,1,0.008134,3484,1227,1155,4711,14810
113,1,0.011776,4881,1379,678,6260,14507
114,1,0.01133,4900,1286,585,6186,13463
115,1,0.012469,4899,1514,763,6413,15620
116,1,0.024693,4714,1958,1864,6672,11195
117,9,0.088987,31524,14521,13740,46045,250608
118,5,0.027657,16875,3756,3261,20631,74328
119,1,0.011653,4863,1358,713,6221,14254
120,5,0.069378,23146,3851,3212,26997,23922
121,4,0.028385,13589,4043,3710,17632,53876
122,1,0.011763,4858,1381,578,6239,15683
123,3,0.059792,12873,5228,4792,18101,34460
124,4,0.044732,14312,7555,7178,21867,82183
125,3,0.04616,14900,6252,2939,21152,65728
126,9,0.19562,44962,17364,13397,62326,117485
127,3,0.019047,11938,2819,2520,14757,28090
128,1,0.014469,5264,1841,839,7105,17537
129,7,0.11764,32594,10458,9332,43052,76015
130,1,0.032133,5192,2705,2589,7897,14047
131,7,0.087686,28921,14265,13445,43186,152685
132,1,0.010772,5172,1120,535,6292,12347
134,6,0.039516,21861,5637,5084,27498,78241
135,1,0.012356,4871,1497,693,6368,15445
136,1,0.010391,3873,509,396,4382,3409
137,2,0.011989,6931,1509,1340,8440,19679
138,1,0.014258,4778,1896,848,6674,20841
139,11,0.197137,49528,15675,13648,65203,101961
140,6,0.028884,22445,3177,2626,25622,50755
141,5,0.052383,22409,5044,3018,27453,52664
142,1,0.051213,4892,4875,4730,9767,22651
143,1,0.012328,3633,2134,2064,5767,21177
144,1,0.015016,5086,1986,701,7072,19970
146,3,0.01811,10113,2339,2079,12452,28208
147,1,0.024513,4433,4016,1543,8449,39115
148,1,0.015879,3608,1163,1026,4771,5757
149,1,0.006669,3210,947,885,4157,10314
150,1,0.010753,3635,589,471,4224,4066
151,2,0.007669,6271,659,522,6930,8737
152,4,0.064812,16226,4497,3983,20723,22267
153,3,0.011709,9438,1029,753,10467,14992
