player_id,reason,event_count,inflow_event_count,outflow_event_count,gross_inflow,gross_outflow,net_flow,mean_delta,mean_absolute_delta,minimum_delta,maximum_delta
Claude Haiku 4.5,BANKRUPTCY,1,0,0,0,0,0,0.0,0.0,0,0
Claude Haiku 4.5,BANKRUPTCY_CASH,1,0,1,0,446,-446,-446.0,446.0,-446,-446
Claude Haiku 4.5,BIRTHDAY_COLLECT_10_FROM_EACH_PLAYER,1,0,1,0,10,-10,-10.0,10.0,-10,-10
Claude Haiku 4.5,CONSULTANCY_FEE_COLLECT_25,1,1,0,25,0,25,25.0,25.0,25,25
Claude Haiku 4.5,JAIL_FINE,3,0,3,0,150,-150,-50.0,50.0,-50,-50
Claude Haiku 4.5,MORTGAGE,5,5,0,410,0,410,82.0,82.0,60,100
Claude Haiku 4.5,PASS_GO,5,5,0,1000,0,1000,200.0,200.0,200,200
Claude Haiku 4.5,PAY_POOR_TAX_15,1,0,1,0,15,-15,-15.0,15.0,-15,-15
Claude Haiku 4.5,RENT,26,8,18,202,1366,-1164,-44.769231,60.307692,-950,50
Claude Haiku 4.5,SALE_OF_STOCK_COLLECT_50,1,1,0,50,0,50,50.0,50.0,50,50
Claude Haiku 4.5,SCHOOL_FEES_PAY_50,1,0,1,0,50,-50,-50.0,50.0,-50,-50
Claude Haiku 4.5,TAX_INCOME,1,0,1,0,200,-200,-200.0,200.0,-200,-200
Claude Haiku 4.5,TRADE_CASH,2,0,2,0,430,-430,-215.0,215.0,-250,-180
Claude Haiku 4.5,buy_property,3,0,3,0,520,-520,-173.333333,173.333333,-200,-120
Gemini 3.5 Flash,BANKRUPTCY,1,0,0,0,0,0,0.0,0.0,0,0
Gemini 3.5 Flash,BANKRUPTCY_CASH,1,0,1,0,164,-164,-164.0,164.0,-164,-164
Gemini 3.5 Flash,BIRTHDAY_COLLECT_10_FROM_EACH_PLAYER,1,0,1,0,10,-10,-10.0,10.0,-10,-10
Gemini 3.5 Flash,BUILD,2,0,2,0,600,-600,-300.0,300.0,-400,-200
Gemini 3.5 Flash,JAIL_FINE,2,0,2,0,100,-100,-50.0,50.0,-50,-50
Gemini 3.5 Flash,MORTGAGE,4,4,0,585,0,585,146.25,146.25,75,200
Gemini 3.5 Flash,PASS_GO,6,6,0,1200,0,1200,200.0,200.0,200,200
Gemini 3.5 Flash,RENT,32,12,20,552,1558,-1006,-31.4375,65.9375,-950,150
Gemini 3.5 Flash,SELL_BUILDING,1,1,0,300,0,300,300.0,300.0,300,300
Gemini 3.5 Flash,TAX_INCOME,1,0,1,0,200,-200,-200.0,200.0,-200,-200
Gemini 3.5 Flash,TAX_LUXURY,3,0,3,0,300,-300,-100.0,100.0,-100,-100
Gemini 3.5 Flash,TRADE_CASH,4,3,1,945,150,795,198.75,273.75,-150,460
Gemini 3.5 Flash,buy_property,8,0,8,0,2000,-2000,-250.0,250.0,-400,-160
Grok 4.3,BANKRUPTCY_CASH,3,3,0,967,0,967,322.333333,322.333333,164,446
Grok 4.3,BANK_ERROR_COLLECT_200,1,1,0,200,0,200,200.0,200.0,200,200
Grok 4.3,BANK_PAYS_YOU_DIVIDEND_50,1,1,0,50,0,50,50.0,50.0,50,50
Grok 4.3,BEAUTY_CONTEST_COLLECT_10,1,1,0,10,0,10,10.0,10.0,10,10
Grok 4.3,BIRTHDAY_COLLECT_10_FROM_EACH_PLAYER,1,0,1,0,10,-10,-10.0,10.0,-10,-10
Grok 4.3,BUILD,7,0,7,0,3150,-3150,-450.0,450.0,-600,-300
Grok 4.3,HOSPITAL_FEES_PAY_100,1,0,1,0,100,-100,-100.0,100.0,-100,-100
Grok 4.3,INHERIT_100,1,1,0,100,0,100,100.0,100.0,100,100
Grok 4.3,JAIL_FINE,1,0,1,0,50,-50,-50.0,50.0,-50,-50
Grok 4.3,LIFE_INSURANCE_COLLECT_100,1,1,0,100,0,100,100.0,100.0,100,100
Grok 4.3,MORTGAGE,1,1,0,30,0,30,30.0,30.0,30,30
Grok 4.3,PASS_GO,6,6,0,1200,0,1200,200.0,200.0,200,200
Grok 4.3,RENT,25,16,9,2094,182,1912,76.48,91.04,-36,950
Grok 4.3,TAX_LUXURY,2,0,2,0,200,-200,-100.0,100.0,-100,-100
Grok 4.3,auction_bid,2,0,2,0,275,-275,-137.5,137.5,-175,-100
Grok 4.3,buy_property,5,0,5,0,620,-620,-124.0,124.0,-220,-60
OpenAI GPT 5.4 mini,BANKRUPTCY,1,0,0,0,0,0,0.0,0.0,0,0
OpenAI GPT 5.4 mini,BANKRUPTCY_CASH,1,0,1,0,357,-357,-357.0,357.0,-357,-357
OpenAI GPT 5.4 mini,BIRTHDAY_COLLECT_10_FROM_EACH_PLAYER,3,3,0,30,0,30,10.0,10.0,10,10
OpenAI GPT 5.4 mini,BUILD,2,0,2,0,450,-450,-225.0,225.0,-300,-150
OpenAI GPT 5.4 mini,DOCTOR_FEE_PAY_50,1,0,1,0,50,-50,-50.0,50.0,-50,-50
OpenAI GPT 5.4 mini,HOLIDAY_FUND_RECEIVE_100,1,1,0,100,0,100,100.0,100.0,100,100
OpenAI GPT 5.4 mini,INCOME_TAX_REFUND_COLLECT_20,1,1,0,20,0,20,20.0,20.0,20,20
OpenAI GPT 5.4 mini,JAIL_FINE,1,0,1,0,50,-50,-50.0,50.0,-50,-50
OpenAI GPT 5.4 mini,MORTGAGE,3,3,0,205,0,205,68.333333,68.333333,30,100
OpenAI GPT 5.4 mini,PASS_GO,6,6,0,1200,0,1200,200.0,200.0,200,200
OpenAI GPT 5.4 mini,RENT,31,21,10,614,356,258,8.322581,31.290323,-150,70
OpenAI GPT 5.4 mini,TRADE_CASH,4,2,2,400,765,-365,-91.25,291.25,-460,250
OpenAI GPT 5.4 mini,auction_bid,2,0,2,0,821,-821,-410.5,410.5,-501,-320
OpenAI GPT 5.4 mini,buy_property,7,0,7,0,1220,-1220,-174.285714,174.285714,-280,-60
