turn_index,events
0,15
1,8
2,14
3,11
4,14
5,11
6,6
7,11
8,9
9,14
10,14
11,11
12,14
13,6
14,14
15,6
16,11
17,7
18,14
19,15
20,14
21,7
22,9
23,8
24,14
25,21
26,8
27,14
28,9
29,11
30,14
31,109
32,45
33,11
34,14
35,10
36,44
37,35
38,10
39,34
40,8
41,14
42,19
43,10
44,15
45,30
46,9
47,19
48,14
49,45
50,13
51,34
52,14
53,21
54,14
55,11
56,10
57,15
58,12
59,78
60,11
61,11
62,41
63,56
64,11
65,11
66,9
67,12
68,10
69,41
70,8
71,11
72,7
73,11
74,9
75,40
76,15
77,11
78,8
79,11
80,10
81,11
82,14
83,5
84,8
85,9
86,6
87,15
88,10
89,9
90,11
91,16
92,11
93,9
94,8
95,11
96,7
97,11
98,21
99,10
100,16
101,10
102,10
103,20
104,12
105,11
106,11
107,6
108,31
109,11
110,6
111,7
112,41
113,11
114,12
115,7
116,11
117,66
118,11
119,23
120,12
121,18
122,11
123,17
124,11
125,8
126,12
127,8
128,10
129,9
130,23
131,51
132,22
133,8
134,33
135,10
136,11
137,11
138,35
139,8
140,11
141,11
142,11
143,21
144,9
145,6
146,17
147,11
148,7
149,15
150,29
151,7
152,31
153,24
154,83
155,8
156,16
157,1
