turn_index,player_id,calls,cost,input_tokens,output_tokens,reasoning_tokens,total_tokens,latency_ms
0,OpenAI GPT 5.4 mini,2,0.00281,2559,198,97,2757,4243
1,OpenAI GPT 5.4 mini,1,0.001965,1474,191,125,1665,3726
2,Claude Haiku 4.5,2,0.013395,4135,1852,1148,5987,21760
3,Gemini 3.5 Flash,1,0.006291,1770,404,298,2174,2513
4,Grok 4.3,2,0.006307,3695,783,657,4478,16141
5,Grok 4.3,1,0.003568,2198,382,331,2580,7860
7,Claude Haiku 4.5,1,0.009544,2904,1328,671,4232,13462
8,Gemini 3.5 Flash,1,0.010506,2246,793,699,3039,4949
9,Grok 4.3,2,0.007729,4692,853,716,5545,19254
10,OpenAI GPT 5.4 mini,2,0.005878,4405,572,440,4977,7981
11,Claude Haiku 4.5,1,0.009291,3396,1179,640,4575,11489
12,Gemini 3.5 Flash,2,0.013846,5271,660,455,5931,4759
14,OpenAI GPT 5.4 mini,2,0.00549,4926,399,267,5325,4895
16,Gemini 3.5 Flash,1,0.009052,2957,513,410,3470,3403
17,Grok 4.3,1,0.004529,2543,594,533,3137,13319
18,OpenAI GPT 5.4 mini,2,0.005543,5165,371,229,5536,9626
19,Claude Haiku 4.5,2,0.019825,6860,2593,1205,9453,27566
20,Gemini 3.5 Flash,2,0.01722,6026,909,680,6935,6017
21,Grok 4.3,1,0.004333,2664,455,384,3119,9104
22,OpenAI GPT 5.4 mini,1,0.002721,2782,141,76,2923,2172
23,Claude Haiku 4.5,1,0.011036,3791,1449,708,5240,15375
24,Gemini 3.5 Flash,2,0.016511,6453,759,548,7212,5295
25,Grok 4.3,3,0.014067,8668,1454,1201,10122,33451
26,OpenAI GPT 5.4 mini,1,0.003011,2874,190,123,3064,2872
27,Claude Haiku 4.5,2,0.022051,7556,2899,1544,10455,30431
28,Gemini 3.5 Flash,1,0.010545,3562,578,476,4140,5242
29,Grok 4.3,1,0.00515,3286,632,555,3918,13782
30,OpenAI GPT 5.4 mini,2,0.005944,5645,380,262,6025,5958
31,Claude Haiku 4.5,5,0.072239,20999,10248,4469,31247,106751
31,Gemini 3.5 Flash,7,0.070986,25448,3646,2788,29094,33539
31,Grok 4.3,1,0.005426,3038,705,637,3743,12603
31,OpenAI GPT 5.4 mini,7,0.055352,21531,8712,8132,30243,90572
32,Claude Haiku 4.5,1,0.009348,4593,951,617,5544,10655
32,Gemini 3.5 Flash,5,0.078344,20213,5336,4389,25549,29306
32,Grok 4.3,1,0.005521,3684,420,337,4104,10582
32,OpenAI GPT 5.4 mini,1,0.003896,3244,325,255,3569,4184
33,Grok 4.3,1,0.005794,3767,488,429,4255,10175
34,OpenAI GPT 5.4 mini,2,0.006788,6663,398,262,7061,4344
35,Claude Haiku 4.5,1,0.011549,4689,1372,601,6061,15250
36,Claude Haiku 4.5,2,0.023112,9512,2720,1396,12232,30256
36,Gemini 3.5 Flash,5,0.080212,21513,5327,4291,26840,28930
36,Grok 4.3,1,0.006528,3976,677,588,4653,13520
37,Gemini 3.5 Flash,3,0.047269,13651,2977,2292,16628,16679
