call_index,run_id,decision_id,attempt_index,turn_index,decision_type,player_id,openrouter_model_id,model_display_name,finish_reason,accounting_status,input_tokens,output_tokens,reasoning_tokens,total_tokens,cached_tokens,cost,latency_ms,retry_used,fallback_used,fallback_reason,error_type,openrouter_status_code,generation_id
256,mock-64394-c3bb8d94,mock-64394-c3bb8d94-dec-000255,0,117,AUCTION_BID_DECISION,Claude Haiku 4.5,anthropic/claude-haiku-4.5,claude-haiku-4.5,tool_calls,actual_openrouter_usage,4617,6078,2587,10695,0,0.035007,58282,False,False,,,200,gen-1782794297-E6WlHAkVgSCSk2HZlnAD
276,mock-64394-c3bb8d94,mock-64394-c3bb8d94-dec-000272,0,123,POST_TURN_ACTION_DECISION,Gemini 3.5 Flash,google/gemini-3.5-flash,gemini-3.5-flash,tool_calls,actual_openrouter_usage,4471,3118,2903,7589,0,0.0347685,16151,False,False,,,200,gen-1782794752-CVWpbaoAFjeHJu2MngVG
154,mock-64394-c3bb8d94,mock-64394-c3bb8d94-dec-000154,0,60,POST_TURN_ACTION_DECISION,Gemini 3.5 Flash,google/gemini-3.5-flash,gemini-3.5-flash,tool_calls,actual_openrouter_usage,4948,2736,2566,7684,0,0.032046,14857,False,False,,,200,gen-1782792855-Mg2NQjFi3q38kmOj0u1Q
229,mock-64394-c3bb8d94,mock-64394-c3bb8d94-dec-000229,0,104,POST_TURN_ACTION_DECISION,Claude Haiku 4.5,anthropic/claude-haiku-4.5,claude-haiku-4.5,tool_calls,actual_openrouter_usage,4668,5269,2112,9937,0,0.031013,53773,False,False,,,200,gen-1782793839-Yuy3pigioKkfshnAPDUY
281,mock-64394-c3bb8d94,mock-64394-c3bb8d94-dec-000277,0,127,POST_TURN_ACTION_DECISION,Gemini 3.5 Flash,google/gemini-3.5-flash,gemini-3.5-flash,tool_calls,actual_openrouter_usage,4365,2650,2490,7015,0,0.0303975,23320,False,False,,,200,gen-1782794810-IlKIky8z6aG4L5lkevTD
307,mock-64394-c3bb8d94,mock-64394-c3bb8d94-dec-000301,0,136,POST_TURN_ACTION_DECISION,Gemini 3.5 Flash,google/gemini-3.5-flash,gemini-3.5-flash,tool_calls,actual_openrouter_usage,4670,2599,2444,7269,0,0.030396,12422,False,False,,,200,gen-1782795166-GXF6oZNsBiBDIBTZS30g
306,mock-64394-c3bb8d94,mock-64394-c3bb8d94-dec-000300,0,135,POST_TURN_ACTION_DECISION,Claude Haiku 4.5,anthropic/claude-haiku-4.5,claude-haiku-4.5,tool_calls,actual_openrouter_usage,4786,5010,2355,9796,0,0.029836,50890,False,False,,,200,gen-1782795115-cIdvaENrf6uXuoT5i6nR
95,mock-64394-c3bb8d94,mock-64394-c3bb8d94-dec-000095,0,40,POST_TURN_ACTION_DECISION,Claude Haiku 4.5,anthropic/claude-haiku-4.5,claude-haiku-4.5,tool_calls,actual_openrouter_usage,5295,4513,1998,9808,0,0.02786,43289,False,False,,,200,gen-1782792029-4eKPQDv2AzOTWUiYGeA7
127,mock-64394-c3bb8d94,mock-64394-c3bb8d94-dec-000127,0,51,TRADE_RESPONSE_DECISION,Claude Haiku 4.5,anthropic/claude-haiku-4.5,claude-haiku-4.5,tool_calls,actual_openrouter_usage,5301,4320,2004,9621,0,0.026901,43247,False,False,,,200,gen-1782792446-awvbNlv1wfMBiAXVC7Xn
126,mock-64394-c3bb8d94,mock-64394-c3bb8d94-dec-000126,0,51,POST_TURN_ACTION_DECISION,Gemini 3.5 Flash,google/gemini-3.5-flash,gemini-3.5-flash,tool_calls,actual_openrouter_usage,4743,1965,1665,6708,0,0.0247995,11485,False,False,,,200,gen-1782792434-FChxbDYFvijskNVcimgU
149,mock-64394-c3bb8d94,mock-64394-c3bb8d94-dec-000149,0,59,TRADE_RESPONSE_DECISION,Gemini 3.5 Flash,google/gemini-3.5-flash,gemini-3.5-flash,tool_calls,actual_openrouter_usage,4793,1933,1702,6726,0,0.0245865,10078,False,False,,,200,gen-1782792802-ZVydpsWF9W2LwJKYQ9BO
249,mock-64394-c3bb8d94,mock-64394-c3bb8d94-dec-000248,0,114,POST_TURN_ACTION_DECISION,Gemini 3.5 Flash,google/gemini-3.5-flash,gemini-3.5-flash,tool_calls,actual_openrouter_usage,4604,1953,1810,6557,0,0.024483,10528,False,False,,,200,gen-1782794207-wsbKOFi8N890HrEuVlOp
190,mock-64394-c3bb8d94,mock-64394-c3bb8d94-dec-000190,0,75,TRADE_RESPONSE_DECISION,Gemini 3.5 Flash,google/gemini-3.5-flash,gemini-3.5-flash,tool_calls,actual_openrouter_usage,4217,1983,1727,6200,0,0.0241725,10965,False,False,,,200,gen-1782793311-aoku2HIY7PT4WBHG9twC
200,mock-64394-c3bb8d94,mock-64394-c3bb8d94-dec-000200,0,80,POST_TURN_ACTION_DECISION,Claude Haiku 4.5,anthropic/claude-haiku-4.5,claude-haiku-4.5,tool_calls,actual_openrouter_usage,4744,3854,1436,8598,0,0.024014,35795,False,False,,,200,gen-1782793442-O8zb0mtuOslSEIbA9gI4
339,mock-64394-c3bb8d94,mock-64394-c3bb8d94-dec-000332,0,154,LIQUIDATION_DECISION,Gemini 3.5 Flash,google/gemini-3.5-flash,gemini-3.5-flash,tool_calls,actual_openrouter_usage,4093,1951,1735,6044,0,0.0236985,11194,False,False,,,200,gen-1782795662-jIrwvQ7T5bm9krrqNuGg
326,mock-64394-c3bb8d94,mock-64394-c3bb8d94-dec-000319,0,150,POST_TURN_ACTION_DECISION,Claude Haiku 4.5,anthropic/claude-haiku-4.5,claude-haiku-4.5,tool_calls,actual_openrouter_usage,4505,3822,1500,8327,0,0.023615,40501,False,False,,,200,gen-1782795435-Xdai0yxtOVswfzFazDGR
238,mock-64394-c3bb8d94,mock-64394-c3bb8d94-dec-000237,0,109,POST_TURN_ACTION_DECISION,Claude Haiku 4.5,anthropic/claude-haiku-4.5,claude-haiku-4.5,tool_calls,actual_openrouter_usage,4746,3580,1357,8326,0,0.022646,33639,False,False,,,200,gen-1782794011-w9z2iTVu487t7MWbENnT
297,mock-64394-c3bb8d94,mock-64394-c3bb8d94-dec-000292,0,132,POST_TURN_ACTION_DECISION,Gemini 3.5 Flash,google/gemini-3.5-flash,gemini-3.5-flash,tool_calls,actual_openrouter_usage,4523,1723,1477,6246,0,0.0222915,9707,False,False,,,200,gen-1782794994-O3tCVhQLif1jIXknRP4t
61,mock-64394-c3bb8d94,mock-64394-c3bb8d94-dec-000061,0,31,TRADE_RESPONSE_DECISION,Claude Haiku 4.5,anthropic/claude-haiku-4.5,claude-haiku-4.5,tool_calls,actual_openrouter_usage,4447,3499,1397,7946,0,0.021942,36896,False,False,,,200,gen-1782791670-qvEfczZCqCWszaQkMyYn
176,mock-64394-c3bb8d94,mock-64394-c3bb8d94-dec-000176,0,67,POST_TURN_ACTION_DECISION,Gemini 3.5 Flash,google/gemini-3.5-flash,gemini-3.5-flash,tool_calls,actual_openrouter_usage,4235,1689,1565,5924,0,0.0215535,9102,False,False,,,200,gen-1782793165-yeeWIMSxC1Tz8X4JoRrn
242,mock-64394-c3bb8d94,mock-64394-c3bb8d94-dec-000241,0,112,POST_TURN_ACTION_DECISION,OpenAI GPT 5.4 mini,openai/gpt-5.4-mini,gpt-5.4-mini,tool_calls,actual_openrouter_usage,3458,4139,3988,7597,0,0.021219,29447,False,False,,,200,gen-1782794087-PbXRwhoOTdFnCe6dm8zX
267,mock-64394-c3bb8d94,mock-64394-c3bb8d94-dec-000265,0,119,TRADE_RESPONSE_DECISION,OpenAI GPT 5.4 mini,openai/gpt-5.4-mini,gpt-5.4-mini,tool_calls,actual_openrouter_usage,3352,4155,4096,7507,0,0.0212115,38653,False,False,,,200,gen-1782794505-UoDhaOrknfz52cXL1Bea
329,mock-64394-c3bb8d94,mock-64394-c3bb8d94-dec-000322,0,150,POST_TURN_ACTION_DECISION,Claude Haiku 4.5,anthropic/claude-haiku-4.5,claude-haiku-4.5,tool_calls,actual_openrouter_usage,4722,3271,1014,7993,0,0.021077,29912,False,False,,,200,gen-1782795524-Xe2j26gq1PEQcAf8mxCL
298,mock-64394-c3bb8d94,mock-64394-c3bb8d94-dec-000293,0,132,POST_TURN_ACTION_DECISION,Gemini 3.5 Flash,google/gemini-3.5-flash,gemini-3.5-flash,tool_calls,actual_openrouter_usage,4678,1559,1440,6237,0,0.021048,8667,False,False,,,200,gen-1782795004-vLb9BBVbOdDMAhuGqwhV
80,mock-64394-c3bb8d94,mock-64394-c3bb8d94-dec-000080,0,36,POST_TURN_ACTION_DECISION,Gemini 3.5 Flash,google/gemini-3.5-flash,gemini-3.5-flash,tool_calls,actual_openrouter_usage,4535,1580,1307,6115,0,0.0210225,8144,False,False,,,200,gen-1782791861-IlTop0NzoNFbv66t7Z6F
345,mock-64394-c3bb8d94,mock-64394-c3bb8d94-dec-000336,0,154,POST_TURN_ACTION_DECISION,Gemini 3.5 Flash,google/gemini-3.5-flash,gemini-3.5-flash,tool_calls,actual_openrouter_usage,4088,1649,1339,5737,0,0.020973,9195,False,False,,,200,gen-1782795695-EXLzw2fiCGdiQ7OEJsWd
161,mock-64394-c3bb8d94,mock-64394-c3bb8d94-dec-000161,0,62,TRADE_RESPONSE_DECISION,Gemini 3.5 Flash,google/gemini-3.5-flash,gemini-3.5-flash,tool_calls,actual_openrouter_usage,4908,1496,1341,6404,0,0.020826,8232,False,False,,,200,gen-1782792967-75y4kl80ChOfOTptRsUJ
308,mock-64394-c3bb8d94,mock-64394-c3bb8d94-dec-000302,0,137,POST_TURN_ACTION_DECISION,Gemini 3.5 Flash,google/gemini-3.5-flash,gemini-3.5-flash,tool_calls,actual_openrouter_usage,4462,1554,1451,6016,0,0.020679,8471,False,False,,,200,gen-1782795179-jpO2VTBrVr7ansq5SDvJ
112,mock-64394-c3bb8d94,mock-64394-c3bb8d94-dec-000112,0,47,POST_TURN_ACTION_DECISION,Gemini 3.5 Flash,google/gemini-3.5-flash,gemini-3.5-flash,tool_calls,actual_openrouter_usage,4395,1541,1404,5936,0,0.0204615,8943,False,False,,,200,gen-1782792254-NuvEhvtpcZp2Ng9ZPAXZ
232,mock-64394-c3bb8d94,mock-64394-c3bb8d94-dec-000232,0,108,POST_TURN_ACTION_DECISION,OpenAI GPT 5.4 mini,openai/gpt-5.4-mini,gpt-5.4-mini,tool_calls,actual_openrouter_usage,3289,3990,3811,7279,0,0.02042175,32904,False,False,,,200,gen-1782793915-NSx6ujRwrIB7K4OqA0sY
