call_index,run_id,decision_id,attempt_index,turn_index,decision_type,player_id,openrouter_model_id,model_display_name,finish_reason,accounting_status,input_tokens,output_tokens,reasoning_tokens,total_tokens,cached_tokens,cost,latency_ms,retry_used,fallback_used,fallback_reason,error_type,openrouter_status_code,generation_id
256,mock-64394-c3bb8d94,mock-64394-c3bb8d94-dec-000255,0,117,AUCTION_BID_DECISION,Claude Haiku 4.5,anthropic/claude-haiku-4.5,claude-haiku-4.5,tool_calls,actual_openrouter_usage,4617,6078,2587,10695,0,0.035007,58282,False,False,,,200,gen-1782794297-E6WlHAkVgSCSk2HZlnAD
229,mock-64394-c3bb8d94,mock-64394-c3bb8d94-dec-000229,0,104,POST_TURN_ACTION_DECISION,Claude Haiku 4.5,anthropic/claude-haiku-4.5,claude-haiku-4.5,tool_calls,actual_openrouter_usage,4668,5269,2112,9937,0,0.031013,53773,False,False,,,200,gen-1782793839-Yuy3pigioKkfshnAPDUY
306,mock-64394-c3bb8d94,mock-64394-c3bb8d94-dec-000300,0,135,POST_TURN_ACTION_DECISION,Claude Haiku 4.5,anthropic/claude-haiku-4.5,claude-haiku-4.5,tool_calls,actual_openrouter_usage,4786,5010,2355,9796,0,0.029836,50890,False,False,,,200,gen-1782795115-cIdvaENrf6uXuoT5i6nR
95,mock-64394-c3bb8d94,mock-64394-c3bb8d94-dec-000095,0,40,POST_TURN_ACTION_DECISION,Claude Haiku 4.5,anthropic/claude-haiku-4.5,claude-haiku-4.5,tool_calls,actual_openrouter_usage,5295,4513,1998,9808,0,0.02786,43289,False,False,,,200,gen-1782792029-4eKPQDv2AzOTWUiYGeA7
127,mock-64394-c3bb8d94,mock-64394-c3bb8d94-dec-000127,0,51,TRADE_RESPONSE_DECISION,Claude Haiku 4.5,anthropic/claude-haiku-4.5,claude-haiku-4.5,tool_calls,actual_openrouter_usage,5301,4320,2004,9621,0,0.026901,43247,False,False,,,200,gen-1782792446-awvbNlv1wfMBiAXVC7Xn
267,mock-64394-c3bb8d94,mock-64394-c3bb8d94-dec-000265,0,119,TRADE_RESPONSE_DECISION,OpenAI GPT 5.4 mini,openai/gpt-5.4-mini,gpt-5.4-mini,tool_calls,actual_openrouter_usage,3352,4155,4096,7507,0,0.0212115,38653,False,False,,,200,gen-1782794505-UoDhaOrknfz52cXL1Bea
242,mock-64394-c3bb8d94,mock-64394-c3bb8d94-dec-000241,0,112,POST_TURN_ACTION_DECISION,OpenAI GPT 5.4 mini,openai/gpt-5.4-mini,gpt-5.4-mini,tool_calls,actual_openrouter_usage,3458,4139,3988,7597,0,0.021219,29447,False,False,,,200,gen-1782794087-PbXRwhoOTdFnCe6dm8zX
232,mock-64394-c3bb8d94,mock-64394-c3bb8d94-dec-000232,0,108,POST_TURN_ACTION_DECISION,OpenAI GPT 5.4 mini,openai/gpt-5.4-mini,gpt-5.4-mini,tool_calls,actual_openrouter_usage,3289,3990,3811,7279,0,0.02042175,32904,False,False,,,200,gen-1782793915-NSx6ujRwrIB7K4OqA0sY
200,mock-64394-c3bb8d94,mock-64394-c3bb8d94-dec-000200,0,80,POST_TURN_ACTION_DECISION,Claude Haiku 4.5,anthropic/claude-haiku-4.5,claude-haiku-4.5,tool_calls,actual_openrouter_usage,4744,3854,1436,8598,0,0.024014,35795,False,False,,,200,gen-1782793442-O8zb0mtuOslSEIbA9gI4
326,mock-64394-c3bb8d94,mock-64394-c3bb8d94-dec-000319,0,150,POST_TURN_ACTION_DECISION,Claude Haiku 4.5,anthropic/claude-haiku-4.5,claude-haiku-4.5,tool_calls,actual_openrouter_usage,4505,3822,1500,8327,0,0.023615,40501,False,False,,,200,gen-1782795435-Xdai0yxtOVswfzFazDGR
218,mock-64394-c3bb8d94,mock-64394-c3bb8d94-dec-000218,0,98,POST_TURN_ACTION_DECISION,OpenAI GPT 5.4 mini,openai/gpt-5.4-mini,gpt-5.4-mini,tool_calls,actual_openrouter_usage,3109,3758,3624,6867,0,0.01924275,28100,False,False,,,200,gen-1782793692-m1AMvZrDlThku9jCon3h
