auction_id,turn_index,property_space,player_id,observed_eligible,participated_with_bid,bid_count,first_bid,last_bid,maximum_bid,dropped_out,won,winning_bid,list_price,winner_bid_to_list_ratio,auction_reason
auction-0001,15,MEDITERRANEAN_AVENUE,Claude Haiku 4.5,True,False,0,,,,True,False,,60,,SOLD
auction-0001,15,MEDITERRANEAN_AVENUE,Gemini 3 Flash Preview,True,True,3,10,47,47,True,False,,60,,SOLD
auction-0001,15,MEDITERRANEAN_AVENUE,Grok 4.3,True,False,0,,,,True,False,,60,,SOLD
auction-0001,15,MEDITERRANEAN_AVENUE,OpenAI GPT 5.4 Mini,True,True,3,31,70,70,False,True,70,60,1.166667,SOLD
auction-0002,22,ELECTRIC_COMPANY,Claude Haiku 4.5,True,False,0,,,,True,False,,150,,SOLD
auction-0002,22,ELECTRIC_COMPANY,Gemini 3 Flash Preview,True,True,3,50,100,100,False,True,100,150,0.666667,SOLD
auction-0002,22,ELECTRIC_COMPANY,Grok 4.3,True,False,0,,,,True,False,,150,,SOLD
auction-0002,22,ELECTRIC_COMPANY,OpenAI GPT 5.4 Mini,True,True,2,51,76,76,True,False,,150,,SOLD
auction-0003,40,ILLINOIS_AVENUE,Claude Haiku 4.5,True,False,0,,,,True,False,,240,,SOLD
auction-0003,40,ILLINOIS_AVENUE,Gemini 3 Flash Preview,True,True,5,120,280,280,True,False,,240,,SOLD
auction-0003,40,ILLINOIS_AVENUE,Grok 4.3,True,True,5,150,300,300,False,True,300,240,1.25,SOLD
auction-0003,40,ILLINOIS_AVENUE,OpenAI GPT 5.4 Mini,True,True,1,151,151,151,True,False,,240,,SOLD
auction-0004,47,PARK_PLACE,Claude Haiku 4.5,True,False,0,,,,True,False,,350,,SOLD
auction-0004,47,PARK_PLACE,Gemini 3 Flash Preview,True,True,3,125,222,222,False,True,222,350,0.634286,SOLD
auction-0004,47,PARK_PLACE,Grok 4.3,True,True,2,180,201,201,True,False,,350,,SOLD
auction-0004,47,PARK_PLACE,OpenAI GPT 5.4 Mini,True,True,1,90,90,90,True,False,,350,,SOLD
auction-0005,48,VIRGINIA_AVENUE,Claude Haiku 4.5,True,False,0,,,,True,False,,160,,SOLD
auction-0005,48,VIRGINIA_AVENUE,Gemini 3 Flash Preview,True,True,2,85,110,110,False,True,110,160,0.6875,SOLD
auction-0005,48,VIRGINIA_AVENUE,Grok 4.3,True,False,0,,,,True,False,,160,,SOLD
auction-0005,48,VIRGINIA_AVENUE,OpenAI GPT 5.4 Mini,True,True,1,86,86,86,True,False,,160,,SOLD
auction-0006,52,TENNESSEE_AVENUE,Claude Haiku 4.5,True,False,0,,,,True,False,,180,,SOLD
auction-0006,52,TENNESSEE_AVENUE,Gemini 3 Flash Preview,True,True,1,180,180,180,False,True,180,180,1.0,SOLD
auction-0006,52,TENNESSEE_AVENUE,Grok 4.3,True,False,0,,,,True,False,,180,,SOLD
auction-0006,52,TENNESSEE_AVENUE,OpenAI GPT 5.4 Mini,True,False,0,,,,True,False,,180,,SOLD
auction-0007,55,VERMONT_AVENUE,Claude Haiku 4.5,True,False,0,,,,True,False,,100,,SOLD
auction-0007,55,VERMONT_AVENUE,Gemini 3 Flash Preview,True,True,2,50,75,75,True,False,,100,,SOLD
auction-0007,55,VERMONT_AVENUE,Grok 4.3,True,False,0,,,,True,False,,100,,SOLD
auction-0007,55,VERMONT_AVENUE,OpenAI GPT 5.4 Mini,True,True,3,1,90,90,False,True,90,100,0.9,SOLD
auction-0008,121,WATER_WORKS,Claude Haiku 4.5,True,False,0,,,,True,False,,150,,SOLD
auction-0008,121,WATER_WORKS,Gemini 3 Flash Preview,True,True,1,10,10,10,False,True,10,150,0.066667,SOLD
auction-0008,121,WATER_WORKS,Grok 4.3,True,False,0,,,,True,False,,150,,SOLD
