trade_id,player_id,counterparty_player_id,role,start_turn,end_turn,outcome,accepted,censored,counteroffers,back_and_forth_count,public_exchange_count,event_span,turns_to_resolution,initial_offer,initial_request,final_offer,final_request
trade-0001,Claude Haiku 4.5,Grok 4.3,INITIATOR,22,22,REJECTED,False,False,0,0,1,5,0,"{""cash"":300,""get_out_of_jail_cards"":0,""properties"":[]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""PENNSYLVANIA_RAILROAD""]}","{""cash"":300,""get_out_of_jail_cards"":0,""properties"":[]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""PENNSYLVANIA_RAILROAD""]}"
trade-0001,Grok 4.3,Claude Haiku 4.5,COUNTERPARTY,22,22,REJECTED,False,False,0,0,1,5,0,"{""cash"":300,""get_out_of_jail_cards"":0,""properties"":[]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""PENNSYLVANIA_RAILROAD""]}","{""cash"":300,""get_out_of_jail_cards"":0,""properties"":[]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""PENNSYLVANIA_RAILROAD""]}"
trade-0002,Claude Haiku 4.5,Grok 4.3,INITIATOR,22,22,REJECTED,False,False,0,0,1,5,0,"{""cash"":400,""get_out_of_jail_cards"":0,""properties"":[]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""PENNSYLVANIA_RAILROAD""]}","{""cash"":400,""get_out_of_jail_cards"":0,""properties"":[]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""PENNSYLVANIA_RAILROAD""]}"
trade-0002,Grok 4.3,Claude Haiku 4.5,COUNTERPARTY,22,22,REJECTED,False,False,0,0,1,5,0,"{""cash"":400,""get_out_of_jail_cards"":0,""properties"":[]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""PENNSYLVANIA_RAILROAD""]}","{""cash"":400,""get_out_of_jail_cards"":0,""properties"":[]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""PENNSYLVANIA_RAILROAD""]}"
trade-0003,Claude Haiku 4.5,Grok 4.3,INITIATOR,22,22,REJECTED,False,False,0,0,1,5,0,"{""cash"":500,""get_out_of_jail_cards"":0,""properties"":[]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""PENNSYLVANIA_RAILROAD""]}","{""cash"":500,""get_out_of_jail_cards"":0,""properties"":[]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""PENNSYLVANIA_RAILROAD""]}"
trade-0003,Grok 4.3,Claude Haiku 4.5,COUNTERPARTY,22,22,REJECTED,False,False,0,0,1,5,0,"{""cash"":500,""get_out_of_jail_cards"":0,""properties"":[]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""PENNSYLVANIA_RAILROAD""]}","{""cash"":500,""get_out_of_jail_cards"":0,""properties"":[]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""PENNSYLVANIA_RAILROAD""]}"
trade-0004,OpenAI GPT 5.4 Mini,Grok 4.3,INITIATOR,26,26,REJECTED,False,False,0,0,1,5,0,"{""cash"":260,""get_out_of_jail_cards"":0,""properties"":[]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""VENTNOR_AVENUE""]}","{""cash"":260,""get_out_of_jail_cards"":0,""properties"":[]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""VENTNOR_AVENUE""]}"
trade-0004,Grok 4.3,OpenAI GPT 5.4 Mini,COUNTERPARTY,26,26,REJECTED,False,False,0,0,1,5,0,"{""cash"":260,""get_out_of_jail_cards"":0,""properties"":[]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""VENTNOR_AVENUE""]}","{""cash"":260,""get_out_of_jail_cards"":0,""properties"":[]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""VENTNOR_AVENUE""]}"
trade-0005,OpenAI GPT 5.4 Mini,Grok 4.3,INITIATOR,26,26,REJECTED,False,False,0,0,1,5,0,"{""cash"":400,""get_out_of_jail_cards"":0,""properties"":[]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""VENTNOR_AVENUE""]}","{""cash"":400,""get_out_of_jail_cards"":0,""properties"":[]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""VENTNOR_AVENUE""]}"
trade-0005,Grok 4.3,OpenAI GPT 5.4 Mini,COUNTERPARTY,26,26,REJECTED,False,False,0,0,1,5,0,"{""cash"":400,""get_out_of_jail_cards"":0,""properties"":[]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""VENTNOR_AVENUE""]}","{""cash"":400,""get_out_of_jail_cards"":0,""properties"":[]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""VENTNOR_AVENUE""]}"
trade-0006,OpenAI GPT 5.4 Mini,Grok 4.3,INITIATOR,26,26,REJECTED,False,False,0,0,1,5,0,"{""cash"":450,""get_out_of_jail_cards"":0,""properties"":[""MEDITERRANEAN_AVENUE""]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""VENTNOR_AVENUE""]}","{""cash"":450,""get_out_of_jail_cards"":0,""properties"":[""MEDITERRANEAN_AVENUE""]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""VENTNOR_AVENUE""]}"
trade-0006,Grok 4.3,OpenAI GPT 5.4 Mini,COUNTERPARTY,26,26,REJECTED,False,False,0,0,1,5,0,"{""cash"":450,""get_out_of_jail_cards"":0,""properties"":[""MEDITERRANEAN_AVENUE""]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""VENTNOR_AVENUE""]}","{""cash"":450,""get_out_of_jail_cards"":0,""properties"":[""MEDITERRANEAN_AVENUE""]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""VENTNOR_AVENUE""]}"
trade-0007,OpenAI GPT 5.4 Mini,Grok 4.3,INITIATOR,26,26,REJECTED,False,False,0,0,1,5,0,"{""cash"":450,""get_out_of_jail_cards"":0,""properties"":[""MEDITERRANEAN_AVENUE"",""ST_CHARLES_PLACE""]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""VENTNOR_AVENUE""]}","{""cash"":450,""get_out_of_jail_cards"":0,""properties"":[""MEDITERRANEAN_AVENUE"",""ST_CHARLES_PLACE""]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""VENTNOR_AVENUE""]}"
trade-0007,Grok 4.3,OpenAI GPT 5.4 Mini,COUNTERPARTY,26,26,REJECTED,False,False,0,0,1,5,0,"{""cash"":450,""get_out_of_jail_cards"":0,""properties"":[""MEDITERRANEAN_AVENUE"",""ST_CHARLES_PLACE""]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""VENTNOR_AVENUE""]}","{""cash"":450,""get_out_of_jail_cards"":0,""properties"":[""MEDITERRANEAN_AVENUE"",""ST_CHARLES_PLACE""]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""VENTNOR_AVENUE""]}"
trade-0008,OpenAI GPT 5.4 Mini,Grok 4.3,INITIATOR,39,39,REJECTED,False,False,0,0,1,5,0,"{""cash"":150,""get_out_of_jail_cards"":0,""properties"":[""NORTH_CAROLINA_AVENUE""]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""VENTNOR_AVENUE""]}","{""cash"":150,""get_out_of_jail_cards"":0,""properties"":[""NORTH_CAROLINA_AVENUE""]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""VENTNOR_AVENUE""]}"
trade-0008,Grok 4.3,OpenAI GPT 5.4 Mini,COUNTERPARTY,39,39,REJECTED,False,False,0,0,1,5,0,"{""cash"":150,""get_out_of_jail_cards"":0,""properties"":[""NORTH_CAROLINA_AVENUE""]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""VENTNOR_AVENUE""]}","{""cash"":150,""get_out_of_jail_cards"":0,""properties"":[""NORTH_CAROLINA_AVENUE""]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""VENTNOR_AVENUE""]}"
trade-0009,Claude Haiku 4.5,Grok 4.3,INITIATOR,44,44,REJECTED,False,False,0,0,1,5,0,"{""cash"":350,""get_out_of_jail_cards"":0,""properties"":[]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""PENNSYLVANIA_RAILROAD""]}","{""cash"":350,""get_out_of_jail_cards"":0,""properties"":[]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""PENNSYLVANIA_RAILROAD""]}"
trade-0009,Grok 4.3,Claude Haiku 4.5,COUNTERPARTY,44,44,REJECTED,False,False,0,0,1,5,0,"{""cash"":350,""get_out_of_jail_cards"":0,""properties"":[]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""PENNSYLVANIA_RAILROAD""]}","{""cash"":350,""get_out_of_jail_cards"":0,""properties"":[]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""PENNSYLVANIA_RAILROAD""]}"
trade-0010,OpenAI GPT 5.4 Mini,Grok 4.3,INITIATOR,48,48,REJECTED,False,False,0,0,1,5,0,"{""cash"":100,""get_out_of_jail_cards"":0,""properties"":[""MEDITERRANEAN_AVENUE""]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""VENTNOR_AVENUE""]}","{""cash"":100,""get_out_of_jail_cards"":0,""properties"":[""MEDITERRANEAN_AVENUE""]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""VENTNOR_AVENUE""]}"
trade-0010,Grok 4.3,OpenAI GPT 5.4 Mini,COUNTERPARTY,48,48,REJECTED,False,False,0,0,1,5,0,"{""cash"":100,""get_out_of_jail_cards"":0,""properties"":[""MEDITERRANEAN_AVENUE""]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""VENTNOR_AVENUE""]}","{""cash"":100,""get_out_of_jail_cards"":0,""properties"":[""MEDITERRANEAN_AVENUE""]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""VENTNOR_AVENUE""]}"
