call_index,run_id,decision_id,attempt_index,turn_index,decision_type,player_id,openrouter_model_id,model_display_name,finish_reason,accounting_status,input_tokens,output_tokens,reasoning_tokens,total_tokens,cached_tokens,cost,latency_ms,retry_used,fallback_used,fallback_reason,error_type,openrouter_status_code,generation_id
52,mock-44910-42ec35c5,mock-44910-42ec35c5-dec-000052,0,22,POST_TURN_ACTION_DECISION,Claude Haiku 4.5,anthropic/claude-haiku-4.5,claude-haiku-4.5,tool_calls,actual_openrouter_usage,4284,7331,2727,11615,0,0.040939,65919,False,False,,,200,gen-1780836658-n7fZYUlOGiAZOsjF0YmJ
367,mock-44910-42ec35c5,mock-44910-42ec35c5-dec-000359,0,143,TRADE_RESPONSE_DECISION,Claude Haiku 4.5,anthropic/claude-haiku-4.5,claude-haiku-4.5,tool_calls,actual_openrouter_usage,5729,6903,2903,12632,0,0.040244,65903,False,False,,,200,gen-1780840808-ck15sidHbCDk3A0gSuC3
110,mock-44910-42ec35c5,mock-44910-42ec35c5-dec-000110,0,44,POST_TURN_ACTION_DECISION,Claude Haiku 4.5,anthropic/claude-haiku-4.5,claude-haiku-4.5,tool_calls,actual_openrouter_usage,4536,6508,2584,11044,0,0.037076,63681,False,False,,,200,gen-1780837350-mWTUOuhBA1BD9JclJ0jO
402,mock-44910-42ec35c5,mock-44910-42ec35c5-dec-000394,0,166,LIQUIDATION_DECISION,Claude Haiku 4.5,anthropic/claude-haiku-4.5,claude-haiku-4.5,tool_calls,actual_openrouter_usage,4891,5819,2341,10710,0,0.033986,56867,False,False,,,200,gen-1780841242-NfhAyyAqH1Cp3YyUky0l
232,mock-44910-42ec35c5,mock-44910-42ec35c5-dec-000227,0,76,POST_TURN_ACTION_DECISION,OpenAI GPT 5.4 Mini,openai/gpt-5.4-mini,gpt-5.4-mini,tool_calls,actual_openrouter_usage,3522,5561,5388,9083,0,0.027666,46654,False,False,,,200,gen-1780838918-PSP4M8ZrozB2sQ3HnBpC
247,mock-44910-42ec35c5,mock-44910-42ec35c5-dec-000241,0,78,TRADE_RESPONSE_DECISION,Claude Haiku 4.5,anthropic/claude-haiku-4.5,claude-haiku-4.5,tool_calls,actual_openrouter_usage,4949,4986,2101,9935,0,0.029879,51145,False,False,,,200,gen-1780839219-9ROyUkLw18jQq8va0a3H
220,mock-44910-42ec35c5,mock-44910-42ec35c5-dec-000216,0,70,TRADE_RESPONSE_DECISION,Claude Haiku 4.5,anthropic/claude-haiku-4.5,claude-haiku-4.5,tool_calls,actual_openrouter_usage,4948,4307,1388,9255,0,0.026483,39984,False,False,,,200,gen-1780838734-q7IXem7mbirgimWOlJrv
183,mock-44910-42ec35c5,mock-44910-42ec35c5-dec-000180,0,61,POST_TURN_ACTION_DECISION,Claude Haiku 4.5,anthropic/claude-haiku-4.5,claude-haiku-4.5,tool_calls,actual_openrouter_usage,4535,4200,1706,8735,0,0.025535,39579,False,False,,,200,gen-1780838217-1lVWOVNU0J9HeZfLpGxd
54,mock-44910-42ec35c5,mock-44910-42ec35c5-dec-000054,0,22,POST_TURN_ACTION_DECISION,Claude Haiku 4.5,anthropic/claude-haiku-4.5,claude-haiku-4.5,tool_calls,actual_openrouter_usage,4417,4164,1744,8581,0,0.025237,43786,False,False,,,200,gen-1780836734-6lppI7AgYPiLROyFWXPl
356,mock-44910-42ec35c5,mock-44910-42ec35c5-dec-000348,0,140,TRADE_RESPONSE_DECISION,Claude Haiku 4.5,anthropic/claude-haiku-4.5,claude-haiku-4.5,tool_calls,actual_openrouter_usage,4844,4149,1334,8993,0,0.025589,41737,False,False,,,200,gen-1780840548-sQ2JE1A5HBDYXJkxfpeP
