event_type,count
LLM_DECISION_REQUESTED,540
LLM_DECISION_RESPONSE,540
LLM_PUBLIC_MESSAGE,540
LLM_PRIVATE_THOUGHT,540
CASH_CHANGED,391
PLAYER_MOVED,279
DICE_ROLLED,277
TURN_STARTED,273
TURN_ENDED,273
RENT_PAID,79
TRADE_PROPOSED,44
AUCTION_BID_PLACED,38
PROPERTY_PURCHASED,37
CARD_DRAWN,37
TRADE_REJECTED,37
HOUSE_BUILT,34
PROPERTY_MORTGAGED,31
PROPERTY_UNMORTGAGED,24
AUCTION_PLAYER_DROPPED,23
PROPERTY_TRANSFERRED,14
HOUSE_SOLD,10
AUCTION_STARTED,8
AUCTION_ENDED,8
SENT_TO_JAIL,8
TRADE_ACCEPTED,7
TRADE_COUNTERED,4
HOTEL_BUILT,2
HOTEL_SOLD,2
GAME_STARTED,1
GAME_ENDED,1
