player_id,reason,event_count,inflow_event_count,outflow_event_count,gross_inflow,gross_outflow,net_flow,mean_delta,mean_absolute_delta,minimum_delta,maximum_delta
Claude Opus 4.8,BANKRUPTCY_CASH,3,3,0,564,0,564,188.0,188.0,56,295
Claude Opus 4.8,BIRTHDAY_COLLECT_10_FROM_EACH_PLAYER,3,3,0,30,0,30,10.0,10.0,10,10
Claude Opus 4.8,BUILD,8,0,8,0,4350,-4350,-543.75,543.75,-1350,-50
Claude Opus 4.8,ELECTED_CHAIRMAN_PAY_EACH_PLAYER_50,1,1,0,50,0,50,50.0,50.0,50,50
Claude Opus 4.8,JAIL_FINE,1,0,1,0,50,-50,-50.0,50.0,-50,-50
Claude Opus 4.8,LIFE_INSURANCE_COLLECT_100,1,1,0,100,0,100,100.0,100.0,100,100
Claude Opus 4.8,MORTGAGE,1,1,0,75,0,75,75.0,75.0,75,75
Claude Opus 4.8,PASS_GO,8,8,0,1600,0,1600,200.0,200.0,200,200
Claude Opus 4.8,RENT,27,21,6,3938,295,3643,134.925926,156.777778,-150,875
Claude Opus 4.8,STREET_REPAIRS,1,0,1,0,345,-345,-345.0,345.0,-345,-345
Claude Opus 4.8,TAX_LUXURY,1,0,1,0,100,-100,-100.0,100.0,-100,-100
Claude Opus 4.8,TRADE_CASH,1,0,1,0,320,-320,-320.0,320.0,-320,-320
Claude Opus 4.8,UNMORTGAGE,4,0,4,0,595,-595,-148.75,148.75,-176,-122
Claude Opus 4.8,buy_property,6,0,6,0,1150,-1150,-191.666667,191.666667,-300,-100
Gemini 3.1 Pro Preview,BANKRUPTCY,1,0,0,0,0,0,0.0,0.0,0,0
Gemini 3.1 Pro Preview,BANKRUPTCY_CASH,1,0,1,0,56,-56,-56.0,56.0,-56,-56
Gemini 3.1 Pro Preview,BANK_ERROR_COLLECT_200,1,1,0,200,0,200,200.0,200.0,200,200
Gemini 3.1 Pro Preview,BANK_PAYS_YOU_DIVIDEND_50,1,1,0,50,0,50,50.0,50.0,50,50
Gemini 3.1 Pro Preview,BIRTHDAY_COLLECT_10_FROM_EACH_PLAYER,1,0,1,0,10,-10,-10.0,10.0,-10,-10
Gemini 3.1 Pro Preview,BUILD,1,0,1,0,400,-400,-400.0,400.0,-400,-400
Gemini 3.1 Pro Preview,BUILDING_LOAN_MATURES_RECEIVE_150,1,1,0,150,0,150,150.0,150.0,150,150
Gemini 3.1 Pro Preview,ELECTED_CHAIRMAN_PAY_EACH_PLAYER_50,3,0,3,0,150,-150,-50.0,50.0,-50,-50
