mortgage_id,player_id,space_index,mortgage_event_id,mortgage_seq,mortgage_turn,mortgage_amount,unmortgage_event_id,unmortgage_seq,unmortgage_turn,unmortgage_amount,duration_turns,financing_cost,censored
mortgage-0001,Claude Opus 4.8,12,mock-1038910349-f66fa07c-evt-000949,949,56,75,,,,,,,True
mortgage-0002,OpenAI GPT 5.5,39,mock-1038910349-f66fa07c-evt-001308,1308,81,200,,,,,,,True
mortgage-0003,OpenAI GPT 5.5,32,mock-1038910349-f66fa07c-evt-001314,1314,81,150,,,,,,,True
mortgage-0004,OpenAI GPT 5.5,28,mock-1038910349-f66fa07c-evt-001320,1320,81,75,,,,,,,True
mortgage-0005,Grok 4.3,34,mock-1038910349-f66fa07c-evt-001608,1608,94,160,,,,,,,True
mortgage-0006,Grok 4.3,24,mock-1038910349-f66fa07c-evt-001614,1614,94,120,,,,,,,True
mortgage-0007,Grok 4.3,21,mock-1038910349-f66fa07c-evt-001620,1620,94,110,,,,,,,True
mortgage-0008,Grok 4.3,35,mock-1038910349-f66fa07c-evt-001629,1629,94,100,,,,,,,True
mortgage-0009,Gemini 3.1 Pro Preview,26,mock-1038910349-f66fa07c-evt-001662,1662,97,130,,,,,,,True
mortgage-0010,Gemini 3.1 Pro Preview,5,mock-1038910349-f66fa07c-evt-001737,1737,103,100,,,,,,,True
mortgage-0011,OpenAI GPT 5.5,27,mock-1038910349-f66fa07c-evt-001906,1906,115,130,,,,,,,True
mortgage-0012,OpenAI GPT 5.5,14,mock-1038910349-f66fa07c-evt-002323,2323,145,80,,,,,,,True
mortgage-0013,OpenAI GPT 5.5,13,mock-1038910349-f66fa07c-evt-002329,2329,145,70,,,,,,,True
mortgage-0014,OpenAI GPT 5.5,11,mock-1038910349-f66fa07c-evt-002338,2338,145,70,,,,,,,True
mortgage-0015,OpenAI GPT 5.5,1,mock-1038910349-f66fa07c-evt-002396,2396,145,30,,,,,,,True
mortgage-0016,Gemini 3.1 Pro Preview,19,mock-1038910349-f66fa07c-evt-002486,2486,147,100,,,,,,,True
