trade_id,initiator_player_id,counterparty_player_id,start_event_id,start_seq,start_turn,end_event_id,end_seq,end_turn,outcome,censored,counteroffers,offer_revisions,public_exchange_count,initial_offer,initial_request,final_offer,final_request,event_span,turns_to_resolution,accepted,back_and_forth_count
trade-0001,OpenAI GPT 5.5,Grok 4.3,mock-1038910349-f66fa07c-evt-000062,62,5,mock-1038910349-f66fa07c-evt-000067,67,5,REJECTED,False,0,0,1,"{""cash"":230,""get_out_of_jail_cards"":0,""properties"":[]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""TENNESSEE_AVENUE""]}","{""cash"":230,""get_out_of_jail_cards"":0,""properties"":[]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""TENNESSEE_AVENUE""]}",5,0,False,0
trade-0002,OpenAI GPT 5.5,Grok 4.3,mock-1038910349-f66fa07c-evt-000072,72,5,mock-1038910349-f66fa07c-evt-000077,77,5,REJECTED,False,0,0,1,"{""cash"":300,""get_out_of_jail_cards"":0,""properties"":[]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""TENNESSEE_AVENUE""]}","{""cash"":300,""get_out_of_jail_cards"":0,""properties"":[]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""TENNESSEE_AVENUE""]}",5,0,False,0
trade-0003,OpenAI GPT 5.5,Grok 4.3,mock-1038910349-f66fa07c-evt-000082,82,5,mock-1038910349-f66fa07c-evt-000087,87,5,REJECTED,False,0,0,1,"{""cash"":140,""get_out_of_jail_cards"":0,""properties"":[]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""VERMONT_AVENUE""]}","{""cash"":140,""get_out_of_jail_cards"":0,""properties"":[]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""VERMONT_AVENUE""]}",5,0,False,0
trade-0004,OpenAI GPT 5.5,Claude Opus 4.8,mock-1038910349-f66fa07c-evt-000108,108,6,mock-1038910349-f66fa07c-evt-000113,113,6,REJECTED,False,0,0,1,"{""cash"":35,""get_out_of_jail_cards"":0,""properties"":[]}","{""cash"":0,""get_out_of_jail_cards"":1,""properties"":[]}","{""cash"":35,""get_out_of_jail_cards"":0,""properties"":[]}","{""cash"":0,""get_out_of_jail_cards"":1,""properties"":[]}",5,0,False,0
trade-0005,OpenAI GPT 5.5,Claude Opus 4.8,mock-1038910349-f66fa07c-evt-000165,165,10,mock-1038910349-f66fa07c-evt-000170,170,10,REJECTED,False,0,0,1,"{""cash"":260,""get_out_of_jail_cards"":0,""properties"":[]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""ST_JAMES_PLACE""]}","{""cash"":260,""get_out_of_jail_cards"":0,""properties"":[]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""ST_JAMES_PLACE""]}",5,0,False,0
trade-0006,OpenAI GPT 5.5,Gemini 3.1 Pro Preview,mock-1038910349-f66fa07c-evt-000175,175,10,mock-1038910349-f66fa07c-evt-000180,180,10,REJECTED,False,0,0,1,"{""cash"":210,""get_out_of_jail_cards"":0,""properties"":[]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""ST_CHARLES_PLACE""]}","{""cash"":210,""get_out_of_jail_cards"":0,""properties"":[]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""ST_CHARLES_PLACE""]}",5,0,False,0
trade-0007,OpenAI GPT 5.5,Grok 4.3,mock-1038910349-f66fa07c-evt-000185,185,10,mock-1038910349-f66fa07c-evt-000190,190,10,REJECTED,False,0,0,1,"{""cash"":200,""get_out_of_jail_cards"":0,""properties"":[]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""VERMONT_AVENUE""]}","{""cash"":200,""get_out_of_jail_cards"":0,""properties"":[]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""VERMONT_AVENUE""]}",5,0,False,0
trade-0008,OpenAI GPT 5.5,Grok 4.3,mock-1038910349-f66fa07c-evt-000195,195,10,mock-1038910349-f66fa07c-evt-000200,200,10,REJECTED,False,0,0,1,"{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""BOARDWALK""]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""VERMONT_AVENUE"",""TENNESSEE_AVENUE""]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""BOARDWALK""]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""VERMONT_AVENUE"",""TENNESSEE_AVENUE""]}",5,0,False,0
trade-0009,OpenAI GPT 5.5,Grok 4.3,mock-1038910349-f66fa07c-evt-000341,341,21,mock-1038910349-f66fa07c-evt-000346,346,21,REJECTED,False,0,0,1,"{""cash"":300,""get_out_of_jail_cards"":0,""properties"":[]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""TENNESSEE_AVENUE""]}","{""cash"":300,""get_out_of_jail_cards"":0,""properties"":[]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""TENNESSEE_AVENUE""]}",5,0,False,0
trade-0010,OpenAI GPT 5.5,Gemini 3.1 Pro Preview,mock-1038910349-f66fa07c-evt-000351,351,21,mock-1038910349-f66fa07c-evt-000356,356,21,REJECTED,False,0,0,1,"{""cash"":320,""get_out_of_jail_cards"":0,""properties"":[]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""NEW_YORK_AVENUE""]}","{""cash"":320,""get_out_of_jail_cards"":0,""properties"":[]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""NEW_YORK_AVENUE""]}",5,0,False,0
trade-0011,OpenAI GPT 5.5,Gemini 3.1 Pro Preview,mock-1038910349-f66fa07c-evt-000361,361,21,mock-1038910349-f66fa07c-evt-000366,366,21,REJECTED,False,0,0,1,"{""cash"":200,""get_out_of_jail_cards"":0,""properties"":[]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""ST_CHARLES_PLACE""]}","{""cash"":200,""get_out_of_jail_cards"":0,""properties"":[]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""ST_CHARLES_PLACE""]}",5,0,False,0
trade-0012,Grok 4.3,Claude Opus 4.8,mock-1038910349-f66fa07c-evt-000416,416,25,mock-1038910349-f66fa07c-evt-000421,421,25,REJECTED,False,0,0,1,"{""cash"":350,""get_out_of_jail_cards"":0,""properties"":[]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""ST_JAMES_PLACE""]}","{""cash"":350,""get_out_of_jail_cards"":0,""properties"":[]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""ST_JAMES_PLACE""]}",5,0,False,0
trade-0013,Grok 4.3,Claude Opus 4.8,mock-1038910349-f66fa07c-evt-000479,479,29,mock-1038910349-f66fa07c-evt-000484,484,29,REJECTED,False,0,0,1,"{""cash"":400,""get_out_of_jail_cards"":0,""properties"":[]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""ST_JAMES_PLACE""]}","{""cash"":400,""get_out_of_jail_cards"":0,""properties"":[]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""ST_JAMES_PLACE""]}",5,0,False,0
trade-0014,OpenAI GPT 5.5,Grok 4.3,mock-1038910349-f66fa07c-evt-000503,503,30,mock-1038910349-f66fa07c-evt-000508,508,30,REJECTED,False,0,0,1,"{""cash"":430,""get_out_of_jail_cards"":0,""properties"":[]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""PENNSYLVANIA_AVENUE""]}","{""cash"":430,""get_out_of_jail_cards"":0,""properties"":[]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""PENNSYLVANIA_AVENUE""]}",5,0,False,0
trade-0015,OpenAI GPT 5.5,Gemini 3.1 Pro Preview,mock-1038910349-f66fa07c-evt-000513,513,30,mock-1038910349-f66fa07c-evt-000518,518,30,REJECTED,False,0,0,1,"{""cash"":360,""get_out_of_jail_cards"":0,""properties"":[]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""ATLANTIC_AVENUE""]}","{""cash"":360,""get_out_of_jail_cards"":0,""properties"":[]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""ATLANTIC_AVENUE""]}",5,0,False,0
trade-0016,OpenAI GPT 5.5,Gemini 3.1 Pro Preview,mock-1038910349-f66fa07c-evt-000682,682,44,mock-1038910349-f66fa07c-evt-000687,687,44,REJECTED,False,0,0,1,"{""cash"":260,""get_out_of_jail_cards"":0,""properties"":[]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""ST_CHARLES_PLACE""]}","{""cash"":260,""get_out_of_jail_cards"":0,""properties"":[]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""ST_CHARLES_PLACE""]}",5,0,False,0
trade-0017,OpenAI GPT 5.5,Claude Opus 4.8,mock-1038910349-f66fa07c-evt-000692,692,44,mock-1038910349-f66fa07c-evt-000697,697,44,REJECTED,False,0,0,1,"{""cash"":170,""get_out_of_jail_cards"":0,""properties"":[]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""ORIENTAL_AVENUE""]}","{""cash"":170,""get_out_of_jail_cards"":0,""properties"":[]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""ORIENTAL_AVENUE""]}",5,0,False,0
trade-0018,OpenAI GPT 5.5,Grok 4.3,mock-1038910349-f66fa07c-evt-000702,702,44,mock-1038910349-f66fa07c-evt-000707,707,44,REJECTED,False,0,0,1,"{""cash"":300,""get_out_of_jail_cards"":0,""properties"":[]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""ILLINOIS_AVENUE""]}","{""cash"":300,""get_out_of_jail_cards"":0,""properties"":[]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""ILLINOIS_AVENUE""]}",5,0,False,0
trade-0019,OpenAI GPT 5.5,Claude Opus 4.8,mock-1038910349-f66fa07c-evt-000712,712,44,mock-1038910349-f66fa07c-evt-000717,717,44,REJECTED,False,0,0,1,"{""cash"":390,""get_out_of_jail_cards"":0,""properties"":[]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""PACIFIC_AVENUE""]}","{""cash"":390,""get_out_of_jail_cards"":0,""properties"":[]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""PACIFIC_AVENUE""]}",5,0,False,0
trade-0020,OpenAI GPT 5.5,Gemini 3.1 Pro Preview,mock-1038910349-f66fa07c-evt-000733,733,45,mock-1038910349-f66fa07c-evt-000738,738,45,REJECTED,False,0,0,1,"{""cash"":350,""get_out_of_jail_cards"":0,""properties"":[""NORTH_CAROLINA_AVENUE""]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""ATLANTIC_AVENUE"",""MARVIN_GARDENS""]}","{""cash"":350,""get_out_of_jail_cards"":0,""properties"":[""NORTH_CAROLINA_AVENUE""]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""ATLANTIC_AVENUE"",""MARVIN_GARDENS""]}",5,0,False,0
trade-0021,OpenAI GPT 5.5,Grok 4.3,mock-1038910349-f66fa07c-evt-000743,743,45,mock-1038910349-f66fa07c-evt-000748,748,45,REJECTED,False,0,0,1,"{""cash"":180,""get_out_of_jail_cards"":0,""properties"":[]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""CONNECTICUT_AVENUE""]}","{""cash"":180,""get_out_of_jail_cards"":0,""properties"":[]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""CONNECTICUT_AVENUE""]}",5,0,False,0
trade-0022,OpenAI GPT 5.5,Grok 4.3,mock-1038910349-f66fa07c-evt-000764,764,46,mock-1038910349-f66fa07c-evt-000769,769,46,REJECTED,False,0,0,1,"{""cash"":420,""get_out_of_jail_cards"":0,""properties"":[]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""PENNSYLVANIA_AVENUE""]}","{""cash"":420,""get_out_of_jail_cards"":0,""properties"":[]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""PENNSYLVANIA_AVENUE""]}",5,0,False,0
trade-0023,OpenAI GPT 5.5,Gemini 3.1 Pro Preview,mock-1038910349-f66fa07c-evt-000774,774,46,mock-1038910349-f66fa07c-evt-000779,779,46,REJECTED,False,0,0,1,"{""cash"":150,""get_out_of_jail_cards"":0,""properties"":[""BOARDWALK""]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""ATLANTIC_AVENUE"",""MARVIN_GARDENS""]}","{""cash"":150,""get_out_of_jail_cards"":0,""properties"":[""BOARDWALK""]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""ATLANTIC_AVENUE"",""MARVIN_GARDENS""]}",5,0,False,0
trade-0024,OpenAI GPT 5.5,Gemini 3.1 Pro Preview,mock-1038910349-f66fa07c-evt-000784,784,46,mock-1038910349-f66fa07c-evt-000789,789,46,ACCEPTED,False,0,0,1,"{""cash"":350,""get_out_of_jail_cards"":0,""properties"":[]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""ST_CHARLES_PLACE""]}","{""cash"":350,""get_out_of_jail_cards"":0,""properties"":[]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""ST_CHARLES_PLACE""]}",5,0,True,0
trade-0025,Claude Opus 4.8,Grok 4.3,mock-1038910349-f66fa07c-evt-000852,852,51,mock-1038910349-f66fa07c-evt-000857,857,51,ACCEPTED,False,0,0,1,"{""cash"":320,""get_out_of_jail_cards"":0,""properties"":[]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""VERMONT_AVENUE"",""CONNECTICUT_AVENUE""]}","{""cash"":320,""get_out_of_jail_cards"":0,""properties"":[]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""VERMONT_AVENUE"",""CONNECTICUT_AVENUE""]}",5,0,True,0
trade-0026,OpenAI GPT 5.5,Grok 4.3,mock-1038910349-f66fa07c-evt-000909,909,54,mock-1038910349-f66fa07c-evt-000914,914,54,REJECTED,False,0,0,1,"{""cash"":380,""get_out_of_jail_cards"":0,""properties"":[]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""PENNSYLVANIA_AVENUE""]}","{""cash"":380,""get_out_of_jail_cards"":0,""properties"":[]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""PENNSYLVANIA_AVENUE""]}",5,0,False,0
trade-0027,Grok 4.3,Claude Opus 4.8,mock-1038910349-f66fa07c-evt-001183,1183,75,mock-1038910349-f66fa07c-evt-001188,1188,75,REJECTED,False,0,0,1,"{""cash"":300,""get_out_of_jail_cards"":0,""properties"":[""SHORT_LINE""]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""INDIANA_AVENUE""]}","{""cash"":300,""get_out_of_jail_cards"":0,""properties"":[""SHORT_LINE""]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""INDIANA_AVENUE""]}",5,0,False,0
