check,status,denominator,issues
expected top-level artifacts,pass,44,0
JSON/JSONL core parse,pass,1,0
event sequence contiguous,pass,2694,0
decision started/resolved IDs,pass,364,0
actions link one-to-one to resolved decisions,pass,364,0
usage decisions link one-to-one,pass,364,0
usage attempt keys match decision attempts,pass,371,0
prompt artifacts complete per attempt,pass,1855,0
quality-check request/response complete per attempt,pass,742,0
raw usage present per attempt,pass,371,0
canonical snapshot cadence,pass,164,0
final state agrees with summary cash/bankruptcy,pass,8,0
artifact manifest hashes,pass,41,0
aggregate replay,pass,1,0
state replay,pass,1,0
artifact replay,pass,1,0
usage aggregate reconciliation,pass,11,0
cost report reconciliation,pass,1,0
