turn_index,calls,cost,input_tokens,output_tokens,reasoning_tokens,total_tokens,latency_ms
0,1,0.016375,2585,138,6,2723,3713
1,1,0.00608,1486,259,203,1745,3932
2,2,0.005317,3286,645,492,3931,13316
3,3,0.009627,5752,1163,984,6915,24889
5,7,0.090675,14824,2871,2129,17695,64092
6,4,0.09808,11657,1365,933,13022,29679
7,2,0.062595,9229,658,185,9887,11774
8,2,0.018698,5767,597,449,6364,8628
9,1,0.004719,2971,456,378,3427,8542
10,9,0.209119,30675,4238,3066,34913,87600
11,2,0.06854,10748,592,169,11340,11154
12,2,0.020882,6415,671,481,7086,9195
13,2,0.022188,6654,740,592,7394,10193
14,1,0.011604,3558,374,300,3932,4846
15,1,0.005306,3242,582,479,3824,15355
16,1,0.033025,3173,572,505,3745,10754
17,1,0.053315,5773,978,178,6751,14084
18,1,0.03917,5784,410,116,6194,10626
19,2,0.022474,6539,783,611,7322,9764
20,3,0.014485,9415,1463,1240,10878,32876
21,7,0.167454,21960,3982,3193,25942,74518
22,2,0.07928,11231,925,233,12156,15839
23,1,0.01418,3598,582,502,4180,7248
24,1,0.009952,3590,231,149,3821,3413
25,4,0.05972,16542,2413,1721,18955,46015
26,1,0.03395,3196,599,516,3795,15330
27,2,0.082955,12016,915,201,12931,16126
28,2,0.023378,7021,778,596,7799,11885
29,5,0.064618,20310,2455,1616,22765,44938
30,6,0.172122,20144,4055,3377,24199,74851
31,1,0.04818,6631,601,217,7232,9703
32,1,0.017632,3830,831,732,4661,8611
33,2,0.009792,7069,893,740,7962,18709
34,1,0.073955,3277,1919,1849,5196,37842
35,1,0.04028,6576,296,74,6872,5916
36,2,0.0821,12585,767,230,13352,13993
37,1,0.016818,3789,770,698,4559,7292
38,2,0.009847,6976,827,663,7803,16142
39,1,0.033165,3111,587,516,3698,12262
40,2,0.10254,11898,1722,315,13620,26070
41,1,0.015984,3474,753,644,4227,7075
42,1,0.005375,3452,666,610,4118,11854
43,1,0.004943,3450,494,430,3944,8086
44,9,0.378352,35752,8525,6658,44277,157757
45,5,0.24788,18118,6862,6271,24980,122677
46,8,0.321734,31074,8911,7886,39985,155126
47,1,0.04818,7451,437,91,7888,7219
48,1,0.011858,4189,290,211,4479,3658
49,2,0.011513,7700,1427,1237,9127,17345
50,1,0.035325,3525,590,516,4115,12171
51,5,0.258127,33838,4997,1352,38835,74945
52,1,0.016576,4106,697,578,4803,7041
53,1,0.005691,3929,742,653,4671,12071
54,3,0.183498,10309,5439,5112,15748,106745
55,2,0.10851,14427,1455,307,15882,24961
56,2,0.10782,14554,1402,291,15956,22639
57,1,0.014564,3916,561,476,4477,6448
58,1,0.005105,3856,544,474,4400,5480
59,1,0.06984,3348,1770,1696,5118,33934
