call_index,run_id,decision_id,attempt_index,turn_index,decision_type,player_id,openrouter_model_id,model_display_name,finish_reason,accounting_status,input_tokens,output_tokens,reasoning_tokens,total_tokens,cached_tokens,cost,latency_ms,retry_used,fallback_used,fallback_reason,error_type,openrouter_status_code,generation_id
305,mock-1038910349-f66fa07c,mock-1038910349-f66fa07c-dec-000300,0,141,POST_TURN_ACTION_DECISION,OpenAI GPT 5.5,openai/gpt-5.5,gpt-5.5,tool_calls,actual_openrouter_usage,3427,5075,4927,8502,0,0.169385,98134,False,False,,,200,gen-1784092728-vTe4bDIOyZvIUtsmJy8c
323,mock-1038910349-f66fa07c,mock-1038910349-f66fa07c-dec-000317,0,145,TRADE_RESPONSE_DECISION,OpenAI GPT 5.5,openai/gpt-5.5,gpt-5.5,tool_calls,actual_openrouter_usage,4151,4790,4628,8941,0,0.164455,127614,False,False,,,200,gen-1784093297-xLBgDPlmp4AY4npn6Ht7
320,mock-1038910349-f66fa07c,mock-1038910349-f66fa07c-dec-000315,0,145,TRADE_RESPONSE_DECISION,OpenAI GPT 5.5,openai/gpt-5.5,gpt-5.5,tool_calls,actual_openrouter_usage,3865,3869,3693,7734,0,0.135395,98389,False,False,,,200,gen-1784093184-rNqXrjrsJwtCfr1moYcP
312,mock-1038910349-f66fa07c,mock-1038910349-f66fa07c-dec-000307,0,144,POST_TURN_ACTION_DECISION,OpenAI GPT 5.5,openai/gpt-5.5,gpt-5.5,tool_calls,actual_openrouter_usage,3616,3598,3499,7214,0,0.12602,71577,False,False,,,200,gen-1784092988-7ZjD3VXjEvngSnEXZYMn
346,mock-1038910349-f66fa07c,mock-1038910349-f66fa07c-dec-000339,0,148,POST_TURN_ACTION_DECISION,OpenAI GPT 5.5,openai/gpt-5.5,gpt-5.5,tool_calls,actual_openrouter_usage,3911,3657,3492,7568,0,0.129265,74669,False,False,,,200,gen-1784093806-otzfJ5zdyBNzbVyVomHB
307,mock-1038910349-f66fa07c,mock-1038910349-f66fa07c-dec-000302,0,141,POST_TURN_ACTION_DECISION,OpenAI GPT 5.5,openai/gpt-5.5,gpt-5.5,tool_calls,actual_openrouter_usage,3510,3474,3310,6984,0,0.12177,71013,False,False,,,200,gen-1784092834-IRB9WfcqHo0UClsoOAvf
130,mock-1038910349-f66fa07c,mock-1038910349-f66fa07c-dec-000127,0,54,POST_TURN_ACTION_DECISION,OpenAI GPT 5.5,openai/gpt-5.5,gpt-5.5,tool_calls,actual_openrouter_usage,3290,3254,3106,6544,0,0.11407,65965,False,False,,,200,gen-1784090640-6fkTaKn5uhdl3mIuq4rg
326,mock-1038910349-f66fa07c,mock-1038910349-f66fa07c-dec-000319,0,145,TRADE_RESPONSE_DECISION,OpenAI GPT 5.5,openai/gpt-5.5,gpt-5.5,tool_calls,actual_openrouter_usage,4341,3060,2877,7401,0,0.113505,81691,False,False,,,200,gen-1784093442-XfZppAUODQUEE1REcTiu
115,mock-1038910349-f66fa07c,mock-1038910349-f66fa07c-dec-000112,0,46,POST_TURN_ACTION_DECISION,OpenAI GPT 5.5,openai/gpt-5.5,gpt-5.5,tool_calls,actual_openrouter_usage,3755,2905,2752,6660,0,0.105925,53744,False,False,,,200,gen-1784090431-it0303Rjt0dp9Ym9kigm
330,mock-1038910349-f66fa07c,mock-1038910349-f66fa07c-dec-000323,0,145,POST_TURN_ACTION_DECISION,OpenAI GPT 5.5,openai/gpt-5.5,gpt-5.5,tool_calls,actual_openrouter_usage,4061,2644,2490,6705,0,0.099625,55249,False,False,,,200,gen-1784093597-hABd6LD9DiTomo1Nv8Ln
105,mock-1038910349-f66fa07c,mock-1038910349-f66fa07c-dec-000103,0,45,POST_TURN_ACTION_DECISION,OpenAI GPT 5.5,openai/gpt-5.5,gpt-5.5,tool_calls,actual_openrouter_usage,3348,2584,2413,5932,0,0.09426,47305,False,False,,,200,gen-1784090222-AlQoD249d5OTp3d6p9Nu
309,mock-1038910349-f66fa07c,mock-1038910349-f66fa07c-dec-000304,0,141,POST_TURN_ACTION_DECISION,OpenAI GPT 5.5,openai/gpt-5.5,gpt-5.5,tool_calls,actual_openrouter_usage,3614,2516,2408,6130,0,0.09355,51797,False,False,,,200,gen-1784092910-U6WsPPNPCGpRMTd9YW9J
263,mock-1038910349-f66fa07c,mock-1038910349-f66fa07c-dec-000258,0,115,POST_TURN_ACTION_DECISION,OpenAI GPT 5.5,openai/gpt-5.5,gpt-5.5,tool_calls,actual_openrouter_usage,3502,2495,2389,5997,0,0.09236,49016,False,False,,,200,gen-1784092186-J7lBTZ7X6QgFMKgD7lM5
328,mock-1038910349-f66fa07c,mock-1038910349-f66fa07c-dec-000321,0,145,TRADE_RESPONSE_DECISION,OpenAI GPT 5.5,openai/gpt-5.5,gpt-5.5,tool_calls,actual_openrouter_usage,4533,2290,2190,6823,0,0.091365,57238,False,False,,,200,gen-1784093534-SErchlE9xBC9MUISJHNu
107,mock-1038910349-f66fa07c,mock-1038910349-f66fa07c-dec-000105,0,45,POST_TURN_ACTION_DECISION,OpenAI GPT 5.5,openai/gpt-5.5,gpt-5.5,tool_calls,actual_openrouter_usage,3461,2211,2070,5672,0,0.083635,43870,False,False,,,200,gen-1784090276-ESjP0ApmN12KlclV4q2C
110,mock-1038910349-f66fa07c,mock-1038910349-f66fa07c-dec-000108,0,46,POST_TURN_ACTION_DECISION,OpenAI GPT 5.5,openai/gpt-5.5,gpt-5.5,tool_calls,actual_openrouter_usage,3533,2131,1979,5664,0,0.081595,42060,False,False,,,200,gen-1784090346-EgzBiSLoslcjFanGuN5t
318,mock-1038910349-f66fa07c,mock-1038910349-f66fa07c-dec-000313,0,145,POST_TURN_ACTION_DECISION,OpenAI GPT 5.5,openai/gpt-5.5,gpt-5.5,tool_calls,actual_openrouter_usage,3623,2124,1945,5747,0,0.081835,42450,False,False,,,200,gen-1784093124-A4AK7gqLRIyYvQM7ErJ8
365,mock-1038910349-f66fa07c,mock-1038910349-f66fa07c-dec-000358,0,159,POST_TURN_ACTION_DECISION,OpenAI GPT 5.5,openai/gpt-5.5,gpt-5.5,tool_calls,actual_openrouter_usage,3223,2071,1910,5294,0,0.078245,42093,False,False,,,200,gen-1784094061-GQcQagJpxhJWEA5kgo9U
83,mock-1038910349-f66fa07c,mock-1038910349-f66fa07c-dec-000081,0,34,POST_TURN_ACTION_DECISION,OpenAI GPT 5.5,openai/gpt-5.5,gpt-5.5,tool_calls,actual_openrouter_usage,3277,1919,1849,5196,0,0.073955,37842,False,False,,,200,gen-1784089913-ShKu3sNRDgnxFPklGEL0
223,mock-1038910349-f66fa07c,mock-1038910349-f66fa07c-dec-000219,0,91,POST_TURN_ACTION_DECISION,OpenAI GPT 5.5,openai/gpt-5.5,gpt-5.5,tool_calls,actual_openrouter_usage,3418,1828,1744,5246,0,0.07193,36689,False,False,,,200,gen-1784091735-n4YnleREvQpiqSNIlBys
96,mock-1038910349-f66fa07c,mock-1038910349-f66fa07c-dec-000094,0,44,POST_TURN_ACTION_DECISION,OpenAI GPT 5.5,openai/gpt-5.5,gpt-5.5,tool_calls,actual_openrouter_usage,2996,1866,1720,4862,0,0.07096,34289,False,False,,,200,gen-1784090063-i7nN54mYWMciV8cjh1br
139,mock-1038910349-f66fa07c,mock-1038910349-f66fa07c-dec-000136,0,59,POST_TURN_ACTION_DECISION,OpenAI GPT 5.5,openai/gpt-5.5,gpt-5.5,tool_calls,actual_openrouter_usage,3348,1770,1696,5118,0,0.06984,33934,False,False,,,200,gen-1784090808-cQ1F9y5ZlxL8ojtEf6bZ
247,mock-1038910349-f66fa07c,mock-1038910349-f66fa07c-dec-000242,0,105,POST_TURN_ACTION_DECISION,OpenAI GPT 5.5,openai/gpt-5.5,gpt-5.5,tool_calls,actual_openrouter_usage,3425,1758,1626,5183,0,0.069865,35503,False,False,,,200,gen-1784092012-axvUjy5BZTCvskY7wTEd
348,mock-1038910349-f66fa07c,mock-1038910349-f66fa07c-dec-000341,0,148,POST_TURN_ACTION_DECISION,OpenAI GPT 5.5,openai/gpt-5.5,gpt-5.5,tool_calls,actual_openrouter_usage,3911,1716,1552,5627,0,0.071035,37602,False,False,,,200,gen-1784093888-I0v2kyfX9QyFdhw8dhQ8
132,mock-1038910349-f66fa07c,mock-1038910349-f66fa07c-dec-000129,0,54,POST_TURN_ACTION_DECISION,OpenAI GPT 5.5,openai/gpt-5.5,gpt-5.5,tool_calls,actual_openrouter_usage,3290,1595,1515,4885,0,0.0643,31667,False,False,,,200,gen-1784090715-WwL42wnkNFqd75PaV0P2
265,mock-1038910349-f66fa07c,mock-1038910349-f66fa07c-dec-000260,0,115,POST_TURN_ACTION_DECISION,OpenAI GPT 5.5,openai/gpt-5.5,gpt-5.5,tool_calls,actual_openrouter_usage,3463,1494,1409,4957,0,0.062135,31739,False,False,,,200,gen-1784092255-MehjoIlC5PW0c5rmUr0C
279,mock-1038910349-f66fa07c,mock-1038910349-f66fa07c-dec-000274,0,119,POST_TURN_ACTION_DECISION,OpenAI GPT 5.5,openai/gpt-5.5,gpt-5.5,tool_calls,actual_openrouter_usage,3621,1399,1309,5020,0,0.060075,25774,False,False,,,200,gen-1784092466-DKRnFfqJ2Q7YlO6nG9J3
201,mock-1038910349-f66fa07c,mock-1038910349-f66fa07c-dec-000198,0,81,POST_TURN_ACTION_DECISION,OpenAI GPT 5.5,openai/gpt-5.5,gpt-5.5,tool_calls,actual_openrouter_usage,4042,1407,1303,5449,0,0.06242,27414,False,False,,,200,gen-1784091496-WzT2tKXhKGPl5D6BvoQf
100,mock-1038910349-f66fa07c,mock-1038910349-f66fa07c-dec-000098,0,44,POST_TURN_ACTION_DECISION,OpenAI GPT 5.5,openai/gpt-5.5,gpt-5.5,tool_calls,actual_openrouter_usage,3179,1442,1302,4621,0,0.059155,28961,False,False,,,200,gen-1784090135-yNgl0r9NKvDQJdIh3wNQ
241,mock-1038910349-f66fa07c,mock-1038910349-f66fa07c-dec-000236,0,100,POST_TURN_ACTION_DECISION,OpenAI GPT 5.5,openai/gpt-5.5,gpt-5.5,tool_calls,actual_openrouter_usage,3375,1367,1287,4742,0,0.057885,28037,False,False,,,200,gen-1784091937-IsCc9uP6E4OegtpZGVNM
