player_id,reason,event_count,inflow_event_count,outflow_event_count,gross_inflow,gross_outflow,net_flow,mean_delta,mean_absolute_delta,minimum_delta,maximum_delta
Claude Opus 4.8,BANKRUPTCY,1,0,0,0,0,0,0.0,0.0,0,0
Claude Opus 4.8,BANKRUPTCY_CASH,1,0,1,0,363,-363,-363.0,363.0,-363,-363
Claude Opus 4.8,BIRTHDAY_COLLECT_10_FROM_EACH_PLAYER,1,0,1,0,10,-10,-10.0,10.0,-10,-10
Claude Opus 4.8,BUILD,12,0,12,0,2100,-2100,-175.0,175.0,-300,-150
Claude Opus 4.8,ELECTED_CHAIRMAN_PAY_EACH_PLAYER_50,1,1,0,50,0,50,50.0,50.0,50,50
Claude Opus 4.8,JAIL_FINE,1,0,1,0,50,-50,-50.0,50.0,-50,-50
Claude Opus 4.8,MORTGAGE,4,4,0,410,0,410,102.5,102.5,90,130
Claude Opus 4.8,MORTGAGE_INTEREST,1,0,1,0,20,-20,-20.0,20.0,-20,-20
Claude Opus 4.8,PASS_GO,7,7,0,1400,0,1400,200.0,200.0,200,200
Claude Opus 4.8,RENT,26,11,15,837,544,293,11.269231,53.115385,-100,300
Claude Opus 4.8,SCHOOL_FEES_PAY_50,1,0,1,0,50,-50,-50.0,50.0,-50,-50
Claude Opus 4.8,SELL_BUILDING,2,2,0,150,0,150,75.0,75.0,75,75
Claude Opus 4.8,TAX_INCOME,2,0,2,0,400,-400,-200.0,200.0,-200,-200
Claude Opus 4.8,TRADE_CASH,6,6,0,1185,0,1185,197.5,197.5,80,300
Claude Opus 4.8,auction_bid,1,0,1,0,375,-375,-375.0,375.0,-375,-375
Claude Opus 4.8,buy_property,9,0,9,0,1620,-1620,-180.0,180.0,-260,-100
Gemini 3.1 Pro Preview,BANKRUPTCY_CASH,3,3,0,845,0,845,281.666667,281.666667,117,365
Gemini 3.1 Pro Preview,BIRTHDAY_COLLECT_10_FROM_EACH_PLAYER,1,0,1,0,10,-10,-10.0,10.0,-10,-10
Gemini 3.1 Pro Preview,BUILD,6,0,6,0,2100,-2100,-350.0,350.0,-600,-150
Gemini 3.1 Pro Preview,ELECTED_CHAIRMAN_PAY_EACH_PLAYER_50,1,1,0,50,0,50,50.0,50.0,50,50
Gemini 3.1 Pro Preview,HOLIDAY_FUND_RECEIVE_100,1,1,0,100,0,100,100.0,100.0,100,100
Gemini 3.1 Pro Preview,HOSPITAL_FEES_PAY_100,1,0,1,0,100,-100,-100.0,100.0,-100,-100
Gemini 3.1 Pro Preview,INCOME_TAX_REFUND_COLLECT_20,1,1,0,20,0,20,20.0,20.0,20,20
Gemini 3.1 Pro Preview,INHERIT_100,1,1,0,100,0,100,100.0,100.0,100,100
Gemini 3.1 Pro Preview,JAIL_FINE,1,0,1,0,50,-50,-50.0,50.0,-50,-50
Gemini 3.1 Pro Preview,LIFE_INSURANCE_COLLECT_100,1,1,0,100,0,100,100.0,100.0,100,100
Gemini 3.1 Pro Preview,MORTGAGE_INTEREST,7,0,7,0,102,-102,-14.571429,14.571429,-22,-8
Gemini 3.1 Pro Preview,PASS_GO,7,7,0,1400,0,1400,200.0,200.0,200,200
Gemini 3.1 Pro Preview,RENT,33,26,7,2682,624,2058,62.363636,100.181818,-200,550
Gemini 3.1 Pro Preview,TAX_INCOME,1,0,1,0,200,-200,-200.0,200.0,-200,-200
Gemini 3.1 Pro Preview,TAX_LUXURY,1,0,1,0,100,-100,-100.0,100.0,-100,-100
Gemini 3.1 Pro Preview,TRADE_CASH,12,4,8,630,1556,-926,-77.166667,182.166667,-400,350
Gemini 3.1 Pro Preview,UNMORTGAGE,5,0,5,0,405,-405,-81.0,81.0,-100,-56
Gemini 3.1 Pro Preview,auction_bid,5,0,5,0,436,-436,-87.2,87.2,-199,-15
Gemini 3.1 Pro Preview,buy_property,6,0,6,0,1110,-1110,-185.0,185.0,-300,-100
Grok 4.3,BANKRUPTCY,1,0,0,0,0,0,0.0,0.0,0,0
Grok 4.3,BANKRUPTCY_CASH,1,0,1,0,365,-365,-365.0,365.0,-365,-365
Grok 4.3,BANK_PAYS_YOU_DIVIDEND_50,1,1,0,50,0,50,50.0,50.0,50,50
Grok 4.3,BIRTHDAY_COLLECT_10_FROM_EACH_PLAYER,3,3,0,30,0,30,10.0,10.0,10,10
Grok 4.3,BUILD,2,0,2,0,500,-500,-250.0,250.0,-400,-100
Grok 4.3,ELECTED_CHAIRMAN_PAY_EACH_PLAYER_50,3,0,3,0,150,-150,-50.0,50.0,-50,-50
Grok 4.3,JAIL_FINE,1,0,1,0,50,-50,-50.0,50.0,-50,-50
Grok 4.3,PASS_GO,7,7,0,1400,0,1400,200.0,200.0,200,200
Grok 4.3,RENT,29,13,16,1675,2390,-715,-24.655172,140.172414,-550,450
Grok 4.3,SALE_OF_STOCK_COLLECT_50,1,1,0,50,0,50,50.0,50.0,50,50
Grok 4.3,SELL_BUILDING,1,1,0,50,0,50,50.0,50.0,50,50
Grok 4.3,TAX_INCOME,1,0,1,0,200,-200,-200.0,200.0,-200,-200
Grok 4.3,TAX_LUXURY,1,0,1,0,100,-100,-100.0,100.0,-100,-100
Grok 4.3,TRADE_CASH,1,0,1,0,400,-400,-400.0,400.0,-400,-400
Grok 4.3,buy_property,3,0,3,0,600,-600,-200.0,200.0,-200,-200
OpenAI GPT 5.5,BANKRUPTCY,1,0,0,0,0,0,0.0,0.0,0,0
OpenAI GPT 5.5,BANKRUPTCY_CASH,1,0,1,0,117,-117,-117.0,117.0,-117,-117
OpenAI GPT 5.5,BIRTHDAY_COLLECT_10_FROM_EACH_PLAYER,1,0,1,0,10,-10,-10.0,10.0,-10,-10
OpenAI GPT 5.5,BUILD,6,0,6,0,750,-750,-125.0,125.0,-200,-50
OpenAI GPT 5.5,BUILDING_LOAN_MATURES_RECEIVE_150,1,1,0,150,0,150,150.0,150.0,150,150
OpenAI GPT 5.5,DOCTOR_FEE_PAY_50,1,0,1,0,50,-50,-50.0,50.0,-50,-50
OpenAI GPT 5.5,ELECTED_CHAIRMAN_PAY_EACH_PLAYER_50,1,1,0,50,0,50,50.0,50.0,50,50
OpenAI GPT 5.5,JAIL_FINE,3,0,3,0,150,-150,-50.0,50.0,-50,-50
OpenAI GPT 5.5,MORTGAGE,8,8,0,725,0,725,90.625,90.625,50,200
OpenAI GPT 5.5,MORTGAGE_INTEREST,3,0,3,0,61,-61,-20.333333,20.333333,-23,-18
OpenAI GPT 5.5,PASS_GO,5,5,0,1000,0,1000,200.0,200.0,200,200
OpenAI GPT 5.5,PAY_POOR_TAX_15,1,0,1,0,15,-15,-15.0,15.0,-15,-15
OpenAI GPT 5.5,RENT,24,6,18,416,2052,-1636,-68.166667,102.833333,-450,180
OpenAI GPT 5.5,SELL_BUILDING,4,4,0,375,0,375,93.75,93.75,25,200
OpenAI GPT 5.5,TAX_INCOME,1,0,1,0,200,-200,-200.0,200.0,-200,-200
OpenAI GPT 5.5,TAX_LUXURY,1,0,1,0,100,-100,-100.0,100.0,-100,-100
OpenAI GPT 5.5,TRADE_CASH,19,9,10,1956,1815,141,7.421053,198.473684,-350,400
OpenAI GPT 5.5,UNMORTGAGE,1,0,1,0,132,-132,-132.0,132.0,-132,-132
OpenAI GPT 5.5,auction_bid,3,0,3,0,460,-460,-153.333333,153.333333,-300,-80
OpenAI GPT 5.5,buy_property,1,0,1,0,260,-260,-260.0,260.0,-260,-260
