decision_id,turn_index,player_id,decision_type,action,attempt_count,invalid_attempts,retry_used,fallback_used,latency_ms,applied,optimality_status
mock-2413970733-53b199c1-dec-000000,0,Claude Opus 4.8,BUY_OR_AUCTION_DECISION,buy_property,1,0,False,False,4597,True,NOT_SCORED_NO_ORACLE
mock-2413970733-53b199c1-dec-000001,0,Claude Opus 4.8,POST_TURN_ACTION_DECISION,end_turn,1,0,False,False,3464,True,NOT_SCORED_NO_ORACLE
mock-2413970733-53b199c1-dec-000002,1,Gemini 3.1 Pro Preview,BUY_OR_AUCTION_DECISION,buy_property,1,0,False,False,3653,True,NOT_SCORED_NO_ORACLE
mock-2413970733-53b199c1-dec-000003,1,Gemini 3.1 Pro Preview,POST_TURN_ACTION_DECISION,end_turn,1,0,False,False,3094,True,NOT_SCORED_NO_ORACLE
mock-2413970733-53b199c1-dec-000004,2,Grok 4.3,BUY_OR_AUCTION_DECISION,buy_property,1,0,False,False,6621,True,NOT_SCORED_NO_ORACLE
mock-2413970733-53b199c1-dec-000005,2,Grok 4.3,POST_TURN_ACTION_DECISION,end_turn,1,0,False,False,5614,True,NOT_SCORED_NO_ORACLE
mock-2413970733-53b199c1-dec-000006,3,OpenAI GPT 5.5,POST_TURN_ACTION_DECISION,propose_trade,1,0,False,False,15272,True,NOT_SCORED_NO_ORACLE
mock-2413970733-53b199c1-dec-000007,3,Gemini 3.1 Pro Preview,TRADE_RESPONSE_DECISION,reject_trade,1,0,False,False,5157,True,NOT_SCORED_NO_ORACLE
mock-2413970733-53b199c1-dec-000008,3,OpenAI GPT 5.5,POST_TURN_ACTION_DECISION,propose_trade,1,0,False,False,12980,True,NOT_SCORED_NO_ORACLE
mock-2413970733-53b199c1-dec-000009,3,Claude Opus 4.8,TRADE_RESPONSE_DECISION,reject_trade,1,0,False,False,4996,True,NOT_SCORED_NO_ORACLE
