mortgage_id,player_id,space_index,mortgage_event_id,mortgage_seq,mortgage_turn,mortgage_amount,unmortgage_event_id,unmortgage_seq,unmortgage_turn,unmortgage_amount,duration_turns,financing_cost,censored
mortgage-0001,OpenAI GPT 5.5,12,mock-2413970733-53b199c1-evt-001445,1445,71,75,,,,,,,True
mortgage-0002,OpenAI GPT 5.5,39,mock-2413970733-53b199c1-evt-001451,1451,71,200,,,,,,,True
mortgage-0003,OpenAI GPT 5.5,24,mock-2413970733-53b199c1-evt-001467,1467,71,120,mock-2413970733-53b199c1-evt-001565,1565,75,132,4,12,False
mortgage-0004,OpenAI GPT 5.5,9,mock-2413970733-53b199c1-evt-001621,1621,75,60,,,,,,,True
mortgage-0005,OpenAI GPT 5.5,6,mock-2413970733-53b199c1-evt-001633,1633,75,50,,,,,,,True
mortgage-0006,Claude Opus 4.8,35,mock-2413970733-53b199c1-evt-001694,1694,77,100,,,,,,,True
mortgage-0007,Claude Opus 4.8,18,mock-2413970733-53b199c1-evt-001700,1700,77,90,,,,,,,True
mortgage-0008,Claude Opus 4.8,16,mock-2413970733-53b199c1-evt-001928,1928,86,90,,,,,,,True
mortgage-0009,Claude Opus 4.8,27,mock-2413970733-53b199c1-evt-001934,1934,86,130,,,,,,,True
mortgage-0010,OpenAI GPT 5.5,14,mock-2413970733-53b199c1-evt-002573,2573,126,80,,,,,,,True
mortgage-0011,OpenAI GPT 5.5,11,mock-2413970733-53b199c1-evt-002579,2579,126,70,,,,,,,True
mortgage-0012,OpenAI GPT 5.5,13,mock-2413970733-53b199c1-evt-002585,2585,126,70,,,,,,,True
