trade_id,initiator_player_id,counterparty_player_id,start_event_id,start_seq,start_turn,end_event_id,end_seq,end_turn,outcome,censored,counteroffers,offer_revisions,public_exchange_count,initial_offer,initial_request,final_offer,final_request,event_span,turns_to_resolution,accepted,back_and_forth_count
trade-0001,OpenAI GPT 5.5,Gemini 3.1 Pro Preview,mock-2413970733-53b199c1-evt-000053,53,3,mock-2413970733-53b199c1-evt-000058,58,3,REJECTED,False,0,0,1,"{""cash"":180,""get_out_of_jail_cards"":0,""properties"":[]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""CONNECTICUT_AVENUE""]}","{""cash"":180,""get_out_of_jail_cards"":0,""properties"":[]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""CONNECTICUT_AVENUE""]}",5,0,False,0
trade-0002,OpenAI GPT 5.5,Claude Opus 4.8,mock-2413970733-53b199c1-evt-000063,63,3,mock-2413970733-53b199c1-evt-000068,68,3,REJECTED,False,0,0,1,"{""cash"":150,""get_out_of_jail_cards"":0,""properties"":[]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""ORIENTAL_AVENUE""]}","{""cash"":150,""get_out_of_jail_cards"":0,""properties"":[]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""ORIENTAL_AVENUE""]}",5,0,False,0
trade-0003,OpenAI GPT 5.5,Grok 4.3,mock-2413970733-53b199c1-evt-000073,73,3,mock-2413970733-53b199c1-evt-000078,78,3,REJECTED,False,0,0,1,"{""cash"":300,""get_out_of_jail_cards"":0,""properties"":[]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""READING_RAILROAD""]}","{""cash"":300,""get_out_of_jail_cards"":0,""properties"":[]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""READING_RAILROAD""]}",5,0,False,0
trade-0004,OpenAI GPT 5.5,Grok 4.3,mock-2413970733-53b199c1-evt-000130,130,7,mock-2413970733-53b199c1-evt-000135,135,7,REJECTED,False,0,0,1,"{""cash"":550,""get_out_of_jail_cards"":0,""properties"":[]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""READING_RAILROAD"",""PENNSYLVANIA_RAILROAD""]}","{""cash"":550,""get_out_of_jail_cards"":0,""properties"":[]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""READING_RAILROAD"",""PENNSYLVANIA_RAILROAD""]}",5,0,False,0
trade-0005,OpenAI GPT 5.5,Claude Opus 4.8,mock-2413970733-53b199c1-evt-000140,140,7,mock-2413970733-53b199c1-evt-000145,145,7,REJECTED,False,0,0,1,"{""cash"":400,""get_out_of_jail_cards"":0,""properties"":[]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""ORIENTAL_AVENUE"",""ST_CHARLES_PLACE""]}","{""cash"":400,""get_out_of_jail_cards"":0,""properties"":[]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""ORIENTAL_AVENUE"",""ST_CHARLES_PLACE""]}",5,0,False,0
trade-0006,OpenAI GPT 5.5,Gemini 3.1 Pro Preview,mock-2413970733-53b199c1-evt-000150,150,7,mock-2413970733-53b199c1-evt-000155,155,7,REJECTED,False,0,0,1,"{""cash"":240,""get_out_of_jail_cards"":0,""properties"":[]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""CONNECTICUT_AVENUE""]}","{""cash"":240,""get_out_of_jail_cards"":0,""properties"":[]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""CONNECTICUT_AVENUE""]}",5,0,False,0
trade-0007,OpenAI GPT 5.5,Gemini 3.1 Pro Preview,mock-2413970733-53b199c1-evt-000207,207,11,mock-2413970733-53b199c1-evt-000212,212,11,REJECTED,False,0,0,1,"{""cash"":320,""get_out_of_jail_cards"":1,""properties"":[]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""ILLINOIS_AVENUE""]}","{""cash"":320,""get_out_of_jail_cards"":1,""properties"":[]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""ILLINOIS_AVENUE""]}",5,0,False,0
trade-0008,OpenAI GPT 5.5,Claude Opus 4.8,mock-2413970733-53b199c1-evt-000217,217,11,mock-2413970733-53b199c1-evt-000222,222,11,REJECTED,False,0,0,1,"{""cash"":310,""get_out_of_jail_cards"":1,""properties"":[]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""TENNESSEE_AVENUE""]}","{""cash"":310,""get_out_of_jail_cards"":1,""properties"":[]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""TENNESSEE_AVENUE""]}",5,0,False,0
trade-0009,OpenAI GPT 5.5,Grok 4.3,mock-2413970733-53b199c1-evt-000227,227,11,mock-2413970733-53b199c1-evt-000232,232,11,REJECTED,False,0,0,1,"{""cash"":650,""get_out_of_jail_cards"":1,""properties"":[]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""READING_RAILROAD"",""PENNSYLVANIA_RAILROAD""]}","{""cash"":650,""get_out_of_jail_cards"":1,""properties"":[]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""READING_RAILROAD"",""PENNSYLVANIA_RAILROAD""]}",5,0,False,0
trade-0010,OpenAI GPT 5.5,Claude Opus 4.8,mock-2413970733-53b199c1-evt-000347,347,20,mock-2413970733-53b199c1-evt-000352,352,20,REJECTED,False,0,0,1,"{""cash"":360,""get_out_of_jail_cards"":1,""properties"":[]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""TENNESSEE_AVENUE""]}","{""cash"":360,""get_out_of_jail_cards"":1,""properties"":[]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""TENNESSEE_AVENUE""]}",5,0,False,0
trade-0011,OpenAI GPT 5.5,Gemini 3.1 Pro Preview,mock-2413970733-53b199c1-evt-000357,357,20,mock-2413970733-53b199c1-evt-000362,362,20,REJECTED,False,0,0,1,"{""cash"":450,""get_out_of_jail_cards"":1,""properties"":[]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""NORTH_CAROLINA_AVENUE""]}","{""cash"":450,""get_out_of_jail_cards"":1,""properties"":[]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""NORTH_CAROLINA_AVENUE""]}",5,0,False,0
trade-0012,OpenAI GPT 5.5,Grok 4.3,mock-2413970733-53b199c1-evt-000367,367,20,mock-2413970733-53b199c1-evt-000372,372,20,REJECTED,False,0,0,1,"{""cash"":650,""get_out_of_jail_cards"":1,""properties"":[]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""READING_RAILROAD"",""B_O_RAILROAD""]}","{""cash"":650,""get_out_of_jail_cards"":1,""properties"":[]}","{""cash"":0,""get_out_of_jail_cards"":0,""properties"":[""READING_RAILROAD"",""B_O_RAILROAD""]}",5,0,False,0
