turn_index,events
0,15
1,14
2,14
3,41
4,14
5,8
6,14
7,41
8,14
9,14
10,10
11,39
12,14
13,14
14,14
15,14
16,6
17,14
18,9
19,9
20,99
21,14
22,14
23,11
24,47
25,9
26,55
27,11
28,11
29,9
30,8
31,44
32,11
33,11
34,6
35,66
36,11
37,68
38,51
39,15
40,11
41,51
42,7
43,14
44,12
45,13
46,7
47,14
48,11
49,38
50,6
51,7
52,9
53,11
54,11
55,7
56,18
57,14
58,14
59,8
60,7
61,46
62,7
63,11
64,41
65,70
66,10
67,11
68,14
69,13
70,8
71,79
72,11
73,13
74,8
75,134
76,14
77,29
78,10
79,15
80,30
81,48
82,18
83,17
84,62
85,8
86,27
87,11
88,11
89,128
90,11
91,17
92,28
93,8
94,11
95,11
96,14
97,8
98,6
99,8
100,10
101,14
102,7
103,18
104,8
105,5
106,8
107,8
108,9
109,24
110,7
111,7
112,36
113,8
114,21
115,13
116,11
117,7
118,18
119,8
120,11
121,21
122,17
123,9
124,9
125,25
126,102
127,29
128,6
129,8
130,10
131,16
132,151
133,21
134,11
135,25
136,8
137,266
138,17
139,8
140,8
141,11
142,72
143,11
144,31
145,8
146,10
147,87
148,11
149,8
150,12
151,174
152,16
153,8
154,8
155,106
156,14
157,6
158,11
159,65
160,20
161,8
162,25
163,11
164,8
165,11
166,8
167,11
168,18
169,8
170,8
171,23
172,1
