schema_version,run_id,thread_type,thread_id,events,decisions
v1,mock-2413970733-53b199c1,trade,3,"[{""decision_id"": null, ""event_id"": ""mock-2413970733-53b199c1-evt-000053"", ""event_type"": ""TRADE_PROPOSED"", ""player_id"": ""OpenAI GPT 5.5"", ""seq"": 53, ""turn_index"": 3}, {""decision_id"": null, ""event_id"": ""mock-2413970733-53b199c1-evt-000058"", ""event_type"": ""TRADE_REJECTED"", ""player_id"": ""OpenAI GPT 5.5"", ""seq"": 58, ""turn_index"": 3}, {""decision_id"": null, ""event_id"": ""mock-2413970733-53b199c1-evt-000063"", ""event_type"": ""TRADE_PROPOSED"", ""player_id"": ""OpenAI GPT 5.5"", ""seq"": 63, ""turn_index"": 3}, {""decision_id"": null, ""event_id"": ""mock-2413970733-53b199c1-evt-000068"", ""event_type"": ""TRADE_REJECTED"", ""player_id"": ""OpenAI GPT 5.5"", ""seq"": 68, ""turn_index"": 3}, {""decision_id"": null, ""event_id"": ""mock-2413970733-53b199c1-evt-000073"", ""event_type"": ""TRADE_PROPOSED"", ""player_id"": ""OpenAI GPT 5.5"", ""seq"": 73, ""turn_index"": 3}, {""decision_id"": null, ""event_id"": ""mock-2413970733-53b199c1-evt-000078"", ""event_type"": ""TRADE_REJECTED"", ""player_id"": ""OpenAI GPT 5.5"", ""seq"": 78, ""turn_index"": 3}, {""decision_id"": null, ""event_id"": ""mock-2413970733-53b199c1-evt-001595"", ""event_type"": ""TRADE_COUNTERED"", ""player_id"": ""OpenAI GPT 5.5"", ""seq"": 1595, ""turn_index"": 75}, {""decision_id"": null, ""event_id"": ""mock-2413970733-53b199c1-evt-001600"", ""event_type"": ""TRADE_ACCEPTED"", ""player_id"": ""OpenAI GPT 5.5"", ""seq"": 1600, ""turn_index"": 75}, {""decision_id"": null, ""event_id"": ""mock-2413970733-53b199c1-evt-002069"", ""event_type"": ""TRADE_COUNTERED"", ""player_id"": ""OpenAI GPT 5.5"", ""seq"": 2069, ""turn_index"": 89}, {""decision_id"": null, ""event_id"": ""mock-2413970733-53b199c1-evt-002864"", ""event_type"": ""TRADE_COUNTERED"", ""player_id"": ""OpenAI GPT 5.5"", ""seq"": 2864, ""turn_index"": 132}, {""decision_id"": null, ""event_id"": ""mock-2413970733-53b199c1-evt-002869"", ""event_type"": ""TRADE_ACCEPTED"", ""player_id"": ""OpenAI GPT 5.5"", ""seq"": 2869, ""turn_index"": 132}, {""decision_id"": null, ""event_id"": ""mock-2413970733-53b199c1-evt-002988"", ""event_type"": ""TRADE_COUNTERED"", ""player_id"": ""OpenAI GPT 5.5"", ""seq"": 2988, ""turn_index"": 137}, {""decision_id"": null, ""event_id"": ""mock-2413970733-53b199c1-evt-003570"", ""event_type"": ""TRADE_COUNTERED"", ""player_id"": ""OpenAI GPT 5.5"", ""seq"": 3570, ""turn_index"": 151}, {""decision_id"": null, ""event_id"": ""mock-2413970733-53b199c1-evt-003659"", ""event_type"": ""TRADE_COUNTERED"", ""player_id"": ""OpenAI GPT 5.5"", ""seq"": 3659, ""turn_index"": 151}]",[]
v1,mock-2413970733-53b199c1,trade,7,"[{""decision_id"": null, ""event_id"": ""mock-2413970733-53b199c1-evt-000130"", ""event_type"": ""TRADE_PROPOSED"", ""player_id"": ""OpenAI GPT 5.5"", ""seq"": 130, ""turn_index"": 7}, {""decision_id"": null, ""event_id"": ""mock-2413970733-53b199c1-evt-000135"", ""event_type"": ""TRADE_REJECTED"", ""player_id"": ""OpenAI GPT 5.5"", ""seq"": 135, ""turn_index"": 7}, {""decision_id"": null, ""event_id"": ""mock-2413970733-53b199c1-evt-000140"", ""event_type"": ""TRADE_PROPOSED"", ""player_id"": ""OpenAI GPT 5.5"", ""seq"": 140, ""turn_index"": 7}, {""decision_id"": null, ""event_id"": ""mock-2413970733-53b199c1-evt-000145"", ""event_type"": ""TRADE_REJECTED"", ""player_id"": ""OpenAI GPT 5.5"", ""seq"": 145, ""turn_index"": 7}, {""decision_id"": null, ""event_id"": ""mock-2413970733-53b199c1-evt-000150"", ""event_type"": ""TRADE_PROPOSED"", ""player_id"": ""OpenAI GPT 5.5"", ""seq"": 150, ""turn_index"": 7}, {""decision_id"": null, ""event_id"": ""mock-2413970733-53b199c1-evt-000155"", ""event_type"": ""TRADE_REJECTED"", ""player_id"": ""OpenAI GPT 5.5"", ""seq"": 155, ""turn_index"": 7}]",[]
v1,mock-2413970733-53b199c1,trade,11,"[{""decision_id"": null, ""event_id"": ""mock-2413970733-53b199c1-evt-000207"", ""event_type"": ""TRADE_PROPOSED"", ""player_id"": ""OpenAI GPT 5.5"", ""seq"": 207, ""turn_index"": 11}, {""decision_id"": null, ""event_id"": ""mock-2413970733-53b199c1-evt-000212"", ""event_type"": ""TRADE_REJECTED"", ""player_id"": ""OpenAI GPT 5.5"", ""seq"": 212, ""turn_index"": 11}, {""decision_id"": null, ""event_id"": ""mock-2413970733-53b199c1-evt-000217"", ""event_type"": ""TRADE_PROPOSED"", ""player_id"": ""OpenAI GPT 5.5"", ""seq"": 217, ""turn_index"": 11}, {""decision_id"": null, ""event_id"": ""mock-2413970733-53b199c1-evt-000222"", ""event_type"": ""TRADE_REJECTED"", ""player_id"": ""OpenAI GPT 5.5"", ""seq"": 222, ""turn_index"": 11}, {""decision_id"": null, ""event_id"": ""mock-2413970733-53b199c1-evt-000227"", ""event_type"": ""TRADE_PROPOSED"", ""player_id"": ""OpenAI GPT 5.5"", ""seq"": 227, ""turn_index"": 11}, {""decision_id"": null, ""event_id"": ""mock-2413970733-53b199c1-evt-000232"", ""event_type"": ""TRADE_REJECTED"", ""player_id"": ""OpenAI GPT 5.5"", ""seq"": 232, ""turn_index"": 11}]",[]
v1,mock-2413970733-53b199c1,trade,20,"[{""decision_id"": null, ""event_id"": ""mock-2413970733-53b199c1-evt-000347"", ""event_type"": ""TRADE_PROPOSED"", ""player_id"": ""OpenAI GPT 5.5"", ""seq"": 347, ""turn_index"": 20}, {""decision_id"": null, ""event_id"": ""mock-2413970733-53b199c1-evt-000352"", ""event_type"": ""TRADE_REJECTED"", ""player_id"": ""OpenAI GPT 5.5"", ""seq"": 352, ""turn_index"": 20}, {""decision_id"": null, ""event_id"": ""mock-2413970733-53b199c1-evt-000357"", ""event_type"": ""TRADE_PROPOSED"", ""player_id"": ""OpenAI GPT 5.5"", ""seq"": 357, ""turn_index"": 20}, {""decision_id"": null, ""event_id"": ""mock-2413970733-53b199c1-evt-000362"", ""event_type"": ""TRADE_REJECTED"", ""player_id"": ""OpenAI GPT 5.5"", ""seq"": 362, ""turn_index"": 20}, {""decision_id"": null, ""event_id"": ""mock-2413970733-53b199c1-evt-000367"", ""event_type"": ""TRADE_PROPOSED"", ""player_id"": ""OpenAI GPT 5.5"", ""seq"": 367, ""turn_index"": 20}, {""decision_id"": null, ""event_id"": ""mock-2413970733-53b199c1-evt-000372"", ""event_type"": ""TRADE_REJECTED"", ""player_id"": ""OpenAI GPT 5.5"", ""seq"": 372, ""turn_index"": 20}, {""decision_id"": null, ""event_id"": ""mock-2413970733-53b199c1-evt-000377"", ""event_type"": ""TRADE_PROPOSED"", ""player_id"": ""OpenAI GPT 5.5"", ""seq"": 377, ""turn_index"": 20}, {""decision_id"": null, ""event_id"": ""mock-2413970733-53b199c1-evt-000382"", ""event_type"": ""TRADE_REJECTED"", ""player_id"": ""OpenAI GPT 5.5"", ""seq"": 382, ""turn_index"": 20}, {""decision_id"": null, ""event_id"": ""mock-2413970733-53b199c1-evt-000387"", ""event_type"": ""TRADE_PROPOSED"", ""player_id"": ""OpenAI GPT 5.5"", ""seq"": 387, ""turn_index"": 20}, {""decision_id"": null, ""event_id"": ""mock-2413970733-53b199c1-evt-000410"", ""event_type"": ""TRADE_PROPOSED"", ""player_id"": ""OpenAI GPT 5.5"", ""seq"": 410, ""turn_index"": 20}, {""decision_id"": null, ""event_id"": ""mock-2413970733-53b199c1-evt-000415"", ""event_type"": ""TRADE_REJECTED"", ""player_id"": ""OpenAI GPT 5.5"", ""seq"": 415, ""turn_index"": 20}, {""decision_id"": null, ""event_id"": ""mock-2413970733-53b199c1-evt-000420"", ""event_type"": ""TRADE_PROPOSED"", ""player_id"": ""OpenAI GPT 5.5"", ""seq"": 420, ""turn_index"": 20}, {""decision_id"": null, ""event_id"": ""mock-2413970733-53b199c1-evt-000425"", ""event_type"": ""TRADE_REJECTED"", ""player_id"": ""OpenAI GPT 5.5"", ""seq"": 425, ""turn_index"": 20}]",[]
v1,mock-2413970733-53b199c1,trade,1,"[{""decision_id"": null, ""event_id"": ""mock-2413970733-53b199c1-evt-000392"", ""event_type"": ""TRADE_COUNTERED"", ""player_id"": ""OpenAI GPT 5.5"", ""seq"": 392, ""turn_index"": 20}, {""decision_id"": null, ""event_id"": ""mock-2413970733-53b199c1-evt-000802"", ""event_type"": ""TRADE_COUNTERED"", ""player_id"": ""OpenAI GPT 5.5"", ""seq"": 802, ""turn_index"": 37}, {""decision_id"": null, ""event_id"": ""mock-2413970733-53b199c1-evt-000807"", ""event_type"": ""TRADE_ACCEPTED"", ""player_id"": ""OpenAI GPT 5.5"", ""seq"": 807, ""turn_index"": 37}, {""decision_id"": null, ""event_id"": ""mock-2413970733-53b199c1-evt-001585"", ""event_type"": ""TRADE_COUNTERED"", ""player_id"": ""OpenAI GPT 5.5"", ""seq"": 1585, ""turn_index"": 75}, {""decision_id"": null, ""event_id"": ""mock-2413970733-53b199c1-evt-002029"", ""event_type"": ""TRADE_COUNTERED"", ""player_id"": ""OpenAI GPT 5.5"", ""seq"": 2029, ""turn_index"": 89}, {""decision_id"": null, ""event_id"": ""mock-2413970733-53b199c1-evt-002059"", ""event_type"": ""TRADE_COUNTERED"", ""player_id"": ""OpenAI GPT 5.5"", ""seq"": 2059, ""turn_index"": 89}, {""decision_id"": null, ""event_id"": ""mock-2413970733-53b199c1-evt-002608"", ""event_type"": ""TRADE_COUNTERED"", ""player_id"": ""OpenAI GPT 5.5"", ""seq"": 2608, ""turn_index"": 126}, {""decision_id"": null, ""event_id"": ""mock-2413970733-53b199c1-evt-002854"", ""event_type"": ""TRADE_COUNTERED"", ""player_id"": ""OpenAI GPT 5.5"", ""seq"": 2854, ""turn_index"": 132}, {""decision_id"": null, ""event_id"": ""mock-2413970733-53b199c1-evt-002978"", ""event_type"": ""TRADE_COUNTERED"", ""player_id"": ""OpenAI GPT 5.5"", ""seq"": 2978, ""turn_index"": 137}, {""decision_id"": null, ""event_id"": ""mock-2413970733-53b199c1-evt-003429"", ""event_type"": ""TRADE_COUNTERED"", ""player_id"": ""OpenAI GPT 5.5"", ""seq"": 3429, ""turn_index"": 147}, {""decision_id"": null, ""event_id"": ""mock-2413970733-53b199c1-evt-003434"", ""event_type"": ""TRADE_ACCEPTED"", ""player_id"": ""OpenAI GPT 5.5"", ""seq"": 3434, ""turn_index"": 147}, {""decision_id"": null, ""event_id"": ""mock-2413970733-53b199c1-evt-003530"", ""event_type"": ""TRADE_COUNTERED"", ""player_id"": ""OpenAI GPT 5.5"", ""seq"": 3530, ""turn_index"": 151}, {""decision_id"": null, ""event_id"": ""mock-2413970733-53b199c1-evt-003560"", ""event_type"": ""TRADE_COUNTERED"", ""player_id"": ""OpenAI GPT 5.5"", ""seq"": 3560, ""turn_index"": 151}, {""decision_id"": null, ""event_id"": ""mock-2413970733-53b199c1-evt-003614"", ""event_type"": ""TRADE_COUNTERED"", ""player_id"": ""OpenAI GPT 5.5"", ""seq"": 3614, ""turn_index"": 151}, {""decision_id"": null, ""event_id"": ""mock-2413970733-53b199c1-evt-003649"", ""event_type"": ""TRADE_COUNTERED"", ""player_id"": ""OpenAI GPT 5.5"", ""seq"": 3649, ""turn_index"": 151}, {""decision_id"": null, ""event_id"": ""mock-2413970733-53b199c1-evt-003724"", ""event_type"": ""TRADE_COUNTERED"", ""player_id"": ""OpenAI GPT 5.5"", ""seq"": 3724, ""turn_index"": 155}, {""decision_id"": null, ""event_id"": ""mock-2413970733-53b199c1-evt-003729"", ""event_type"": ""TRADE_ACCEPTED"", ""player_id"": ""OpenAI GPT 5.5"", ""seq"": 3729, ""turn_index"": 155}]",[]
v1,mock-2413970733-53b199c1,trade,2,"[{""decision_id"": null, ""event_id"": ""mock-2413970733-53b199c1-evt-000397"", ""event_type"": ""TRADE_COUNTERED"", ""player_id"": ""OpenAI GPT 5.5"", ""seq"": 397, ""turn_index"": 20}, {""decision_id"": null, ""event_id"": ""mock-2413970733-53b199c1-evt-000402"", ""event_type"": ""TRADE_ACCEPTED"", ""player_id"": ""OpenAI GPT 5.5"", ""seq"": 402, ""turn_index"": 20}, {""decision_id"": null, ""event_id"": ""mock-2413970733-53b199c1-evt-001590"", ""event_type"": ""TRADE_COUNTERED"", ""player_id"": ""OpenAI GPT 5.5"", ""seq"": 1590, ""turn_index"": 75}, {""decision_id"": null, ""event_id"": ""mock-2413970733-53b199c1-evt-002034"", ""event_type"": ""TRADE_COUNTERED"", ""player_id"": ""OpenAI GPT 5.5"", ""seq"": 2034, ""turn_index"": 89}, {""decision_id"": null, ""event_id"": ""mock-2413970733-53b199c1-evt-002039"", ""event_type"": ""TRADE_REJECTED"", ""player_id"": ""OpenAI GPT 5.5"", ""seq"": 2039, ""turn_index"": 89}, {""decision_id"": null, ""event_id"": ""mock-2413970733-53b199c1-evt-002064"", ""event_type"": ""TRADE_COUNTERED"", ""player_id"": ""OpenAI GPT 5.5"", ""seq"": 2064, ""turn_index"": 89}, {""decision_id"": null, ""event_id"": ""mock-2413970733-53b199c1-evt-002613"", ""event_type"": ""TRADE_COUNTERED"", ""player_id"": ""OpenAI GPT 5.5"", ""seq"": 2613, ""turn_index"": 126}, {""decision_id"": null, ""event_id"": ""mock-2413970733-53b199c1-evt-002618"", ""event_type"": ""TRADE_REJECTED"", ""player_id"": ""OpenAI GPT 5.5"", ""seq"": 2618, ""turn_index"": 126}, {""decision_id"": null, ""event_id"": ""mock-2413970733-53b199c1-evt-002859"", ""event_type"": ""TRADE_COUNTERED"", ""player_id"": ""OpenAI GPT 5.5"", ""seq"": 2859, ""turn_index"": 132}, {""decision_id"": null, ""event_id"": ""mock-2413970733-53b199c1-evt-002983"", ""event_type"": ""TRADE_COUNTERED"", ""player_id"": ""OpenAI GPT 5.5"", ""seq"": 2983, ""turn_index"": 137}, {""decision_id"": null, ""event_id"": ""mock-2413970733-53b199c1-evt-003535"", ""event_type"": ""TRADE_COUNTERED"", ""player_id"": ""OpenAI GPT 5.5"", ""seq"": 3535, ""turn_index"": 151}, {""decision_id"": null, ""event_id"": ""mock-2413970733-53b199c1-evt-003540"", ""event_type"": ""TRADE_REJECTED"", ""player_id"": ""OpenAI GPT 5.5"", ""seq"": 3540, ""turn_index"": 151}, {""decision_id"": null, ""event_id"": ""mock-2413970733-53b199c1-evt-003565"", ""event_type"": ""TRADE_COUNTERED"", ""player_id"": ""OpenAI GPT 5.5"", ""seq"": 3565, ""turn_index"": 151}, {""decision_id"": null, ""event_id"": ""mock-2413970733-53b199c1-evt-003619"", ""event_type"": ""TRADE_COUNTERED"", ""player_id"": ""OpenAI GPT 5.5"", ""seq"": 3619, ""turn_index"": 151}, {""decision_id"": null, ""event_id"": ""mock-2413970733-53b199c1-evt-003624"", ""event_type"": ""TRADE_ACCEPTED"", ""player_id"": ""OpenAI GPT 5.5"", ""seq"": 3624, ""turn_index"": 151}, {""decision_id"": null, ""event_id"": ""mock-2413970733-53b199c1-evt-003654"", ""event_type"": ""TRADE_COUNTERED"", ""player_id"": ""OpenAI GPT 5.5"", ""seq"": 3654, ""turn_index"": 151}]",[]
v1,mock-2413970733-53b199c1,trade,26,"[{""decision_id"": null, ""event_id"": ""mock-2413970733-53b199c1-evt-000536"", ""event_type"": ""TRADE_PROPOSED"", ""player_id"": ""OpenAI GPT 5.5"", ""seq"": 536, ""turn_index"": 26}, {""decision_id"": null, ""event_id"": ""mock-2413970733-53b199c1-evt-000541"", ""event_type"": ""TRADE_REJECTED"", ""player_id"": ""OpenAI GPT 5.5"", ""seq"": 541, ""turn_index"": 26}, {""decision_id"": null, ""event_id"": ""mock-2413970733-53b199c1-evt-000546"", ""event_type"": ""TRADE_PROPOSED"", ""player_id"": ""OpenAI GPT 5.5"", ""seq"": 546, ""turn_index"": 26}, {""decision_id"": null, ""event_id"": ""mock-2413970733-53b199c1-evt-000551"", ""event_type"": ""TRADE_REJECTED"", ""player_id"": ""OpenAI GPT 5.5"", ""seq"": 551, ""turn_index"": 26}, {""decision_id"": null, ""event_id"": ""mock-2413970733-53b199c1-evt-000556"", ""event_type"": ""TRADE_PROPOSED"", ""player_id"": ""OpenAI GPT 5.5"", ""seq"": 556, ""turn_index"": 26}, {""decision_id"": null, ""event_id"": ""mock-2413970733-53b199c1-evt-000561"", ""event_type"": ""TRADE_REJECTED"", ""player_id"": ""OpenAI GPT 5.5"", ""seq"": 561, ""turn_index"": 26}, {""decision_id"": null, ""event_id"": ""mock-2413970733-53b199c1-evt-000566"", ""event_type"": ""TRADE_PROPOSED"", ""player_id"": ""OpenAI GPT 5.5"", ""seq"": 566, ""turn_index"": 26}, {""decision_id"": null, ""event_id"": ""mock-2413970733-53b199c1-evt-000571"", ""event_type"": ""TRADE_ACCEPTED"", ""player_id"": ""OpenAI GPT 5.5"", ""seq"": 571, ""turn_index"": 26}]",[]
v1,mock-2413970733-53b199c1,trade,31,"[{""decision_id"": null, ""event_id"": ""mock-2413970733-53b199c1-evt-000633"", ""event_type"": ""TRADE_PROPOSED"", ""player_id"": ""OpenAI GPT 5.5"", ""seq"": 633, ""turn_index"": 31}, {""decision_id"": null, ""event_id"": ""mock-2413970733-53b199c1-evt-000638"", ""event_type"": ""TRADE_REJECTED"", ""player_id"": ""OpenAI GPT 5.5"", ""seq"": 638, ""turn_index"": 31}, {""decision_id"": null, ""event_id"": ""mock-2413970733-53b199c1-evt-000643"", ""event_type"": ""TRADE_PROPOSED"", ""player_id"": ""OpenAI GPT 5.5"", ""seq"": 643, ""turn_index"": 31}, {""decision_id"": null, ""event_id"": ""mock-2413970733-53b199c1-evt-000648"", ""event_type"": ""TRADE_REJECTED"", ""player_id"": ""OpenAI GPT 5.5"", ""seq"": 648, ""turn_index"": 31}, {""decision_id"": null, ""event_id"": ""mock-2413970733-53b199c1-evt-000653"", ""event_type"": ""TRADE_PROPOSED"", ""player_id"": ""OpenAI GPT 5.5"", ""seq"": 653, ""turn_index"": 31}, {""decision_id"": null, ""event_id"": ""mock-2413970733-53b199c1-evt-000658"", ""event_type"": ""TRADE_REJECTED"", ""player_id"": ""OpenAI GPT 5.5"", ""seq"": 658, ""turn_index"": 31}]",[]
v1,mock-2413970733-53b199c1,trade,37,"[{""decision_id"": null, ""event_id"": ""mock-2413970733-53b199c1-evt-000777"", ""event_type"": ""TRADE_PROPOSED"", ""player_id"": ""OpenAI GPT 5.5"", ""seq"": 777, ""turn_index"": 37}, {""decision_id"": null, ""event_id"": ""mock-2413970733-53b199c1-evt-000782"", ""event_type"": ""TRADE_REJECTED"", ""player_id"": ""OpenAI GPT 5.5"", ""seq"": 782, ""turn_index"": 37}, {""decision_id"": null, ""event_id"": ""mock-2413970733-53b199c1-evt-000787"", ""event_type"": ""TRADE_PROPOSED"", ""player_id"": ""OpenAI GPT 5.5"", ""seq"": 787, ""turn_index"": 37}, {""decision_id"": null, ""event_id"": ""mock-2413970733-53b199c1-evt-000792"", ""event_type"": ""TRADE_REJECTED"", ""player_id"": ""OpenAI GPT 5.5"", ""seq"": 792, ""turn_index"": 37}, {""decision_id"": null, ""event_id"": ""mock-2413970733-53b199c1-evt-000797"", ""event_type"": ""TRADE_PROPOSED"", ""player_id"": ""OpenAI GPT 5.5"", ""seq"": 797, ""turn_index"": 37}, {""decision_id"": null, ""event_id"": ""mock-2413970733-53b199c1-evt-000816"", ""event_type"": ""TRADE_PROPOSED"", ""player_id"": ""OpenAI GPT 5.5"", ""seq"": 816, ""turn_index"": 37}, {""decision_id"": null, ""event_id"": ""mock-2413970733-53b199c1-evt-000821"", ""event_type"": ""TRADE_REJECTED"", ""player_id"": ""OpenAI GPT 5.5"", ""seq"": 821, ""turn_index"": 37}, {""decision_id"": null, ""event_id"": ""mock-2413970733-53b199c1-evt-000826"", ""event_type"": ""TRADE_PROPOSED"", ""player_id"": ""OpenAI GPT 5.5"", ""seq"": 826, ""turn_index"": 37}, {""decision_id"": null, ""event_id"": ""mock-2413970733-53b199c1-evt-000831"", ""event_type"": ""TRADE_REJECTED"", ""player_id"": ""OpenAI GPT 5.5"", ""seq"": 831, ""turn_index"": 37}]",[]
v1,mock-2413970733-53b199c1,trade,41,"[{""decision_id"": null, ""event_id"": ""mock-2413970733-53b199c1-evt-000924"", ""event_type"": ""TRADE_PROPOSED"", ""player_id"": ""OpenAI GPT 5.5"", ""seq"": 924, ""turn_index"": 41}, {""decision_id"": null, ""event_id"": ""mock-2413970733-53b199c1-evt-000929"", ""event_type"": ""TRADE_REJECTED"", ""player_id"": ""OpenAI GPT 5.5"", ""seq"": 929, ""turn_index"": 41}, {""decision_id"": null, ""event_id"": ""mock-2413970733-53b199c1-evt-000934"", ""event_type"": ""TRADE_PROPOSED"", ""player_id"": ""OpenAI GPT 5.5"", ""seq"": 934, ""turn_index"": 41}, {""decision_id"": null, ""event_id"": ""mock-2413970733-53b199c1-evt-000939"", ""event_type"": ""TRADE_REJECTED"", ""player_id"": ""OpenAI GPT 5.5"", ""seq"": 939, ""turn_index"": 41}, {""decision_id"": null, ""event_id"": ""mock-2413970733-53b199c1-evt-000944"", ""event_type"": ""TRADE_PROPOSED"", ""player_id"": ""OpenAI GPT 5.5"", ""seq"": 944, ""turn_index"": 41}, {""decision_id"": null, ""event_id"": ""mock-2413970733-53b199c1-evt-000949"", ""event_type"": ""TRADE_REJECTED"", ""player_id"": ""OpenAI GPT 5.5"", ""seq"": 949, ""turn_index"": 41}, {""decision_id"": null, ""event_id"": ""mock-2413970733-53b199c1-evt-000954"", ""event_type"": ""TRADE_PROPOSED"", ""player_id"": ""OpenAI GPT 5.5"", ""seq"": 954, ""turn_index"": 41}, {""decision_id"": null, ""event_id"": ""mock-2413970733-53b199c1-evt-000959"", ""event_type"": ""TRADE_REJECTED"", ""player_id"": ""OpenAI GPT 5.5"", ""seq"": 959, ""turn_index"": 41}]",[]
