call_index,run_id,decision_id,attempt_index,turn_index,decision_type,player_id,openrouter_model_id,model_display_name,finish_reason,accounting_status,input_tokens,output_tokens,reasoning_tokens,total_tokens,cached_tokens,cost,latency_ms,retry_used,fallback_used,fallback_reason,error_type,openrouter_status_code,generation_id
474,mock-2413970733-53b199c1,mock-2413970733-53b199c1-dec-000458,0,137,POST_TURN_ACTION_DECISION,OpenAI GPT 5.5,openai/gpt-5.5,gpt-5.5,tool_calls,actual_openrouter_usage,4482,4850,4660,9332,0,0.16791,133579,False,False,,,200,gen-1783974309-ktiVfKxFntZGwa1yClgl
317,mock-2413970733-53b199c1,mock-2413970733-53b199c1-dec-000309,0,89,POST_TURN_ACTION_DECISION,OpenAI GPT 5.5,openai/gpt-5.5,gpt-5.5,tool_calls,actual_openrouter_usage,3756,4863,4692,8619,0,0.16467,129184,False,False,,,200,gen-1783971151-BtEv7KakAXZwnOfOLl7T
560,mock-2413970733-53b199c1,mock-2413970733-53b199c1-dec-000543,0,151,POST_TURN_ACTION_DECISION,OpenAI GPT 5.5,openai/gpt-5.5,gpt-5.5,tool_calls,actual_openrouter_usage,4043,4674,4487,8717,0,0.160435,111613,False,False,,,200,gen-1783976608-klYUYr0tJA0vhAhG7Q0E
579,mock-2413970733-53b199c1,mock-2413970733-53b199c1-dec-000562,0,155,POST_TURN_ACTION_DECISION,OpenAI GPT 5.5,openai/gpt-5.5,gpt-5.5,tool_calls,actual_openrouter_usage,3985,3991,3844,7976,0,0.139655,96053,False,False,,,200,gen-1783977144-RsnTW5Dcpp16aIIypWOG
528,mock-2413970733-53b199c1,mock-2413970733-53b199c1-dec-000512,0,147,POST_TURN_ACTION_DECISION,OpenAI GPT 5.5,openai/gpt-5.5,gpt-5.5,tool_calls,actual_openrouter_usage,3827,3953,3783,7780,0,0.137725,121725,False,False,,,200,gen-1783975813-8zn4ENz2tD2Ofhbjm9iD
245,mock-2413970733-53b199c1,mock-2413970733-53b199c1-dec-000238,0,75,TRADE_RESPONSE_DECISION,Claude Opus 4.8,anthropic/claude-opus-4.8,claude-opus-4.8,tool_calls,actual_openrouter_usage,7929,3736,904,11665,0,0.133045,56766,False,False,,,200,gen-1783950587-6ojBHX47dWNgP8C7i2lY
428,mock-2413970733-53b199c1,mock-2413970733-53b199c1-dec-000414,0,132,POST_TURN_ACTION_DECISION,OpenAI GPT 5.5,openai/gpt-5.5,gpt-5.5,tool_calls,actual_openrouter_usage,4053,3739,3578,7792,0,0.132435,103458,False,False,,,200,gen-1783972877-seH9T8WMv5C3ekyjhVhY
465,mock-2413970733-53b199c1,mock-2413970733-53b199c1-dec-000450,0,137,POST_TURN_ACTION_DECISION,OpenAI GPT 5.5,openai/gpt-5.5,gpt-5.5,tool_calls,actual_openrouter_usage,4354,3674,3482,8028,0,0.13199,108999,False,False,,,200,gen-1783973836-hywGYOTgUqujjCMvodip
472,mock-2413970733-53b199c1,mock-2413970733-53b199c1-dec-000456,0,137,POST_TURN_ACTION_DECISION,OpenAI GPT 5.5,openai/gpt-5.5,gpt-5.5,tool_calls,actual_openrouter_usage,4516,3529,3353,8045,0,0.12845,94275,False,False,,,200,gen-1783974206-bfFYzA8C5qIpUy68GRvW
244,mock-2413970733-53b199c1,mock-2413970733-53b199c1-dec-000237,0,75,POST_TURN_ACTION_DECISION,OpenAI GPT 5.5,openai/gpt-5.5,gpt-5.5,tool_calls,actual_openrouter_usage,4109,3558,3361,7667,0,0.127285,110587,False,False,,,200,gen-1783950476-iTj4WtpMfPEY11TkQemb
242,mock-2413970733-53b199c1,mock-2413970733-53b199c1-dec-000235,0,75,POST_TURN_ACTION_DECISION,OpenAI GPT 5.5,openai/gpt-5.5,gpt-5.5,tool_calls,actual_openrouter_usage,4116,3486,3311,7602,0,0.12516,115583,False,False,,,200,gen-1783950351-MdsZKZtK4ECf8jnGsdYB
496,mock-2413970733-53b199c1,mock-2413970733-53b199c1-dec-000480,0,137,POST_TURN_ACTION_DECISION,OpenAI GPT 5.5,openai/gpt-5.5,gpt-5.5,tool_calls,actual_openrouter_usage,4189,3455,3289,7644,0,0.124595,93830,False,False,,,200,gen-1783975052-nwbfxJOYTVR7HTtKYMTj
313,mock-2413970733-53b199c1,mock-2413970733-53b199c1-dec-000305,0,89,POST_TURN_ACTION_DECISION,OpenAI GPT 5.5,openai/gpt-5.5,gpt-5.5,tool_calls,actual_openrouter_usage,3557,3528,3357,7085,0,0.123625,92453,False,False,,,200,gen-1783971002-5EyfieXxEBfvIyK2BTm9
459,mock-2413970733-53b199c1,mock-2413970733-53b199c1-dec-000444,0,137,POST_TURN_ACTION_DECISION,OpenAI GPT 5.5,openai/gpt-5.5,gpt-5.5,tool_calls,actual_openrouter_usage,4044,3361,3199,7405,0,0.12105,95283,False,False,,,200,gen-1783973618-zUSKNzmbhEwvky3GZGmz
224,mock-2413970733-53b199c1,mock-2413970733-53b199c1-dec-000217,0,71,POST_TURN_ACTION_DECISION,OpenAI GPT 5.5,openai/gpt-5.5,gpt-5.5,tool_calls,actual_openrouter_usage,3644,3285,3085,6929,0,0.11677,138151,False,False,,,200,gen-1783949607-QeCigdnIZyNTclvuJomR
584,mock-2413970733-53b199c1,mock-2413970733-53b199c1-dec-000567,0,155,POST_TURN_ACTION_DECISION,OpenAI GPT 5.5,openai/gpt-5.5,gpt-5.5,tool_calls,actual_openrouter_usage,3886,3231,3070,7117,0,0.11636,80954,False,False,,,200,gen-1783977312-y3CQtS2ow79VPF7KhOgo
469,mock-2413970733-53b199c1,mock-2413970733-53b199c1-dec-000454,0,137,POST_TURN_ACTION_DECISION,OpenAI GPT 5.5,openai/gpt-5.5,gpt-5.5,stop,actual_openrouter_usage,4477,3112,3106,7589,0,0.115745,87410,True,False,,,200,gen-1783974049-cnRWDD6Bzn574feRKLMU
482,mock-2413970733-53b199c1,mock-2413970733-53b199c1-dec-000466,0,137,POST_TURN_ACTION_DECISION,OpenAI GPT 5.5,openai/gpt-5.5,gpt-5.5,tool_calls,actual_openrouter_usage,4429,3078,2919,7507,0,0.114485,79010,False,False,,,200,gen-1783974630-zXiFhbQydCqTVfvrOxcx
478,mock-2413970733-53b199c1,mock-2413970733-53b199c1-dec-000462,0,137,POST_TURN_ACTION_DECISION,OpenAI GPT 5.5,openai/gpt-5.5,gpt-5.5,tool_calls,actual_openrouter_usage,4524,3025,2847,7549,0,0.11337,92192,False,False,,,200,gen-1783974476-u76PD5PBnUm3bYA7M5wT
239,mock-2413970733-53b199c1,mock-2413970733-53b199c1-dec-000232,0,75,POST_TURN_ACTION_DECISION,OpenAI GPT 5.5,openai/gpt-5.5,gpt-5.5,tool_calls,actual_openrouter_usage,4040,2967,2770,7007,0,0.10921,92751,False,False,,,200,gen-1783950229-uy3dtIPVQs3JrhwHv4iP
455,mock-2413970733-53b199c1,mock-2413970733-53b199c1-dec-000440,0,137,TRADE_RESPONSE_DECISION,OpenAI GPT 5.5,openai/gpt-5.5,gpt-5.5,tool_calls,actual_openrouter_usage,3970,2973,2814,6943,0,0.10904,63458,False,False,,,200,gen-1783973493-5b97W6r6QbIVx0zJ1ws2
126,mock-2413970733-53b199c1,mock-2413970733-53b199c1-dec-000123,0,37,POST_TURN_ACTION_DECISION,OpenAI GPT 5.5,openai/gpt-5.5,gpt-5.5,tool_calls,actual_openrouter_usage,3553,3016,2858,6569,0,0.108245,76566,False,False,,,200,gen-1783947631-XSFEyOO30r99ceaRlXam
588,mock-2413970733-53b199c1,mock-2413970733-53b199c1-dec-000571,0,155,POST_TURN_ACTION_DECISION,OpenAI GPT 5.5,openai/gpt-5.5,gpt-5.5,tool_calls,actual_openrouter_usage,3872,2959,2775,6831,0,0.10813,76135,False,False,,,200,gen-1783977457-TDhwSj9InCbLlC4H4L9O
237,mock-2413970733-53b199c1,mock-2413970733-53b199c1-dec-000230,0,75,POST_TURN_ACTION_DECISION,OpenAI GPT 5.5,openai/gpt-5.5,gpt-5.5,tool_calls,actual_openrouter_usage,3995,2862,2695,6857,0,0.105835,102968,False,False,,,200,gen-1783950119-bnQMrnBhhNGfsp8wo463
467,mock-2413970733-53b199c1,mock-2413970733-53b199c1-dec-000452,0,137,POST_TURN_ACTION_DECISION,OpenAI GPT 5.5,openai/gpt-5.5,gpt-5.5,tool_calls,actual_openrouter_usage,4502,2743,2586,7245,0,0.1048,84906,False,False,,,200,gen-1783973955-ybOZavFWhKbdFoPbXwz8
526,mock-2413970733-53b199c1,mock-2413970733-53b199c1-dec-000510,0,147,POST_TURN_ACTION_DECISION,OpenAI GPT 5.5,openai/gpt-5.5,gpt-5.5,tool_calls,actual_openrouter_usage,3805,2815,2651,6620,0,0.103475,87930,False,False,,,200,gen-1783975710-bMcf9MgCx1IGfyXPvAO2
523,mock-2413970733-53b199c1,mock-2413970733-53b199c1-dec-000507,0,146,POST_TURN_ACTION_DECISION,OpenAI GPT 5.5,openai/gpt-5.5,gpt-5.5,tool_calls,actual_openrouter_usage,3860,2773,2701,6633,0,0.10249,89267,False,False,,,200,gen-1783975576-6xJj23YiZVnUbv8g1CH1
205,mock-2413970733-53b199c1,mock-2413970733-53b199c1-dec-000199,0,65,POST_TURN_ACTION_DECISION,OpenAI GPT 5.5,openai/gpt-5.5,gpt-5.5,tool_calls,actual_openrouter_usage,3837,2757,2588,6594,0,0.101895,66813,False,False,,,200,gen-1783949047-eedcm3PcwiYjeh3J32VJ
203,mock-2413970733-53b199c1,mock-2413970733-53b199c1-dec-000197,0,65,POST_TURN_ACTION_DECISION,OpenAI GPT 5.5,openai/gpt-5.5,gpt-5.5,tool_calls,actual_openrouter_usage,3827,2750,2588,6577,0,0.101635,66866,False,False,,,200,gen-1783948974-91wCFPrgt4MKTTmQjXnh
