player_id,reason,event_count,inflow_event_count,outflow_event_count,gross_inflow,gross_outflow,net_flow,mean_delta,mean_absolute_delta,minimum_delta,maximum_delta
Claude Haiku 4.5,BANKRUPTCY,1,0,0,0,0,0,0.0,0.0,0,0
Claude Haiku 4.5,BANKRUPTCY_CASH,1,0,1,0,840,-840,-840.0,840.0,-840,-840
Claude Haiku 4.5,BANK_ERROR_COLLECT_200,1,1,0,200,0,200,200.0,200.0,200,200
Claude Haiku 4.5,ELECTED_CHAIRMAN_PAY_EACH_PLAYER_50,3,0,3,0,150,-150,-50.0,50.0,-50,-50
Claude Haiku 4.5,MORTGAGE,1,1,0,70,0,70,70.0,70.0,70,70
Claude Haiku 4.5,PASS_GO,8,8,0,1600,0,1600,200.0,200.0,200,200
Claude Haiku 4.5,RENT,34,10,24,152,1435,-1283,-37.735294,46.676471,-250,20
Claude Haiku 4.5,TAX_INCOME,1,0,1,0,200,-200,-200.0,200.0,-200,-200
Claude Haiku 4.5,TAX_LUXURY,2,0,2,0,200,-200,-100.0,100.0,-100,-100
Claude Haiku 4.5,TRADE_CASH,1,0,1,0,300,-300,-300.0,300.0,-300,-300
Claude Haiku 4.5,UNMORTGAGE,1,0,1,0,77,-77,-77.0,77.0,-77,-77
Claude Haiku 4.5,buy_property,2,0,2,0,320,-320,-160.0,160.0,-180,-140
Gemini 3.5 Flash,BANKRUPTCY_CASH,3,3,0,1757,0,1757,585.666667,585.666667,94,840
Gemini 3.5 Flash,BANK_PAYS_YOU_DIVIDEND_50,1,1,0,50,0,50,50.0,50.0,50,50
Gemini 3.5 Flash,BUILD,9,0,9,0,3500,-3500,-388.888889,388.888889,-900,-200
Gemini 3.5 Flash,DOCTOR_FEE_PAY_50,1,0,1,0,50,-50,-50.0,50.0,-50,-50
Gemini 3.5 Flash,ELECTED_CHAIRMAN_PAY_EACH_PLAYER_50,1,1,0,50,0,50,50.0,50.0,50,50
Gemini 3.5 Flash,INCOME_TAX_REFUND_COLLECT_20,1,1,0,20,0,20,20.0,20.0,20,20
Gemini 3.5 Flash,JAIL_FINE,1,0,1,0,50,-50,-50.0,50.0,-50,-50
Gemini 3.5 Flash,LIFE_INSURANCE_COLLECT_100,1,1,0,100,0,100,100.0,100.0,100,100
Gemini 3.5 Flash,MORTGAGE,2,2,0,185,0,185,92.5,92.5,75,110
Gemini 3.5 Flash,MORTGAGE_INTEREST,4,0,4,0,86,-86,-21.5,21.5,-46,-7
Gemini 3.5 Flash,PASS_GO,7,7,0,1400,0,1400,200.0,200.0,200,200
Gemini 3.5 Flash,RENT,36,28,8,3014,218,2796,77.666667,89.777778,-100,600
Gemini 3.5 Flash,TAX_LUXURY,1,0,1,0,100,-100,-100.0,100.0,-100,-100
Gemini 3.5 Flash,TRADE_CASH,7,2,5,700,1290,-590,-84.285714,284.285714,-550,380
Gemini 3.5 Flash,UNMORTGAGE,9,0,9,0,1153,-1153,-128.111111,128.111111,-176,-77
Gemini 3.5 Flash,auction_bid,3,0,3,0,260,-260,-86.666667,86.666667,-130,-30
Gemini 3.5 Flash,buy_property,6,0,6,0,1480,-1480,-246.666667,246.666667,-400,-160
Grok 4.3,BANKRUPTCY,1,0,0,0,0,0,0.0,0.0,0,0
Grok 4.3,BANKRUPTCY_CASH,1,0,1,0,823,-823,-823.0,823.0,-823,-823
Grok 4.3,BUILDING_LOAN_MATURES_RECEIVE_150,1,1,0,150,0,150,150.0,150.0,150,150
Grok 4.3,ELECTED_CHAIRMAN_PAY_EACH_PLAYER_50,1,1,0,50,0,50,50.0,50.0,50,50
Grok 4.3,PASS_GO,3,3,0,600,0,600,200.0,200.0,200,200
Grok 4.3,RENT,16,7,9,450,387,63,3.9375,52.3125,-90,100
Grok 4.3,TAX_INCOME,1,0,1,0,200,-200,-200.0,200.0,-200,-200
Grok 4.3,TAX_LUXURY,2,0,2,0,200,-200,-100.0,100.0,-100,-100
Grok 4.3,TRADE_CASH,1,0,1,0,380,-380,-380.0,380.0,-380,-380
Grok 4.3,buy_property,4,0,4,0,760,-760,-190.0,190.0,-260,-100
OpenAI GPT 5.4 mini,BANKRUPTCY,1,0,0,0,0,0,0.0,0.0,0,0
OpenAI GPT 5.4 mini,BANKRUPTCY_CASH,1,0,1,0,94,-94,-94.0,94.0,-94,-94
OpenAI GPT 5.4 mini,BEAUTY_CONTEST_COLLECT_10,1,1,0,10,0,10,10.0,10.0,10,10
OpenAI GPT 5.4 mini,BUILD,19,0,19,0,2000,-2000,-105.263158,105.263158,-300,-50
OpenAI GPT 5.4 mini,ELECTED_CHAIRMAN_PAY_EACH_PLAYER_50,1,1,0,50,0,50,50.0,50.0,50,50
OpenAI GPT 5.4 mini,MORTGAGE,21,21,0,1805,0,1805,85.952381,85.952381,30,175
OpenAI GPT 5.4 mini,PASS_GO,7,7,0,1400,0,1400,200.0,200.0,200,200
OpenAI GPT 5.4 mini,PAY_POOR_TAX_15,1,0,1,0,15,-15,-15.0,15.0,-15,-15
OpenAI GPT 5.4 mini,RENT,30,13,17,474,2050,-1576,-52.533333,84.133333,-600,250
OpenAI GPT 5.4 mini,SALE_OF_STOCK_COLLECT_50,1,1,0,50,0,50,50.0,50.0,50,50
OpenAI GPT 5.4 mini,SELL_BUILDING,16,16,0,1000,0,1000,62.5,62.5,25,200
OpenAI GPT 5.4 mini,TAX_INCOME,1,0,1,0,200,-200,-200.0,200.0,-200,-200
OpenAI GPT 5.4 mini,TAX_LUXURY,2,0,2,0,200,-200,-100.0,100.0,-100,-100
OpenAI GPT 5.4 mini,TRADE_CASH,7,6,1,1590,320,1270,181.428571,272.857143,-320,550
OpenAI GPT 5.4 mini,UNMORTGAGE,8,0,8,0,679,-679,-84.875,84.875,-193,-33
OpenAI GPT 5.4 mini,auction_bid,2,0,2,0,291,-291,-145.5,145.5,-180,-111
OpenAI GPT 5.4 mini,buy_property,11,0,11,0,2030,-2030,-184.545455,184.545455,-350,-60
